"PlatformPortfolio","Competition.effective.only","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Space Systems","Effective Comp.",0.321982098486323,0.300580394884261,0.284684901351577,0.233187356245694,0.316799952925116,0.399643006615519,0.397937829457964,0.370425057059691,0.360017744176339,0.54250518096583,0.636408705901827,0.587061745405407,0.464361755139965,0.586893972338929,0.580916711727862,0.469899984410944,0.531076671109083,0.498369140014394,0.447252276963347,0.444909467830621,0.397415769443723,0.343987912092089,0.374319706980832,0.338740900000988,0.281381880806108,0.349179225655737,0.309294087634032,0.463048902405471,0.392117146699225,0.385749991553581,0.511143463028344,0.468412858630664,0.443987850560786
"Space Systems","Unlabeled",0.331898895975587,0.244606485601672,0.103569543348255,0.0159375714158296,0.0695640269588538,0.0113773889168611,0.0144154765280362,0.00162588278512798,0.000200762618024625,0.00222774652997137,0.000420619692535366,0.000740159576926029,3.24284930585968e-05,0.000293574525384428,0.000491988261689519,0.000192074638218816,5.92301146535052e-05,3.59257642926614e-05,0.00665930336720397,8.98302338769876e-06,4.07022227141204e-05,0.00460484203622812,-2.70527327239614e-06,3.4044399323635e-07,0,6.50755001168934e-05,4.34669189515197e-05,9.51332921936959e-05,0.000114134302028917,0.000872049392498697,1.56059281753979e-05,0,
"Air & Missile
Defense","Not Effective Comp.",0.687037607184835,0.458632513546975,0.586849381428302,0.569148748539508,0.526255518602806,0.557789260490519,0.566526567200982,0.48633187283954,0.487695515752258,0.300076062620679,0.412138004705855,0.398237887517938,0.446442125028179,0.458317611638701,0.464010609492293,0.531148856306493,0.538272481187095,0.580666225435937,0.679063854723747,0.751545136349958,0.741221258833845,0.713125033807851,0.795108137522946,0.693815693116833,0.746712451485291,0.726553214050382,0.71927284905897,0.697228355203263,0.764006701839879,0.821068925311349,0.623446503841408,0.737000126370679,0.6607176660676
"Air & Missile
Defense","Effective Comp.",0.303312594021058,0.535959334926117,0.413921797713917,0.430804408316593,0.474691296528709,0.441981455062357,0.432815958656745,0.51201877286587,0.510553564919884,0.696986025657326,0.586770929206162,0.600373307300092,0.552017900669863,0.538532672581635,0.532956319710254,0.46781154402025,0.459154962201268,0.416977500224749,0.319416124001427,0.249757613763465,0.258257714198046,0.286352810299481,0.204865705593912,0.306341227144056,0.253422192729597,0.273136574159709,0.280268688784797,0.302592675871882,0.23590338410935,0.178937796165209,0.376555919814026,0.263002606421281,0.339301365593153
"Air & Missile
Defense","Unlabeled",0.00964979879410777,0.00540815152690873,-0.000771179142218029,4.68431438990189e-05,-0.000946815131514464,0.000229284447124127,0.000657474142272925,0.00164935429458967,0.00175091932785812,0.00293791172199506,0.00109106608798332,0.00138880518196936,0.00153997430195781,0.00314971577966369,0.00303307079745323,0.00103959967325684,0.00257255661163712,0.00235627433931399,0.00152002127482551,-0.00130275011342266,0.000521026968108686,0.000522155892668062,2.61568831427541e-05,-0.000156920260888762,-0.00013464421488766,0.000310211789908287,0.000458462156232963,0.000178968924855048,8.99140507708145e-05,-6.72147655853484e-06,-2.42365543400081e-06,-2.73279196009865e-06,-1.90316607536996e-05
"Ordnance &
Missiles","Not Effective Comp.",0.624242385993075,0.665720776984136,0.680269444887019,0.725407600919894,0.731557685164489,0.726608667762864,0.754895864006579,0.783283033944755,0.761395792366789,0.668129227342861,0.649336142694491,0.661483564618031,0.670606994174197,0.658026423829402,0.650870620619712,0.672858789155028,0.642426187826765,0.682156980910616,0.718977336873312,0.772955952388689,0.764663688024758,0.746847805612495,0.752705346104631,0.741885461551036,0.761524435502106,0.766862785622265,0.77242492195863,0.803362451158041,0.819853921316657,0.853267137229115,0.847854844612171,0.799486138107371,0.783316765611773
"Ordnance &
Missiles","Effective Comp.",0.374944014554215,0.331402838541026,0.320596851862094,0.275244280093114,0.267052270722363,0.271210020707854,0.243874617306871,0.213883970608351,0.234474845460622,0.330416129541165,0.349476674220946,0.335718308669902,0.325745603865802,0.339396720377681,0.34692439557307,0.325944116230633,0.357322775426426,0.316253585960721,0.280596204185914,0.22560877051441,0.230661445956503,0.251764092483251,0.244749561212664,0.254746364043931,0.230404086157195,0.230927996147108,0.227059904702211,0.19096568282291,0.17963894013577,0.143167464740021,0.148457496741122,0.190946140990611,0.197855270908205
"Ordnance &
Missiles","Unlabeled",0.000813599452710274,0.00287638447483834,-0.000866296749112344,-0.000651881013008027,0.00139004411314813,0.00218131152928235,0.00122951868654951,0.00283299544689446,0.00412936217258897,0.00145464311597415,0.00118718308456333,0.00279812671206687,0.00364740196000057,0.00257685579291685,0.00220498380721866,0.00119709461433915,0.000251036746808661,0.00158943312866368,0.000426458940773659,0.00143527709690174,0.00467486601873849,0.00138810190425423,0.00254509268270487,0.00336817440503306,0.00807147834069957,0.00220921823062638,0.000515173339158929,0.00567186601904887,0.000507138547573392,0.00356539803086392,0.00368765864670692,0.00956772090201764,0.0188279634800223
"Electronics,
Comms & Sensors","Not Effective Comp.",0.515282002562595,0.482057587437824,0.46054878689654,0.443596579028638,0.449068627787242,0.418055042827873,0.416069953240311,0.369632722187778,0.361774460727866,0.392978693512632,0.381565485184699,0.390569319363824,0.398262826580391,0.39787853005556,0.50974118276713,0.493654337179995,0.493357822272733,0.503474412923776,0.503778489691549,0.545341582673897,0.557136361593858,0.565398318437945,0.551362413344602,0.524699409024595,0.525879857408377,0.499016797320714,0.493324787013459,0.534612935839179,0.531275029387022,0.507293216850037,0.511187559928811,0.504232100573966,0.512730711410223
"Electronics,
Comms & Sensors","Effective Comp.",0.439758257492313,0.508832549621284,0.533348916340835,0.554629677667478,0.548116882891939,0.578692665109489,0.523261085110567,0.521016570485397,0.489111848611507,0.427247024813319,0.565316555468393,0.557783153687982,0.566249895715976,0.571709268820411,0.477884329026633,0.49521522374042,0.499670945320379,0.490227236782826,0.491253893680736,0.449059036755292,0.439490368686515,0.427954311743499,0.441206616893731,0.465199820742941,0.464121903152756,0.492310944358145,0.494358261742476,0.458209600377484,0.461391770076952,0.486959753279124,0.48317044887609,0.488698756610343,0.482838616252725
"Electronics,
Comms & Sensors","Unlabeled",0.0449597399450926,0.00910986294089209,0.00610229676262477,0.0017737433038845,0.00281448932081874,0.00325229206263807,0.0606689616491223,0.109350707326825,0.149113690660627,0.179774281674049,0.053117959346908,0.0516475269481942,0.0354872777036334,0.0304122011240284,0.0123744882062362,0.0111304390795844,0.00697123240688862,0.0062983502933972,0.00496761662771505,0.00559938057081064,0.00337326971962708,0.00664736981855576,0.00743096976166645,0.0101007702324641,0.00999823943886797,0.00867225832114149,0.0123169512440648,0.00717746378333647,0.00733320053602609,0.00574702987083835,0.00564199119509905,0.00706914281569116,0.00443067233705273
"Facilities &
Construction","Not Effective Comp.",0.243280417065047,0.237498856994721,0.216840968561571,0.177726490692255,0.187153324580119,0.195444170846325,0.201915408322009,0.194052321509796,0.204749826651938,0.216608152373447,0.219415398485485,0.232357434941716,0.299843907579919,0.271816800654648,0.287657101861049,0.259976034148203,0.269124787908918,0.237857360937937,0.317620708111633,0.249908208288735,0.254627139239897,0.234317832351273,0.232195366558942,0.236592662604966,0.24086109944279,0.25971202465941,0.246709667824265,0.237578390449134,0.242717487077765,0.252784036226176,0.265734302120396,0.240739339183702,0.280698442185278
"Facilities &
Construction","Effective Comp.",0.753319988040675,0.758239730012836,0.780768155896503,0.816662901259454,0.80915432288881,0.801432811440878,0.768975799685333,0.760306160363575,0.753956128352395,0.743525733480425,0.754291973028773,0.736568253859225,0.668923836899798,0.690947474975835,0.677850531532708,0.708155370949355,0.725054789986435,0.751948870167814,0.668956035266036,0.734704632419339,0.732520808184955,0.755576025046086,0.757642014222913,0.75394243987442,0.748017860868125,0.730236632241257,0.744670483858674,0.748120832152031,0.751186712374229,0.741382468494209,0.729704662297474,0.755447581773505,0.715702876857229
"Facilities &
Construction","Unlabeled",0.00339959489427776,0.00426141299244284,0.00239087554192549,0.00561060804829116,0.00369235253107076,0.00312301771279633,0.0291087919926585,0.0456415181266286,0.0412940449956672,0.0398661141461275,0.0262926284857416,0.0310743111990588,0.031232255520283,0.0372357243695176,0.0344923666062428,0.0318685949024418,0.00582042210464726,0.010193768894249,0.013423256622331,0.0153871592919266,0.0128520525751476,0.0101061426026406,0.0101626192181443,0.00946489752061409,0.0111210396890857,0.0100513430993339,0.0086198483170613,0.0143007773988345,0.00609580054800663,0.00583349527961445,0.00456103558212955,0.0038130790427937,0.00359868095749311
"Other
Products","Not Effective Comp.",0.330380695647208,0.455898635151945,0.400270823971231,0.291900404375648,0.378230050627804,0.38640119117259,0.33630984569909,0.319163751090171,0.24610773065584,0.194011149797443,0.206758128897356,0.246256585502948,0.221044544780371,0.194386373274179,0.161579207271703,0.225289061527093,0.233198294424269,0.330863190030682,0.203127359396768,0.280804798408131,0.196237798160748,0.164107910039284,0.205140204928682,0.147867399047882,0.133620387094422,0.160352532127278,0.156239029034726,0.1703067913488,0.18707364289161,0.303178918211416,0.654766202176261,0.3099422773385,0.206346630233703
"Other
Products","Effective Comp.",0.66896120040893,0.544102027450778,0.599732391810109,0.708086554253511,0.621645828171816,0.61323617934242,0.650988010792586,0.657748546957936,0.721627800220648,0.790808964451046,0.769810264238821,0.661351872177854,0.727509488170339,0.752096972414859,0.80996056325884,0.766882373003173,0.764615665534021,0.66706431150696,0.795098727468511,0.717319642692867,0.801187506987868,0.834593500558062,0.794322233147719,0.849176216502404,0.868789008963771,0.839038772801779,0.841689486218182,0.812253072290772,0.804978304666977,0.684012544956597,0.338549130998955,0.685590021059438,0.78133618578059
"Other
Products","Unlabeled",0.000658103943861556,-6.62602723836418e-07,-3.21578134024002e-06,1.30413708411147e-05,0.000124121200379816,0.000362629484990353,0.0127021435083247,0.0230877019518925,0.0322644691235125,0.0151798857515119,0.0234316068638225,0.0923915423191971,0.0514459670492899,0.0535166543109616,0.0284602294694569,0.00782856546973402,0.00218604004170996,0.00207249846235846,0.0017739131347208,0.00187555889900288,0.00257469485138451,0.00129858940265432,0.000537561923598663,0.00295638444971426,-0.00240939605819284,0.000608695070943379,0.00207148474709199,0.0174401363604278,0.00794805244141295,0.0128085368319878,0.0066846668247842,0.00446770160206133,0.0123171839857069
"Other
Services","Not Effective Comp.",0.11754793302567,0.150206500547906,0.21512895752707,0.204780229677205,0.154352832428156,0.133571960407268,0.183765487207539,0.112553284080279,0.188861422875728,0.158727910015239,0.179084055743986,0.159616146384786,0.131911729887669,0.0954211556963424,0.115304384169574,0.142881247906767,0.16306398104147,0.165773960537797,0.161680379865062,0.167514859314412,0.140362872785307,0.133422490003509,0.120031957187494,0.144100346332888,0.160571260531721,0.184409406248733,0.177473664523704,0.202797183278002,0.183802430002861,0.180896563910341,0.199940090645598,0.213747249022323,0.192158130576237
"Other
Services","Effective Comp.",0.881168083004764,0.849719050539918,0.784633128631084,0.794308317190752,0.773725523171782,0.866102276664992,0.806597697159061,0.834449181372142,0.793584354226913,0.8250965844005,0.806120208572123,0.733356550111902,0.708803288920771,0.772395369166036,0.706485542370615,0.732599360579817,0.834314546019666,0.832306495686696,0.83617785180622,0.777755436927198,0.784083361177368,0.807706239965846,0.809402236875742,0.821151558193954,0.809624985003044,0.784712280796832,0.796905109079333,0.794921711353678,0.814450823220254,0.81590278443971,0.793080555142722,0.783550153832698,0.804880034381958
"Other
Services","Unlabeled",0.00128398396956649,7.44489121764923e-05,0.000237913841845987,0.00091145313204236,0.0719216444000617,0.000325762927739884,0.00963681563339931,0.0529975345475789,0.0175542228973593,0.0161755055842602,0.0147957356838907,0.107027303503312,0.15928498119156,0.132183475137622,0.178210073459811,0.124519391513416,0.00262147293886391,0.00191954377550724,0.00214176832871785,0.0547297037583904,0.0755537660373251,0.0588712700306452,0.0705658059367641,0.0347480954731576,0.0298037544652346,0.0308783129544348,0.0256212263969626,0.00228110536832073,0.00174674677688472,0.0032006516499489,0.00697935421167975,0.00270259714497898,0.00296183504180468
"Other Knowledge
Based","Not Effective Comp.",0.43856042124713,0.418408175538446,0.406029057341664,0.383340227560755,0.403161987341921,0.406787175186538,0.424646696524498,0.447527900534606,0.39940582341597,0.410479829727115,0.413222059194587,0.40115194312401,0.41754847690025,0.43427296102353,0.510485389975871,0.507490253196727,0.460706597679973,0.414542752442917,0.430797242575549,0.415390922036956,0.390178039096221,0.363795819362221,0.368933417553706,0.391814640584992,0.404430290889076,0.421457348094866,0.420418024508346,0.428939639923654,0.452989943105956,0.45427957686098,0.501186095380203,0.499985475372325,0.519048267140357
"Other Knowledge
Based","Effective Comp.",0.550088241775751,0.577720791638605,0.593152782761845,0.615745838310952,0.591459586981187,0.582353592593813,0.56232047813419,0.509557158503041,0.52931268429095,0.539905201826248,0.557942219342196,0.556497662449513,0.548107102669119,0.527863575400241,0.468664040670618,0.480882520735025,0.532148138530192,0.575953433536021,0.56404760464271,0.576913059431723,0.60069705772272,0.624548951241352,0.621296665024734,0.600660658292322,0.589976481113384,0.574534950273664,0.574571484388168,0.565465845791378,0.538753432810437,0.537883575739041,0.493907830257139,0.497652780896575,0.479435366057922
"Other Knowledge
Based","Unlabeled",0.0113513369771189,0.0038710328229484,0.000818159896490594,0.000913934128293173,0.00537842567689182,0.0108592322196491,0.0130328253413116,0.0429149409623533,0.0712814922930796,0.0496149684466375,0.0288357214632175,0.042350394426477,0.0343444204306316,0.0378634635762287,0.0208505693535118,0.0116272260682477,0.00714526378983566,0.00950381402106158,0.0051551527817413,0.00769601853132124,0.00912490318105912,0.0116552293964265,0.00976991742156073,0.00752470112268597,0.00559322799753959,0.00400770163147006,0.00501049110348641,0.00559451428496819,0.00825662408360638,0.00783684739997907,0.00490607436265733,0.00236174373110004,0.00151636680172057
