"PlatformPortfolio","AnyCommercialText","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Space Systems","Not Classified
as Commercial",5058545249.42824,5889122609.35991,6426067722.14781,7272697739.16577,6108641134.80268,9325227367.35382,11514248365.9695,11371992838.8719,12748991176.366,13846854176.5977,12250660349.1694,13726722124.1682,13165183347.4693,9934746721.48229,10103503886.3062,7445639718.41727,7454397254.01313,7127616908.53448,6948345501.85544,7838775149.22964,7343135165.87004,3323937925.71694,3564873020.73466,4056013146.1005,4136620226.52974,1370398200.03134
"Unlabeled","Not Classified
as Commercial",49195333.6583053,13124003.1220835,132057995.462351,118848874.793575,5523010.44155547,5216644.19449139,154010974.568997,25540896.8847328,529852.869269011,937580.456723442,-278507.954806294,-153730.193525332,-3711.1168599898,-63263.9514511584,567671.010781381,,4446489.51183224,-299.071500057452,-278246.133397523,546254.749528136,0,421053.108340354,0,,1044890.79886422,164648.259993653
"Aircraft","Non-Development
or Commercial Similar",,,76910544.4925726,132971748.326288,158093243.941051,165840911.797021,1993883.26156841,-771313.509784504,28342651.158396,3381935.98942194,12198751.2867867,4892197.468273,1396437.89608866,235490.691001403,-576.469759745925,-4825.99415736144,-55166.1686130394,,,,,266175.503532149,0,76524.9492,116353.650798032,59261.0392667338
"Electronics,
Comms & Sensors","Non-Development
or Commercial Similar",0,109152.279083173,240102559.872216,440190472.373402,899111470.145115,606827189.790705,699765550.652082,952619125.138581,1080170186.79717,695312525.773352,66662332.1090185,484238225.424694,-2534791.78669894,-2225890.04190567,-4675113.35674176,3694753.80001245,956587.360209834,44008.9607094841,496550.021405599,-125309.094612602,997086.428564574,4909806.32595339,5124269.47646144,4770469,-3805.63671164641,
"Facilities &
Construction","Non-Development
or Commercial Similar",44147878.8829497,-638069.754379469,10363642.8133936,26465836.7032399,4963621.26723692,20430389.6357845,48994390.4092463,73530736.2009705,69599119.9875088,44287838.645757,49682878.0986453,154923446.323583,99158694.9397475,326243406.557968,106410026.518936,88527728.6762172,83140762.2718129,38847059.9893984,79934987.479597,80338231.8273405,16949136.0449745,55936620.0919155,11635.3905193418,8885235.5573,6171892.57105998,7089948.56615623
"Land Vehicles","Non-Development
or Commercial Similar",,,51400.6163781962,13522887.3203288,4495921.52320751,430830.34648606,230120.352785937,189490.24360834,348431.290372718,14835302.4258162,12553923.5513295,12250896.4204051,5689247.72026968,4318891.43541009,607511.417403934,-37532.8338708405,-964008.876343515,-1143839.72029798,-395808.74398659,83.693752795901,,78897.947295943,186194.951125402,140376.91,117444.196692461,
"Air & Missile
Defense","Non-Development
or Commercial Similar",,,482266.994193049,921066.428824394,8030964.71544904,,78196.9567080513,0,,70670225.7578999,3140957.0381373,-3885.0765766007,,,,30111.4758605086,26374.9278239712,,,,-1166.62670505124,,,,,
"Ordnance &
Missiles","Non-Development
or Commercial Similar",,,4094614.66330825,458971179.802585,52917225.8265624,18115100.8920342,,,,-1979697.36044803,5203613.12240576,162013.631279889,382386.413271906,1189818.90271237,795559.746732309,0,-1094.83160510523,0,0,0,,-113355.265944499,,,,
"Other
Products","Non-Development
or Commercial Similar",,,922982.679000643,5528629.41448282,6175095.20833167,359094.882807573,290954.594091573,56128.5562068951,23445.7619993735,1246900.42323389,75648.4200025138,,,,,59674.725291137,,,,,0,,,,,
"Other Knowledge
Based","Non-Development
or Commercial Similar",0,0,36079082.8992399,124005698.111536,79688560.5044064,26945858.6459981,493165.127439276,417277.394495785,17309588.5889258,96447016.6873919,158542733.869619,149125498.938107,159308354.071592,173042377.726701,100435921.321966,29979758.0281564,8095904.47031686,-31748581.3725889,-3647349.8109809,-192171.490731938,22847907.3284235,40729856.6532997,43325455.5257526,21443952.53,4660037.50432982,973463.160001196
"Other
Services","Non-Development
or Commercial Similar",,,,3325504.53822853,344620154.160341,587677164.320177,7855.77404047248,11958.4425752705,565597.037850851,3411555.44412601,214955197.856774,616058370.053412,681482179.346169,357483579.547931,147656615.200032,26009303.1109785,39275016.7606678,46731915.2076096,105076163.228101,69337680.9752972,-4237388.41115683,-1106217.58163178,-1675680.54479901,-4557648.8226,377439.90444127,-114653.380204935
"Ships &
Submarines","Non-Development
or Commercial Similar",,,4189656.03188431,67002986.2438019,9539204.80261981,2985242.72983403,163641.592354924,25162.9565126347,230160.439065637,4027036.65670384,-5035399.74871194,349325.963166261,737325.631068447,95148.6565511687,165717.407861501,77618.2645528317,,,,,,,,,,
"Space Systems","Non-Development
or Commercial Similar",0,,,10072671.2882188,152556297.633089,3775624.9518374,,,0,-18326289.0458472,10383557.5924252,25517.8063821361,25815.4056803989,26116.5694817362,35181.1656406906,,,,,,,,,,,
"Aircraft","Any Commercial
Classification",4362371818.78767,5538734559.05598,6830106473.12551,7813374484.82841,9068646714.92388,8708738395.38638,7933356019.01944,8098619580.24349,8028029393.07731,6953394730.97799,7001686513.88567,6447718125.72262,5086242807.25546,5102238528.14093,3402000947.15524,3160176285.17695,3812586064.29565,4285985690.09315,5559340868.43435,6530559556.17292,6723898028.22923,6135120818.73786,6048883392.77315,4955883294.6882,4667001975.2237,3236496720.88509
"Electronics,
Comms & Sensors","Any Commercial
Classification",6210994330.51626,7031760798.32976,16819310818.2191,20793954419.1042,24161753986.7401,20346147389.8597,20737052645.8714,25449902020.3212,26337570524.2126,23959620481.7266,24699275392.2577,21179790207.6839,18421104072.975,15088311723.0573,15457921620.6325,15209132398.6975,16750495646.1469,17069728634.6144,17859160522.6622,19675459270.1967,21033265043.6074,19392570749.2004,20147775757.3047,20496265775.815,21713497279.1841,10434958234.39
"Facilities &
Construction","Any Commercial
Classification",2878225335.48021,3450825311.05067,5635145219.49414,7736302931.65335,9540725112.9457,6756809889.04076,9647844612.01234,10874928544.6615,10826120383.1792,12988363565.4335,11812565904.2914,10717497131.3008,9432150902.5047,8352779713.20949,8478720972.18945,8669549529.05166,8758084573.98592,9393846844.50826,10868958093.3955,10950484514.4993,12123638509.6382,13267429567.8383,11777492398.9421,12048806296.0841,12016879429.7232,5751964199.44421
"Land Vehicles","Any Commercial
Classification",324215968.019227,958359479.753811,1156042592.03306,2147677127.18014,4096072338.37524,2992341148.05497,4937571963.87572,8785540813.23422,11308108589.9938,5976747635.22107,4224661007.18822,3101719633.42283,1925511981.06631,1299842903.5513,1175597209.00952,2408136369.16669,1328324053.03093,1476765786.64654,1751094820.30455,2152245394.14442,1777076243.73393,1601919229.52475,1382992318.27001,2690625869.2301,2754143828.31407,1818622527.76155
"Air & Missile
Defense","Any Commercial
Classification",17758989.3799655,13378555.2046269,74233958.5540903,149867383.843375,226471714.173771,145296622.62005,141631394.731289,229117015.975545,181642657.855255,213329381.066314,183169025.766967,137193489.327691,95303300.2341415,49683735.7868469,43649951.0806624,32882305.379436,35359017.6924812,46953607.8013726,61255310.0658965,90407172.4876643,96110443.4675439,92213014.2739729,84325069.0101773,76027799.4785,93072087.1669836,43800089.594119
"Ordnance &
Missiles","Any Commercial
Classification",143951105.439004,109944530.945574,196930630.4857,536015102.274135,615258784.979513,717832967.1729,495543686.019085,1040142040.63136,1278919779.60433,932643200.479477,811704629.598125,748969408.322573,548438891.320627,342041287.637611,264617687.042519,305146571.831965,416320646.917202,262797899.736944,302814457.720612,440537522.080632,438379546.72232,341227877.15376,335518553.350072,751788129.5445,821620015.933909,287829134.082445
"Other
Products","Any Commercial
Classification",9386061455.11176,10917716572.0735,14853367560.5885,17659074230.9445,20200809080.6732,10279243175.2507,17505443748.3881,32309888020.3392,44956319575.5344,38051341475.3602,29450629498.9026,29777795216.7041,37198293859.3299,26686692055.1835,22728693764.2372,17503818187.8141,12861833843.421,15128581968.8112,17974591723.093,15196886482.7198,18505635144.7595,49235430516.4204,51289189436.0749,20406633568.5737,17395134101.1481,7644977738.06513
"Other Knowledge
Based","Any Commercial
Classification",1067526670.78462,1623824958.12984,3876481274.97425,4393684439.37069,5574005982.14583,5211538351.82825,6408351708.17507,7310007190.79598,8271296584.11079,9404037367.0679,9664167524.51913,9030716140.85401,8168966442.07285,7473095254.88088,7541473944.00313,8002300457.97333,8222810518.22188,8312894413.49172,8716159625.80835,8485985235.80374,9201645684.39773,9338775870.76503,8930675149.31776,10669635315.2393,11556260811.4155,5209504566.40062
"Other
Services","Any Commercial
Classification",2191319278.67783,2363788736.76475,2073562680.54693,3474078476.25944,4728400791.71256,2543076453.49892,3119680484.48872,4387060199.72563,4571078654.41455,5265600135.56539,5850953407.97682,9136358069.66647,9454979628.87373,7219065706.35203,6471510941.64622,5637888911.71862,5531204040.39324,6322695271.31459,7191248743.06317,7963659905.36054,8109008835.24651,7825481802.45872,7505978683.05676,7693411416.7859,8406869564.72801,4348255953.87704
"Ships &
Submarines","Any Commercial
Classification",276867251.00006,428046372.812317,622075741.561838,775336404.20483,699040562.921525,527605618.429241,663039273.939395,1108071282.90139,999081564.421185,784614252.425287,905102172.58234,821044447.554374,814406898.418558,702173304.43486,1381452674.05972,2030441056.31648,2005695249.7496,2481647074.42112,4576461734.18224,5257328907.54949,5216494018.31885,4828472453.16565,5558448253.41788,7290453519.4173,7306787617.27452,3329176498.83427
"Space Systems","Any Commercial
Classification",292212931.107265,929719926.741586,835716497.185545,1103868497.23466,3456575204.82276,467682777.827865,139188602.994318,252277098.002168,535026629.543027,424233379.686708,266476074.04017,192477134.407896,81515674.0615298,22328518.3198371,15810992.6072873,38871908.3097996,10631374.2112058,234571733.461639,47774577.0839353,618446625.897436,1132465490.98392,733516067.401988,1285287382.34263,1075382776.9171,1636144164.01943,690771601.172385
"Unlabeled","Any Commercial
Classification",404916.694975245,2901183.38436408,3800001.81989984,1236080.75770033,5432173.52743764,495030.364623376,6399534.73450859,10815.6540144193,-19376.3835807841,0,-66753.1261561421,-27558.5033352238,-4778.73775145537,-65104.7222541986,,,-2874.37983344414,,,,,,1025793.49892137,2461452.5331,1441753.83926951,3430387.0273001
"Aircraft","Unlabeled",,,33612.0730843335,,,,,,,,-96564.5837734715,,,,,,,,,,13484.7709347596,,,,,
"Electronics,
Comms & Sensors","Unlabeled",,,54590051.7726762,10808.4193164589,,,,,,-91593.6064124767,-136117.305926916,0,-11505.8248916754,0,-705476.397611901,44892.2559955645,39883.1513288335,,,687331.671775102,4464159.61722737,662672.905497653,,,,
"Facilities &
Construction","Unlabeled",0,1086465.67546549,92530.1588850451,17634180.7225341,118491.632565047,922871.524423619,20841.3103384547,5663.18719690197,671547.084720821,2136267.56057988,-10817244.6976766,563287.011397845,428125.990913612,204403.852824751,0,1758533.53820573,946568.814010705,3597026.87626299,49774143.9890812,2191914.56369121,13594390.4829279,40873059.4707764,15881352.9816737,16694317.0812,13001303.3390432,24457871.7949837
"Other
Products","Unlabeled",,,,36745.5751151101,,,,,,,-7383.68326000556,,,,,,,,,,,,,,,
"Other Knowledge
Based","Unlabeled",,,,0,,,,,,,,0,,,,1730617.57062317,4807886.7080966,2719077.90294633,17142947.7839521,48522194.0771526,35788571.2992016,20992573.4085567,12588781.3267405,10615317.9705,3378600.86582061,0
"Other
Services","Unlabeled",,0,,,,,,,,,,,,,,,,,,239277.253651481,1455584.0470688,,,-96821.0594,,
"Unlabeled","Unlabeled",,101831.197723855,3215.99668884882,4716.95349747396,,,,,,416390.366761724,-367.516726002673,-6626.91449374661,,,,37536.9003683804,2157.67476297287,39062.4000075039,24128.2425049737,0,11573.9072704938,11188.817598517,,10000,9739.88670259903,0
