"PlatformPortfolio","Shiny.VendorSize","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Air & Missile
Defense","Unlabeled",61219077.0598788,179853620.717012,45176560.1895084,81241740.276593,107116775.261775,53476772.9528808,88943618.0727983,1196588.58065671,8797108.51091586,7870120.44439068,,52195.1426086837,,,,26995.9900478118,1634934.33911293,,,109836.913670046,67378.0664338234,,,1114810.74305438,0,0,,,,115982.164779203,89171.4231914797
"Air & Missile
Defense","To Be Labeled",154771605.644373,135988336.330315,,,,,17665953.2070849,629296687.423229,614667461.417771,708080475.559595,2832343.42173487,1126453.161526,2057118.66346814,10583962.093325,1351285.64783341,7691051.37108147,8594638.68443833,12998804.6043943,2071056.04125928,2640743.72496392,2466914.29027142,7844177.94633899,9041393.51578655,4174846.60851534,58539225.9448508,1027898.34275661,2770537.24039789,3368062.96419917,7125260.55293358,11884008.4006203,8104913.81645041
"Air & Missile
Defense","Big Five",4201315577.05569,6650826095.59542,4861730997.32939,5558550810.77141,4589240652.95591,3479549206.28844,4218536485.26023,5863200295.59271,6788203137.81647,5492181093.00898,4367397723.62701,4821810279.87957,7279014923.99315,7230264583.42503,7803985267.90458,8477801899.15851,9675818998.01173,10862754981.1609,11567264102.8771,14298304705.7408,14703019880.9831,14193431706.3605,14616239090.4327,13768217452.9309,9678027254.99278,11310076308.8126,11448859446.1198,8456503592.16927,14990023706.4601,15112632673.2154,20951786636.5137
"Air & Missile
Defense","Large",3447981110.49689,4091230077.84352,3111713702.78064,4459683357.88169,2799054919.26881,3125730443.79634,2596717205.04317,2867152853.23408,1407172769.2693,1234904140.43523,956977100.147144,844930048.98229,878699471.818914,854015428.75058,1464860196.23903,1035397076.66217,884854428.680977,1208717838.72494,886901368.641877,772444703.503592,645773920.312527,516620321.143699,506679685.631166,535062904.608935,575624169.21931,845407311.613877,842123651.037063,851780084.937209,1161082880.45288,885249328.676615,906015351.233271
"Air & Missile
Defense","Medium",1072788884.89072,1788941892.56729,1595001088.55815,1307942570.30025,1423038823.43491,814151142.794734,897581347.131075,835482834.040381,932639461.461213,847943587.809634,373352271.661925,452154964.721655,446061109.748098,542723922.047103,569095539.162729,664903072.845116,560072173.083709,768992501.037298,1049912868.32577,850356921.479451,705325889.382276,586060756.45466,723008459.555721,636987772.003526,773666851.319834,550583999.141976,610540136.727735,591323568.105686,696256997.027558,728637316.424047,730640729.910105
"Air & Missile
Defense","Small",354939931.528865,698836456.23725,985486880.286154,983309361.098697,811479989.236082,786647307.006742,757107591.993075,751114523.817007,785524210.373673,598174886.913892,541625845.605208,461785324.221662,512855104.118697,599318473.946787,764071712.576662,691863112.849829,707869719.102833,736366513.002548,859641174.840543,892201626.487671,836699264.212186,819068286.550646,759037074.912604,629845286.730748,662866907.17103,650883478.536824,719575136.775686,879772038.19499,766651508.125052,945163745.159567,988802123.005977
"Ordnance &
Missiles","Unlabeled",1231556411.2378,405960129.553712,304834180.061323,326746072.82413,144310295.315999,127434186.753853,262671839.083022,6478877.12699257,6070967.11632435,96054.8287161058,,86020.2028558176,1864737.29682762,46146.8677458755,459721.160917614,550026.962644976,456190.617622119,844466.07391823,2270354.97692455,127470703.791763,75701945.6520594,170108746.140967,35237919.9851018,15005778.9518724,-2623197.70316749,3300860.2546669,59077.6471729185,1390543.82767284,50876.5953935181,381759.227745994,735034.163604855
"Ordnance &
Missiles","To Be Labeled",377794446.935184,,293887518.717319,217447537.619398,616413449.871927,496975572.554405,333493879.195711,1044326032.38099,1351447468.48112,1225827361.55956,107836422.763751,291993557.225175,222135037.137075,443475651.430899,506107423.513007,526528211.634215,590788387.239849,981414023.557058,726397320.035192,807556297.840283,929428834.591218,591547465.827999,897545132.337189,701496129.154895,731494569.451961,748394461.518437,609935099.489197,1006719892.4232,880297531.426708,1089416598.80389,1165401029.40565
"Ordnance &
Missiles","Big Five",7391754220.72951,7251578897.47135,7076488545.75656,5449231803.66819,4774452346.9065,4798315692.29388,4583729777.05359,7753204184.89174,8256497733.89624,10883610293.1847,7429005896.76274,7516904479.47822,10629290590.1786,13465281422.285,13234209579.9402,11681744353.6671,11625719474.7344,12825968606.3295,12603808309.6891,11796443255.1702,10811927920.5303,9774505468.02304,10279717573.6308,8896302542.26769,8834329943.6351,9098589308.20526,12397112992.0663,13340452372.0208,15165393064.4889,18890595423.3423,18431008109.2742
"Ordnance &
Missiles","Large",8140720475.83688,8823150583.28752,7614810115.67323,5939856691.57122,4660169568.99626,4133262861.43941,4252546684.03147,2418817167.03184,2879624767.93908,2807785077.14313,3786631912.06055,3401834171.91829,3949212510.29176,2758293421.62043,2903342126.16013,3847029482.19862,3168571429.3431,3970959966.74508,4854939764.42024,3896669616.59551,3733611801.37233,4012434176.06709,3478891528.47424,3067255309.0374,2757531212.23898,2631361520.31321,2935445578.11306,4091871722.36023,3954300572.2531,2432823140.51315,2709409656.53849
"Ordnance &
Missiles","Medium",3751164354.82867,9252392846.5726,7556518828.85722,5738159996.61409,4068442728.476,3966346067.10406,4011629795.81528,4000054853.21619,4229434863.52179,4019169398.78879,1255711838.96575,1736197159.11825,2570749153.60922,2319901765.88437,2136975443.84424,2635155376.90262,2164838854.74002,2938696007.45982,3498376226.55738,2929538014.26214,2497216973.21783,2794467647.29549,2462957644.24588,1443477846.52852,1452652191.52343,1571633660.40761,1648936794.53951,1984334361.02191,2674864795.38293,2898270720.32426,2742547638.97338
"Ordnance &
Missiles","Small",616823722.138169,1408380298.59931,1344710850.8662,1224596482.55857,746723502.791517,824497292.181129,987127100.812972,906286074.607463,1152341759.97347,1229000556.87809,815939757.35722,963736044.90574,1117239561.45721,1279993454.15187,1703565391.35529,2474495995.30357,2308863048.70225,2863864132.05452,2739783762.05734,2639251644.37427,2118211566.74788,1676163157.75851,1695680920.55965,1081815423.09782,1131652728.88048,1035076374.04343,1623762606.90028,1344923034.38171,1619178774.60968,1538020544.34454,1402149133.78679
"Electronics,
Comms & Sensors","Unlabeled",3672086904.21003,1244941065.15115,1103298926.36026,1063615557.50457,1137374252.95088,1589189083.86361,1666107260.92878,1317134732.2865,1631729176.29699,17569739.485081,1306029.63613139,2976413.58766963,5860984.04670175,415029455.392678,557068901.313384,85733769.3494393,159848412.350976,81618453.0907048,33171254.582476,318158374.282423,266170587.283602,392245162.058453,180783633.257668,141643219.488879,27922883.0831656,141290627.754434,192578119.230667,93629919.7412821,79488620.682252,176655024.9609,62096153.654855
"Electronics,
Comms & Sensors","To Be Labeled",545205323.49793,658241457.702949,142050049.81434,33487876.3389975,175394825.663381,151228531.944279,26834631.262571,1294069450.0896,400162165.460506,1355225609.90088,276383914.490626,514894158.895845,424459055.375606,554553781.243187,591293988.474258,579853808.725193,422761375.611063,324727358.793637,242449775.270531,263911144.860974,819457550.885063,460338808.233818,958035200.081098,633692915.479035,580506901.041235,577113291.366353,759181422.332406,935276131.364322,1353997936.81244,1278368371.25871,1376874900.36671
"Electronics,
Comms & Sensors","Big Five",6209745571.57983,3732554328.90792,4360042065.56357,5757635738.79917,5318034796.16808,6240040210.28123,6218009872.63057,9977425527.51449,10532155669.6443,12556393435.4334,11234326300.1743,11633701410.5802,13900860838.6081,15196607473.0602,16961332298.3702,18233281234.154,17505295202.5747,21153885992.7773,21085881122.3181,19335952722.1245,20737931824.7315,18771633826.046,17235728033.5999,14076516890.5892,13223203046.1356,12412570482.1229,12873579258.4782,13853270255.1344,13454002010.0459,14692771515.732,12580580625.8239
"Electronics,
Comms & Sensors","Large",15796511393.9646,16303682089.6863,16469670350.6468,13252972810.416,12048274303.6927,11720409436.2058,11198924940.7183,12318378164.8558,11826039695.1313,11868757623.2483,10897712001.835,11726913898.4966,13086751164.408,17183564871.0035,21270749245.378,23945578102.8241,25089462014.3462,27287272605.3023,30028426229.9239,28180164446.534,26940440449.2904,24671632762.2435,21765685963.8211,17792660934.1927,15908039829.844,14380251823.9657,16239090596.9252,17196639532.71,19441722853.8048,19898484612.5204,20652716936.2219
"Electronics,
Comms & Sensors","Medium",10955110302.5305,12565127384.2684,11073822752.03,10191035417.5169,9281904428.88029,8937335029.81448,8227561585.14752,8296256557.82109,8487775429.62424,11190122471.4082,6410122589.62307,7084368690.15443,7446148082.76832,8187337549.01262,9327466564.03784,10134343371.0042,11077614731.3269,12524001859.2119,13915177250.675,14628822256.3362,14103316270.1902,12624766512.7062,11956350605.278,9813062783.61907,9658442894.02395,9579362025.40148,10190928179.6772,10130374591.8379,12269699687.93,12713000299.7213,12942450357.6554
"Electronics,
Comms & Sensors","Small",4304333624.81355,4922882977.41179,4993715650.93679,5133260954.24306,5272175898.81289,5902158246.3056,5675454381.76245,5489095168.83478,5565961435.50866,7737130530.26954,6068588262.89654,5782653820.01216,6833710355.19115,8374994920.2714,9381817251.64003,10456761530.9046,11502559530.9856,12890763524.3276,13684569373.9239,13251293970.4229,13493278299.6269,12973196078.5263,12875943799.8543,10986108366.531,12283745014.3532,12403124034.5266,13528228470.95,13809621002.4719,14260348669.625,15651244648.0999,16449083508.8771
"Facilities &
Construction","Unlabeled",2514960036.3048,1972182505.48513,1206972782.5629,1028281232.03445,822434528.315242,884583863.78011,1093786015.73027,1068779680.95152,712865456.813973,90893444.4878189,2447820.400139,2175490.43842449,46525248.5393033,122118035.490501,405756359.928876,1586456976.90612,1613771022.93423,1504373069.84139,2429254903.17172,4086353077.00569,3379846223.72896,2652542919.66564,2078451497.64169,783220553.048053,394496152.373574,706076902.804225,614963224.557601,437447110.899058,409015253.385937,655698313.680394,177873343.825721
"Facilities &
Construction","To Be Labeled",57224275.4838364,43310587.7631161,646534618.356522,47076800.8648944,47000582.5047026,45882048.8992756,41741566.1366147,150367268.59104,124742200.312933,485832653.284619,412273723.749282,436578363.293582,419282384.04953,825503923.835423,778970909.209801,1099281646.91863,1436119551.45145,1175842911.73163,2238384563.17011,1569245222.18178,2736049903.35351,3906672941.47566,2803282642.32581,2133137960.60889,1541275220.51312,1892752858.0671,1675288231.09723,1548558671.17843,1821570953.05767,1460615781.90268,2116920078.60808
"Facilities &
Construction","Big Five",96644610.0806432,162445156.712699,224945951.685988,244666037.332653,393513439.754256,649426172.588378,633063198.403372,1256018127.08715,1360940414.21548,1236481566.97008,852144972.785947,822262031.322272,845745062.21194,987937665.404037,1014770645.33631,870237927.648145,896311320.23833,818708502.040435,847327788.438379,1212844556.25568,1099747649.31096,1121549253.62095,924254570.471115,952988616.485666,574253494.63623,324868135.536878,353985930.171824,737021003.77143,307467384.896994,213990146.37722,224049025.189049
"Facilities &
Construction","Large",2547769670.4481,3657291088.93673,3865479000.24491,3159964272.11156,4668379505.79082,3992970856.61016,5022630458.46309,4839643456.02987,4713959632.11118,5714534841.42772,5038114044.94432,5709884666.94406,6196413178.51835,12514945061.0545,12672681890.6985,11391698315.3915,12199800381.4102,12119596599.5756,17150663499.7834,19742511974.5296,17474590244.8486,13419434711.1344,13217416116.8233,11096936415.6877,9539990100.29999,8288948005.96565,7479319051.82377,6677117777.90798,8781271284.6363,12058109012.8541,12264088335.3477
"Facilities &
Construction","Medium",10151499268.1446,17304881169.338,16607649954.2966,16238077264.828,18767124490.503,18258338986.6865,17109216129.2319,19497497525.4173,19172002285.4228,22276870762.2892,17342636056.5638,18298946970.5886,20451223804.3609,22061443373.291,23511798497.5336,24497977704.4744,29188093731.345,27655796417.365,32455471104.1928,35975263555.453,30888418167.9705,27283713700.9799,21039507370.9608,17745726996.5286,19287450502.6419,17449450331.1754,17535331195.3567,18414302032.9234,21308760966.4877,24410592389.5642,30669993984.2744
"Facilities &
Construction","Small",10010024280.0167,13895963171.6587,12582990302.5418,12154322997.3151,13327889211.2723,13113494252.4211,12797361418.8151,12061101059.262,12583904363.7111,14202230233.4862,11320671919.0767,12590862528.9073,14157327653.5596,18104624228.6423,16875074221.1274,19974917686.2223,20929894301.7478,22131289973.1447,24339950717.12,28529222105.2771,27774175761.9576,24448693029.0579,24167329263.4359,18159313605.2685,22008255543.3617,19003684860.9289,20187908754.845,19158333744.6501,23448481861.3202,22262965693.7701,24222003276.4573
"Other
Products","Unlabeled",12316252850.2631,4747417093.25303,6120496214.58904,5652964077.26211,2576256132.43411,4560877043.25402,5411561595.6035,8769039575.35262,7305953379.7921,4160182992.90076,1478032361.99265,1983089344.34114,2471705009.332,577569113.496315,1953928423.31974,9185137709.83768,8549439363.86691,8119667424.50796,10754000320.8225,2746686752.35607,1344639636.65644,1127447874.66696,793376443.721556,680506797.811579,249449427.600483,212995254.740708,296393781.218574,457329825.153878,538436526.338416,579687528.146905,422226200.058052
"Other
Products","To Be Labeled",,,,,,,,30821603.6667865,67032862.4202489,7295265.64796846,161984632.114955,106581874.221777,320878568.719845,573325152.946821,476496094.734455,629264690.543372,1122442337.52179,712821916.625912,1062826263.82444,854984735.130033,944177613.964653,1557584011.26245,1710983743.58488,1689700752.00166,1108431760.1195,415375279.035741,411204642.245389,545683554.890607,627562278.404855,740169232.525461,811290037.563255
"Other
Products","Big Five",60902629.9234836,27151738.7530587,30004694.9610381,35547383.5890619,79353009.0303448,82148797.8468136,68712436.6860348,313901325.096326,198988772.536164,234362932.544739,238089510.657717,274748101.160691,314975096.104027,377313053.626236,373672156.711958,498297202.355669,588778212.266739,665341356.933178,668733230.387356,725808715.951767,539252778.880876,669549640.555891,664638808.963875,537652132.565667,501259702.088898,377287567.245324,495199487.661013,481326867.00813,512486428.98371,471619496.850042,392804804.825313
"Other
Products","Large",4936902116.31117,6116842750.12891,3478213043.41367,3877148363.71237,3638657560.16394,2894758434.77023,3120875439.91885,4665137433.37771,4004499306.30934,3415957211.08935,5272429185.24875,6677069563.32195,8357884055.2961,9876501999.00953,11817413347.9592,17645223306.1695,20777953139.5012,21268923319.5642,23523318597.7737,26238725216.6415,20702062551.6579,18027349445.3897,25157958983.2571,15639721696.9099,16961805240.6538,14592182855.3536,12925785235.4391,14295950381.5576,15544175352.9566,13250843999.5795,15781205035.7696
"Other
Products","Medium",3133736694.36484,10108371751.1034,5418856840.98339,6010553557.75566,5757203898.74256,4609307467.57589,4649196029.04034,4408421410.33915,3901972794.88489,4629125627.05761,4144250623.29041,4011202518.34825,5434969023.09729,6784130767.3999,7152668740.5235,10229359576.6913,10676944176.7411,9493498360.27625,9449364632.65004,10066008402.9155,8763499120.16577,11043489717.0819,10502523721.2756,9937248206.3456,5946999350.14476,4900138943.93016,4512748285.4556,4830518226.83725,5604648633.89626,5264788914.67579,5076315946.04588
"Other
Products","Small",2125693307.23697,6370435588.9328,3800700162.42791,4508237211.45675,4023443274.33549,3488868054.1739,4087236951.28009,3666162335.84244,3537472575.53504,3843099148.99173,3225113528.65563,3730275259.06842,4740443815.75394,6455340295.92121,6575081776.1406,9560009385.45207,8648680504.5899,8289871609.2812,8773660829.4698,8271099448.28204,7778132170.09054,7589895518.6467,7505060842.42431,5833766511.26627,6002429282.02152,5859673343.0641,5445039141.12995,5746651611.42916,7465482023.94637,6911438510.12947,7142252217.22858
"Other
Services","Unlabeled",140401182.744544,47689278.401197,58551740.4799436,74698127.7711239,75636162.8781818,67225370.0394175,91211669.0039545,68707177.8101193,43102048.3326905,10276986.2858671,1884207.02067994,1963293.31958507,4419391.38412423,757858.252281208,7701435.27559637,24773758.6505378,130590685.175666,198274994.603549,148714357.209437,273560157.823014,470542930.614798,604068538.850041,589157452.544996,335903391.68708,263384768.841789,165993264.407752,308152844.398578,202489398.26664,89857438.6718505,28463371.3834782,-16978438.5779894
