"PlatformPortfolio","AnyCommercialText","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Missile Defense","Non-Development
or Commercial Similar",,,,,,,,,,,,,298439,580920,5188844,,53752,0,,51472841.6133,2307536.8828,-2911.5,,,,24065.5,21247.73,,,,-1007.98,,,,,
"Missile Defense","Any Commercial
Classification",,,,,,,,0,732143,942670,10563449,8150759,45937849,94521912.75,146324437.5859,96733485,97356355.6702,161829025.2534,130960680.9561,155379006.1561,134567037.2475,102813634.7642,72716878.6795,38596777.8019,34528051.743,26279984.5406,28485342.8229,38464493.9726,51294485.1075,77105683.0001,83040619.9232,82415334.2943,80636235.8109,76027799.4785,95557669.21,45956545.22
"Missile Defense",,4418278000,6715280054,5438989317,6509522213,5223252139,4527970932,4779883768,5046910249,4789326120,4349473537,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ordnance and Missiles","Not Classified
as Commercial",451512000,267233000,476914000,270841000,458832000,363066000,307550000,2158527195,2835360248,3254595246.01,7882098771.275,8408011877.3995,11317983839.2534,12154925129.4698,12803523121.1002,13601294050.3143,13310457433.9622,15921497473.3096,16688270596.3764,15489339835.458,14215085045.6738,13691720417.8648,13963911253.6089,11545629740.2511,11580258153.8823,11814941671.6598,15144482925.91,17618492686.3006,20090011784.2963,22523453221.4998,22475444504.1531,20230135145.9038,18762760710.3464,31868271187.9309,34642801308.75,15320656868.78
"Ordnance and Missiles","Non-Development
or Commercial Similar",,,,,,,,,,,,,2533851,289474819,34190068,12060410,,,,-1441917.69,3822888.7113,121414,291762.6814,924310.04,629304.9,0,-882,0,0,0,,-101311.2109,,,,
"Ordnance and Missiles","Any Commercial
Classification",,,,,,,,12361856,11710332,17916579,85625377,66982672,121865649.4,338066705.5801,397521589,477908455.891,340633003.281,734669015.4974,922075283.4319,679293085.9519,596327281.1423,561282226.833,418461524.6828,265714551.6324,209318291.6387,243877279.8265,335389304.5001,215284590.5517,253573309.4025,375721810.4773,378765387.0702,304972240.4975,320841162.7105,751788129.5445,843562190.22,302000126.91
"Ordnance and Missiles",,9948334000,13324621004,11940745763,9656274218,7599158037,7502011208,7752736338,6997644666,7441508406,8477887249,,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Products","Not Classified
as Commercial",20594000,39876000,4091000,984000,3682000,7097000,56749000,2722863912,2324209215,1666882465,3053723318,3573348483,4199697893.2709,4402022157.1202,5260762978.3077,24944696749.577,22586687887.914,11470699642.1926,6687491693.7699,7903153526.7565,7802877110.6295,7672060454.2327,6971001901.3036,5928839686.4384,6361142927.745,7076057394.6763,9042524301.8711,9198720812.5734,10315117191.0426,10252929851.1755,9608215131.5324,9371102321.8878,9501815090.9466,12433545979.5406,14462050414.3,8150664538.08
"Other Products","Non-Development
or Commercial Similar",,,,,,,,,,,,,571165,3486927,3989758,239073,2e+05,39644.5,16903.92,908183.1465,55575.9016,,,,,47692.85,,,,,0,,,,,
"Other Products","Any Commercial
Classification",,,0,,0,,,9800066,60564010,151574248,5583041882.09,6651516195,9191639101.9702,11137643367.736,13051837569.6208,6843565924.4791,12033110391.705,22820992417.8485,32412596767.79,27714792926.2963,21636212455.3914,22315660724.8374,28382477994.0229,20731539350.0328,17978886457.2188,13989288952.4986,10361536328.5087,12393366073.4865,15051714316.0606,12960988376.0603,15989099197.241,44004140815.5103,49045523738.8315,20406633568.5737,17859688343.7118,8021370923.69
"Other Products",,10893531000,13666534115,9670953302,10550468583,8625703645,8564693193,9626845429,9689825022,8560246161,7673714576,,,,23175.57,,,,,,,-5424.5,,,,,,,,,,,,,,,
"Other R&D and Knowledge Based","Not Classified
as Commercial",9703000,13674000,31633000,21591000,20115000,22430045,48559532,1162740677.06,1645926045,2743329561.98,11788945909.2746,11435168841.1304,13416588429.6544,15576013359.7527,16885819728.2687,21937806300.1143,24315787900.4366,25132683078.083,27817518810.5864,31599912583.3,32745178332.4193,32851176442.3053,33606835826.9949,27991462376.6298,27268297840.7726,26621680564.7459,26628807171.4195,28207247417.0107,31378959759.9174,35083273322.236,36086197586.1755,43760837000.1153,46419668795.3913,56716415090.0386,64296939253.1691,34042328469.09
"Other R&D and Knowledge Based","Non-Development
or Commercial Similar",,,,,,,,,,,0,0,22326648,78210852,51487153,17939624.24,338998,294729.7202,12479863.1304,70247433.9198,116475074.782,111755555.289,121553044.0939,134427858.4864,79446977.6576,23960229.3215,6522087.6978,-26008504.4372,-3054248.3641,-163897.5497,19740876.4339,36402288.5302,41430166.4902,21443952.53,4784488.41,1021390.69
"Other R&D and Knowledge Based","Any Commercial
Classification",,,,,,,,2563349,15394974,103241358,634989035.7891,989300091.786,2398864548.377,2771113010.5751,3601391429.4485,3469662665.8818,4405052773.3947,5163175389.8546,5963437475.7288,6849454925.7405,7099881575.4611,6767673564.6487,6232960875.9164,5805469183.7692,5965468370.7626,6395547085.2203,6624323634.1123,6809940535.672,7298810823.7417,7237453285.2987,7950336450.2117,8346526153.043,8539999264.0862,10669635315.2393,11864882173.97,5465989553.86
"Other R&D and Knowledge Based",,7773865381,7927436229,8786567450,8567595442,8463162454,8878189431,9287693638,9695769466,10804672536,11285682035,,,,0,,,,,,,,0,,,,1383133.04,3873249.6,2227474.32,14355305.3418,41383186.887,30921771.2418,18762101.7357,12038080.1528,10615317.9705,3468829.74,0
"Other Services","Not Classified
as Commercial",738000,687000,1177000,608000,1381000,5248000,11186000,137724685,180456976,459464845,5203449946.1198,5980302531.0896,9261942968.7741,13912136208.0919,16844619528.7166,20128689095.9839,22094380363.3781,21399225289.6697,24171965275.1223,26885959668.621,28567774427.1438,29484024427.0142,26129982740.2276,24834356314.3345,20443337435.9843,18503332786.7148,19371039542.6065,21128328040.4386,22257862440.3082,22776016005.3333,22364427896.1337,21670985029.4064,23197182898.8241,24091750097.9949,23774860752.29,13453789310.04
"Other Services","Non-Development
or Commercial Similar",,,,,,,,,,,,,,2097408,222660699.25,391255207,5400,8446.4399,407784.02,2484815.2266,157919080.4527,461677886.9208,519974196.4445,277710886.05,116799563.885,20786987.8885,31640084.7595,38282882.9349,87989558.5225,59136118.3204,-3661156.3512,-988681.3972,-1602377.2425,-4557648.8226,387519.81,-120298.23
"Other Services","Any Commercial
Classification",,,,,,0,,5737614,10877422,37539047,1303446325,1440116068.2598,1283172973.21,2191114131.6968,3055041946.6388,1693092678.4973,2144444905.0403,3098651022.6083,3295655218.6274,3835213470.3154,4298464010.9747,6846842268.1924,7214195152.7472,5608126494.3678,5119104583.5454,4505877301.8465,4455956460.2247,5179565224.9529,6021868163.8957,6791977000.1337,7006284607.031,6994020354.3008,7177626703.2228,7693411416.7859,8631383322.4412,4562338187.53
"Other Services",,4385190184,5641814985,4211344274,3075823560,4014703413,5272937433,5083168952,5793220616,6068760797,7339018466,,0,,,,,,,,,,,,,,,,,,204072.7031,1257642.7416,,,-96821.0594,,
"Ships & Submarines","Not Classified
as Commercial",11054000,6353000,10972000,43923000,19683000,15146000,16524076,2329302008,2208127827,2319218729,9191134853,12143544059,12308002492.9298,12141372489.0506,14385005001.2183,13687189118.8042,16363323217.3246,16470809927.1728,18633207265.5893,20927953186.1097,16899189183.6361,27773086280.9497,23200833668.3074,22602953572.9824,22734246262.6107,19861287654.573,23052023312.2966,25227068524.0153,27568357777.6352,28915260678.3185,35824040096.6723,27911235055.1596,29422865729.2115,33191344027.9808,32148601628.0409,29347435569.61
"Ships & Submarines","Non-Development
or Commercial Similar",,,,,,,,,,,,,2592665,42259031,6163325,1987471.75,112486,17773,165941.0195,2933102.5588,-3699309,261787,562583.02,73916.1719,131086.04,62033.57,,,,,,,,,,
"Ships & Submarines","Any Commercial
Classification",,,,,,,,23223924,16055865,37238178,164686910,260783229,384956185,489007535,451653389,351261641.571,455768210.8506,782648529.4412,720317592.5313,571475818.9818,664942761.2594,615295699.3054,621396399.5219,545482874.4354,1092758828.5791,1622756037.1715,1615794796.2318,2032970487.3797,3832275896.0247,4483824955.6813,4507115787.611,4315444782.8389,5315291755.6604,7290453519.4173,7501922599.7,3493085327.72
"Ships & Submarines",,10680657493,9512770712,8600082026,9502770472,7389026646,9654356740,7969628348,8340521642,9369233233,8320132027,,,,,,,,,,,,,,,,,,,,,,,,,,
"Space Systems","Not Classified
as Commercial",146161000,154750000,55636000,65909000,227723000,180464000,98173000,2160810503,600528836,960846009,3008937255,3587892592,3976613054.64,4586917336.71,3946821711.1575,6208415071.15,7914807739.6197,8032221039.8363,9191764675.0724,10085392033.643,9000075534.662,10286888990.8687,10045098521.4502,7717801523.0634,7992089254.0594,5950656270.5075,6005287340.4286,5838958718.0841,5818463811.2724,6685466375.4475,6344560220.0308,2970767819.2533,3408926253.0124,4056013146.1005,4247092756.66,1437868448.05
"Space Systems","Non-Development
or Commercial Similar",,,,,,,,,,,0,,,6352871,98567340,2513681,,,0,-13348000,7628389,19123.1992,19697.2793,20288.64,27829.06,,,,,,,,,,,
"Space Systems","Any Commercial
Classification",,,,,,,,31143916,9139696,6939208,173814868,566423126,517162482,696213940,2233309465,311367079,95677199,178187362.8618,385743374.1717,308991478.7381,195769430.0703,144243534.4013,62196853.2742,17345894.9209,12506835.8002,31066956.4575,8564670.5946,192161655.9487,40005875.9006,527455379.6651,978464285.6704,655579609.6803,1229061981.9694,1075382776.9171,1679839010.43,724781081.96
"Space Systems",,5109318000,4536041000,3207056007,3775896266,3704627729,3449312820,2950138142,3180065599,3551481726,3510240138,,,,,,,,,,,,,,,,,,,,,,,,,,
"Unlabeled","Not Classified
as Commercial",,,,,,4773197,387836,33893609.95,13320,31249322.82,29262498.3899,7995675.5365,81720823.9053,74958424.4789,3568442.9713,3473061.96,105865985.7562,18039945.35,382013.1977,682889.1493,-204608.7769,-115206.3414,-2831.6001,-49146.5595,449040,,3582106.8109,-245,-233000.08,465885,0,376316,0,,1072795.64,172754.56
"Unlabeled","Any Commercial
Classification",,,,,,,,,,353833.18,240853.6187,1767518.7058,2351537.1294,779600.7012,3509752.8147,329574.16,4398992.052,7639.27,-13969.9805,0,-49040.8811,-20652.5099,-3646.2,-50576.5611,,,-2315.61,,,,,,980919.7602,2461452.5331,1480257.3,3599278.86
"Unlabeled",,0,,,,0,,,,,,,62039.7,1990.14,2975,,,,,,303279,-270,-4966.25,,,,30000,1738.23,32000,20204.71,0,10000,10000,,10000,10000,0
