"Shiny.VendorSize","Vehicle.sum","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Small","Unlbd. IDV",54000,50000,,,,148000,360000,37253323,48854291,88582609,112739514,42437521,70504391.5508,33286081,18874872,27050095,8222420.4999,4334555.4997,2318130.0565,105873.0017,480761.1982,6724.9673,71807.1081,35143.51,81033.42,6976.7998,72035.04,8777.54,861666.39,1122630.5,1483525.665,1930569.125,1307698.125,,,-1610
"Small",,13434401635,19369182588,17619229930,17645725767,18075942350,19041220687,19347390330,17934428738,17288342573,19013212804,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,0,0,0
"To Be Labeled","Definitive",1008721541.09,83663000,538789000,107734000,1032573000,1054283000,650273000,5063226298,3166740029,5652090271,1005678428,1588876832,1356702257.57,5380449817.04,2171534788.28,3359976924.85,3370447312.46,4697149469.18,6250117527.3,4136063547.44,3677252477.0273,4660502738.9422,2978482728.104,2330571993.7269,2137920935.5667,3013016142.5597,2656253158.455,2461404347.9552,2700032783.89,2442845062.22,3095367025.19,3150792002.25,2882785285.84,4435254823.84,6713251425.48,3941513262.28
"To Be Labeled","Multi-Awd.",,,,,,,,30509305,35336401,61858207,70070191,115645319,284118428,142559565,178104078.4004,328228484.78,445447094.764,317914759.0584,608978836.936,600545712.449,542288390.8366,726998370.3128,555478977.1532,553371795.1417,716704735.5216,751946323.1691,681841816.674,795405173.8632,808793854.5431,829566174.114,1000549575.7027,1148665001.0038,1454349168.252,1785358252.689,2398047072.26,2236860667.53
"To Be Labeled","Other IDV",98000,,,,,,648000,3011674,3707645,12547591,39801558,83201937.3506,150843177,184063254.2852,157987126.3367,136986887.2843,128980199.7895,99723066.3843,107480438.4381,163448396.0444,167277236.4422,196018998.8765,231614292.7481,161881608.2183,172612125.2179,149771909.1438,209019252.013,276363208.396,262748864.9451,553234499.3788,345433531.4964,350174392.8774,1007286840.3175,1377685435.102,1013775552.44,731077525.04
"To Be Labeled","Pur. Order",291777000,265845000,208513000,114237000,374694000,271899000,199075000,195602,1676719,1725379,9655906,7528653.85,12524257.72,18987064.4,63219586.08,91408692.41,82970402.19,87230347.23,86252676.86,94919459.56,423822596.3697,334210605.5464,270842942.0522,194570158.0046,141853812.6823,88287734.312,91859646.7348,115857227.7435,155058037.32,142543454.87,174649135.89,154562298.62,156088538.51,148742682.73,115274270.49,60427479.46
"To Be Labeled","Single-Awd.",21856000,21689000,331874000,24329000,24608000,24110000,33771000,273325339,521173948,797497783.19,523418564,309291383.1016,469234305,727325479,719268716.0381,1020105063.5752,1084931810.5657,861348556.5304,1357241888.7095,1175935945.1181,1408521964.1655,1604933099.7245,2260488185.4211,2047593407.6846,1423962997.6295,1045702568.8195,1101343323.5609,1901973801.1426,2034127711.1725,3024696847.3575,2961263520.6741,2691079697.7401,3259315031.4095,4336571484.6538,6970962443.65,4592212264.42
"To Be Labeled","Unlbd. IDV",,,,,,,,5453099,,,-329695,922032,5160291,6803223,-24583,,,,,,,,,,,,,,,,,,,,,
"To Be Labeled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
"Unlabeled","Definitive",4898000,94988000,1267000,2736000,216000,6629197,102121000,2399337765,1951352303,1061113326,870851522,1201653406,1553105564.76,399618115.26,1227785908.41,1391869920.56,3008707949.91,2452846291.81,4190937509.01,2698943055.34,1712215627.9902,1884998653.9191,1950867065.4577,1274010465.1237,583359143.4407,905973961.6344,623915702.109,747317942.9778,930067586.22,909070054.18,199871235.72,378903378.97,209440538.87,393151438.59,239650220.02,48179028.89
"Unlabeled","Multi-Awd.",,,,,,,,4950000,,,,0,,1320000,28560021,2134292,27509627.2473,5195953.7202,35752374.8642,160677042.7882,111376244.538,106227031.3017,-3013316.3853,11304480.78,38222817.5,27512260.1091,110469187.4434,181539291.1266,143096549.4326,276724942.1226,193063357.5068,146644687.6361,-5862612.7019,3636941.6094,4493733,1698225.57
"Unlabeled","Other IDV",,,,31000,,,0,,,,,347323,2280447,-891803,125925,1571852,7771359.5938,24676135.54,,66535.75,251451813.3876,546062534.8492,340210949.2759,405953008.5901,53305682.2703,24256490.9924,14604073.0523,26677160.5281,25599470.3879,28590979.6451,23853148.7611,23855102.9043,10249192.6206,8852403.8464,6254889.52,1152530.8
"Unlabeled","Pur. Order",501000,87000,798000,,,,14920000,,13320,26120,1714039.45,2921820.36,7836559.07,285395797.29,503213739.19,394128107.1,805468479.35,1407215397.45,1878254529.12,1292226404.44,901936955.6308,716818829.0021,502839716.0251,236722229.8295,165337057.1823,191893714.0236,89370794.6653,127758669.1871,136767005.51,224170626.22,128975800.47,71177025.14,66290790.47,52743285.14,41992924.77,25004653.48
"Unlabeled","Single-Awd.",43000,33000,173000,122000,29000,93000,24153000,0,,8550.4,162687,509258,5393153,22514290,138743369.9294,5513223425.063,3476508902.9198,3208703838.0506,3644131630.1435,2033655054.3897,1912947137.2405,1472586164.1881,1058030132.9125,444841217.9237,187403045.2434,48292841.8131,251314032.8225,259542024.3015,341549023.55,313940874.815,237898783.1434,145093214.9849,-47063823.4167,8537224.1745,2869679.16,1439018.77
"Unlabeled","Unlbd. IDV",,,,,,,,,,,27732615,9020621,9600283,10814170,11285331,22258,,0,,,,,,,,,,,,,,,,,,
"Unlabeled",,12657156369,5733027167,5986408785,5597104734,4027272167,5034572112,5788506977,4097788635,3857386043,1451694736,0,,,,,,,,,,,,,,,,,,,,,,0,,0,0
