fiscal_year,contractingcustomer,contractingsubcustomer,fundingagency,fundingsubagency,productserviceorRndArea,PlatformPortfolio,isforeignownedandlocated,isforeigngovernment,isinternationalorganization,fundedbyforeignentity,PlaceCountryText,PlaceIsInternational,OriginIsInternational,OriginCountryText,VendorIsInternational,VendorCountryText,SumOfnumberOfActions,SumOfobligatedAmount
2011,Defense,Army,Defense,Army,Aircraft,Aircraft,1,0,1,X,ISRAEL,1,0,UNITED STATES,1,ISRAEL,1,0.0000
2012,Defense,Air Force,Defense,Air Force,Aircraft,Aircraft,0,0,0,,ISRAEL,1,1,ISRAEL,0,UNITED STATES,2,281250.0000
2012,Defense,Other DoD,Defense,Air Force,PAMS,Other Services,1,0,1,,ISRAEL,1,1,ISRAEL,1,ISRAEL,4,112840.1328
2009,State and IAP,USAID,State and IAP,USAID,PAMS,Facilities and Construction,0,0,0,,ISRAEL,1,1,ISRAEL,0,UNITED STATES,1,37197.0195
2001,State and IAP,State,State and IAP,State,ERS,Other Services,0,0,0,,ISRAEL,1,1,ISRAEL,1,ISRAEL,3,376000.0000
2012,NASA,NASA,NASA,NASA,Electronics & Communications,"Electronics, Comms, & Sensors",0,0,0,,UNITED STATES,0,1,ISRAEL,0,UNITED STATES,2,-130.4900
2011,Defense,DLA,Defense,DLA,Ground Vehicles,Land Vehicles,0,0,0,,ISRAEL,1,1,ISRAEL,0,UNITED STATES,1,4770.0000
2005,Defense,Navy,Defense,Navy,Other,"Electronics, Comms, & Sensors",0,0,0,,ISRAEL,1,1,ISRAEL,1,,2,55050.0000
2004,Defense,Air Force,Defense,Air Force,Electronics & Communications,"Electronics, Comms, & Sensors",0,0,0,,ISRAEL,1,1,ISRAEL,1,,1,118098.0000
2014,Defense,Navy,Defense,Navy,Other,Facilities and Construction,0,0,0,,ISRAEL,1,1,ISRAEL,0,UNITED STATES,2,1808.1900
2014,Defense,Navy,Defense,Navy,Launchers & Munitions,"Electronics, Comms, & Sensors",0,0,0,,UNITED STATES,0,1,ISRAEL,0,UNITED STATES,1,139985.0000
2012,Defense,DLA,Defense,Navy,Aircraft,Aircraft,1,0,0,,UNITED STATES,0,1,ISRAEL,0,UNITED STATES,4,23554.0000
2011,VA,VA,VA,VA,Clothing & Subsistence,Other Products,1,0,0,,UNITED STATES,0,1,ISRAEL,0,UNITED STATES,1,9100.0000
2003,DHS,COAST GUARD,DHS,COAST GUARD,Aircraft,"Electronics, Comms, & Sensors",0,0,0,,UNITED STATES,0,1,ISRAEL,0,UNITED STATES,1,57000.0000
2002,State and IAP,State,State and IAP,State,Ground Vehicles,Land Vehicles,0,0,0,,ISRAEL,1,1,JAPAN,1,ISRAEL,2,42000.0000
2003,Defense,Army,Defense,Army,Launchers & Munitions,Aircraft,0,0,0,,ISRAEL,1,1,ISRAEL,1,,1,800000.0000
2009,State and IAP,State,State and IAP,State,Electronics & Communications,"Electronics, Comms, & Sensors",1,0,0,,ISRAEL,1,1,,0,UNITED STATES,1,89249.4219
2017,HHS,HHS,HHS,HHS,Advanced Technology Development (6.3),Other R&D and Knowledge Based,0,0,0,X,ISRAEL,1,1,ISRAEL,1,ISRAEL,2,0.0000
2014,State and IAP,State,State and IAP,State,Ground Vehicles,Land Vehicles,0,0,0,,ISRAEL,1,1,JAPAN,0,UNITED STATES,2,23527.7100
2015,Defense,Air Force,Defense,Air Force,Aircraft,Aircraft,0,0,0,A,ISRAEL,1,1,ISRAEL,0,UNITED STATES,1,771750.0000
2015,Defense,DLA,Defense,DLA,Electronics & Communications,Ships & Submarines,1,0,0,X,ISRAEL,1,1,ISRAEL,1,ISRAEL,2,20680.0000
2014,Defense,Army,Defense,Army,ERS,Land Vehicles,0,0,0,X,ISRAEL,1,1,ISRAEL,0,UNITED STATES,1,72049.4200
2001,Defense,Air Force,Defense,Air Force,PAMS,Aircraft,0,0,0,,ISRAEL,1,1,,0,UNITED STATES,11,333548.0000
2016,State and IAP,State,State and IAP,State,ERS,"Electronics, Comms, & Sensors",0,0,0,X,ISRAEL,1,0,UNITED STATES,0,UNITED STATES,1,0.0000
2010,DHS,Other DHS,DHS,Other DHS,PAMS,Other R&D and Knowledge Based,0,0,0,,ISRAEL,1,0,UNITED STATES,0,UNITED STATES,1,5000.0000
2005,State and IAP,State,State and IAP,State,PAMS,Ordnance and Missiles,0,0,0,,ISRAEL,1,1,ISRAEL,1,ISRAEL,3,8063.0000
2005,Defense,Army,Defense,Army,Basic Research (6.1),Other R&D and Knowledge Based,0,0,0,,UNITED STATES,0,0,UNITED STATES,1,ISRAEL,1,96821.0000
2000,Defense,Navy,Defense,Navy,Electronics & Communications,Aircraft,0,0,0,,ISRAEL,1,1,ISRAEL,1,,8,18791019.0000
2008,Defense,Army,Defense,Army,PAMS,Facilities and Construction,0,0,0,,UNITED STATES,0,1,ISRAEL,0,UNITED STATES,2,195017.0527
2010,Defense,Army,Defense,Army,ERS,Other Services,0,0,0,,ISRAEL,1,1,ISRAEL,0,UNITED STATES,2,5494.7399
2014,Defense,Army,Defense,Army,Electronics & Communications,"Electronics, Comms, & Sensors",0,0,0,X,UNITED STATES,0,1,ISRAEL,0,UNITED STATES,1,269692.1100
2009,Other Agencies,BROADCASTING BOARD OF GOVERNORS,Other Agencies,BROADCASTING BOARD OF GOVERNORS,PAMS,Other R&D and Knowledge Based,0,0,0,,ISRAEL,1,1,ISRAEL,0,UNITED STATES,1,3000.0000
2017,State and IAP,USAID,State and IAP,USAID,Clothing & Subsistence,Other Products,0,0,0,X,,1,1,ISRAEL,0,UNITED STATES,2,4961.1400
2008,Defense,Navy,Defense,Navy,Engines & Power Plants,"Electronics, Comms, & Sensors",0,0,0,,UNITED STATES,0,1,ISRAEL,0,UNITED STATES,1,46605.1016
2004,Defense,Army,Defense,Army,Launchers & Munitions,Aircraft,0,0,0,,ISRAEL,1,1,ISRAEL,1,,1,277560.0000
2000,Defense,Navy,Defense,Navy,Aircraft,Aircraft,0,0,0,,ISRAEL,1,1,ISRAEL,1,,4,4581440.0000
2005,Other Agencies,Interior,Other Agencies,Interior,FRS&C,Facilities and Construction,0,0,0,,UNITED STATES,0,1,ISRAEL,0,UNITED STATES,2,6701.8799
2013,NASA,NASA,NASA,NASA,Other,Facilities and Construction,1,0,0,,ISRAEL,1,1,ISRAEL,1,ISRAEL,1,4000.0000
2013,State and IAP,USAID,State and IAP,USAID,Ground Vehicles,Land Vehicles,0,0,0,,ISRAEL,1,0,UNITED STATES,0,UNITED STATES,3,-368.1000
2009,State and IAP,State,State and IAP,State,ERS,Other Services,0,0,0,,ISRAEL,1,1,,0,UNITED STATES,5,45681.2398
2009,Defense,DLA,Defense,DLA,Aircraft,Aircraft,1,0,1,X,ISRAEL,1,1,ISRAEL,1,ISRAEL,2,90780.0000
2007,Defense,Army,Defense,Army,Electronics & Communications,"Electronics, Comms, & Sensors",0,0,0,,ISRAEL,1,1,ISRAEL,0,UNITED STATES,2,27609.0000
2012,Other Agencies,Commerce,Other Agencies,Commerce,Electronics & Communications,"Electronics, Comms, & Sensors",1,0,0,,ISRAEL,1,1,ISRAEL,1,ISRAEL,1,18140.0000
2008,Defense,Army,Defense,Army,Ground Vehicles,Land Vehicles,0,0,0,,ISRAEL,1,1,ISRAEL,1,,12,542295.9349
2010,Defense,Army,Defense,Army,FRS&C,Facilities and Construction,0,0,0,,UNITED STATES,0,1,ISRAEL,0,UNITED STATES,1,5334.7500
2015,HHS,HHS,HHS,HHS,PAMS,Other R&D and Knowledge Based,1,0,0,X,ISRAEL,1,1,ISRAEL,0,UNITED STATES,1,20007.0000
2016,State and IAP,State,State and IAP,State,Missiles & Space,Facilities and Construction,0,0,0,X,ISRAEL,1,1,ISRAEL,1,ISRAEL,1,18651.2793
2017,Defense,MDA,Defense,MDA,Basic Research (6.1),Missile Defense,1,0,1,X,ISRAEL,1,1,ISRAEL,1,ISRAEL,4,5059521.0000
2017,Defense,Other DoD,Defense,DLA,Missiles & Space,Aircraft,1,0,1,X,ISRAEL,1,1,ISRAEL,1,ISRAEL,1,0.0000
2007,Defense,Navy,Defense,Navy,Launchers & Munitions,Ordnance and Missiles,0,0,0,,ISRAEL,1,1,ISRAEL,1,ISRAEL,5,680960.0000
2008,Defense,DLA,Defense,DLA,Aircraft,Aircraft,0,0,0,,ISRAEL,1,1,ISRAEL,1,,2,35245.0000
2007,Defense,Army,Defense,Army,Launchers & Munitions,Ordnance and Missiles,0,0,0,,ISRAEL,1,1,ISRAEL,0,UNITED STATES,2,-2200.0000
2012,Defense,Air Force,Defense,Air Force,Electronics & Communications,Aircraft,1,0,1,,ISRAEL,1,1,ISRAEL,1,ISRAEL,1,24621.1602
2008,Defense,Navy,Defense,Navy,Aircraft,Aircraft,0,0,0,,ISRAEL,1,1,ISRAEL,1,,1,0.0000
2015,State and IAP,State,State and IAP,State,PAMS,Other R&D and Knowledge Based,0,0,0,B,ISRAEL,1,1,ISRAEL,0,UNITED STATES,12,178452.8800
2006,Defense,Navy,Defense,Navy,ERS,Other Services,0,0,0,,ISRAEL,1,1,GERMANY,1,,1,243418.0000
2008,State and IAP,State,State and IAP,State,Engines & Power Plants,"Electronics, Comms, & Sensors",0,0,0,,ISRAEL,1,1,ISRAEL,0,UNITED STATES,1,5214.0000
2010,State and IAP,USAID,State and IAP,USAID,ERS,Other Services,0,0,0,,ISRAEL,1,1,ISRAEL,0,UNITED STATES,1,193049.0000
2000,Defense,DLA,Defense,DLA,Aircraft,Aircraft,0,0,0,,ISRAEL,1,1,ISRAEL,0,UNITED STATES,1,40375.0000
2011,State and IAP,State,State and IAP,State,PAMS,Facilities and Construction,0,0,0,,ISRAEL,1,1,ISRAEL,0,UNITED STATES,4,35447.0303
2006,State and IAP,State,State and IAP,State,Clothing & Subsistence,Other Products,0,0,0,,ISRAEL,1,0,UNITED STATES,0,UNITED STATES,2,16082.0000
2009,State and IAP,State,State and IAP,State,PAMS,Other Services,0,0,0,,ISRAEL,1,1,,0,UNITED STATES,2,8787.5701
2008,State and IAP,State,State and IAP,State,ICT,"Electronics, Comms, & Sensors",0,0,0,,ISRAEL,1,1,,0,UNITED STATES,6,31105.0801
2000,Defense,Army,Defense,Army,Advanced Technology Development (6.3),Missile Defense,0,0,0,,ISRAEL,1,1,ISRAEL,1,,5,2393429.0000
2006,State and IAP,USAID,State and IAP,USAID,PAMS,Other R&D and Knowledge Based,0,0,0,X,ISRAEL,1,NULL,NULL,0,UNITED STATES,6,472115.0000
2006,Defense,Navy,Defense,Navy,Engines & Power Plants,Aircraft,0,0,0,,ISRAEL,1,1,ISRAEL,1,,2,187200.0000
2007,Defense,Navy,Defense,Navy,Aircraft,"Electronics, Comms, & Sensors",0,0,0,,ISRAEL,1,1,ISRAEL,1,ISRAEL,3,306748.0000
2005,Defense,DLA,Defense,DLA,FRS&C,Facilities and Construction,0,0,0,,ISRAEL,1,1,ISRAEL,1,,1,15983.0000
2009,Defense,DLA,Defense,Navy,Electronics & Communications,Aircraft,1,0,0,,ISRAEL,1,1,ISRAEL,1,ISRAEL,1,43524.0000
2013,Defense,Army,Defense,Army,Aircraft,Aircraft,1,0,1,,ISRAEL,1,1,ISRAEL,1,ISRAEL,5,686220.0000
2013,State and IAP,State,State and IAP,State,Other,Facilities and Construction,0,0,0,,ISRAEL,1,0,UNITED STATES,0,UNITED STATES,2,1490.0000
2016,Defense,Army,Defense,Army,Ground Vehicles,Land Vehicles,0,0,0,X,ISRAEL,1,1,ISRAEL,1,ISRAEL,1,74580.0000
2008,HHS,HHS,HHS,HHS,Operation of Government R&D Facilities,Facilities and Construction,0,0,1,,UNITED STATES,0,0,UNITED STATES,1,ISRAEL,1,50000.0000
2011,Defense,Army,Defense,Army,Clothing & Subsistence,Other Products,1,0,0,,UNITED STATES,0,1,ISRAEL,1,ISRAEL,2,0.0000
2011,Defense,Navy,Defense,Navy,ERS,Ships & Submarines,0,0,0,,ISRAEL,1,0,UNITED STATES,0,UNITED STATES,2,6721.9502
2008,Defense,Navy,Defense,Navy,Electronics & Communications,"Electronics, Comms, & Sensors",0,0,0,,ISRAEL,1,1,ISRAEL,0,UNITED STATES,1,7296.0000
2009,Defense,Air Force,Defense,Air Force,Engines & Power Plants,Aircraft,0,0,0,,ISRAEL,1,1,ISRAEL,1,ISRAEL,2,193200.0000
2001,Defense,Army,Defense,Army,Ground Vehicles,Land Vehicles,0,0,0,,ISRAEL,1,1,ISRAEL,1,,1,2732940.0000
2013,Defense,Air Force,Defense,Air Force,Aircraft,Aircraft,0,0,0,,UNITED STATES,0,1,ISRAEL,0,UNITED STATES,1,53347.0000
2015,Defense,Army,Defense,Army,Engines & Power Plants,Aircraft,0,0,0,X,ISRAEL,1,1,ISRAEL,1,ISRAEL,3,400.0000
2015,Defense,Navy,Defense,Navy,Aircraft,Aircraft,1,0,0,X,ISRAEL,1,0,UNITED STATES,1,ISRAEL,10,870255.0000
2015,Defense,Army,Defense,Army,Launchers & Munitions,Ordnance and Missiles,0,0,0,X,UNITED STATES,0,1,ISRAEL,0,UNITED STATES,1,4400.0000
2015,State and IAP,State,State and IAP,State,Engines & Power Plants,"Electronics, Comms, & Sensors",0,0,0,X,ISRAEL,1,1,ISRAEL,0,UNITED STATES,3,6747.0400
2018,State and IAP,State,State and IAP,State,ICT,"Electronics, Comms, & Sensors",0,0,0,X,ISRAEL,1,1,ISRAEL,1,ISRAEL,1,2404.2500
2011,State and IAP,State,State and IAP,State,Other,Other Products,0,0,0,,ISRAEL,1,1,CHINA,0,UNITED STATES,1,4640.0000
2003,Defense,Army,Defense,Army,Engines & Power Plants,Aircraft,0,0,0,,ISRAEL,1,1,ISRAEL,1,,2,86616.0000
2010,Defense,Other DoD,Defense,Air Force,PAMS,Other Services,1,0,1,,ISRAEL,1,0,UNITED STATES,1,ISRAEL,9,105125.6602
2001,Defense,DLA,Defense,DLA,Engines & Power Plants,Aircraft,0,0,0,,ISRAEL,1,1,ISRAEL,1,,9,618948.0000
2009,State and IAP,State,State and IAP,State,NULL,NULL,0,0,0,,ISRAEL,1,1,ISRAEL,0,UNITED STATES,3,17238.6797
2008,State and IAP,State,State and IAP,State,ERS,Other Services,0,0,0,,ISRAEL,1,1,ISRAEL,1,,1,0.0000
2016,State and IAP,USAID,State and IAP,USAID,PAMS,Other R&D and Knowledge Based,0,0,0,X,,1,NULL,NULL,1,ISRAEL,2,4999.8400
2016,Defense,DLA,Defense,Navy,Aircraft,Aircraft,1,0,0,X,ISRAEL,1,1,ISRAEL,0,UNITED STATES,1,0.0000
2017,State and IAP,USAID,State and IAP,USAID,Ground Vehicles,Land Vehicles,0,0,0,X,,1,1,ISRAEL,0,UNITED STATES,1,40000.0000
2018,Defense,DLA,Defense,DLA,Electronics & Communications,"Electronics, Comms, & Sensors",1,0,0,X,UNITED STATES,0,1,ISRAEL,0,UNITED STATES,1,12929.0000
2014,NASA,NASA,NASA,NASA,Electronics & Communications,"Electronics, Comms, & Sensors",1,0,1,X,ISRAEL,1,1,ISRAEL,1,ISRAEL,1,5198.0000
2016,State and IAP,USAID,State and IAP,USAID,FRS&C,Facilities and Construction,0,0,1,X,,1,1,,1,ISRAEL,0,0.0000
2016,State and IAP,USAID,State and IAP,USAID,Electronics & Communications,"Electronics, Comms, & Sensors",0,0,0,X,ISRAEL,1,1,JAPAN,0,UNITED STATES,1,-249.4400
2009,Defense,Army,Defense,Army,Fuels,Other Products,0,0,0,,,1,1,,1,ISRAEL,0,0.0000
2016,State and IAP,USAID,State and IAP,USAID,PAMS,Other R&D and Knowledge Based,0,0,0,X,,1,1,ISRAEL,1,ISRAEL,1,27500.0000
2009,Defense,Army,Defense,Army,Aircraft,Aircraft,1,0,1,X,,1,1,,1,ISRAEL,0,0.0000
2010,State and IAP,State,State and IAP,State,PAMS,Other R&D and Knowledge Based,0,0,0,,ISRAEL,1,0,UNITED STATES,0,UNITED STATES,9,158008.3799
2005,DHS,CBP,DHS,CBP,Electronics & Communications,"Electronics, Comms, & Sensors",0,0,0,,GEORGIA,1,1,ISRAEL,0,UNITED STATES,1,299200.6563
2001,Defense,DLA,Defense,DLA,Aircraft,"Electronics, Comms, & Sensors",0,0,0,,ISRAEL,1,1,ISRAEL,1,,1,94050.0000
2007,State and IAP,State,State and IAP,State,Ground Vehicles,Land Vehicles,0,0,0,,ISRAEL,1,1,JAPAN,0,UNITED STATES,1,9038.7803
2007,Defense,DLA,Defense,DLA,Electronics & Communications,"Electronics, Comms, & Sensors",0,0,0,,ISRAEL,1,1,ISRAEL,1,,1,21306.0000
2013,Defense,Air Force,Defense,Air Force,Electronics & Communications,"Electronics, Comms, & Sensors",1,0,0,,UNITED STATES,0,0,UNITED STATES,1,ISRAEL,2,7798.0000
2007,Other Agencies,Justice,Other Agencies,Justice,ICT,"Electronics, Comms, & Sensors",0,0,0,,ISRAEL,1,1,,1,CANADA,4,6477875.0000
2011,Defense,DLA,Defense,DLA,Missiles & Space,Aircraft,1,0,1,,UNITED STATES,0,0,UNITED STATES,1,ISRAEL,1,24311.0000
2008,VA,VA,VA,VA,Clothing & Subsistence,Other Products,1,0,1,,UNITED STATES,0,0,UNITED STATES,1,ISRAEL,1,13540.0000
2006,Defense,Army,Defense,Army,Electronics & Communications,"Electronics, Comms, & Sensors",0,0,0,,ISRAEL,1,1,,1,,1,-8350.0000
2008,Defense,Army,Defense,Army,Advanced Technology Development (6.3),Missile Defense,0,0,0,,ISRAEL,1,1,ICELAND,1,,1,0.0000
2007,Defense,Navy,Defense,Navy,Aircraft,Ordnance and Missiles,0,0,0,,ISRAEL,1,1,ISRAEL,1,,1,0.0000
2017,State and IAP,State,State and IAP,State,Fuels,Other Products,0,0,0,X,ISRAEL,1,1,ISRAEL,0,UNITED STATES,19,534081.0719
2018,State and IAP,USAID,State and IAP,USAID,PAMS,Other R&D and Knowledge Based,0,0,0,X,,1,NULL,NULL,1,ISRAEL,1,6500.0000
2013,Defense,DLA,Defense,Navy,Aircraft,Aircraft,1,0,0,,ISRAEL,1,1,ISRAEL,0,UNITED STATES,2,2558318.0000
2014,Defense,DLA,Defense,DLA,Ground Vehicles,Ordnance and Missiles,1,0,0,,ISRAEL,1,1,ISRAEL,1,ISRAEL,2,176860.0000
2015,Defense,Other DoD,Defense,Navy,Aircraft,Aircraft,1,0,0,X,ISRAEL,1,0,UNITED STATES,1,ISRAEL,2,-3120.0000
2016,State and IAP,USAID,State and IAP,USAID,FRS&C,Facilities and Construction,0,0,0,X,,1,1,,1,ISRAEL,0,0.0000
2003,State and IAP,State,State and IAP,State,ERS,Other Services,0,0,0,,,1,1,,1,ISRAEL,0,0.0000
2010,Defense,Navy,Defense,Navy,Launchers & Munitions,Ordnance and Missiles,1,0,1,X,,1,1,,1,ISRAEL,0,0.0000
2011,Defense,Navy,Defense,Navy,Aircraft,Aircraft,1,0,0,,ISRAEL,1,1,ISRAEL,1,ISRAEL,5,4372218.0000
2008,NASA,NASA,NASA,NASA,Applied Research (6.2),Other R&D and Knowledge Based,1,0,0,,ISRAEL,1,1,ISRAEL,1,ISRAEL,1,24500.0000
2000,State and IAP,State,State and IAP,State,PAMS,Other R&D and Knowledge Based,0,0,0,,ISRAEL,1,1,ISRAEL,1,ISRAEL,2,80000.0000
2008,Defense,Army,Defense,Army,FRS&C,Facilities and Construction,0,0,0,,ISRAEL,1,1,ISRAEL,0,UNITED STATES,19,18283150.0000
2012,Defense,Air Force,Defense,Air Force,Engines & Power Plants,Aircraft,1,0,1,,ISRAEL,1,1,ISRAEL,1,ISRAEL,3,13585.0000
2010,State and IAP,State,State and IAP,State,Other,Facilities and Construction,0,0,0,,CYPRUS,1,1,ISRAEL,0,UNITED STATES,1,21568.7500
2015,Defense,Army,Defense,Air Force,Launchers & Munitions,Ordnance and Missiles,0,0,1,X,SOUTH KOREA,1,1,ISRAEL,1,ISRAEL,1,48000.0000
2016,Defense,DLA,Defense,DLA,Electronics & Communications,Aircraft,0,0,0,X,UNITED STATES,0,1,ISRAEL,0,UNITED STATES,2,8932.5400
2016,Defense,Army,Defense,Army,Engines & Power Plants,Aircraft,0,0,0,X,ISRAEL,1,0,UNITED STATES,1,ISRAEL,3,-125677.0000
2006,Defense,Navy,Defense,Navy,Other,Ships & Submarines,0,0,0,,ISRAEL,1,1,,1,,1,-2430.0000
2006,Defense,Navy,Defense,Navy,Launchers & Munitions,Ordnance and Missiles,0,0,0,,ISRAEL,1,1,ISRAEL,1,ISRAEL,1,95000.0000
2007,State and IAP,USAID,State and IAP,USAID,Electronics & Communications,"Electronics, Comms, & Sensors",0,0,0,,ISRAEL,1,0,UNITED STATES,0,UNITED STATES,1,3375.0000
2006,Defense,Army,Defense,Army,Electronics & Communications,"Electronics, Comms, & Sensors",0,0,0,,ISRAEL,1,1,ISRAEL,0,UNITED STATES,1,3539.0000
2005,Defense,Army,Defense,Army,Electronics & Communications,Land Vehicles,0,0,0,,UNITED STATES,0,1,ISRAEL,0,UNITED STATES,2,1210928.0000
2015,Defense,DLA,Defense,DLA,Engines & Power Plants,Aircraft,1,0,1,,ISRAEL,1,1,ISRAEL,1,ISRAEL,4,180490.5000
2011,State and IAP,State,State and IAP,State,MED,Other Services,0,0,0,,ISRAEL,1,1,ISRAEL,0,UNITED STATES,8,270582.6417
2007,Defense,Navy,Defense,Navy,Aircraft,Aircraft,0,0,0,,ISRAEL,1,1,ISRAEL,1,ISRAEL,7,12362963.0000
2009,State and IAP,State,State and IAP,State,Engines & Power Plants,"Electronics, Comms, & Sensors",0,0,0,,ISRAEL,1,1,ISRAEL,0,UNITED STATES,2,9656.0000
2008,DHS,Other DHS,DHS,Other DHS,Electronics & Communications,"Electronics, Comms, & Sensors",0,0,0,X,ISRAEL,1,1,ISRAEL,0,UNITED STATES,1,353020.0000
2010,Defense,Navy,Defense,Navy,Other,Ships & Submarines,0,0,0,,UNITED STATES,0,1,ISRAEL,0,UNITED STATES,1,1239.6600
2008,VA,VA,VA,VA,Missiles & Space,Facilities and Construction,0,0,0,,UNITED STATES,0,1,ISRAEL,0,UNITED STATES,1,79664.5313
2016,HHS,HHS,HHS,HHS,Other,Facilities and Construction,1,0,0,X,UNITED STATES,0,1,ISRAEL,1,ISRAEL,1,125583.0000
2016,Defense,Navy,Defense,Navy,Other,Facilities and Construction,0,0,0,X,UNITED STATES,0,1,ISRAEL,0,UNITED STATES,4,45772.0000
2017,Defense,Air Force,Defense,Air Force,Electronics & Communications,"Electronics, Comms, & Sensors",0,0,0,X,UNITED STATES,0,1,ISRAEL,1,ISRAEL,1,-4800.0000
2018,Defense,DLA,Defense,DLA,FRS&C,Facilities and Construction,1,0,0,X,ISRAEL,1,1,ISRAEL,1,GERMANY,1,-1.2800
2009,Defense,DLA,Defense,Navy,Aircraft,Aircraft,0,0,0,,ISRAEL,1,0,UNITED STATES,1,ISRAEL,1,0.0000
2011,Defense,Army,Defense,Army,Advanced Technology Development (6.3),Other R&D and Knowledge Based,0,0,1,,ISRAEL,1,1,ISRAEL,1,ISRAEL,1,118750.0000
2005,Other Agencies,Treasury,Other Agencies,Treasury,PAMS,Other R&D and Knowledge Based,0,0,0,,UNITED STATES,0,1,ISRAEL,0,UNITED STATES,1,18675.0000
2013,Defense,DLA,Defense,DLA,Engines & Power Plants,Aircraft,1,0,1,X,ISRAEL,1,1,ISRAEL,1,ISRAEL,1,0.0000
