"","StartFY","Ceil.Simple","Dur.Simple","ContractCount","Action.Obligation","metric","Quantile","pCRai"
"51",2012,"100k - <10m","<~1 year",82263,51465586445.256,"Contracts within Period","50th Percentile",0
"52",2012,"10m+","(~1 year,~2 years]",1312,49377155032.7515,"Contracts within Period","50th Percentile",0
"53",2012,"10m+","(~2 years+]",592,31538407277.2743,"Contracts within Period","50th Percentile",0
"54",2012,"10m+","<~1 year",984,34117720659.5202,"Contracts within Period","50th Percentile",0
"55",2013,"0k - <100k","(~1 year,~2 years]",27230,886100750.3667,"Contracts within Period","50th Percentile",0
"56",2013,"0k - <100k","(~2 years+]",2864,74457089.9772,"Contracts within Period","50th Percentile",0
"57",2013,"0k - <100k","<~1 year",625080,10825043663.8563,"Contracts within Period","50th Percentile",0
"58",2013,"100k - <10m","(~1 year,~2 years]",18623,22375119315.402,"Contracts within Period","50th Percentile",0
"59",2013,"100k - <10m","(~2 years+]",2929,4426322245.4999,"Contracts within Period","50th Percentile",0
"60",2013,"100k - <10m","<~1 year",69697,44094982415.848,"Contracts within Period","50th Percentile",0
"61",2013,"10m+","(~1 year,~2 years]",829,27049364847.6771,"Contracts within Period","50th Percentile",0
"62",2013,"10m+","(~2 years+]",455,23000070693.6988,"Contracts within Period","50th Percentile",0
"63",2013,"10m+","<~1 year",814,24368593829.5934,"Contracts within Period","50th Percentile",0
"64",2014,"0k - <100k","(~1 year,~2 years]",29911,825183744.3023,"Contracts within Period","50th Percentile",0
"65",2014,"0k - <100k","(~2 years+]",3456,88007861.5304,"Contracts within Period","50th Percentile",0
"66",2014,"0k - <100k","<~1 year",654020,11605629480.2372,"Contracts within Period","50th Percentile",0
"67",2014,"100k - <10m","(~1 year,~2 years]",18810,20973572049.2012,"Contracts within Period","50th Percentile",0
"68",2014,"100k - <10m","(~2 years+]",2444,3452297576.5646,"Contracts within Period","50th Percentile",0
"69",2014,"100k - <10m","<~1 year",76880,45661149336.5356,"Contracts within Period","50th Percentile",0
"70",2014,"10m+","(~1 year,~2 years]",692,17841231886.6238,"Contracts within Period","50th Percentile",0
"71",2014,"10m+","(~2 years+]",267,7738240609.8874,"Contracts within Period","50th Percentile",0
"72",2014,"10m+","<~1 year",869,20371960544.2321,"Contracts within Period","50th Percentile",0
"73",2015,"0k - <100k","(~1 year,~2 years]",38626,972228638.6238,"Contracts within Period","50th Percentile",0
"74",2015,"0k - <100k","(~2 years+]",1449,32604881.1972,"Contracts within Period","50th Percentile",0
"75",2015,"0k - <100k","<~1 year",2484913,12624516538.753,"Contracts within Period","50th Percentile",0
"76",2015,"100k - <10m","(~1 year,~2 years]",18914,19425990168.6043,"Contracts within Period","50th Percentile",0
"77",2015,"100k - <10m","(~2 years+]",849,965704389.3911,"Contracts within Period","50th Percentile",0
"78",2015,"100k - <10m","<~1 year",69716,38349636675.3321,"Contracts within Period","50th Percentile",0
"79",2015,"10m+","(~1 year,~2 years]",682,16182377356.4218,"Contracts within Period","50th Percentile",0
"80",2015,"10m+","(~2 years+]",61,2886022519.3607,"Contracts within Period","50th Percentile",0
"81",2015,"10m+","<~1 year",656,14236372245.2553,"Contracts within Period","50th Percentile",0
"82",2016,"0k - <100k","(~1 year,~2 years]",32670,711809119.1542,"Contracts within Period","50th Percentile",0
"83",2016,"0k - <100k","<~1 year",2928471,13392686210.4429,"Contracts within Period","50th Percentile",0
"84",2016,"100k - <10m","(~1 year,~2 years]",10268,8873580481.5906,"Contracts within Period","50th Percentile",0
"85",2016,"100k - <10m","<~1 year",69845,35637984619.3216,"Contracts within Period","50th Percentile",0
"86",2016,"10m+","(~1 year,~2 years]",288,7744466492.5811,"Contracts within Period","50th Percentile",0
"87",2016,"10m+","<~1 year",550,11034051984.7729,"Contracts within Period","50th Percentile",0
"88",2007,"0k - <100k","(~1 year,~2 years]",30477,2225721897.4091,"Early Results for All Contracts","50th Percentile",0
"89",2007,"0k - <100k","(~2 years+]",7946,2171916823.0491,"Early Results for All Contracts","50th Percentile",0
"90",2007,"0k - <100k","<~1 year",799455,15331636679.4867,"Early Results for All Contracts","50th Percentile",0
"91",2007,"100k - <10m","(~1 year,~2 years]",22101,29850509328.3448,"Early Results for All Contracts","50th Percentile",0
"92",2007,"100k - <10m","(~2 years+]",6435,11870991010.1498,"Early Results for All Contracts","50th Percentile",0
"93",2007,"100k - <10m","<~1 year",86314,58934623249.1137,"Early Results for All Contracts","50th Percentile",0
"94",2007,"10m+","(~1 year,~2 years]",1195,51271591963.9378,"Early Results for All Contracts","50th Percentile",0
"95",2007,"10m+","(~2 years+]",776,71206629704.0816,"Early Results for All Contracts","50th Percentile",0
"96",2007,"10m+","<~1 year",1683,52832591307.0637,"Early Results for All Contracts","50th Percentile",0
"97",2008,"0k - <100k","(~1 year,~2 years]",35055,2559782111.2468,"Early Results for All Contracts","50th Percentile",0
"98",2008,"0k - <100k","(~2 years+]",7571,731210756.2179,"Early Results for All Contracts","50th Percentile",0
"99",2008,"0k - <100k","<~1 year",846839,16080919051.7592,"Early Results for All Contracts","50th Percentile",0
"100",2008,"100k - <10m","(~1 year,~2 years]",23264,32049376415.0933,"Early Results for All Contracts","50th Percentile",0
"101",2008,"100k - <10m","(~2 years+]",5726,11347189008.2488,"Early Results for All Contracts","50th Percentile",0
"102",2008,"100k - <10m","<~1 year",92839,67259115275.0238,"Early Results for All Contracts","50th Percentile",0
"103",2008,"10m+","(~1 year,~2 years]",1470,76137848910.9658,"Early Results for All Contracts","50th Percentile",0
"104",2008,"10m+","(~2 years+]",768,95351890249.4356,"Early Results for All Contracts","50th Percentile",0
"105",2008,"10m+","<~1 year",1806,71781317494.4757,"Early Results for All Contracts","50th Percentile",0
"106",2009,"0k - <100k","(~1 year,~2 years]",31626,4015666340.7105,"Early Results for All Contracts","50th Percentile",0
"107",2009,"0k - <100k","(~2 years+]",5181,1067649171.2731,"Early Results for All Contracts","50th Percentile",0
"108",2009,"0k - <100k","<~1 year",757766,14336007474.5423,"Early Results for All Contracts","50th Percentile",0
"109",2009,"100k - <10m","(~1 year,~2 years]",22700,31607640000.2465,"Early Results for All Contracts","50th Percentile",0
"110",2009,"100k - <10m","(~2 years+]",5516,11317166919.8411,"Early Results for All Contracts","50th Percentile",0
"111",2009,"100k - <10m","<~1 year",93700,64914699191.8222,"Early Results for All Contracts","50th Percentile",0
"112",2009,"10m+","(~1 year,~2 years]",1408,78153955252.363,"Early Results for All Contracts","50th Percentile",0
"113",2009,"10m+","(~2 years+]",825,109388728125.148,"Early Results for All Contracts","50th Percentile",0
"114",2009,"10m+","<~1 year",1621,60738224712.3245,"Early Results for All Contracts","50th Percentile",0
"115",2010,"0k - <100k","(~1 year,~2 years]",30617,1837509192.239,"Early Results for All Contracts","50th Percentile",0
"116",2010,"0k - <100k","(~2 years+]",6148,1101536953.2289,"Early Results for All Contracts","50th Percentile",0
"117",2010,"0k - <100k","<~1 year",754951,16711980500.545,"Early Results for All Contracts","50th Percentile",0
"118",2010,"100k - <10m","(~1 year,~2 years]",22152,32002598798.4265,"Early Results for All Contracts","50th Percentile",0
"119",2010,"100k - <10m","(~2 years+]",5658,10750868822.2295,"Early Results for All Contracts","50th Percentile",0
"120",2010,"100k - <10m","<~1 year",91856,64243223935.3407,"Early Results for All Contracts","50th Percentile",0
"121",2010,"10m+","(~1 year,~2 years]",1378,62652034995.0287,"Early Results for All Contracts","50th Percentile",0
"122",2010,"10m+","(~2 years+]",950,67871439229.3798,"Early Results for All Contracts","50th Percentile",0
"123",2010,"10m+","<~1 year",1372,75663216265.5873,"Early Results for All Contracts","50th Percentile",0
"124",2011,"0k - <100k","(~1 year,~2 years]",33187,1374313952.1122,"Early Results for All Contracts","50th Percentile",0
"125",2011,"0k - <100k","(~2 years+]",7592,967845745.9544,"Early Results for All Contracts","50th Percentile",0
"126",2011,"0k - <100k","<~1 year",720531,13712761047.2793,"Early Results for All Contracts","50th Percentile",0
"127",2011,"100k - <10m","(~1 year,~2 years]",24377,35357454889.1148,"Early Results for All Contracts","50th Percentile",0
"128",2011,"100k - <10m","(~2 years+]",5684,10662733338.6148,"Early Results for All Contracts","50th Percentile",0
"129",2011,"100k - <10m","<~1 year",86437,61449107450.268,"Early Results for All Contracts","50th Percentile",0
"130",2011,"10m+","(~1 year,~2 years]",1593,82438414713.6518,"Early Results for All Contracts","50th Percentile",0
"131",2011,"10m+","(~2 years+]",1023,80149933480.4068,"Early Results for All Contracts","50th Percentile",0
"132",2011,"10m+","<~1 year",1205,51037574741.6963,"Early Results for All Contracts","50th Percentile",0
"133",2012,"0k - <100k","(~1 year,~2 years]",31468,2093720174.6796,"Early Results for All Contracts","50th Percentile",0
"134",2012,"0k - <100k","(~2 years+]",7343,237163507.8615,"Early Results for All Contracts","50th Percentile",0
"135",2012,"0k - <100k","<~1 year",684443,12733672066.3087,"Early Results for All Contracts","50th Percentile",0
"136",2012,"100k - <10m","(~1 year,~2 years]",23688,31708057116.3042,"Early Results for All Contracts","50th Percentile",0
"137",2012,"100k - <10m","(~2 years+]",5136,9416529789.6232,"Early Results for All Contracts","50th Percentile",0
"138",2012,"100k - <10m","<~1 year",82528,53366212980.6853,"Early Results for All Contracts","50th Percentile",0
"139",2012,"10m+","(~1 year,~2 years]",1398,77435308058.9747,"Early Results for All Contracts","50th Percentile",0
"140",2012,"10m+","(~2 years+]",784,109575677005.146,"Early Results for All Contracts","50th Percentile",0
"141",2012,"10m+","<~1 year",1030,54824229276.6201,"Early Results for All Contracts","50th Percentile",0
"142",2013,"0k - <100k","(~1 year,~2 years]",27680,990409103.4534,"Early Results for All Contracts","50th Percentile",0
"143",2013,"0k - <100k","(~2 years+]",5247,177879879.9455,"Early Results for All Contracts","50th Percentile",0
"144",2013,"0k - <100k","<~1 year",625520,10928614149.253,"Early Results for All Contracts","50th Percentile",0
"145",2013,"100k - <10m","(~1 year,~2 years]",19862,26173561271.9926,"Early Results for All Contracts","50th Percentile",0
"146",2013,"100k - <10m","(~2 years+]",4204,7113376170.6444,"Early Results for All Contracts","50th Percentile",0
"147",2013,"100k - <10m","<~1 year",70419,47299622368.3284,"Early Results for All Contracts","50th Percentile",0
"148",2013,"10m+","(~1 year,~2 years]",1025,44540949443.8116,"Early Results for All Contracts","50th Percentile",0
"149",2013,"10m+","(~2 years+]",739,78587225732.8313,"Early Results for All Contracts","50th Percentile",0
"150",2013,"10m+","<~1 year",977,44246763167.1629,"Early Results for All Contracts","50th Percentile",0
"151",2014,"0k - <100k","(~1 year,~2 years]",30853,908662472.3582,"Early Results for All Contracts","50th Percentile",0
"152",2014,"0k - <100k","(~2 years+]",6976,336393941.4656,"Early Results for All Contracts","50th Percentile",0
"153",2014,"0k - <100k","<~1 year",655246,12400243804.8409,"Early Results for All Contracts","50th Percentile",0
"154",2014,"100k - <10m","(~1 year,~2 years]",20908,25822114894.5052,"Early Results for All Contracts","50th Percentile",0
"155",2014,"100k - <10m","(~2 years+]",4427,7911305900.2678,"Early Results for All Contracts","50th Percentile",0
"156",2014,"100k - <10m","<~1 year",78352,49504024205.8266,"Early Results for All Contracts","50th Percentile",0
"157",2014,"10m+","(~1 year,~2 years]",1002,39063412182.0385,"Early Results for All Contracts","50th Percentile",0
"158",2014,"10m+","(~2 years+]",674,51655679044.161,"Early Results for All Contracts","50th Percentile",0
"159",2014,"10m+","<~1 year",1087,41713698996.1659,"Early Results for All Contracts","50th Percentile",0
"160",2015,"0k - <100k","(~1 year,~2 years]",41164,1215877963.7185,"Early Results for All Contracts","50th Percentile",0
"161",2015,"0k - <100k","(~2 years+]",5991,221935712.4822,"Early Results for All Contracts","50th Percentile",0
"162",2015,"0k - <100k","<~1 year",2486526,12785333023.4996,"Early Results for All Contracts","50th Percentile",0
"163",2015,"100k - <10m","(~1 year,~2 years]",23726,30268713212.1981,"Early Results for All Contracts","50th Percentile",0
"164",2015,"100k - <10m","(~2 years+]",4477,7672157335.0281,"Early Results for All Contracts","50th Percentile",0
"165",2015,"100k - <10m","<~1 year",72129,44104002775.9147,"Early Results for All Contracts","50th Percentile",0
"166",2015,"10m+","(~1 year,~2 years]",1360,38662111780.7029,"Early Results for All Contracts","50th Percentile",0
"167",2015,"10m+","(~2 years+]",748,44116443662.25,"Early Results for All Contracts","50th Percentile",0
"168",2015,"10m+","<~1 year",925,37224490029.275,"Early Results for All Contracts","50th Percentile",0
"169",2016,"0k - <100k","(~1 year,~2 years]",47430,1267989862.9091,"Early Results for All Contracts","50th Percentile",0
"170",2016,"0k - <100k","(~2 years+]",4802,147784108.807,"Early Results for All Contracts","50th Percentile",0
"171",2016,"0k - <100k","<~1 year",2933728,13824809188.7508,"Early Results for All Contracts","50th Percentile",0
"172",2016,"100k - <10m","(~1 year,~2 years]",22337,26407581956.136,"Early Results for All Contracts","50th Percentile",0
"173",2016,"100k - <10m","(~2 years+]",4087,6769529623.6285,"Early Results for All Contracts","50th Percentile",0
"174",2016,"100k - <10m","<~1 year",76114,45203261350.0695,"Early Results for All Contracts","50th Percentile",0
"175",2016,"10m+","(~1 year,~2 years]",1316,36974851537.5804,"Early Results for All Contracts","50th Percentile",0
"176",2016,"10m+","(~2 years+]",754,46771569966.5715,"Early Results for All Contracts","50th Percentile",0
"177",2016,"10m+","<~1 year",1027,24352373084.9229,"Early Results for All Contracts","50th Percentile",0
"178",2007,"0k - <100k","(~1 year,~2 years]",30465,1544431439.1332,"Contracts within Period","75th Percentile",0
"179",2007,"0k - <100k","(~2 years+]",7046,1977014362.3252,"Contracts within Period","75th Percentile",0
"180",2007,"0k - <100k","<~1 year",799435,15310345279.4389,"Contracts within Period","75th Percentile",0
"181",2007,"100k - <10m","(~1 year,~2 years]",22075,29122221394.3167,"Contracts within Period","75th Percentile",0
"182",2007,"100k - <10m","(~2 years+]",5717,10843574974.7633,"Contracts within Period","75th Percentile",0
"183",2007,"100k - <10m","<~1 year",86281,58810468779.617,"Contracts within Period","75th Percentile",0
"184",2007,"10m+","(~1 year,~2 years]",1186,50474588423.5698,"Contracts within Period","75th Percentile",0
"185",2007,"10m+","(~2 years+]",706,44800935453.8877,"Contracts within Period","75th Percentile",0
"186",2007,"10m+","<~1 year",1674,40448697061.1124,"Contracts within Period","75th Percentile",0
"187",2008,"0k - <100k","(~1 year,~2 years]",35030,2266221672.107,"Contracts within Period","75th Percentile",0
"188",2008,"0k - <100k","(~2 years+]",6092,618892626.1556,"Contracts within Period","75th Percentile",0
"189",2008,"0k - <100k","<~1 year",846741,15994548650.7544,"Contracts within Period","75th Percentile",0
"190",2008,"100k - <10m","(~1 year,~2 years]",23205,31411082323.4901,"Contracts within Period","75th Percentile",0
"191",2008,"100k - <10m","(~2 years+]",4925,9507391504.3006,"Contracts within Period","75th Percentile",0
"192",2008,"100k - <10m","<~1 year",92643,65358214313.8484,"Contracts within Period","75th Percentile",0
"193",2008,"10m+","(~1 year,~2 years]",1457,63569047630.6706,"Contracts within Period","75th Percentile",0
"194",2008,"10m+","(~2 years+]",698,70245486165.1772,"Contracts within Period","75th Percentile",0.000960229159022253
"195",2008,"10m+","<~1 year",1786,54722136760.3663,"Contracts within Period","75th Percentile",0
"196",2009,"0k - <100k","(~1 year,~2 years]",31608,1681044711.8143,"Contracts within Period","75th Percentile",0
"197",2009,"0k - <100k","(~2 years+]",4237,1034769135.8481,"Contracts within Period","75th Percentile",0
"198",2009,"0k - <100k","<~1 year",757602,14298566039.1159,"Contracts within Period","75th Percentile",0
"199",2009,"100k - <10m","(~1 year,~2 years]",22605,30971788121.2408,"Contracts within Period","75th Percentile",0
"200",2009,"100k - <10m","(~2 years+]",5101,9113345808.836,"Contracts within Period","75th Percentile",0
"201",2009,"100k - <10m","<~1 year",93538,63229896369.9518,"Contracts within Period","75th Percentile",0
"202",2009,"10m+","(~1 year,~2 years]",1388,64922294449.3372,"Contracts within Period","75th Percentile",0.00330410159496636
"203",2009,"10m+","(~2 years+]",747,62548853170.7377,"Contracts within Period","75th Percentile",0
"204",2009,"10m+","<~1 year",1591,49941164177.5974,"Contracts within Period","75th Percentile",0
"205",2010,"0k - <100k","(~1 year,~2 years]",30593,1797279663.7696,"Contracts within Period","75th Percentile",0
"206",2010,"0k - <100k","(~2 years+]",5109,399717223.3655,"Contracts within Period","75th Percentile",0
"207",2010,"0k - <100k","<~1 year",754598,16635377762.6929,"Contracts within Period","75th Percentile",0
"208",2010,"100k - <10m","(~1 year,~2 years]",22084,31463820232.1992,"Contracts within Period","75th Percentile",0
"209",2010,"100k - <10m","(~2 years+]",5299,9602713363.4923,"Contracts within Period","75th Percentile",0
"210",2010,"100k - <10m","<~1 year",91656,62737184636.9412,"Contracts within Period","75th Percentile",0
"211",2010,"10m+","(~1 year,~2 years]",1335,53606776110.4485,"Contracts within Period","75th Percentile",0.00283411459380099
"212",2010,"10m+","(~2 years+]",861,41522833916.6976,"Contracts within Period","75th Percentile",0
"213",2010,"10m+","<~1 year",1345,51851693192.2024,"Contracts within Period","75th Percentile",0
"214",2011,"0k - <100k","(~1 year,~2 years]",33148,1334091957.8587,"Contracts within Period","75th Percentile",0
"215",2011,"0k - <100k","(~2 years+]",6575,399587035.6415,"Contracts within Period","75th Percentile",0
"216",2011,"0k - <100k","<~1 year",720312,13640022132.3991,"Contracts within Period","75th Percentile",0
"217",2011,"100k - <10m","(~1 year,~2 years]",24252,32174488768.7305,"Contracts within Period","75th Percentile",0
"218",2011,"100k - <10m","(~2 years+]",5166,9118797004.9505,"Contracts within Period","75th Percentile",0
"219",2011,"100k - <10m","<~1 year",86064,55474372540.5382,"Contracts within Period","75th Percentile",0
"220",2011,"10m+","(~1 year,~2 years]",1550,55818976409.2601,"Contracts within Period","75th Percentile",0
"221",2011,"10m+","(~2 years+]",817,35863998434.9496,"Contracts within Period","75th Percentile",0
"222",2011,"10m+","<~1 year",1168,42824145961.7137,"Contracts within Period","75th Percentile",0
"223",2012,"0k - <100k","(~1 year,~2 years]",31356,2067722050.4115,"Contracts within Period","75th Percentile",0
"224",2012,"0k - <100k","(~2 years+]",6616,181347308.6989,"Contracts within Period","75th Percentile",0
"225",2012,"0k - <100k","<~1 year",684150,12303167282.7849,"Contracts within Period","75th Percentile",0
"226",2012,"100k - <10m","(~1 year,~2 years]",23355,30518360231.14,"Contracts within Period","75th Percentile",0
"227",2012,"100k - <10m","(~2 years+]",4458,7454761848.009,"Contracts within Period","75th Percentile",0
"228",2012,"100k - <10m","<~1 year",82263,51465586445.256,"Contracts within Period","75th Percentile",0
"229",2012,"10m+","(~1 year,~2 years]",1312,49377155032.7515,"Contracts within Period","75th Percentile",0
"230",2012,"10m+","(~2 years+]",592,31538407277.2743,"Contracts within Period","75th Percentile",0
"231",2012,"10m+","<~1 year",984,34117720659.5202,"Contracts within Period","75th Percentile",0
"232",2013,"0k - <100k","(~1 year,~2 years]",27230,886100750.3667,"Contracts within Period","75th Percentile",0
"233",2013,"0k - <100k","(~2 years+]",2864,74457089.9772,"Contracts within Period","75th Percentile",0
"234",2013,"0k - <100k","<~1 year",625080,10825043663.8563,"Contracts within Period","75th Percentile",0
"235",2013,"100k - <10m","(~1 year,~2 years]",18623,22375119315.402,"Contracts within Period","75th Percentile",0
"236",2013,"100k - <10m","(~2 years+]",2929,4426322245.4999,"Contracts within Period","75th Percentile",0
"237",2013,"100k - <10m","<~1 year",69697,44094982415.848,"Contracts within Period","75th Percentile",0
"238",2013,"10m+","(~1 year,~2 years]",829,27049364847.6771,"Contracts within Period","75th Percentile",0
"239",2013,"10m+","(~2 years+]",455,23000070693.6988,"Contracts within Period","75th Percentile",0
"240",2013,"10m+","<~1 year",814,24368593829.5934,"Contracts within Period","75th Percentile",0
"241",2014,"0k - <100k","(~1 year,~2 years]",29911,825183744.3023,"Contracts within Period","75th Percentile",0
"242",2014,"0k - <100k","(~2 years+]",3456,88007861.5304,"Contracts within Period","75th Percentile",0
"243",2014,"0k - <100k","<~1 year",654020,11605629480.2372,"Contracts within Period","75th Percentile",0
"244",2014,"100k - <10m","(~1 year,~2 years]",18810,20973572049.2012,"Contracts within Period","75th Percentile",0
"245",2014,"100k - <10m","(~2 years+]",2444,3452297576.5646,"Contracts within Period","75th Percentile",0
"246",2014,"100k - <10m","<~1 year",76880,45661149336.5356,"Contracts within Period","75th Percentile",0
"247",2014,"10m+","(~1 year,~2 years]",692,17841231886.6238,"Contracts within Period","75th Percentile",0
"248",2014,"10m+","(~2 years+]",267,7738240609.8874,"Contracts within Period","75th Percentile",0
"249",2014,"10m+","<~1 year",869,20371960544.2321,"Contracts within Period","75th Percentile",0
"250",2015,"0k - <100k","(~1 year,~2 years]",38626,972228638.6238,"Contracts within Period","75th Percentile",0
"251",2015,"0k - <100k","(~2 years+]",1449,32604881.1972,"Contracts within Period","75th Percentile",0
"252",2015,"0k - <100k","<~1 year",2484913,12624516538.753,"Contracts within Period","75th Percentile",0
"253",2015,"100k - <10m","(~1 year,~2 years]",18914,19425990168.6043,"Contracts within Period","75th Percentile",0
"254",2015,"100k - <10m","(~2 years+]",849,965704389.3911,"Contracts within Period","75th Percentile",0
"255",2015,"100k - <10m","<~1 year",69716,38349636675.3321,"Contracts within Period","75th Percentile",0
"256",2015,"10m+","(~1 year,~2 years]",682,16182377356.4218,"Contracts within Period","75th Percentile",0
"257",2015,"10m+","(~2 years+]",61,2886022519.3607,"Contracts within Period","75th Percentile",0
"258",2015,"10m+","<~1 year",656,14236372245.2553,"Contracts within Period","75th Percentile",0
"259",2016,"0k - <100k","(~1 year,~2 years]",32670,711809119.1542,"Contracts within Period","75th Percentile",0
"260",2016,"0k - <100k","<~1 year",2928471,13392686210.4429,"Contracts within Period","75th Percentile",0
"261",2016,"100k - <10m","(~1 year,~2 years]",10268,8873580481.5906,"Contracts within Period","75th Percentile",0
"262",2016,"100k - <10m","<~1 year",69845,35637984619.3216,"Contracts within Period","75th Percentile",0
"263",2016,"10m+","(~1 year,~2 years]",288,7744466492.5811,"Contracts within Period","75th Percentile",0
"264",2016,"10m+","<~1 year",550,11034051984.7729,"Contracts within Period","75th Percentile",0
"265",2007,"0k - <100k","(~1 year,~2 years]",30477,2225721897.4091,"Early Results for All Contracts","75th Percentile",0
"266",2007,"0k - <100k","(~2 years+]",7946,2171916823.0491,"Early Results for All Contracts","75th Percentile",0
"267",2007,"0k - <100k","<~1 year",799455,15331636679.4867,"Early Results for All Contracts","75th Percentile",0
"268",2007,"100k - <10m","(~1 year,~2 years]",22101,29850509328.3448,"Early Results for All Contracts","75th Percentile",0
"269",2007,"100k - <10m","(~2 years+]",6435,11870991010.1498,"Early Results for All Contracts","75th Percentile",0
"270",2007,"100k - <10m","<~1 year",86314,58934623249.1137,"Early Results for All Contracts","75th Percentile",0
