"Project.Name","ProjectID","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"ALCM",12,,,,,,,,,120267,,479473.5899,,,0,0,,,,,,,,,
"AMDR",2033,,,,,,,,,,,,,,,,,,0,0,1355488.1797,146728.0256,-207722.6094,0,0
"AMMUNITION SIMULATORS, AL",1935,,,,,,,,,,,-255223.9119,,,,-70.91,,0,,-46565.1719,,,,,
"AMPHIBIOUS 60 TON LARC",226,60192,,,,,,,,,,,,,,,,,,,,,,,
"AMPV",2146,,,,,,,,,,,,,,,,,,,463471.6172,0,0,,,
"AMRAAM",81,46267,,,,,,,,,-2536.28,-401423.2188,-166232.1587,-99474.3872,-69585.59,,,-24135.9295,-108559.5,-1237250.1499,0,-381152.6245,-1520529.4298,-529906.8016,-40562.0313
"AMRAAM (NAVY)",80,,,,,,,,,,,,,0,,,,,,0,,,0,,
"AN/ALE-40 COUNTERMEASURES",1621,,,,,,,,,,,-184096.0938,-13038.29,,,,,,,,,0,,,
"AN/ALE-50",968,,,,,,,,,,-107777.8433,-14313.0098,,,,,,,,,,-325801.125,,,
"AN/ALQ-122 ECM SYS",1609,,,,,,,,,,,,0,,,,,,,,,0,,,
"AN/ALQ-131",1612,,,,,,,,,,,-65992,,,,,,,,,,,,,
"AN/ALQ-136 COUNTERMEASURES",2150,,,,,,,,,,,,,-149449.0313,,,,,,,,,,,
"AN/ALR-56 WARNING RECVR",1654,,,,,,,,,,,-12936,-53234.2695,,,,,,,,,,,,
"AN/ALR-67 COUNT WARNING S",1023,,,,,,,,,,-603631.3516,,-169511.7813,,,,,,,,,,,,
"AN/APR-39",498,,,,,,,,,,,,,,-133291.86,,,,,,,,,,
"AN/BQS-15 SONAR",1113,31790,,,,,,,,,,,,,,,,,,,,,,,
"AN/BSY-1 (V) SONAR",1110,183001,,,,,,,,,,,,,,,,,,0,,,,,
"AN/BSY-2 SUBMARINE COMBAT",1938,,,,,,,,,,-65846.9898,-5000,,,,,,,,,,,,,
"AN/FPS-117 RADAR SEEK IGL",1682,,,,,,,,,,,-25000,,,,,,,,,,,,,
"AN/FSD JOINT STARS",1676,,,,,,,,,,-338789.2422,-1534571.5421,-888138.7617,,,,,,,,,,,,
"AN/GXC-7",1015,,,27075,,,,,,,,,,,,,,,,,,,,,
"AN/MLQ-34 COUNTERMEASURES",2038,,,,,,,,,,,,,,,,,,,,,,7167042,1315099.3125,-895441.5625
"AN/PPS-5 RADAR PORTABLE",499,,134560,,,,,,,,,,,,,,,,,,,,,,
"AN/PRC-104",1090,50670,,,,,,,,,,,,,,,,,,,,,,,
"AN/SLQ-25 TORP CM TRANS S",962,,,,,,,,,,-110000,,,,,,,,,,,,,,
"AN/SLQ-32",1007,,,,,,,,,,,,,,,,,0,,,,,,,
"AN/SPS 49",1059,42941,,984063,71601,,,,,,,,,,,,,,,,,,,,
"AN/SQQ-89",49,,,,,,,,,,,,721000,0,,183500,,0,,-3670,,,,,
"AN/SQQ-89 SONAR",1109,,,,,,,,,,,,-2227395,,,,,,,-120570.7031,,,,,
"AN/SQS-53 SONAR",1128,,,,,,,,,,,-10194,,,,,,,,,,,,,
"AN/TPQ-37",507,,,43885,,,,,,,,,,,,,,0,,,,,,,
"AN/TPS-59 RADAR SYS",1078,,30090,,,,,,,,,-189843.5,,,,,,,,,,,,,
"AN/TPS-63 RADAR SET",1046,,,44373,,,,,,,,,,,,,,,,,,,,,
"AN/TRC-112 RADIO",519,,,416760,151127,,,,,,,,,,,,,,,,,,,,
"AN/TSQ-73 AIR DEF MSL SYS",426,,-97500,28886,,,,,,,,,,,,,,,,,,,,,
"AN/TTC-39",13,,,,,,,897.75,,,,,,124936.5,,,,,,,,,,,
"AN/TTC-39 CIRCUIT SWITCH",434,,,,,,,,,,-526928,,,,,,,,,,,,,,
"AN/TYQ-3 TDC",990,,,,,,,,,,,,,,,,,,-11120,,,,,,
"AN/UYH/K-3 MEMORY UNITS",927,118464,167309,410046,,,,,,,,,,,,,,,,,,,,,
"AN/UYK-43",1008,,,,,,,,,,,,,,,,,,,,0,,,,
"AN/UYQ-21 NTDS",1018,,,40060,,,,,,,,,,,,,,,,,,,,,
"AN/VRC-12 RADIO",523,,63407,,,,,,,,,,,,,,,,,,,,,,
"AN/WLR-8",973,,,58890,,,,,,,,,,,,,,,,,,,,,
"AOC-WS",1363,,,,,35186,,,,,-56669.0414,-88130.5028,-196420,-256066.1691,-11514.25,-182779.39,-456842.12,-52560.9204,-272071.6348,-564903.2101,-66867.0894,,-369.81,-17039.9705,0
"APACHE (AH-64) ADV ATTACK",1906,,,,,,,,,,-133246.5391,-838695.424,-5807009.162,-186609.9299,-245978.25,-107220.58,-827517.125,-651462.1875,-292068.46,10885684,0,0,0,,
"APACHE (AH-64A)",54,,,,,,,,,,27835808.9357,65614327.8486,102641516.0432,107924156.0669,33046338.66,13889423.15,-1120226.9251,-1509973.1758,186119.9501,-700398.127,-19279558.7197,-15991524.5547,-3594286.6816,-872832.75,
"APC",2057,,,,,,,,,,,-248831.5156,-59971.7873,-727050.1641,-135172.69,,,,,,,,,,
"APS",20,,,,,,,,,,,,,,,,,,,,0,0,0,,0
"ARE",1907,,,,,,,,,,-243727.8204,-92180.0781,,,-146983.24,-3190.69,,,,,,,,,
"ARH",75,,,,,,,,,,,,,284850.8125,0,-43024.71,,,0,,-3112520.4375,,-1565052.9697,-768118.0938,
"ARL",1942,,,,,,,,,,-66565.5,,,,,,,,,,0,,,,
"ARMY TACTICAL MISSILE SYS",158,,,,,,,,,,,,,,,,,0,,,,,,,
"ASAS (ATCCS)",655,,,,,,,,3989583,,,-198495.9844,,,,,,,,,,,,,
"ASF",1908,,,,,,,,,,-83883.15,-368600,,,,0,0,,,,,0,,,
"ASSAULT SHIP AMPHIBIOUS-L",1215,,,,,,,,,,,-12951.5195,,,,,,,,,0,0,,,
"ATACMS-APAM",623,,,,,,,,,,0,4836,,117360,578931.5,0,-578931.5,,,,,,,,
"ATIRCMS/CMWS",630,,,,,,,,,,19830253,-1610848,,-10787.9902,,,-583146.4508,-1217505.0737,-23903.7803,-214699.0567,0,,,,
"ATM",1851,,,,,,,,,,,,190800,-1501.2,,,,,,,,,,,
"ATR",1909,,,,,,,,,,,,,-4920.3398,-77734.6,-47373.73,-244212.0313,,,,,,,,
"ATS",2058,,,,,,,,,,2052832.827,-230290.5,-55202.6602,-17110.76,-164505.15,-39315.92,-1436943.5535,-70357.7383,-310714.0313,-23225,,,,,
"AUJ",2059,,,,,,,,,,,-53181.6997,,-88271.9375,-20917.49,,,,,,,0,,,
"AV-8 HARRIER",795,7356657,7978422,14129256,605710,,,,,,-3477,,0,,,,,,,,,,,,
"AV-8B",63,,,,,,2199651.5,,,,90909.375,-259159.705,-21.16,617375.6914,,-42776.5,-1311062.9151,-346290.2501,-265576.3325,0,-207994.2197,,,,
"AV-8B REMANUFACTURE",1818,,,,,0,284741,,,1719.11,2095644.2742,132925.8856,-322510.3379,107322.5281,-157475.15,-439191.77,-47990.9291,,,,-283410.9063,,,,
"AVENGER (FAADS LOS-R)",1876,,,,,,,,,,,,22199.5801,300680.8438,232415.1,99235.36,0,,,,,,,,
"AVG",1910,,,,,,,,,,,-1056510.9375,-59079.7891,-205370.1074,,-11676.35,-759905.3125,,,,,,,,
"AVIONICS",488,,,,,,,,,,,-18913,,,,,,,,,,,,,
"AVK",2060,,,,,,,,,,,,,,,,-570514.3125,,,,,,,,
"AWACS RSIP (E-3)",1815,,,,,0,,,,0,1776496.0234,1081473.7803,-16639.3996,258325.9605,2027666,-101198.36,-761698.5,-269997.5196,-185139.1563,-450858.8581,-443418.0498,-1072105.5234,,-5959.01,-14404
