"Fiscal_Year","PlatformPortfolioUAV","TopEntityText","Toppos","Action_Obligation_Then_Year","Action_Obligation_OMB23_GDP21"
1996,"Remotely Operated",NA,8,700768,1151076.69572637
1996,"Remotely Operated",NA,9,368520,605328.416692944
1996,"Remotely Operated",NA,10,335665,551361.019725488
1997,"Remotely Operated","All Other",0,5115236,8230251.60023222
1997,"Remotely Operated",NA,1,30024408,48308315.0001339
1997,"Remotely Operated",NA,2,18750000,30168152.0665623
1997,"Remotely Operated",NA,3,15315937,24642854.2110874
1997,"Remotely Operated",NA,4,9330347,15012230.7802557
1997,"Remotely Operated",NA,5,8092812,13021076.4299787
1997,"Remotely Operated",NA,6,7898845,12708989.7125443
1997,"Remotely Operated",NA,7,7372804,11862606.5188778
1997,"Remotely Operated",NA,8,5528482,8895151.23590681
1997,"Remotely Operated",NA,9,3135572,5045035.35528827
1997,"Remotely Operated",NA,10,2774000,4463277.53774101
1998,"Remotely Operated","All Other",0,4303638,6867039.5566851
1998,"Remotely Operated",NA,1,136716255,218149372.955357
1998,"Remotely Operated",NA,2,32201847,51382425.089499
1998,"Remotely Operated",NA,3,27187689,43381654.2696789
1998,"Remotely Operated",NA,4,16357635,26100830.645797
1998,"Remotely Operated",NA,5,8762319,13981471.2996989
1998,"Remotely Operated",NA,6,3629885,5791975.04093464
1998,"Remotely Operated",NA,7,3446278,5499005.10901094
1998,"Remotely Operated",NA,8,2717592,4336287.52300518
1998,"Remotely Operated",NA,9,2261263,3608152.56047754
1998,"Remotely Operated",NA,10,1026448,1637837.34107755
1999,"Remotely Operated","All Other",0,3455696,5448568.71632309
1999,"Remotely Operated",NA,1,35140120,55405150.9507316
1999,"Remotely Operated",NA,2,26532301,41833270.4036084
1999,"Remotely Operated",NA,3,22362168,35258254.4859158
1999,"Remotely Operated",NA,4,14649172,23097234.3282616
1999,"Remotely Operated",NA,5,7620895,12015805.2350042
1999,"Remotely Operated",NA,6,6342076,9999501.37111119
1999,"Remotely Operated",NA,7,6282570,9905678.72871628
1999,"Remotely Operated",NA,8,4152000,6546425.75914475
1999,"Remotely Operated",NA,9,3296117,5196961.76154983
1999,"Remotely Operated",NA,10,2802282,4418335.99932265
2000,"Remotely Operated","All Other",0,3841608,5905526.7175443
2000,"Remotely Operated","UNITED INDUSTRIAL",1,41594452,63941231.7934609
2000,"Remotely Operated","TRW [NORTHROP GRUMMAN]",2,34763587,53440458.2211864
2000,"Remotely Operated","TELEDYNE TECHNOLOGIES",3,16082256,24722510.0755692
2000,"Remotely Operated","RAYTHEON",4,15886701,24421892.3974382
2000,"Remotely Operated","BAE SYSTEMS",5,9410873,14466900.823019
2000,"Remotely Operated","787790906",6,6405333,9846622.86372482
2000,"Remotely Operated","LOCKHEED MARTIN",7,6148919,9452449.45307167
2000,"Remotely Operated","NORTHROP GRUMMAN",8,4434052,6816263.54198053
2000,"Remotely Operated","002417004",9,2852111,4384418.63717016
2000,"Remotely Operated","275374015",10,2417404,3716163.62447664
2001,"Remotely Operated","All Other",0,2837852,4249422.24160094
2001,"Remotely Operated","UNITED INDUSTRIAL",1,52037040,77920679.1485525
2001,"Remotely Operated","NORTHROP GRUMMAN",2,34818170,52137005.7387921
2001,"Remotely Operated","TRW [NORTHROP GRUMMAN]",3,33510929,50179532.6286607
2001,"Remotely Operated","BAE SYSTEMS",4,10242478,15337168.3309448
2001,"Remotely Operated","RAYTHEON",5,8723442,13062551.6968876
2001,"Remotely Operated","HERLEY INDUSTRIES",6,7479894,11200452.9934674
2001,"Remotely Operated","002417004",7,2314662,3465993.35856434
2001,"Remotely Operated","787790906",8,1743967,2611430.10925801
2001,"Remotely Operated","TELEDYNE TECHNOLOGIES",9,1423748,2131931.62209828
2001,"Remotely Operated","MARCONI",10,1318779,1974750.20344833
2002,"Remotely Operated","All Other",0,3144104,4635908.32034887
2002,"Remotely Operated","UNITED INDUSTRIAL",1,71316387,105154356.176043
2002,"Remotely Operated","RAYTHEON",2,36930967,54453853.0512443
2002,"Remotely Operated","TRW [NORTHROP GRUMMAN]",3,34515773,50892705.5956078
2002,"Remotely Operated","MARCONI",4,9157710,13502830.6901877
2002,"Remotely Operated","147543086",5,6653770,9810829.31884177
2002,"Remotely Operated","NORTHROP GRUMMAN",6,4438652,6544689.27806878
2002,"Remotely Operated","LOCKHEED MARTIN",7,2029313,2992174.88393899
2002,"Remotely Operated","062090816",8,1286553,1896992.51591862
2002,"Remotely Operated","275374015",9,1205302,1777189.8036239
2002,"Remotely Operated","DRS",10,750197,1106148.05178224
2003,"Remotely Operated","All Other",0,5057186,7245873.89272931
2003,"Remotely Operated","NORTHROP GRUMMAN",1,154399623,221221880.576065
2003,"Remotely Operated","TEXTRON",2,109353581,156680465.706494
2003,"Remotely Operated","GENERAL ATOMICS",3,79133711,113381807.702878
2003,"Remotely Operated","BAE SYSTEMS",4,22287427,31933151.24961
2003,"Remotely Operated","RAYTHEON",5,18737914,26847452.6855067
2003,"Remotely Operated","787790906",6,9955794,14264539.1777149
2003,"Remotely Operated","147543086",7,5891250,8440910.53216978
2003,"Remotely Operated","LOCKHEED MARTIN",8,3047832,4366896.19844415
2003,"Remotely Operated","L3 COMMUNICATIONS",9,2258032,3235280.47371549
2003,"Remotely Operated","002417004",10,2083094,2984631.45921488
2004,"Remotely Operated","All Other",0,4242273,5921143.06226035
2004,"Remotely Operated","TEXTRON",1,214265715,299060893.028927
2004,"Remotely Operated","NORTHROP GRUMMAN",2,49545077,69152430.5361076
2004,"Remotely Operated","AEROVIRONMENT",3,35163563,49079464.4997634
2004,"Remotely Operated","GENERAL ATOMICS",4,28174836,39324964.4027443
2004,"Remotely Operated","BAE SYSTEMS",5,24090961.8438,33624906.1728454
2004,"Remotely Operated","147543086",6,12358630,17249530.2125871
2004,"Remotely Operated","LOCKHEED MARTIN",7,3086296,4307690.74703158
2004,"Remotely Operated","UNITED TECH",8,2162303,3018029.58153677
2004,"Remotely Operated","HONEYWELL",9,1654954,2309898.34823455
2004,"Remotely Operated","075611215",10,1470072,2051849.70977191
2005,"Remotely Operated","All Other",0,14845768,20033637.4158021
2005,"Remotely Operated","TEXTRON",1,394541585,532414561.465993
2005,"Remotely Operated","UNITED TECH",2,194167424,262019436.810296
2005,"Remotely Operated","NORTHROP GRUMMAN",3,84379144,113865525.606473
2005,"Remotely Operated","GENERAL ATOMICS",4,73489302,99170216.7384256
2005,"Remotely Operated","AEROVIRONMENT",5,61085572,82431990.0987861
2005,"Remotely Operated","147543086",6,29580811,39917856.8626003
2005,"Remotely Operated","BAE SYSTEMS",7,26438252.8437,35677128.4165282
2005,"Remotely Operated","ROCKWELL COLLINS",8,22294927,30085912.9503962
2005,"Remotely Operated","RAYTHEON",9,13616369,18374623.6278088
2005,"Remotely Operated","884457813",10,4996391,6742385.14852024
2006,"Remotely Operated","All Other",0,-859425.8994,-1120366.33696694
2006,"Remotely Operated","TEXTRON",1,255179503,332657562.734319
2006,"Remotely Operated","NORTHROP GRUMMAN",2,194331584,253334889.110351
2006,"Remotely Operated","GENERAL ATOMICS",3,182301444,237652136.362954
2006,"Remotely Operated","AEROVIRONMENT",4,70520501,91932062.3704761
2006,"Remotely Operated","ROCKWELL COLLINS",5,62707896,81747380.186555
2006,"Remotely Operated","RAYTHEON",6,45591518,59434096.7081429
2006,"Remotely Operated","147543086",7,33439855,43592923.9288824
2006,"Remotely Operated","BAE SYSTEMS",8,32280142,42081096.7816554
2006,"Remotely Operated","933691552",9,9914985,12925390.5814188
2006,"Remotely Operated","UNITED TECH",10,5013093,6535177.31453719
2007,"Remotely Operated","All Other",0,11151412.5361,14143075.7897059
2007,"Remotely Operated","NORTHROP GRUMMAN",1,587664147.2871,745320697.899775
2007,"Remotely Operated","TEXTRON",2,293932779,372788071.198893
2007,"Remotely Operated","GENERAL ATOMICS",3,227265739.9688,288235824.32961
2007,"Remotely Operated","RAYTHEON",4,119569297,151646943.749808
2007,"Remotely Operated","AEROVIRONMENT",5,109266824.0937,138580558.243622
2007,"Remotely Operated","ROCKWELL COLLINS",6,108626649,137768639.140139
2007,"Remotely Operated","ORBITAL SCIENCES",7,48115847,61024203.7592924
2007,"Remotely Operated","147543086",8,38794839.5877,49202587.9916209
2007,"Remotely Operated","BAE SYSTEMS",9,33094252,41972666.0388909
2007,"Remotely Operated","ROLLS ROYCE",10,3663577,4646429.05144862
2008,"Remotely Operated","All Other",0,21038375.5059,25785232.8948677
2008,"Remotely Operated","TEXTRON",1,793006641.9219,971931551.625683
2008,"Remotely Operated","NORTHROP GRUMMAN",2,637648054.5312,781519637.123852
2008,"Remotely Operated","GENERAL ATOMICS",3,203489255.6094,249402233.837882
2008,"Remotely Operated","RAYTHEON",4,113335326,138907007.116885
2008,"Remotely Operated","ROCKWELL COLLINS",5,105219498,128960016.910536
2008,"Remotely Operated","AEROVIRONMENT",6,92759662.9805,113688887.838838
2008,"Remotely Operated","147543086",7,40610369.2844,49773226.5331596
2008,"Remotely Operated","BAE SYSTEMS",8,24022458.3282,29442609.8881152
2008,"Remotely Operated","L3 COMMUNICATIONS",9,23369066.4063,28641794.1182335
2008,"Remotely Operated","ATK",10,13283987,16281233.2383428
2009,"Remotely Operated","All Other",0,66816227.6096,82013671.9325277
2009,"Remotely Operated","NORTHROP GRUMMAN",1,1417322078.7437,1739693965.78314
2009,"Remotely Operated","GENERAL ATOMICS",2,319799443.48,392538273.711299
2009,"Remotely Operated","TEXTRON",3,277619517.4902,340764464.622911
2009,"Remotely Operated","ROCKWELL COLLINS",4,114840216,140960783.579637
2009,"Remotely Operated","HONEYWELL",5,101266294.5,124299454.669489
2009,"Remotely Operated","AEROVIRONMENT",6,97547921.2501,119735332.228728
2009,"Remotely Operated","RAYTHEON",7,69267921.52,85023007.0482628
2009,"Remotely Operated","ORBITAL SCIENCES",8,46277005.99,56802775.6589205
2009,"Remotely Operated","BOEING",9,32256031.54,39592710.980689
2009,"Remotely Operated","ATK",10,25689130,31532158.5103878
2010,"Remotely Operated","All Other",0,43248754.2195,52149457.9758387
2010,"Remotely Operated","NORTHROP GRUMMAN",1,1182177022.7112,1425472064.53598
2010,"Remotely Operated","GENERAL ATOMICS",2,520024671.2813,627047072.934093
2010,"Remotely Operated","TEXTRON",3,505370343.1068,609376846.702336
2010,"Remotely Operated","AEROVIRONMENT",4,157155222.8125,189498167.881303
2010,"Remotely Operated","RAYTHEON",5,116179526,140089568.315429
2010,"Remotely Operated","147543086",6,71080671.8301,85709255.1079044
2010,"Remotely Operated","ATK",7,33591355,40504541.4032791
2010,"Remotely Operated","ORBITAL SCIENCES",8,31754624.1953,38289806.7215239
2010,"Remotely Operated","BOEING",9,31147380,37557590.1244135
2010,"Remotely Operated","BAE SYSTEMS",10,28963471.832,34924228.0938638
2011,"Remotely Operated","All Other",0,117098058.6003,137929551.282265
2011,"Remotely Operated","NORTHROP GRUMMAN",1,1382671238.4678,1628645476.89664
2011,"Remotely Operated","GENERAL ATOMICS",2,715107907.7111,842324065.898206
2011,"Remotely Operated","TEXTRON",3,545346697.5781,642362701.733293
2011,"Remotely Operated","AEROVIRONMENT",4,247572662.3144,291615306.273689
2011,"Remotely Operated","BOEING",5,120245271.2815,141636646.328046
2011,"Remotely Operated","RAYTHEON",6,108962398.5742,128346574.841849
2011,"Remotely Operated","074946559",7,88542468.86,104293983.566115
2011,"Remotely Operated","147543086",8,62604071.0961,73741200.6479324
2011,"Remotely Operated","TRW [NORTHROP GRUMMAN]",9,41748506,49175475.3931521
2011,"Remotely Operated","ATK",10,38896844,45816508.8588625
2012,"Remotely Operated","All Other",0,74253740.8291,85792772.1689559
2012,"Remotely Operated","GENERAL ATOMICS",1,1361280470.1741,1572823455.5144
2012,"Remotely Operated","TEXTRON",2,867413245.9063,1002209264.49553
2012,"Remotely Operated","NORTHROP GRUMMAN",3,858087395.0625,991434176.428714
2012,"Remotely Operated","AEROVIRONMENT",4,137180738.6087,158498625.416229
2012,"Remotely Operated","074946559",5,56533184.2813,65318441.1300448
2012,"Remotely Operated","RAYTHEON",6,48858544.2092,56451161.9891886
2012,"Remotely Operated","147543086",7,47942823.3984,55393138.1642052
2012,"Remotely Operated","GENERAL DYNAMICS",8,42489595,49092478.0715912
2012,"Remotely Operated","NAVMAR APPLIED SCIENCES",9,40574720,46880031.496204
2012,"Remotely Operated","ATK",10,31688723.0625,36613150.6328198
2013,"Remotely Operated","All Other",0,68476281.0275,78009756.5675071
2013,"Remotely Operated","GENERAL ATOMICS",1,864103105.68,984406160.963276
2013,"Remotely Operated","NORTHROP GRUMMAN",2,841263647.3201,958386923.936166
2013,"Remotely Operated","TEXTRON",3,273468647.5794,311541782.152962
2013,"Remotely Operated","BOEING",4,118324135.21,134797580.202785
2013,"Remotely Operated","AEROVIRONMENT",5,90854735.82,103503807.712294
2013,"Remotely Operated","NAVMAR APPLIED SCIENCES",6,68573050.88,78119999.0123848
2013,"Remotely Operated","ROLLS ROYCE",7,48949100,55763942.1694799
2013,"Remotely Operated","884457813",8,45330479.7,51641526.5756793
2013,"Remotely Operated","AURORA FLIGHT SCIENCES",9,41952528,47793286.1943424
2013,"Remotely Operated","RAYTHEON",10,30590530.88,34849437.3732307
2014,"Remotely Operated","All Other",0,24972506.8576,28001974.4126466
2014,"Remotely Operated","GENERAL ATOMICS",1,737033461.12,826444547.086614
2014,"Remotely Operated","NORTHROP GRUMMAN",2,591596605.5,663364439.312508
2014,"Remotely Operated","TEXTRON",3,190935204.4675,214097957.424136
2014,"Remotely Operated","BOEING",4,172038314.69,192908646.032792
2014,"Remotely Operated","NAVMAR APPLIED SCIENCES",5,93810245.27,105190564.274295
2014,"Remotely Operated","AEROVIRONMENT",6,88777045.01,99546775.8593823
2014,"Remotely Operated","ATK",7,26675257.63,29911289.47788
2014,"Remotely Operated","FLIR SYSTEMS",8,18191712,20398587.0081444
2014,"Remotely Operated","AURORA FLIGHT SCIENCES",9,10468231.82,11738155.1335958
2014,"Remotely Operated","884457813",10,10326021,11578692.4186369
2015,"Remotely Operated","All Other",0,14552975.0884,16231786.2811014
2015,"Remotely Operated","GENERAL ATOMICS",1,1257267383.2331,1402304019.54759
2015,"Remotely Operated","NORTHROP GRUMMAN",2,820214966.4231,914833836.976234
2015,"Remotely Operated","TEXTRON",3,262798369.9784,293114428.534364
2015,"Remotely Operated","BOEING",4,257694709.5393,287422016.845649
2015,"Remotely Operated","AEROVIRONMENT",5,69936648.8412,78004444.4734636
2015,"Remotely Operated","RAYTHEON",6,60476125.3697,67452568.0245626
2015,"Remotely Operated","Orbital ATK",7,34283693.375,38238613.0952275
2015,"Remotely Operated","884457813",8,28074108.5077,31312699.0571615
2015,"Remotely Operated","AURORA FLIGHT SCIENCES",9,16741000,18672218.7374949
2015,"Remotely Operated","NAVMAR APPLIED SCIENCES",10,10419019.918,11620943.7273288
2016,"Remotely Operated","All Other",0,23402802.666,25939752.6823073
2016,"Remotely Operated","NORTHROP GRUMMAN",1,1094819018.9835,1213501433.55169
2016,"Remotely Operated","GENERAL ATOMICS",2,914964934.4485,1014150503.73683
2016,"Remotely Operated","BOEING",3,278039161.9562,308179631.306207
2016,"Remotely Operated","TEXTRON",4,217539241.6222,241121296.748559
2016,"Remotely Operated","RAYTHEON",5,98209556.5195,108855834.214079
2016,"Remotely Operated","884457813",6,24280766.75,26912891.3071095
2016,"Remotely Operated","AEROVIRONMENT",7,19115881.4488,21188113.4137226
2016,"Remotely Operated","GOODRICH",8,11719591,12990037.8350605
2016,"Remotely Operated","NAVMAR APPLIED SCIENCES",9,11123084.8985,12328868.2748489
2016,"Remotely Operated","179328117",10,7809418.0312,8655987.71280427
2017,"Remotely Operated","All Other",0,38522516.3152,41989542.7680319
2017,"Remotely Operated","GENERAL ATOMICS",1,1465524728.5849,1597421953.56649
2017,"Remotely Operated","NORTHROP GRUMMAN",2,1127425288.6698,1228893564.19539
2017,"Remotely Operated","BOEING",3,297852063.4937,324658749.088009
2017,"Remotely Operated","TEXTRON",4,112229285.7032,122329921.371226
2017,"Remotely Operated","884457813",5,64189919.3281,69967012.0417412
2017,"Remotely Operated","GOODRICH",6,57404156,62570530.0168489
2017,"Remotely Operated","L3 COMMUNICATIONS",7,34882037,38021420.3159321
2017,"Remotely Operated","RAYTHEON",8,22184352.9883,24180944.7483
2017,"Remotely Operated","AEROVIRONMENT",9,15262079.7373,16635666.9075018
2017,"Remotely Operated","831650044",10,8451981,9212659.28659132
2018,"Remotely Operated","All Other",0,71449168.407,76141273.9049084
2018,"Remotely Operated","GENERAL ATOMICS",1,1365944367.4057,1455646672.12159
2018,"Remotely Operated","NORTHROP GRUMMAN",2,1206739387.8281,1285986615.50635
2018,"Remotely Operated","BOEING",3,371561450.8864,395962092.144866
2018,"Remotely Operated","RAYTHEON",4,231699720.125,246915565.947998
2018,"Remotely Operated","GOODRICH",5,47514852,50635178.0061969
2018,"Remotely Operated","AEROVIRONMENT",6,29388847.5548,31318829.0544246
2018,"Remotely Operated","884457813",7,24436171.164,26040907.7287884
2018,"Remotely Operated","TEXTRON",8,23940521.3349,25512708.3075796
2018,"Remotely Operated","L3 COMMUNICATIONS",9,18085040,19272694.3493203
2018,"Remotely Operated","050590710",10,14312806,15252735.7041576
2019,"Remotely Operated","All Other",0,113509444.0112,118869583.669606
2019,"Remotely Operated","GENERAL ATOMICS",1,2001591017.445,2096110090.16161
2019,"Remotely Operated","NORTHROP GRUMMAN",2,907736348.6195,950601448.030367
2019,"Remotely Operated","BOEING",3,344384645.9348,360647167.652722
2019,"Remotely Operated","RAYTHEON",4,172958971.0625,181126434.555474
2019,"Remotely Operated","GENERAL ELECTRIC",5,163854482.5,171592014.099302
2019,"Remotely Operated","AEROVIRONMENT",6,62107487.9341,65040325.9200452
2019,"Remotely Operated","BAE SYSTEMS",7,37116244.5,38868946.7165303
2019,"Remotely Operated","GOODRICH",8,29681008,31082603.6951263
2019,"Remotely Operated","884457813",9,26384399.1875,27630322.5173173
2019,"Remotely Operated","L3 COMMUNICATIONS",10,21225610,22227925.137088
2020,"Remotely Operated","All Other",0,104748456.8621,107512096.479232
2020,"Remotely Operated","GENERAL ATOMICS",1,1232640538.3633,1265162012.45039
2020,"Remotely Operated","NORTHROP GRUMMAN",2,929277662.2212,953795336.653492
2020,"Remotely Operated","BOEING",3,104133601.8734,106881019.412837
2020,"Remotely Operated","TEXTRON",4,34061672.271,34960341.232184
2020,"Remotely Operated","884457813",5,29221164,29992123.0089276
2020,"Remotely Operated","AEROVIRONMENT",6,24883691.5528,25540212.4969351
2020,"Remotely Operated","943555243",7,21827267.7002,22403149.2316046
2020,"Remotely Operated","IRON BOW TECHNOLOGIES",8,21763606.4125,22337808.3310297
2020,"Remotely Operated","BAE SYSTEMS",9,21141355,21699139.6966735
2020,"Remotely Operated","RAYTHEON",10,20726986.8438,21273839.0237868
2021,"Remotely Operated","All Other",0,68095593.471,68095593.471
2021,"Remotely Operated",NA,1,1241350383.9467,1241350383.9467
2021,"Remotely Operated",NA,2,540711463.9806,540711463.9806
2021,"Remotely Operated",NA,3,77297012.7531,77297012.7531
2021,"Remotely Operated",NA,4,74506672.25,74506672.25
2021,"Remotely Operated",NA,5,67838363.7257,67838363.7257
2021,"Remotely Operated",NA,6,62087081.3398,62087081.3398
2021,"Remotely Operated",NA,7,37562076.71,37562076.71
2021,"Remotely Operated",NA,8,18436832.8282,18436832.8282
2021,"Remotely Operated",NA,9,16846389.96,16846389.96
2021,"Remotely Operated",NA,10,13235617.3984,13235617.3984
