"PlatformPortfolioUAV","SimpleArea","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Land Vehicles","Products",27.1064380392851,20.4680139627801,11.3882685867915,7.08059899345373,5.54631298919676,7.06475107173628,7.11260573856488,7.76496384286533,10.6370435317108,11.1279126061924,9.80993708459902,7.2782559500575
"Space Systems","Services (Non-R&D)",0.82378206430449,0.73603415659382,0.723383381474865,2.14773315736389,3.38783667843271,2.34473571097202,2.20036723683495,2.73414661499405,2.27327646374559,2.44191763747465,1.80746739494282,1.5948189238206
"Space Systems","R&D",6.29229464585675,7.51040316405542,6.20372396560074,4.56491282368583,3.06000563410772,3.18163959129296,3.28025568871725,3.41499517561913,3.48975533253418,4.02003520575578,5.03160030017666,6.3610830306657
"Space Systems","Products",3.84390565680114,3.88402789597488,4.56834897193704,1.91261628600609,2.35388089150534,1.12457790897888,1.25388901341158,0.445988639810615,0.572938627774196,1.0952672056988,0.65518041167952,0.9651714779357
"Air & Missile
Defense","Services (Non-R&D)",1.08470654169791,1.11872318304068,1.31617356516504,1.26673979388796,1.30005707117914,1.52544927806305,1.5438188830315,1.58006918546239,1.38582801202699,1.7836817479112,2.12350823458116,1.9340954098814
"Air & Missile
Defense","R&D",5.66259910000333,4.28181904935412,3.92269712320339,2.86916816310588,2.81827704779341,2.2417995459278,2.22352413892227,2.50241955545074,2.48833696957378,2.85397652044961,2.48757728564572,3.3097539721894
"Air & Missile
Defense","Products",5.9650575465232,7.45071303183999,7.71018399829786,8.17674302609155,5.43127309542365,6.69413074994541,7.3010006560504,5.32771030203145,10.4346399047816,10.8916809290189,15.2684720391508,6.8536910227873
"Ordnance &
Missiles","Services (Non-R&D)",2.63850800438945,2.23536576457631,2.14948795618041,1.66695582382281,1.82006922040167,1.78377199713012,2.4747123930924,2.84737553037157,3.19736561521437,2.70460550599309,3.01042183089717,3.2861502144797
"Ordnance &
Missiles","R&D",1.10031549361701,0.792971034667967,1.07088090097745,0.822617492401818,0.90000474718281,0.730418652033758,0.848555762179367,0.665252453257168,0.628213172375876,1.02826748916828,0.747879888711014,0.8012080051906
"Ordnance &
Missiles","Products",16.3822777032951,15.1420591732962,14.8962270952215,12.3665929206229,11.3839055786917,12.2652666907696,14.9388453731111,16.1561087447755,19.2580783101788,20.2699467367042,20.6099909569687,17.7298837042895
"Ordnance &
Missiles","Unlabeled",,,,,,,,,,,0,
"Electronics,
Comms, & Sensors","Services (Non-R&D)",28.553151373528,27.4046308827906,24.1341779303738,20.5822370908965,18.9451980396797,17.5305516146104,19.6803282819076,19.9015568876147,21.819351088438,23.4799047276917,25.3439231944845,22.8931920416017
"Electronics,
Comms, & Sensors","R&D",9.10584672205158,9.05410337330238,8.22409107935544,6.12456859192845,6.45303089953971,6.08126591205391,6.41266450059858,6.60456646462685,7.35496600481958,7.6284216648321,7.2774285548128,5.7804176739111
"Electronics,
Comms, & Sensors","Products",29.8890095396335,24.9987552936345,24.7559316532613,19.9320435836913,20.1667694567533,20.3820921095021,21.7470917535176,23.1785762912261,25.0672358420837,26.2798910331135,23.7930354535723,20.8221987331803
"Electronics,
Comms, & Sensors","Unlabeled",,,,0,,,,,,,,
