"SimpleArea","PlatformPortfolioUAV","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"R&D","Land Vehicles",0.142957467212848,0.197416019961783,1.32368309055682,0.663200023242012,0.390823332271277,0.42958294183732,2.52039152084772,3.1253158622093,0.718662758202541,1.14547176223116,0.742867231102369,0.894821284015635
"R&D","Air & Missile
Defense",0.382830284150011,0.464653786551637,0.402977582899702,0.27108878277339,0.260719179841502,0.325067660427258,0.203413084241237,0.166859944583073,0.269237242375803,0.332213100214726,0.324513134544244,0.422101307378129
"R&D","Ordnance &
Missiles",0.488217040217591,0.3188768358965,0.275123237496671,0.446547907796997,0.37526725111547,0.415007423499685,0.498583100465943,0.521851736857318,0.613768529647291,0.561530213315224,0.328087543746424,0.297377208577547
"R&D","Other Knowledge
Based",0.616919588273761,0.61548684385654,0.620825321644761,0.648499132148355,0.623797176981648,0.626865482160401,0.595528161098084,0.586604596071331,0.585388441436668,0.559369334742599,0.473428689395915,0.587574363973151
"R&D","Remotely Crewed",0.911460242009865,0.789536067056194,0.867423762864781,0.966393546736985,0.962638429631802,0.995563133049903,0.931299544760991,0.935150327851753,0.930656418334665,0.994141734410965,0.57441063304487,1.03624322687286
"R&D","Ships &
Submarines",0.169897248366469,0.214208938226031,0.256791460657147,0.402019848331527,0.269528375673825,0.332703329934188,0.232821283791411,0.204641679127381,0.155598293555374,0.195528946355003,0.543224586193812,0.346876703641325
"R&D","Space Systems",0.4931849661347,0.418495974804031,0.386856835916885,0.411396804647692,0.398090849512555,0.371742320830244,0.38735154636813,0.349849166929869,0.363298575079271,0.365422578049177,0.347546299079783,0.323920795832577
"Services (Non-R&D)","Aircraft",0.397057513873009,0.409270474324213,0.299712760897788,0.338897247197192,0.340390526945941,0.335480479333051,0.32957636503793,0.335992075833472,0.375146614709135,0.370328318571656,0.361024294346705,0.348601550184365
"Services (Non-R&D)","Electronics,
Comms, & Sensors",0.516073145886922,0.513169343973695,0.518594565739062,0.546227396785359,0.580161443233099,0.584411173994062,0.599166966765163,0.611156787180363,0.601496528966978,0.619916295656284,0.623703976461318,0.621673453202844
"Services (Non-R&D)","Facilities &
Construction",0.726991145668125,0.733215781480322,0.759357930406264,0.759584774310889,0.762885383291235,0.746753132608672,0.7612589952599,0.785791369011566,0.782341196809626,0.799032053295882,0.778498115704223,0.788100907139388
"Services (Non-R&D)","Land Vehicles",0.412575768153088,0.254981211418349,0.227382058101549,0.261066144490655,0.333714663653746,0.33497195124096,0.37516520050378,0.435924121072576,0.524545634244967,0.337447593018853,0.242406378804996,0.283212863955105
"Services (Non-R&D)","Air & Missile
Defense",0.193727078477225,0.317133950461519,0.457050152780002,0.445359883783478,0.481928888076961,0.423322098816566,0.346702714558331,0.314008878465569,0.488080301847532,0.44554354741989,0.403018729917808,0.43706182333892
"Services (Non-R&D)","Ordnance &
Missiles",0.389002771002558,0.419133751749661,0.514021555672059,0.295118650060666,0.335123469832205,0.336837557715798,0.293718558835304,0.345846604568044,0.318277182401209,0.291870768235475,0.309298975452013,0.357931039641809
"Services (Non-R&D)","Other Knowledge
Based",0.544541339996729,0.586840329161194,0.625136956157277,0.633699389871808,0.629976657390311,0.622583831325687,0.639615816904223,0.642628621992039,0.624706713544545,0.623189069783556,0.63177198384782,0.582000980446897
"Services (Non-R&D)","Other Services",0.724691172231203,0.732141509558097,0.758620759751029,0.751742735228387,0.747242561520356,0.748041515844698,0.728061512409573,0.707641468638041,0.681194539599932,0.698727251345693,0.586949089754258,0.652820244816866
"Services (Non-R&D)","Remotely Crewed",0.0581842496046255,-0.00233849572574174,0,-0.0188670556939812,0.102949442132792,0.0733414581114358,0.11271641445021,0.0304305904657584,0.00916912166688103,0.0106964160026906,0.010402728220536,0.00835801992726752
"Services (Non-R&D)","Ships &
Submarines",0.583793706226004,0.58587342210857,0.675381408331069,0.656880914562795,0.720242062292676,0.702200697857911,0.737200981404993,0.663584203195845,0.515660198765792,0.582648989981586,0.57543090564255,0.583871831454154
"Services (Non-R&D)","Space Systems",0.755655107405965,0.857582485325225,0.82824263444829,0.478185459943262,0.414697901792468,0.484615722461739,0.581118333305951,0.558798280817372,0.765478815923904,0.737223001290874,0.696266916058731,0.899656546185233
"Unlabeled","Unlabeled",0.335407421931366,-0.255389474459639,0.152147220979892,0.0310233939216157,0.180867609603425,0.0172139249733108,0.220739314534912,-0.0493855485066728,0.00455627525302922,0,0,-0.000960285867316791
