"PlatformPortfolioUAV","EntityText","EntityID","TotalSpend","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","TotalPos"
"Remotely Operated","591431932",1201355,61778.027867314,,,,,,,,,,,61778.027867314,,237
"Remotely Operated","012935613",1158618,59933.8488491579,,,,,,,,34877.9946050951,25055.8542440628,0,,,238
"Remotely Operated","361317902",461873,59872.9196496664,59872.9196496664,,,,,,,,,,,,239
"Remotely Operated","001306547",31334,59687.2260574876,59687.2260574876,,,,,,,,,,,,240
"Remotely Operated","MAGELLAN AEROSPACE",1154969,57637.0243443483,,,,,,,,,57637.0243443483,,,,241
"Remotely Operated","035877869",95766,55097.5237611621,,,55097.5237611621,,,,,,,,,,242
"Remotely Operated","617060983",405947,53712.1418890471,,53712.1418890471,0,,,,,,,,,,243
"Remotely Operated","033161810",729345,52899.8856237122,,,,,,,,,52899.8856237122,,,,244
"Remotely Operated","834951691",610473,51046.2132626152,,,,,,,,,,,51046.2132626152,,245
"Remotely Operated","079741350",766198,50829.0103828932,,,,,,,,,,,24859.0103828932,25970,246
"Remotely Operated","146882522",311734,50211.5181712925,,,,,,,50211.5181712925,,,,,,247
"Remotely Operated","040635272",22932,48115.6253559257,,,,,,,,,,39554.6210616774,8561.0042942483,,248
"Remotely Operated","622350184",463148,47475.1854351994,,,,,,,,,47475.1854351994,,,,249
"Remotely Operated","805835147",585043,46191.8912150377,,,,,,,46191.8912150377,,,,,,250
"Remotely Operated","244260399",348028,45619.1528042562,,,,,21192.798921505,24426.3538827512,,,,,,,251
"Remotely Operated","079959408",783263,45016.9999833437,,,,,,,,45016.9999833437,,,,,252
"Remotely Operated","CARAHSOFT TECHNOLOGY",684237,44130.5916006717,,,,,,,,44130.5916006717,,,,,253
"Remotely Operated","028620151",65780,38981.7839361714,,,,,,38981.7839361714,,,,,,,254
"Remotely Operated","787028992",541127,38673.0826903819,,38673.0826903819,,,,,,,,,,,255
"Remotely Operated","080380424",1064481,38572.919985728,,,,,,,,38572.919985728,,,,,256
"Remotely Operated","PARKER HANNIFIN",666913,37900.9134909365,,,,,,35769.5510967959,0,,2131.36239414055,,,,257
"Remotely Operated","068854635",176430,37275.759261631,,,,,,10510.6821598486,,,,34975.1193830691,-8210.04228128667,,258
"Remotely Operated","004279626",122228,35335.2808176403,,,,35335.2808176403,,,,,,,,,259
"Remotely Operated","790477488",1187593,35320.5843898533,,,,,,,,,35320.5843898533,,,,260
"Remotely Operated","ODYSSEY SYSTEMS CONSULTING GROUP",1216976,35229.5901066238,,,,,,,,,,,35229.5901066238,,261
"Remotely Operated","045389988",107950,34043.8610059577,,,34043.8610059577,,,,,,,,,,262
"Remotely Operated","020132288",131583,33278.8616418921,,,,,,16830.7616479779,,16448.0999939142,0,,,,263
"Remotely Operated","DILTEX",685886,30860.8705984465,,,,,,,,,,,30860.8705984465,,264
"Remotely Operated","008317422",139018,29500.4516142804,,29500.4516142804,,,,,,,,,,,265
"Remotely Operated","080589908",1207363,29083,,,,,,,,,,,,29083,266
"Remotely Operated","006019640",63013,28976.915067321,,,,,,,88396.3021733359,-59419.3871060148,0,,,,267
"Remotely Operated","561234918",1201277,27909.4223918924,,,,,,,,,,,27909.4223918924,,268
"Remotely Operated","035000484",1204812,27889.7208,,,,,,,,,,,,27889.7208,269
"Remotely Operated","049987720",34120,27612.5634289966,,,,,,,27612.5634289966,,,,,,270
"Remotely Operated","079234440",1193793,27540.3252074008,,,,,,,,,,,27540.3252074008,,271
"Remotely Operated","969547954",670949,27326.2863071874,,,,,,27326.2863071874,,,,,,,272
"Remotely Operated","801017315",517683,26602.0446824954,,,26602.0446824954,,,,,,,,,,273
"Remotely Operated","079339876",751632,25043.2576985745,,,,,,,,,25043.2576985745,,,,274
"Remotely Operated","081935501",1195912,24624.9949259445,,,,,,,,,,,24624.9949259445,,275
"Remotely Operated","080650716",237128,24242.2552017388,,,,,,,,,,25421.3133428349,-1179.05814109614,,276
"Remotely Operated","876848045",655834,24029.1161082579,,24029.1161082579,,,,,,,,,,,277
"Remotely Operated","079181076",208393,23467.1454654377,,,,,,23467.1454654377,,,,,,,278
"Remotely Operated","080647697",1143667,22759.6406,,,,,,,,,,,,22759.6406,279
"Remotely Operated","009477766",22820,22206.7902194327,,,,,,22206.7902194327,,,,,,,280
"Remotely Operated","078454658",1165686,22160.0125828328,,,,,,,,,,22160.0125828328,,,281
"Remotely Operated","080154182",999996,21963.4999918735,,,,,,,,21963.4999918735,,,,,282
"Remotely Operated","026375048",33610,21519.8593100377,,,,,,,,21519.8593100377,,,,,283
"Remotely Operated","828978465",583132,20944.4394173717,,,,,,,,,,20944.4394173717,,,284
"Remotely Operated","053078127",77145,20797.2000036395,0,,20797.2000036395,,,,,,,,,,285
"Remotely Operated","079398783",239469,20500.2409374149,,,,,,,,20500.2409374149,,,,,286
"Remotely Operated","968636758",657375,20268.5499925006,,,,,,,,20268.5499925006,,,,,287
"Remotely Operated","965068661",683741,19858.3182466524,,,,,,,,19858.3182466524,,,,,288
"Remotely Operated","080259256",1207015,19638.5801,,,,,,,,,,,,19638.5801,289
"Remotely Operated","780274457",443444,19394.5509004862,,,,,,,,,,19394.5509004862,,,290
"Remotely Operated","004755934",137159,19095.0246814511,,,,,,,19095.0246814511,,,,,,291
"Remotely Operated","947783122",621555,17852.482316547,,,,,,,17852.482316547,,,,,,292
"Remotely Operated","959391509",615566,17742.8765369028,,,,,,,,,,,17742.8765369028,,293
"Remotely Operated","824736110",593482,17006.3295912745,,,,,,,,,,,661586.314091275,-644579.9845,294
"Remotely Operated","035117198",1192317,16668.4693896856,,,,,,,,,,,16668.4693896856,,295
"Remotely Operated","111332990",205116,15804.6317131774,,,,,,15804.6317131774,,,,,,,296
"Remotely Operated","506152082",1184612,15794.9941211559,,,,,,,,15794.9941211559,0,,,,297
"Remotely Operated","080667085",1171214,15479.9199,,,,,,,,,,,,15479.9199,298
"Remotely Operated","079396385",1166876,15325,,,,,,,,,,,,15325,299
"Remotely Operated","055094654",1163158,13481.9356529622,,,,,,,,,,13481.9356529622,,,300
"Remotely Operated","089938500",179552,12345.9492320698,,,,,,12345.9492320698,0,,,,,,301
"Remotely Operated","008385312",141166,12297.6318964442,,,,,,12297.6318964442,,,,,,,302
"Remotely Operated","032623239",25048,12176.725151169,12176.725151169,0,,,,,,,,,0,,303
"Remotely Operated","784424819",500931,12054.8751836119,,,,,,,,,,,12054.8751836119,,304
"Remotely Operated","694308065",501737,11447.364447749,,,,,,,6186.61035869547,5260.75408905352,,,,,305
"Remotely Operated","557410888",415341,11392.8577725068,,,,,,,,,,,11392.8577725068,,306
"Remotely Operated","112358432",217891,10995,,,,,,,,,,,,10995,307
"Remotely Operated","MICROTECHNOLOGIES",662638,10448.81037252,,,,,,,,,,,10448.81037252,,308
"Remotely Operated","021451313",158237,10027.9999962896,,,,,,,,10027.9999962896,,,,,309
"Remotely Operated","073338113",139705,9342.95655175162,,,,,,,9342.95655175162,,,,,,310
"Remotely Operated","806338278",594391,9262.27499657296,,,,,,,,9262.27499657296,,,,,311
"Remotely Operated","058372491",143790,8749.73867859103,,,,,,,8749.73867859103,,,,,,312
"Remotely Operated","103645771",228601,8373.17580648241,,,,,,,,,8373.17580648241,,,,313
"Remotely Operated","824737449",593492,8169.54999697727,,,,,,,,8169.54999697727,,,,,314
"Remotely Operated","131256679",266122,8153.11443246737,,8153.11443246737,,,,,,,,,,,315
"Remotely Operated","071159078",214025,8007.77349915808,,8007.77349915808,,,,,,,,,,,316
"Remotely Operated","490193476",447840,7768.73823925992,,,,,,,,,7768.73823925992,,,,317
"Remotely Operated","006582779",81520,7763.24831612171,,,,,,,7763.24831612171,,,,,,318
"Remotely Operated","080069116",1168414,7694.79772256609,,,,,,,,,,,7694.79772256609,,319
"Remotely Operated","126506042",298230,7379.29999726966,,,,,,,,7379.29999726966,,,,,320
"Remotely Operated","074257978",153623,7216.37030234704,,,,,,7216.37030234704,,,,,,,321
"Remotely Operated","122841880",264203,7073.92104694202,,,,,,,,,7073.92104694202,,,,322
"Remotely Operated","ASTRONICS",683050,6619.37378048296,6619.37378048296,,,,,,,,,,,,323
"Remotely Operated","831150474",540025,6369.05279757398,,,,,6369.05279757398,,,,,,,,324
"Remotely Operated","COMTEQ FEDERAL",685119,6035.13546867929,,,,,,,,,,,6035.13546867929,,325
"Remotely Operated","140987723",304833,5930.41916671392,,,,5930.41916671392,,,,,,,,,326
"Remotely Operated","003245271",87006,5856.58296891348,5856.58296891348,,,,,,,,,,,,327
"Remotely Operated","018872745",108526,5746.2718669516,,,,,,5746.2718669516,,,,,,,328
"Remotely Operated","ELBIT SYSTEMS",686424,5542.01841816002,,,,0,0,,5542.01841816002,,0,,,0,329
"Remotely Operated","006096200",66076,5449.27592471754,,,,,,,,,,,5449.27592471754,,330
"Remotely Operated","625694500",513396,5199.30000090988,,,5199.30000090988,,,,,,,,,,331
"Remotely Operated","557711222",419990,4783.5298,,,,,,,,,,,,4783.5298,332
"Remotely Operated","005481959",699107,4693.52931626339,,,,,,,,4693.52931626339,,,,,333
"Remotely Operated","060487915",172522,4552.71664976772,,4552.71664976772,,,,,,,,,,,334
"Remotely Operated","828725163",575509,4466.99273059235,,,,,,,,,4466.99273059235,,,,335
"Remotely Operated","152431941",1200005,4359.51315535186,,,,,,,,,,,4359.51315535186,,336
"Remotely Operated","600809656",447478,4184.85880073235,,,4184.85880073235,,,,,,,,,,337
"Remotely Operated","010511603",43599,4118.51748994306,,,,,,4118.51748994306,,,,,,,338
"Remotely Operated","008232175",136153,3547.47109214401,3547.47109214401,,,,,,,,,,,,339
"Remotely Operated","QINETIQ GROUP",668498,3499.96801840074,,,,,,,,,,,3499.96801840074,,340
"Remotely Operated","196423024",360711,3038.5,,,,,,,,,,,,3038.5,341
"Remotely Operated","052487667",67136,2744.10164143955,,,,,,,,,2744.10164143955,,,,342
"Remotely Operated","615284747",526399,1386.79970099842,,,,,,,,,1386.79970099842,,,,343
"Remotely Operated","166889407",285500,1136.1137757228,,,,,,,1136.1137757228,,,,,,344
"Remotely Operated","012839655",79927,842.569999688249,,,,,,,,842.569999688249,,,,,345
"Remotely Operated","BELL BOEING JOINT PROJECT OFFICE [BELL/BOEING]",683474,803.373554062582,,,,,,,,,363.116579923926,,440.256974138655,,346
"Remotely Operated","007569754",110936,717.452515236467,717.452515236467,,,,,,,,,,,,347
"Remotely Operated","042653634",52853,717.292359825614,,,,,,,717.292359825614,,,,,,348
"Remotely Operated","962056359",643444,544.99999979835,,,,,,,,544.99999979835,,,,,349
"Remotely Operated","078372376",224244,490.728320271217,,,,,,,,,,490.728320271217,,,350
"Remotely Operated","506158623",957033,282.806371293384,,,,,,,,12670.193022312,-12387.3866510186,,,,351
"Remotely Operated","ROBERTSON FUEL SYSTEMS",669465,217.215200038013,,,217.215200038013,,,,,,,,,,352
"Remotely Operated","961600272",629785,216.712114651545,,,,,,,,,,216.712114651545,,,353
"Remotely Operated","797022808",580079,0,0,0,,,,,,,,,,,363
"Remotely Operated","933847006",662874,0,0,,,,,,,,0,,,,363
"Remotely Operated","153420448",283162,0,,,,,,,0,,,0,,,363
"Remotely Operated","603978321",497461,0,,,,,,,0,,,,,,363
"Remotely Operated","826286028",645557,0,,,,,,,0,,,,,,363
"Remotely Operated","080198742",207214,0,,,,,,,,0,,,,,363
"Remotely Operated","008523342",144006,0,,,,,,,,,0,,,,363
"Remotely Operated","097977268",155362,0,,,,,,,,,0,,,,363
"Remotely Operated","168834591",313901,0,,,,,,,,,0,,,,363
"Remotely Operated","967356127",626955,0,,,,,,,,,0,,,,363
"Remotely Operated","GEORGIA INSTITUTE OF TECHNOLOGY",649631,0,,,,,,,,,0,,,,363
"Remotely Operated","079979463",783274,0,,,,,,,,,0,0,,0,363
"Remotely Operated","KAMPI COMPONENTS",1216954,0,,,,,,,,,0,,,,363
"Remotely Operated","103283024",222470,0,,,,,,,,,,0,,,363
"Remotely Operated","556421758",401472,0,,,,,,,,,,0,,,363
"Remotely Operated","941719007",583118,0,,,,,,,,,,0,,,363
"Remotely Operated","008898884",754436,0,,,,,,,,,,0,,,363
"Remotely Operated","240159772",1183047,0,,,,,,,,,,0,,,363
"Remotely Operated","807913616",513951,0,,,,,,,,,,,,0,363
"Remotely Operated","333902919",432564,-2017.32840035303,,,-2017.32840035303,,,,,,,,,,373
"Remotely Operated","SPARTA",671902,-16807.5126437621,-16807.5126437621,,,,,,,,,,,,374
"Remotely Operated","967026803",621107,-26874.3283611744,,-26874.3283611744,,,,,,,,,,,375
"Remotely Operated","790238851",489649,-27192,,,,,,,,,,,,-27192,376
"Remotely Operated","933691552",661895,-44681.8932799256,,0,,,,,,,,,-44681.8932799256,0,377
"Remotely Operated","949262737",631018,-93103.7193113526,,,,,,,,,,-93103.7193113526,,0,378
"Remotely Operated","831650044",559451,-578656.368409621,,,,,,,,,,-518269.314767509,-60387.053642112,,379
