"ProductOrServiceArea","ProductOrServiceCode","ProductOrServiceCodeText","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"ERS","J016","MAINT-REP OF AIRCRAFT COMPONENTS",,,,,,,,,,,,,,,,,,,,,,,517977,460866,921849,315121,2198790,16731.3399,0,-11360.6302,0,-14.39,-0.17,,
"ERS","J023","MAINT-REP OF VEHICLES-TRAILERS-CYC",,,,,,,,,,,,,,,,,,,,,,,,,,,,5057420.375,231255.0044,6139834,0,,-1456953.25,-54440.4805,
"ERS","J025","MAINT-REP OF VEHICULAR EQ",,,,,,,,,,,,,,,17187,,,,,,,,,,,,,,,,,,,,
"ERS","J026","MAINT-REP OF TIRES & TUBES",,,,,,,,,,,,,,,,6575,4840,,,,,,,,,,,,,,,,,,
"ERS","J028","MAINT-REP OF ENGINES & TURBINES",,,,,,,,,,,,,,,4938,4938,2845142,4575139,39421.7071,10552.1602,,,,,,,,,,,,,,,
"ERS","J029","MAINT-REP OF ENGINE ACCESSORIES",,,,,,,,,,,,,,,,39600,-7236,,,,,,,,,,,,,,,,,,
"ERS","J030","MAINT-REP OF MECH POWER TRANS EQ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25340.7793,,,
"ERS","J034","MAINT-REP OF METALWORK MACHINE",,,,,,,,,,,,,,,-62864,,,,,,,,,,,,,,,,,,,,
"ERS","J035","MAINT-REP OF SERVICE & TRADE EQ",,,,,,,,,,,,,,,,,367800,0,,,,,,,,,,,3374728,18406136,,,,0,
"ERS","J036","MAINT-REP OF SP INDUSTRY MACHINERY",,,,,,,,,,,,,,,10388,,,,,,,,,,,,,,,,,,,,
"ERS","J039","MAINT-REP OF MATERIALS HANDLING EQ",,,,,,,,,,,,,,,11700,21700,18700,-7549,-10749,,,,,,,,,,,,,,,,
"ERS","J043","MAINT-REP OF PUMPS & COMPRESSORS",,,,,,,,,,,,,,,,,,3702,,,,,,,,,,,,,,,,,
"ERS","J049","MAINT-REP OF MAINT REPAIR SHOP EQ",,,,,,,,,,,,,,,,,,,,,2228482,23257234.375,1602420.875,6836349.81,7084526.48,,-665647.1875,,,,,,0,,
"ERS","J053","MAINT-REP OF HARDWARE & ABRASIVES",,,,,,,,,,,,,,,,,,,,,,,,,137710,109495.4004,107701.2012,99251.2004,41388.47,-1283.75,,,,,
"ERS","J059","MAINT-REP OF ELECT-ELCT EQ",,,,,,,,,,,,,,,72383,241035,,13965,0,801992.8125,-187361.0547,,,,,,,,,,,,,,
"ERS","J061","MAINT-REP OF POWER DISTRIBUTION EQ",,,,,,,,,,,,,,,,12185,,,,,,,,,60848.3,,,,,,,,,,
"ERS","J066","MAINT-REP OF INSTRUMENTS & LAB EQ",,,,,,,,,,,,,,,,,,,,,,,,,33370,131825,77782.25,170030.5,-34619.9336,-18978.5,,,,,
"ERS","J069","MAINT-REP OF TRAINING AIDS-DEVICES",,,,,371116,362197,232314,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ERS","K014","MOD OF GUIDED MISSILES",,,,,,,,,,,,,,,,,8187028,1412548,3978632.25,45611429.75,1527902.875,45397404.6563,85251695.0625,55189146,-521579.85,-513400.4063,-3401940.5,292058.6137,-2644769.772,3315917.3609,5009534.5244,4793865.5637,-8721.1501,-414494.3893,
"ERS","K015","MOD OF AIRCRAFT",,,,,,,,,,,,,,,110000,562633,,,,,,,,,,,,,,,,,,,
"ERS","N026","INSTALL OF TIRES & TUBES",,,,,,,,,,,,,,,1800,,,,,,,,,,,,,,,,,,,,
"ERS","W054","LEASE OR RENTAL OF EQUIPMENT- PREFABRICATED STRUCTURES  AND SCAFFOLDING",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10629.6797,5174.3999,5690.8799,6544.4399,,
"Electronics & Communications","1230","FIRE CONTROL SYSTEMS, COMPLETE",,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,
"Electronics & Communications","1240","OPTICAL SIGHTING & RANGING EQUIPMEN",,,,,,,,,,,,,,,976361,26661954,1807829,3542509.1569,1177329.8389,2717468.6001,5368996.2701,12200.2002,,22652.5,,,34857.1992,,,,,,,,
"Electronics & Communications","1260","FIRE CONT DESIGNATING-INDICATING EQ",,,,,,,,,,,,,,,,,,,,,,,,,9250,,,,,,,,,,
"Electronics & Communications","1265","FIRE CONT EQ EXCEPT AIRBORNE",,,,,,,,,,,,,,,,,,,-2120,,,,,,,,,,,,,,,,
"Electronics & Communications","1270","AIRCRAFT GUNNERY FIRE CONT COMPS",,,,,,,,,,,,,,,,,,,,1490158.9688,4296528.4844,12876901.5626,0,-1170000.17,,,,,,,,,,,
"Electronics & Communications","1285","FIRE CONT RADAR EQ EXCEPT AIRBORNE",,,,,,,,,,,,,,,,,,,,,,97405,,,,,,,,,,,,,
"Electronics & Communications","1290","MISC FIRE CONT EQUIPMENT",,,,,,,,604590,,,,,,,,,,91468,,92842.3203,0,,,,,24480400,21673274.12,33360,2058770.75,0,,,,,
"Electronics & Communications","5810","COMM SECURITY EQ & COMPS",,,,,,,,,,,,,,,,,,,,,,,,14657600,0,0,,,,,,,,,
"Electronics & Communications","5820","RADIO AND TELEVISION COMMUNICATION EQUIPMENT, EXCEPT AIRBORNE",,,,,,,,,,,,,,,155973,1325185,-957998,0,0,45099.3594,222809,,,72427,,,,,,,,,,,
"Electronics & Communications","5821","RADIO & TV EQ AIRBORNE",,,,,,,,,,,,,,,,,,,,,,,,,,1811307,,,,,,,,,
"Electronics & Communications","5825","RADIO NAVIGATION EQ - EXCEPT AIR",,,,,,,,,,,,,,,,,,56163,49631,,167904,19077130.7344,75347,0,435049.2,1256865.0475,0,0,,,,,,,
"Electronics & Communications","5826","RADIO NAVIGATION EQ AIR",,,,,,,,,,,,,,,,,,28509.0391,,,,,,,,,,,,,,,,,
"Electronics & Communications","5840","RADAR EQUIPMENT, EXCEPT AIRBORNE",,,,,150000,,,,,,,,,,,,,,0,,6984202,0,6029363,832904,0,0,,,656793.6875,,,,,,
"Electronics & Communications","5841","RADAR EQUIPMENT, AIRBORNE",,,,,,,,87044,,,,,,,,,,,619953.0625,,,-45058.5,,,,,,,,,,,,,
"Electronics & Communications","5850","VISIBLE AND INVISIBLE LIGHT COMMUNICATION EQUIPMENT",,,,,,,,,,,,,,,,14304,,,,,,,,,,,,,,,,,,,
"Electronics & Communications","5855","NIGHT VISION EQ",,,,,,,,,,,,,,,,,,0,,3236961,0,1002225,-500,,,,,,,,,,,,
"Electronics & Communications","5860","STIMULATED COHERENT RADIATION DEV",,,,,,,,,,,,,,,,,,,,,,0,60060,,,,,,,,,,,,
"Electronics & Communications","5865","ELEC COUNTERMEASURE & QUICK REAC EQ",,,,,,,,,,,,,,,,,,10922373,0,-699615,,,,,,,,,,,,,,,
"Electronics & Communications","5895","MISC COMMUNICATION EQ",,,,,,,,335217,,,,,,,-112606,,1912313,9979815,2989850,216915,353861.875,1030672.7813,227317.3125,1572274.5,383780,77851,119160.3516,59433.3984,,306048.0938,111294.5078,0,,39726.3008,
"Electronics & Communications","5905","RESISTORS",,,,,,,181850,105000,,,,,,,,,474108,,766001.4375,-229181.4063,-3.32,-3.32,,,,,,,,,,,,,
"Electronics & Communications","5910","CAPACITORS",,,,,,,,,,,,,,,,,,,,12335.73,0,,,,,,,,,,,,,,
"Electronics & Communications","5915","FILTERS AND NETWORKS",,,,,,,,,,,,,,,130371,,,19181,16594.9102,,17550,,105000,67635.15,,29981.25,,,,,,,,,
"Electronics & Communications","5920","FUSES ARRESTERS ABORBERS & PROTECTO",,,,,,,,,,,,,,,,,,150043.3169,-500,11435.3496,0,0,,944,,,,,,,,,,,
"Electronics & Communications","5925","CIRCUIT BREAKERS",,,,,,,,,,,,,,,6966,8750,-250,96700,102918.3799,281925.51,-367469.22,206815.73,0,168228,,,,,,,,,,,
"Electronics & Communications","5930","SWITCHES",,,,,,,,,,,,,,,166486,102975,179700,255717,1667689.8008,1988,31236.3994,70480,263680,,,,17990,,,46788,-46788,,,,
"Electronics & Communications","5935","CONNECTORS, ELECTRICAL",,,29925,-68127,156836,166704,391730,438577,,,,,53320,370044,321001,196720,87932,272790.9134,618109.2504,114021.3095,519175.8811,427118.4986,557968.1722,295389.8,7170,,29663,324727.9239,,1242789.6484,257030.7862,896306.3612,1082643.3708,483830.1367,186293.6809
"Electronics & Communications","5940","LUGS TERMINALS & TERMINAL STRIPS",,,,,,,,,,,,,,,23640,173,,,,83900.3984,,2916.98,,,,,,,,,,14229,,,
"Electronics & Communications","5945","RELAYS AND SOLENOIDS",,,,,,379452,,91665,34650,,,,,,,,43981,1409506.125,373521,6e+05,21112,,,,,,,,,,,,,,
"Electronics & Communications","5950","COILS AND TRANSFORMERS",,,,,,,47700,,,,,,,,,,,,,,,,,,,,0,0,168928.6563,,,,,,
"Electronics & Communications","5955","OSCILLATORS AND PIEZOELECTRIC CRYSTALS",,,,,,,,,,,,,,,109680,11615,,132000,1307295,650542.4375,0,0,,,-84393,,,,,,,,,,
"Electronics & Communications","5960","ELECTRON TUBES & ASSOC HARDWARE",,,,,,,,,,,,,,,610675,238190,,,542248,,,16108483.625,815680,263750,450481.5,,0,696000,30291200,23774836,0,0,0,0,
"Electronics & Communications","5961","SEMI CONDUCTOR DEVICES",,,,,,,,,,,,,,,131468,-650,,2452,206225.6806,,,,,,,,,,,,,,,,
"Electronics & Communications","5962","MICROCIRCUITS, ELECTRONIC",,,,,,,,,,,,,,,127500,52737,,103651,112434.7869,0,,,,,352142.65,0,,,,,,,,7356861.5,
"Electronics & Communications","5963","ELECTRONIC MODULES",,,,,,,,,,,,,,,,150696,,,,127050,,,,20972,135786.2,,,,,,,,,,
"Electronics & Communications","5965","HEADSET,HANDSET,MICROPHONE & SPEAK",,,,,,,,,,,,,,,,,,,55748,120245.0391,233101.1563,0,,,,,,,,,,,,,
"Electronics & Communications","5970","ELECT INSULATORS & INSULATING MAT",,,,,,,,,,,,,,,11130,4576535,134242,,,,,,,,,,,,,,14444.7998,31347,12235,13802.3199,109.16
"Electronics & Communications","5975","ELECTRICAL HARDWARE AND SUPPLIES",,,,,,,,128600,,,,,,,408863,571312,132991,42735.5,444321.5625,677563.7002,818667.0098,0,2505489.3516,6447771.58,1492460,570900,2338924.9531,0,3579442.3008,2840691.2812,2737826.75,0,185924.5904,316569.3891,53918.7906
"Electronics & Communications","5977","ELECT CONTACT BRUSHES & ELECTRODES",,,,,,,,,,,,,,,860104,601616,,,,,,,,,,,,,,,,,,,
"Electronics & Communications","5985","ANTENNAS WAVEGUIDES & RELATED EQ",,,,,,,,,,,,,,,5951811,-221955,350245,754532.8458,364577.3618,19274.1,19351995.4453,47436110.1991,10201233.7534,14285997.61,4457053.56,184769.8789,12654148.4063,-1000,9092430,15096283.6875,385702,10320,0,,
"Electronics & Communications","5990","SYNCHROS AND RESOLVERS",,,,,,,,,,,,,,,,199696,64372,51575.5498,-250,144312,,,,,64000,,47500,0,190000,0,65660,,,,
"Electronics & Communications","5995","CABLE CORD WIRE ASSEMBLY - COMM EQ",,,,,308899,98270,,,,,,,,,1573777,519436,495279,952494.3374,1317267.6894,913170.2332,887575.9848,969049.7988,549092.7275,154113.21,223870.75,141427.2892,400992.7769,722665.4004,252003.3999,2754,38244.2098,0,76756.5604,527820.7709,
"Electronics & Communications","5996","AMPLIFIERS",,,,,,,,,,,,,,,,,,,,26045.75,482648.0938,-16161.3496,,30585.4,36564,,,,212824.2969,,,,,,
"Electronics & Communications","5998","ELE ASSEMB-BDS CARDS-ASSOC HARDWARE",,,,539666,221387,-38670,1500881,-71785,,,,,,46580,2500224,2537280,2711681,17165554.5249,22669653.6123,30762981.087,50308873.1121,64392786.4524,44569719.0778,54779405.07,49826833.91,41106532.5723,46586964.5014,63874026.7071,63550982.7114,12613143.2074,867921.75,-1012198.7188,,89200.1562999999,
"Electronics & Communications","5999","MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS",-23000,,,-539594,,,,,246362,27450,,,,,830857,1521299,205273,2227465.1722,223266.7481,1048002.9504,70209.9618,2874754.5938,3095959.0313,1801812.2,982466.44,0,,603216.9688,302082,,,,,,
"Electronics & Communications","6015","FIBER OPTIC CABLES",,,,,,,,,,,,,,,,,,,,390332.5938,,,,,,,,,,,,,,,
"Electronics & Communications","6020","FIBER OPTIC CABLE ASSEMBLIES AND HARNESSES",,,,,,,,,,,,,,,6444055,,23245,59481.4016,58583.48,74885,396918.5156,260112.7207,204979.4844,361293.2,321970.25,67687.6,28823,604568.2305,-35507.04,,,,,,
"Electronics & Communications","6030","FIBER OPTIC DEVICES",,,,,,,,,,,,,,,,,,,,,,,,246000,61725,,,,,,,,,,
"Electronics & Communications","6060","FIBER OPTIC INTERCONNECTORS",,,,,,,,,,,,,,,,,,,88589.8401,485546.5938,210000,97320,5000,69627.5,16625,86321,,,,,,,,,
"Electronics & Communications","6080","FIBER OPTIC KITS AND SETS",,,,,,,,,,,,,,,,,,,18299.1895,35302.8008,35520,33670,,41810,,,,,,,,,,,
"Electronics & Communications","6099","MISC FIBER OPTIC COMPONENTS",,,,,,,,,,,,,,,,45306,,,,,,,,,,,,,,,,,,,
"Electronics & Communications","6145","WIRE AND CABLE, ELECTRICAL",,,,,,,,,,,,,,,263809,96139,56139,81641.92,10102.5798,12690,309392.6875,500,28436.4297,,,,,,17220,,57173.8516,200078.3203,173813.1611,57306.0196,4892.3999
"Electronics & Communications","6150","MISC ELECTRIC POWER & DISTRIB EQ",,,,,,,143754,540450,52242,368746,-120053,,205200,30555,1712598,1996025,2087207,3022476.7399,1991103.0534,1427732.019,2370787.5477,5765926.4456,3402084.376,1500657.39,767312.75,1395171.9793,650557.168,965177.6973,1753122.9995,79644.4307,373443.5024,13487,-6050,50023.321,2097.27
"Electronics & Communications","6160","MISC BATTERY RET FIXTURES & LINERS",,,,,,,,,,,,,,,,17205,,,,,,,8712,,,15120,,,,,,,,,
"Electronics & Communications","6210","INDOOR & OUTDOOR ELEC LIGHTING FIXT",,,,,,,,,,,,,,,,76012,,,,,,,,,,,,2535,,,,,,,
"Electronics & Communications","6220","ELEC VEHICULAR LIGHTS & FIXTURES",,,,,,,,,,,,,,,4040,1218,594174,-834,11414.5901,,,,,,,,,,,,,,,,
"Electronics & Communications","6230","ELEC PORTABLE & HAND LIGHTING EQ",,,,,,,,,,,,,,,,,,92022,,,,,,,,,,,,,,,,,
"Electronics & Communications","6240","ELECTRIC LAMPS",,,,,,,,,,,,,,,,,6425,,756385,,,,,,,,,,,,,,,,
"Electronics & Communications","7025","ADP INPUT/OUTPUT & STORAGE DEVICES",,,,,,,,28000,,,,,,14791,13046067,10274210,223527,1017596,829400,-499.72,1500000,894903.5,125344,44466,13041.4,27270,199470.25,21864,,,,,,,
"Electronics & Communications","7030","ADP SOFTWARE",,,,,,,,,,,,,,,,14000,4999,,73739.1406,,,,,,,,,,,,,,,,
"Electronics & Communications","7035","ADP SUPPORT EQUIPMENT",,,,,,,,,,,,,,,,,,,,,,,,,,,,362340,,,,,,,
"Electronics & Communications","7050","ADP COMPONENTS",,,,,,,,,,,,,,,,,,,,,,,321069,109950,0,0,,392000,,371537.5938,,0,,,
"Electronics & Communications","7K20","IT AND TELECOM - STORAGE PRODUCTS (HARDWARE AND PERPETUAL LICENSE SOFTWARE)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2542488,0,
"Engines & Power Plants","2805","GAS RECIPROCATING ENG - EXCEPT AIR",,,,,,,,,,,,,,,,,1320,,,,,,,,,,,,,,,,,,
"Engines & Power Plants","2815","DIESEL ENGINES AND COMPONENTS",,,,,,,,,,,,,,,1074217,49816,1150,10380.5996,,25514.7101,3624957.4004,6010159.5938,4140554.8946,512292.65,606343.3,230197.8477,94516.5156,7542726.6484,2260298.4023,,-854839.0625,16397190,,,
"Engines & Power Plants","2835","GAS TURBINES & JET ENG EXCEPT AIR",,,,,,,,,,,,,,,,,,87598.3985,,,,,,,,,,,,,,,,,
"Engines & Power Plants","2910","ENGINE FUEL SYS COMPONENTS NONAIR",,,,,,,,,,,,,,,363760,,2124773,1953524,0,0,140799.25,54954.1406,575756.7266,58011,234560.04,,,,287170,,,0,,,
"Engines & Power Plants","2915","ENGINE FUEL SYSTEM COMPONENTS AIR",,,,,,,,,,,,,,,,1255,8755,,,879.28,,,,,,,,,,,,,,,
"Engines & Power Plants","2920","ENGINE ELECT SYS COMPS NONAIRCRAFT",,,,,,,,,,,,,,,220964,961531,720828,329253.6094,95890.9216,,,1876564.4375,4336989.4688,3020871.39,518711.57,76940.4096,153749.7363,,,,,,,,
"Engines & Power Plants","2930","ENGINE COOLING SYS COMPS - NONAIR",,,,,,,,,,,,,,,477073,1801792,2533191,422593.5,407410.5,882960,,660508.625,31581.1797,,616559,,,-660508.625,,,,,,,
"Engines & Power Plants","2940","ENGINE AIR & OIL FILTERS - NONAIR",,,,,,,,,,,,,,,,,,,,,,,,,,,,3603.6001,0,,,,,,
"Engines & Power Plants","2950","TURBOSUPERCHARGER AND COMPONENTS",,,,,,,,,,,,,,,,,,,,,,,,733.8,,,,,,,,,,,
"Engines & Power Plants","2990","MISC ENGINE ACCESSORIES - NONAIR",,,,,,,,,,,,,,,,6109,,7713.2998,,,,,,,,,,,,,,,,,
"Engines & Power Plants","6105","MOTORS, ELECTRICAL",,,,,,,,,,,,,,,,,,2047759,2887661.9063,2158168.5,920986.6636,370598,3474116.5,1138035.16,1944030.32,863742.6,0,1520934,,0,,575163.5078,1244619.5625,1571328.5781,
"Engines & Power Plants","6110","ELECTRICAL CONTROL EQUIPMENT",,,,,,,,,,,,,,,570854,4598733,1546623,3192243.5801,664737.1895,2890030.2891,9792806.061,3639047.7383,3483290.9467,2216015.67,758965.08,1481495,-742316.0195,-188895.0313,,29375,0,0,,,
"Engines & Power Plants","6115","GENERATORS & GENERATOR SETS ELECT",,,,,,,,,,,,,,,37304995,6629963,1275659,0,762648.2918,142250,4017266.4688,2131213.5,14133.96,,2305812.16,3000334.5229,-2938.1399,-108559.5,0,,8610000,,0,,
"Engines & Power Plants","6120","TRANSFORMERS - DISTRIB & POWER STA",,,,,,,,,,,,,,,,,65853,,,,,,,,4475,,,,,,,,,,
"Engines & Power Plants","6125","CONVERTERS, ELECTRICAL, ROTATING",,,,,,,,,,,,,,,35880,,,,,,,,,,,,,,,,,,,,
"Engines & Power Plants","6130","CONVERTERS, ELECTRICAL, NONROTATING",,506000,-28494,,,,,151200,,,,,78200,,5485001,1700872,-149046,226843.5,233559,6764166.4302,9200148.8496,6688171,928408.628,320173.59,245765.6,3545601.0838,267700.9922,355176.2969,2033207.625,391259,40350,0,,421348.625,948275
"Engines & Power Plants","6135","BATTERIES, NONRECHARGEABLE",,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
"Engines & Power Plants","6140","BATTERIES, RECHARGEABLE",,,,,,,,,,,,,,,,,,4198.9502,,,,,,,1050450,,,,,,,,,,
"FRS","M174","OPER OF GOVT OPEN STORAGE FAC",,,,,,,,,,,,,,,,,,,7350,7629,7835,8006,8180,8359,,,,,,,,,,,
"FRS","M1GD","OPERATION OF OPEN STORAGE FACILITIES",,,,,,,,,,,,,,,,,,,,,,,,,,,9283,9496,9715,9938,10167,7640,7739,7840,
"FRS","M299","OPER OF GOVT ALL OTH NON-BLDG FACS",,,,,,,,,,,,,,,,,,,38258,,,,,,,,,,,,,,,,
"FRS","S201","CUSTODIAL JANITORIAL SERVICES",,,,,,,,,,,,,,,,,35479,-692,,,,,,,,,,,,,,,,,
"FRS","S208","HOUSEKEEPING- LANDSCAPING/GROUNDSKEEPING",,,,,,,,,,,,,,,650,,,,,,,,,,,,,,,,,,,,
"FRS","S216","FACILITIES OPERATIONS SUPPORT SVCS",,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,
"FRS","Z199","MAINT-REP-ALT/MISC BLDGS",,,,,,,,,,,,,,,16748,,,,,,,,,,,,,,,,,,,,
"FRS","Z1BF","MAINTENANCE OF MISSILE SYSTEM FACILITIES",,,,,,,,,,,,,,,,,,,,,,,,,,,,15794276.625,19371015.2618,27489124.6875,315260.75,0,0,-221433.6758,
"FRS","Z2BF","REPAIR OR ALTERATION OF MISSILE SYSTEM FACILITIES",,,,,,,,,,,,,,,,,,,,,,,,,,,,16618,216965,17906,20339,0,-913.05,-21996.4008,
"Fuels","9150","OIL & GREASE-CUT,LUBR & HYDRAULIC",,,,,,,,,,,46267,,,,,,,,528.9,,,,,,,,,,,,,,,,
"Ground Vehicles","2310","PASSENGER MOTOR VEHICLES",,,,,,,,,,,,,,,,,,,,,,,,,,,,3122070.0529,,-1000,,,,,
"Ground Vehicles","2320","TRUCKS AND TRUCK TRACTORS, WHEELED",,,,,,,,,,,,,,,10266678,10184070,1980458,,-331.72,-1356.08,5042390.1,,2128,-14232,,,,,,,,,,,
"Ground Vehicles","2350","COMBAT ASSAULT & TACTICAL VEH",927096000,2373800000,631923081,803491276,1146236040,560321349,542410169,561108674,490900363,662238094,1060156098,1044104211,998464943.125,923926824,1025009391,2659535993.9375,2338182496.8829,9561926839.6788,15247767946.1514,6013942578.6609,5327017824.4901,4449716941.345,2992727286.6491,837260670.3888,1067704054.8609,754418902.227,1382836220.157,1202443940.6119,3484125476.6009,2808799231.2834,2723930753.006,1017191734.1908,2776321955.8384,3919903694.4145,308882418.43
"Ground Vehicles","2510","VEH CAB BODY FRAME STRUCTURAL COMP",,,,,,,,,,,,,,,148470,2900916,978183,56580,,5933,,524400,,,78972.25,,,,,,,,,,
"Ground Vehicles","2520","VEH POWER TRANSMISSION COMPONENTS",,,,,,,,,,,,,,,4877740,5638187,4440319,6172464.75,77162819.8867,9169581.02,-0.01,-64781,36851,,16619878,18767494,6573,,,,,,,,
"Ground Vehicles","2530","VEH BRAKE STEERING AXLE WHEEL COMP",,,,,,,,,,,,,,,366541,188328,214108,70519863.1283,11122185.2729,358521.8046,38896.32,,,,,,,,,,,,,,
"Ground Vehicles","2540","VEHICULAR FURNITURE AND ACCESSORIES",,,,,,,,,,,,,,,270497,374757,984757,2139517.9687,13014930.0781,1719038.7695,2759205.085,444533,,,497368.3,,,,,,,22820.6406,,,
"Ground Vehicles","2541","VEH ACCESSORY/WEAPONS SYS SPECIFIC",,,,,,,,,,,,,,,,,,18769312,13648926.25,311360713.9375,318282476.5,393213395.5195,452485001.4901,17742262.58,54166853.45,34614718.8014,-712177.9219,-48238.4297,0,-15320424,,,-369000,,
"Ground Vehicles","2590","MISCELLANEOUS VEHICULAR COMPONENTS",,,,,,,,,,,,,,,61608,687362,283826,244647.3594,598.5,29528.5603,1117566,1601464.75,1422886.54,718720,365378.95,1340643.54,955272,,,,,,,,
"Ground Vehicles","2630","TIRES, SOLID AND CUSHION",,,,,,,,,,,,,,,,,,127723,,,,,,,,,,,,,,,,,
"Ground Vehicles","3010","TORQUE CONVERTERS & SPEED CHANGERS",,,,,,,,,,,,,,,,9723,,,,,,113341.0781,0,,168240,-168240,,,,,,,,,
"Ground Vehicles","3020","GEAR PULLEY SPROCKET & TRAN CHAIN",,,,,,,,,,,,,,,,101297,-3027,35311.6992,29962,179522,6960,,61628.2002,,7712,10551.4805,8089,,,,,,,,
