"PlatformPortfolio","Project.Name","ProjectID","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Aircraft",,99,,,,,,,,,,,478265580,44819315,,,,,,,,,,,,,,,,,,,,,,,
"Aircraft",,101,,,,,,4101930,30185,,1364884,26091,,72510,,,,,,,,,,,,,,,,,,,,,,,
"Aircraft",,109,-134000,1184000,,10708732,-3906,,363042,,250809,224942,632166,1022430,,99968,,,,,,,,,,,,,,,,,,,,,
"Aircraft",,111,,1680000,28912,,39728,88705,73197,,,,54609786,126473387,,12200,,,,,,,,,,,,,,,,,,,,,
"Aircraft",,113,,445000,36000,,165248,286731,,,,1400000,164203254,-165970,,,,,,,,,,-5.05,,,,,,,,,,,,,
"Aircraft",,134,,-26000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aircraft",,136,,,,,,,,,,,250000,,,,,,,,,,,,,,,,,,,,,,,,
"Aircraft",,145,98000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aircraft",,154,,,,,,,,,7499998,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aircraft",,476,,,,,,,,,,,286723,,,,,,,,,,,,,,,,,,,,,,,,
"Aircraft",,487,,,,,,,,,,,,61854,,,,,,,,,,,,,,,,,,,,,,,
"Aircraft",,614,,,,,,,,,,,,,,,3428757,,4787174,10633.6797,,314424.1485,396518.5938,463890.0684,3438966.8908,3382704.77,3865937.45,0,-39999,0,,,,,,,
"Aircraft",,615,,,,,,,,,,,,,,,,,,,,,,25248.1602,0,63674,,,,,,,,,,,
"Aircraft",,616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19768.7109,,,,,
"Aircraft",,625,,,,,,,,,,,,,,,,,,,,1463.5,,,,,,,,,,,,,,,
"Aircraft",,631,,,,,,,,,,,,,,,,,,,,,,,,,,1442108.63,0,,-11380.4102,,,,,,
"Aircraft",,635,,,,,,,,,,,,,,,,,,155422.875,,573527.3067,,230224.1856,627149.2734,317183.63,254229.59,26916.75,0,,,,,,,,
"Aircraft",,639,,,,,,,,,,,,,,,350000,,,,,,,,,,,,,,,,,,,,
"Aircraft",,640,,,,,,,,,,,,,,,,,,,,,,,27874342,11000477,-403782,0,5480,-296073,-1873727,,,,,,
"Aircraft",,641,,,,,,,,,,,,,,,,,,,,,90625.3203,,,,,,,,,,,,,,
"Aircraft",,660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11100,,,,
"Aircraft",,671,,,,,,,,,,,,,,,,,,,,1454614.25,1100215.625,0,1712930,87240,,,-79583,,,,,,,,
"Aircraft",,676,,,,,,,,,,,,,,,,,,,,12512.21,,,,,,,,,,,,,,,
"Aircraft",,677,,,,,,,,,,,,,,,,,,,1499990,-1499990,,,,,,,,,,,,,,,
"Aircraft",,679,,,,,,,,,,,,,,,,,,,,,,10399.1396,,,,,,,,,,,,,
"Aircraft",,683,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,
"Aircraft",,687,,,,,,,,,,,,,,,,,,,,,,,14470,0,,,10788,0,,,,,,,
"Aircraft",,693,,,,,,,,,,,,,,,214192,77136,1207676,273429,0,,,125156.6406,0,-3207.92,0,,,,,,,,,,
"Aircraft",,702,,,,,,,,,,,,,,,,,,,17618.7207,,,,,,,,,,,,,,,,
"Aircraft",,704,,,,,,,,,,,,,66897,,,,,,,,,,,,,,,,,,,,,,
"Aircraft",,707,29000,670832,195984,143221,,334495,,,-37590,,124996,,126531,458640,,,,,,,,,,,,,,,,,,,,,
"Aircraft",,708,136000,211000,-38870,36771,,,,,,,70839,,,,,,,,,,,,,,,,,,,,,,,,
"Aircraft",,711,486000,304000,,,101232,255668,580400,1128368,442255,1155397,376480,364380,,,,,,,,,,,,,,,,,,,,,,,
"Aircraft",,714,,,,56716,29212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aircraft",,716,380000,44000,132312,559013,218650,161800,419936,435460,94079,59400,,90190,,,,,,,,,,,,,,,,,,,,,,,
"Aircraft",,724,,,,,78935,474614,70153,40904,724720,293689,33490,,,,,,,,,,,,,,,,,,,,,,,,
"Aircraft",,732,,,99750,,,,,64504,-952752,,891237,,,,,,,,,,,,,,,,,,,,,,,,
"Aircraft",,734,,,,943905,,,,,,,,166195,,,,,,,,,,,,,,,,,,,,,,,
"Aircraft",,736,42000,140000,,612550,29512,620614,,,62730,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aircraft",,737,,,,,36285,79965,128250,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aircraft",,738,990000,1338000,94596,110704,105057,2945024,1416818,2539841,1896286,494661,107027,122636,,457619,,,,,,,,,,,,,,,,,,,,,
"Aircraft",,744,6121000,6349000,4322807,7394335,1833449,1829015,521938,-437083,2352519,2127761,2110768,2977290,2244622,608283,,,,,,,,,,,,,,,,,,,,,
"Aircraft",,746,11613000,42428571,14878870,3985339,16792275,28522461,5706632,12182756,9714443,11643163,26428714,8432949,6053483,7838126,,,,,,,,,,,,,,,,,,,,,
"Aircraft",,748,28000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aircraft",,749,,,,102047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aircraft",,750,,,,,674396,2e+05,,,,,161961,,448030,,,,,,,,,,,,,,,,,,,,,,
"Aircraft",,751,,,,,,,,,,,,,-31010,,,,,,,,,,,,,,,,,,,,,,
"Aircraft",,752,,,,,,,382680,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aircraft",,754,,,,,,,55775,,,,,,903348,,,,,,,,,,,,,,,,,,,,,,
"Aircraft",,757,26000,1923000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aircraft",,760,,,,481413,,,268212,,77165,87178,694644,643260,182584,,,,,,,,,,,,,,,,,,,,,,
"Aircraft",,769,,,26010,43590,,,,,65159,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aircraft",,778,257000,2379000,1230891,30970,,,,,,262520,,,436923,641660,,,,,,,,,,,,,,,,,,,,,
"Aircraft",,781,1172000,-219000,,139545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aircraft",,782,1377000,478000,545950,531393,552717,798867,741594,344241,1347851,1564854,678905,243456,797754,922146,,,,,,,,,,,,,,,,,,,,,
"Aircraft",,795,230000,,,,,74176,603876,1071515,567056,1572135,853401,466535,902490,949705,,,,,,,,,,,,,,,,,,,,,
"Aircraft",,796,,,838289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aircraft",,826,,626000,1336708,,,896600,,762240,,2196900,,406696,3958800,655277,,,,,,,,,,,,,,,,,,,,,
"Aircraft",,834,102000,102000,310000,217493,54661250,28651244,-53456,3079532,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aircraft",,836,51005000,67008000,19449623,1232302,-1833000,,,285478,336105,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aircraft",,850,56000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aircraft",,869,,,,,,,27006576,23457917,29873986,24157274,,591773,,,,,,,,,,,,,,,,,,,,,,,
"Aircraft",,884,,,,,,,2550000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aircraft",,1320,,,,,,,,,,,,,,,,,,73600,,,112615.7618,192278.6954,559734.8469,446875.24,,0,,,,,,,,,
"Aircraft",,1339,,,,,,,,,,,,,,,,5750,,,,,,,,,,360918,,,,,,,,,
"Aircraft",,1395,,,,99938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aircraft",,1398,,,,,,88180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aircraft",,1400,,,,,,,,,,230501,,,,,,,,,,,,,,,,,,,,,,,,,
"Aircraft",,1404,33000,97000,-33467,29506,136049,50146,35978,81669,124785,,,,3572305,985079,,,,,,,,,,,,,,,,,,,,,
"Aircraft",,1419,49000,107000,241574,136424,203161,109032,206172,,,,,,,162827,,,,,,,,,,,,,,,,,,,,,
"Aircraft",,1420,,167000,,76140,102466,,,,48995,-134974,90641,,,112151,,,,,,,,,,,,,,,,,,,,,
"Aircraft",,1430,,,,,,,750776,346344,1118547,216326,113850,157152,1640856,3143903,,,,,,,,,,,,,,,,,,,,,
"Aircraft",,1436,,,,57445,99315,,,,63368,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aircraft",,1438,,,,,,,,,,,,,769872,,,,,,,,,,,,,,,,,,,,,,
"Aircraft",,1444,325000,507000,,33738,300060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aircraft",,1446,,218000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aircraft",,1447,14194000,2692000,3096450,1045942,2965990,4746501,1095909,933070,2095107,1304172,162513,1117134,,,,,,,,,,,,,,,,,,,,,,,
"Aircraft",,1449,47000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aircraft",,1453,,,,,,182520,47061,162958,,,60991,,,96198,,,,,,,,,,,,,,,,,,,,,
"Aircraft",,1456,25000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aircraft",,1466,,33000,47100,,,1046264,243496,41563,536576,,,,,62405,,,,,,,,,,,,,,,,,,,,,
"Aircraft",,1480,276000,,,220680,,439852,,,,,,,,211844,,,,,,,,,,,,,,,,,,,,,
"Aircraft",,1499,468000,307000,,,39923,,,,,,,,,,,,,0,0,,42724.3008,,,17419.36,0,,,,,,,,,,
"Aircraft",,1505,,,,40200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aircraft",,1754,,,282756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aircraft",,1797,4507000,4527000,4133965,1589329,2750725,4427916,7655268,3425130,1916816,4257799,1293578,1180296,1269831,1475733,,,,125175,187617.8105,,,,31298.4004,228956.16,627112.16,,-5056.7202,,,,,,,,
"Aircraft",,1828,,,,,,,,,,,,,,,630472,11581783,,13108885,31430445,38763704,17034086,7360560,55895168,17288960,47465170,0,0,0,,,-42577,,,,
"Aircraft",,1834,,,,,,,,,,,,,,,,,,,,,235559.2657,,,,,,,,,,,,,,
"Aircraft",,1860,,,,,,,,,,,,,,,,,,,,,,,88114.9531,101888.93,278880,,,,,,,,,,
"Aircraft",,1868,,,,,,,,,,,,,,,,,,137895.1875,295223.5,,,-2270.95,,,339800.36,0,,,,,,,,,
"Aircraft",,1879,107000,71000,-50898,1280760,214136,65824,,,,30159,2912748,,,753567,,,,,,,,,,,,,,,,,,,,,
"Aircraft",,1881,110000,1799000,436359,57411,382387,,156925,166659,98576,504893,252511,,57712,463502,,,,,,,,,,,,,,,,,,,,,
"Aircraft",,1883,,,,,104520,154452,135688,1417438,2180899,622778,128016,,,348242,,,,,,,,,,,,,,,,,,,,,
"Aircraft",,1891,4570000,9803000,5572730,819576,402281,561879,693687,230238,664915,1405325,327638,950780,33168,542175,,,,,,,,,,,,,,,,,,,,,
"Aircraft",,1892,1964000,1339000,949402,1562225,1354769,2427747,1680135,2450412,3817101,3064387,974312,125173,524498,2873295,,,,,,,,,,,,,,,,,,,,,
"Aircraft",,1894,4978000,2794000,5013155,15948055,1867091,2137393,6924667,3558377,1933009,2935826,1055986,,749202,5085567,,,,,,,,,,,,,,,,,,,,,
"Aircraft",,1897,,,28152,,67945,76276,33399,184979,60000,,15210642,15254795,,,,,,,,,,,,,,,,,,,,,,,
"Aircraft",,1898,,,90848,137865,174005,873000,1867062,1215445,1046349,,174214452,19743948,58390,39163445,,,,,,,,,,,,,,,,,,,,,
"Aircraft",,1903,,,,,,,32319,26250,,7745436,,,,257151,,,,,,,,,,,,,,,,,,,,,
"Aircraft",,1905,,,,,,,,,,,1062366,1490310,4343067,1990687,1917236,383127,730363,48612,,,,,,,,,,0,,,,,,,
"Aircraft",,1906,,,,,,,,,,,,452813,5459059,-13021996,,,,,,,,,,,,,,,,,,,,,
"Aircraft",,1931,,,,,,,,,,,,240276026,250432118,256531971,-386303,-839242,-64340,,,,,,,,,,,,,,,,,,
"Aircraft",,,10315000,20974190,13373764,6369749,3599385,17264891,15710596,22870213,16716935,8222320,130481716,450558028,273293610,195187309,179019509,374986909,193727102.4655,523602771.4961,185057792.9609,-18498294.9986,49190777.0108,12049865.1096,48071164.4995,37906860.69,16936441.9408,29352006.1114,49444119.2583,39540593.2789,39142363.2475,47881371.5842,96212016.101,164286293.6301,337963346.6046,694723576.0761,5593405.386
"Electronics, Comms, & Sensors",,67,,,,,,,,,,,,,,,,,3882,,,,,,,,,,,,,,,,,,
"Electronics, Comms, & Sensors",,107,,,,,,,,,,,,,,2073000,,,,,,,,,,,,,,,,,,,,,
"Electronics, Comms, & Sensors",,160,,,,,676167,3370412,3837035,5289791,12942477,12760664,213860,3080051,6165519,8428841,,,,,,,,,,,,,,,,,,,,,
"Electronics, Comms, & Sensors",,498,,745000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Electronics, Comms, & Sensors",,548,,,,,,,,,,,,,75000,,,,,,,,,,,,,,,,,,,,,,
"Electronics, Comms, & Sensors",,560,67000,,,,,,,1268500,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Electronics, Comms, & Sensors",,630,,,,,,,,,,,,,,,76000,,,,,,,,,,,,,,,,,,,,
"Electronics, Comms, & Sensors",,649,,,,,,,,,,,,,,,,-6000,,,,,,,,,,,,,,,,,,,
"Electronics, Comms, & Sensors",,669,,,,,,,,,,,,,,,,,,-7804,,,,,,,,,,,,,,,,,
"Electronics, Comms, & Sensors",,691,,,,,,,,,,,,,,,,,,,,,,,,,,,,7883090,,,,,,,
"Electronics, Comms, & Sensors",,706,,,,,,,,,,,,,69000,,,,,,,,,,,,,,,,,,,,,,
"Electronics, Comms, & Sensors",,739,,,,,436202,757434,515480,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Electronics, Comms, & Sensors",,775,,,,,17540467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Electronics, Comms, & Sensors",,790,269000,54000,54500,,392307,,173927,,,,,,,499252,,,,,,,,,,,,,,,,,,,,,
"Electronics, Comms, & Sensors",,798,,,,,,1530000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Electronics, Comms, & Sensors",,825,,2389000,-181874,,0,,,,,182159,,,,,,,,,,,,,,,,,,,,,,,,,
"Electronics, Comms, & Sensors",,965,,,,,,,,,,,,472814,246060,,,,,,,,,,,,,,,,,,,,,,
"Electronics, Comms, & Sensors",,972,,,91944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Electronics, Comms, & Sensors",,975,145000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Electronics, Comms, & Sensors",,1003,,,,505240,,,,-59440,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Electronics, Comms, & Sensors",,1060,,-183000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Electronics, Comms, & Sensors",,1082,,,,-65344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Electronics, Comms, & Sensors",,1103,,9575000,,-1e+05,68000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Electronics, Comms, & Sensors",,1345,,,,,,,,,,,,,,,25613,,,,,,,,,,,,,,,,,,,,
"Electronics, Comms, & Sensors",,1365,,,,,,,,,,,,,,,612635,475395,1114126,,,,,,,,,,,,,,,,,,
"Electronics, Comms, & Sensors",,1931,,,,,,,,,,,,1712426,490861,3844510,4128134,6749702,1106966,124041,-230398.1389,-417235.3907,-192400,-1897.21,-278546,-12279,-19131.7,-676378.8359,-37171,,,,,,,,
"Electronics, Comms, & Sensors",,2112,,,,,,,,,,,,,,,,8374472,19399891,,,,,,,,,,,,,,,,,,
"Electronics, Comms, & Sensors",,,17129000,100870000,79482928,2946097,98935714,189161766,55684974,62150123,79704919,18417722,17323829,14173240,17962753,29120881,20982779,30695623,17665733,15885546.4531,18518048.1096,37922650.0154,1349004.2267,3292613.0906,3137399.4385,1261956.72,7306548.8175,2805038.6598,13031439.8066,18012256.0664,24491292.6024,6076158.6789,15843807.2773,2579409.5372,189997764.1908,1786698.1718,0
"Facilities and Construction","AIM-9X BLOCK II",2042,,,,,,,,,,,,,,,,,,,,,,,,,,,,16618,216965,17906,20339,0,-913.05,-21996.4008,
"Facilities and Construction",,381,,,,,,,340091,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Facilities and Construction",,412,45000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Facilities and Construction",,579,,,,,2762982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Facilities and Construction",,2016,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
"Facilities and Construction",,2115,,,,,,,,,,,,,,,,,,1004025,114588.7578,,,,,,,,,,,,,,,,
"Land Vehicles","466",2044,,,,,,,,,,,,,,,,,,,,,,,,,,,582635,84684235,708325337,83459027.25,641219377.4688,97644304.3984,379638341.5664,246964136.6797,308160896
"Land Vehicles","ABRAMS UPGRADE",1839,,,,,,,,,,,,,,,51746500,246535738,357115018,1914995736.5406,921782743.0149,208214518.4863,209185780.1285,8011166.0586,14054122.1797,-4068623.79,-4630729.5,-5805804.2085,1024472.1172,10261204.4442,458864.6875,817455.0156,-879551.0625,-55645.8838,0,-3694.95,0
"Land Vehicles","AMPV",2146,,,,,,,,,,,,,,,,,,,,,,,,,,68105672,167020700,155365855.4123,406779121.9966,623565673.2881,515168274.935,79269777.6018,57752439.6981,879428344.3478,6005148.7252
"Land Vehicles","BRADLEY FVS",27,,,,,,,,,,,,,,,,,8359001,993588096.0916,3043315849.5424,1066668283.5327,490001364.0748,784626017.7634,710249414.5283,309376274.97,141716902.8025,74292766.1025,-11060546.4414,-14015557.8404,-3484765.7032,-21765091.7695,-4246756.5821,-445368.5625,3791824.7343,416550.2266,948275
"Land Vehicles","BRADLEY UPGRADE",1849,,,,,,,,,,,,,,,52948551,226370246,108918975,32594006.1234,16246175.1484,9633450.0253,54218101.2182,2438710.7863,58481929,56210022,117287415.6309,59072576,50457392.7031,38175695.665,23236525,-28316.5898,-3485636,0,0,0,
"Land Vehicles","M1/M1A1 ABRAMS TANK",53,,,,,,,,,,,,,,,121756004,161076806,1774271,63795957.8261,696799384.7031,481166187.5157,316096259.3243,134951681.5157,147164700.9063,-9798386.1,-6652630.69,-35070573.7203,59165919.1895,11635682.1706,15978515.4707,59973790.3437,22329119.22,41097292.4471,-8164258.945,5118828,-21344
"Land Vehicles","M88A2 Heavy Equipment Recovery Combat Utility Lift Evacuation System (M88A2 HERCULES)",2244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1716459.5,9933027.2461,-488042.4688,0,128210928,0
"Land Vehicles",,71,,,,,,,,,,,,,,,,,,0,26089698.4492,-2632.0601,,,,,,,,,,,,,,,
"Land Vehicles",,184,,,,,,,,,,,,,,123869,,,,,,,,,,,,,,,,,,,,,
"Land Vehicles",,185,,,,,-29834,,4394894,49861609,24339258,90790680,15123495,23278541,7039975,66062,,,,,,,,,,,,,,,,,,,,,
"Land Vehicles",,189,,,,,,,,,,,676177,130611,605028,12914874,,,,,,,,,,,,,,,,,,,,,
"Land Vehicles",,200,,2511000,,372845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Land Vehicles",,204,,56085000,-3849447,-15560217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Land Vehicles",,206,72000,6157000,9132070,1722740,41215901,35243763,70136578,43024919,14883167,63442548,40168,1793271,2211214,11552027,,,,,,,,,,,,,,,,,,,,,
"Land Vehicles",,211,,5665000,2105594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Land Vehicles",,214,,47914000,2288579,-7596423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Land Vehicles",,216,325000,,3e+05,-92866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Land Vehicles",,227,103000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Land Vehicles",,232,,-3526000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Land Vehicles",,238,,,158538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Land Vehicles",,239,,1165000,217930,26482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Land Vehicles",,240,,,1766366,549982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Land Vehicles",,241,,191539000,379872617,650089962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Land Vehicles",,242,,748347000,75047772,82617343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Land Vehicles",,246,,1096467000,70194168,56385511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Land Vehicles",,248,22167000,,358401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Land Vehicles",,249,,,,,2250000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Land Vehicles",,250,,,,,672492943,273439857,337848269,305627328,233615000,334703728,256018581,100487711,-58508849,-57622129,,,,,,,,,,,,,,,,,,,,,
"Land Vehicles",,251,,,,,115001810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Land Vehicles",,254,,1960000,,,95772,,,,,48000,,,,,,,,,,,,,,,,,,,,,,,,,
"Land Vehicles",,274,,386000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Land Vehicles",,329,,-75000,16350000,,7233182,48771868,974399,1355333,7437029,1049163,,,,48125,,,,,,,,,,,,,,,,,,,,,
"Land Vehicles",,374,,94000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Land Vehicles",,656,,,,,,,,,,,,,,,,,1e+05,,,,,,,13931.6,,,,,,,,,,,
"Land Vehicles",,684,,,,,,,,,,,,,,,,,,,,,,,,,,,221078,,,,,,,,
"Land Vehicles",,703,,,,,,,,,,,,,,,29513580,57091338,3012231,939800143.3195,1725721262.2001,2063477212.3281,1261504921.2227,870733316.1483,234680405.336,34042695.91,-42369626.01,-7215087.3989,-3689176.4238,-14136958.1875,-1739635.3359,-121817.8203,-534259,,,,
"Land Vehicles",,882,,21645000,21548995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Land Vehicles",,883,,,,,,23047215,434083,276615,2073889,37414113,39133727,26761168,22627721,21976497,,,,,,,,,,,,,,0,,,0,0,,,
"Land Vehicles",,1310,,,,,,,,,,,,,,,51496000,111015238,202409609,270490426.5,242075918,234306734.6484,71762012.3496,-30931437.5781,-230832.9297,-185593.44,-1060.33,-44218.53,0,,,,,,,,
"Land Vehicles",,1857,,,,,,,,,,,,,,,,,1982050,3638636.4,,404725.17,-309717.4063,,0,,,,,,,,,,,,
"Land Vehicles",,1929,,,,,-4526045,7409310,11150463,25999055,43530913,58158598,2842282,34530217,24478411,11655995,2052528,,,,,,,,,,,,,,,,,,,,
"Land Vehicles",,1931,,,,,,,,,,,38570372,19093399,90616973.125,116468556,39408587,17069,2245,,,,,,,,,,,,,,,,,,
"Land Vehicles",,2188,,,,,,,,,,,,,,,,,,,,,,,,,,,,2800000,,,,,,,
"Land Vehicles",,2202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178384.9844,,,,
"Land Vehicles",,,927918000,202798000,64714928,36225170,312348489,168344266,117095277,143522334,165363156,76072621,377987768,312335340,477825836,441562825,607584962,1825567473.9375,1772303104.8829,5449554323.1704,8748208306.7619,2585489855.8608,3399947352.4415,3103610638.915,2277665357.7984,564849930.9088,1016696875.03,697821921.9265,1116362825.9652,929310526.0044,2326220997.4583,2053608136.381,1548183051.6573,819687983.1579,2395748003.1884,2724572687.4933,742866.43
"Missile Defense","MDA Support",1912,,,,,,,,,,,,795110717,2069307531,2067830686,2862059431,3156288052,2570074412.0313,3023931091,2670190332.4375,1525995745.318,1004254908.6846,1778956372.6045,2939104535.9806,4685581650.1298,3035301331.53,1878736416.9083,3548118523.4337,2308718572.0832,4688949704.9799,4434246252.6477,5147414195.9064,3656664693.0623,3928992183.9541,1109616156.1586,84372649.4375
"Missile Defense","PAC-3 MSE",2147,,,,,,,,,,,,,,,,,,,,,,,,,428167663.37,1830588298,1826374230.0419,84766828.588,59738487.6095,229141613.7293,201097906.5165,161915560.1566,223277735.9279,310638193.1936,32390325.2
"Missile Defense","PATRIOT",7,,,,,,,,,,,,,,,-7664,0,545590,339186911.8996,774593630.2636,2411545050.5789,3093567124.9184,3543625368.9727,2391815511.2453,2089190450.0281,1167891356.23,695863642.4823,333641882.2051,52715937.5805,-28843688.2066,-36491160.0334,-6306976.0216,-4956354.6856,-9795723.5255,-8787623.9603,
"Missile Defense","PATRIOT PAC-3",44,,,,,,,,,,,,,,,362356494,229743976,689834169,418880812.1602,452313231.5752,113896240.0763,69442984.6661,71125935.9981,157477895.5738,30031904.92,23469704.97,113187481.8891,184588041.7287,428048659.7694,258006975.427,46381235.5388,15201863.0347,11986402.5636,138156456.2864,-7087909.4761,0
"Missile Defense","PATRIOT/MEADS",1819,,,,,,,,,,,,,,,,,,,,,1996697.7266,,639495.0625,9727091.9453,37489754.3204,1178125193.6519,43880785.7099,1575506147.7566,3902237456.5622,1126825152.759,615142410.2882,514656179.2428,153662063.9002,8978864.2151,5898951
"Missile Defense","STINGER",46,,,,,,,,,,,,,,,,0,8392596,11242310.6119,5216696.2477,78690633.8429,9045300.7307,31432729.9469,43576495.5348,-160326.2,9608687.77,10773443.4,11563264.5469,242768.3848,-62424.2109,-1132566.2852,,0,356140979.125,370806864,0
