"VendorSize_Intl","PlatformPortfolio","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"U.S. Medium","Electronics, Comms, & Sensors",,,,,,,,,,,3820244985.2107,4316722813.3744,4658715154.346,5220472957.6678,5980895665.3564,6840222100.8271,7636544595.8936,8816440327.1535,9954130514.8664,10620078531.6926,10381643716.8242,9492193065.7437,9340753227.0048,7592375144.7285,7505844192.967,7742623746.7387,8327979472.4589,8553184879.2651,11046691339.9008,11645745167.7342,12175696944.9737,12055086067.0021,12928911109.6534,6467446902.1009
"U.S. Medium","Facilities and Construction",,,,,,,,,,,8797993918.9682,9532031770.0313,11168050033.8095,11973314105.4471,12868249180.9638,14246449954.5659,17462612761.3152,17581319507.1603,21988354599.9765,23697263921.6695,21126250293.1871,19186483356.1292,14375901678.0041,12469218913.7676,13595580491.1141,13042072608.7103,12462579940.4061,13562432534.8,15970467866.6671,19184863735.5113,24493313353.096,19196828379.7396,22012587283.3171,8594576083.9637
"U.S. Medium","Land Vehicles",,,,,,,,,,,1101943748,1199216897.7969,1782540545.5698,5664600950.8604,2410225657.3494,5696925404.3999,3884043040.9945,5798495700.503,7748510829.8641,5045511346.5933,3093860959.4649,3134795101.2261,970595674.0608,1049720940.3757,846381103.1468,1531606515.5485,1430955369.9207,1875571912.2272,1524428190.5026,2236408597.5105,1544797455.6046,1385600125.1037,1505149828.8917,888498599.3357
"U.S. Medium","Missile Defense",,,,,,,,,,,162204059,251623308,246212659,323744000,338685950.1875,396826545,337111517.035,483269799.2087,674399607.7958,517432336.7589,426587066.1764,403255439.0839,480354999.0386,474766124.7819,613736356.2175,421155816.1183,477777129.8553,468232102.1785,582766077.2861,627393683.5057,634664380.0949,584471657.3981,861994416.1489,508020581.3321
"U.S. Medium","Ordnance and Missiles",,,,,,,,,,,796474906.9,1197480930.9395,1587412079.6484,1593709144.2002,1494759235.2305,1864305515.2907,1605551344.1394,2526264036.0968,2371255270.9898,2562005290.9486,2312845289.7562,2323177512.9017,2311379935.6943,1607625058.2972,1646267579.7497,1771397455.6795,1687282993.8439,2281329174.318,2708580738.5816,2722559611.3533,3088632668.5321,2685342626.5347,3315834538.4429,1762060142.6661
"U.S. Medium","Other Products",,,,,,,,,,,2070850181,2028160574,2685294866.1304,3465201301.01,3487545698.8099,5680989924.5194,4892685123.974,5392146735.8272,5074746622.4807,5635992884.1352,3869497886.6511,4482763819.8228,3794939071.6904,4070988461.4536,2678046710.0773,2880723228.6447,2772357324.8513,3033467395.1463,3600845205.3333,3692412134.7526,3817715587.3656,4112190616.3475,5274131106.1046,3151013437.0286
"U.S. Medium","Other R&D and Knowledge Based",,,,,,,,,,,4038820537.3124,4417097329.9509,5110207398.2271,5191639556.6559,6102395806.3211,6770145483.2603,6703137032.6819,7778236382.2549,8930494946.6622,11704083228.2326,11784940988.5551,11541086584.9093,12720464783.1175,9388095327.6512,9368013933.8893,7827550929.0256,7764532053.8542,8478236279.0547,9873152861.5104,11911650047.8702,12430005702.6277,13155125424.3691,13591031485.426,8435897252.4882
"U.S. Medium","Other Services",,,,,,,,,,,1874050193.319,2436652468.8457,3782530859.685,4876446134.582,4942928368.4524,4791664227.8081,5260138681.9826,5820537473.2382,6073990704.6733,6973260806.9053,7501792090.8034,7693191360.2237,8257343294.2367,6485056683.0966,3729484774.9491,3451885511.3463,3877800980.5307,4371852311.3048,4644520282.3169,4877125938.9362,5270076154.4671,5657342662.1644,5735617533.5521,3661892128.1625
"U.S. Medium","Ships & Submarines",,,,,,,,,,,1440674389,6511934359,1085591395,1115494226.1204,1069106173.4705,1178565944.2357,918086383.7229,989408436.2873,1094888205.7582,1602660552.5867,1549153580.9,2807134424.6406,2195533485.5607,2117949072.1747,2022480498.5961,2055422663.7991,2304033153.4842,2054343168.6543,3130855147.876,3553042057.9807,2035062750.5005,2372925123.8803,3166547600.6916,1238217340.672
"U.S. Medium","Space Systems",,,,,,,,,,,460496686,546433414,623334444,658040002,734849384,898972212.5,901969768.2891,1035535247.9775,1341087425.2378,1136180074.2378,1229999315.8734,1231725209.777,1138737411.7735,983336305.2001,906917712.8,1070199791.7397,1086247626.5475,1205850103.4245,1368418810.0111,502668115.5933,601932898.3821,298620923.7101,283445627.893,185089623.5606
