"Shiny.VendorSize","PricingUCA.1year","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Medium","<=1 Year (All Types)",1e+07,,,37794000,24305000,45435193,77222000,1354644847,1847342331.5,3607599265.45,13935213392.3401,12639584432.7334,14633012027.785,17350232321.2456,20179736721.9985,22000326484.5115,24910846916.427,23896520990.5109,26154511955.3473,28902029144.5598,29438805362.0546,27470902711.9998,25058042464.7776,20869550406.474,20589415139.9112,18397110871.0152,18603643724.1749,19889282195.3943,23635393177.6785,23550612765.702,22895621828.5943,22967079247.6778,25093375336.568,26927259400.6592,29082574506.304,15110442593.01
"Medium","Cost or Effort-Based",27432000,16250000,38513000,51042000,10921000,84691882,88466000,1303867519.06,1820019480,1926625451,4349411354.2688,9047674600.1019,6674412450.0338,7420352654.3111,7205328395.4511,8174735371.512,8501490830.1229,9306973029.3207,10063040350.8351,11181677500.0932,12210092461.3598,11912173606.1518,10800309062.6473,9207731549.1231,8816782839.5587,8835797129.6595,9836505552.2175,10381550882.6171,11556079229.2147,12590509641.0049,15305526749.3367,14299806342.4373,15175174687.6861,18028377112.9992,18904874823.36,10989823191.1
"Medium","Crosscutting",28311655806,41268824793,34965211394,34172936784,32311784449,35269381715,30389640132,30536034596.95,30557596396,32794239267,1429757424.9,1006690712.4295,1006763169.385,920719512.56,1055932535.5485,1047805955.3285,1430378054.7296,4730972231.4594,4325542738.9333,8646127640.5537,1181270658.7737,1274909414.6423,1268186001.5509,755095012.2718,484378437.484,240013140.0268,941554668.6333,694232570.4299,1147702571.7086,1476314867.574,705934757.9794,862128824.2424,698981056.9806,1431144904.0807,1893842874.1175,789772689.26
"Medium","Fixed-Price",92138541.47,113172000,167136019,227240000,74985413.16,70061809,68104836,1456713867,1713506626.02,2783554624.1,9167834223.2992,11982822329.0903,13809117057.7047,15163773321.3112,16365986855.2763,19842832873.2638,19384185204.8687,21235900559.79,25928929385.2201,26419082532.8516,25796228081.9861,26656396781.9021,25646253361.8057,22536779769.5253,18631107998.6715,18408317350.4119,17386868714.8782,20987436842.3904,23828657086.961,29700417442.9872,33432768893.1322,28535731839.7723,33270593675.8336,36742641337.2164,36279593196.6987,18392781316.76
"Medium","Incentive",25992000,11730000,25133000,116117000,46389000,63676000,79963000,258396595,113199184,158107115,614861849,2196648711,949699782,429607926,706769941,2437397670.2344,2486487329.1793,969324852.2717,2041851434.835,595052879.2194,3675946168.473,5024480505.0084,5307078121.0812,3682214431.6595,2112383605.42,2236904608.3595,2068106442.8127,1672114632.1975,2825881737.3249,2423052743.5714,1601207751.3581,1699543120.0259,1676662988.1174,1560641292.3907,1727456605.84,407171645.74
"Small","<=1 Year (All Types)",,,,31212000,45991000,69964024,130289913,1033665859,1980583386.82,3653307246.18,11885438748.8708,11616120181.9784,14088179514.3441,18020767058.9504,19541854748.3885,24302571698.2223,94989538490.6298,26662650308.2057,30669306598.9108,31014086649.2969,30608282273.5835,29657172245.02,28650352611.8842,23189541226.5434,26706914085.3356,27052024635.1514,28689919298.1962,28721430887.7756,34406257925.1395,33023977024.114,34276894836.5712,33299611835.157,36139192983.6001,38201290142.1087,40541272455.7393,18486480392.18
"Small","Cost or Effort-Based",11699000,17522000,19361000,3148000,3220000,4963021,10998695,416159962,575555412,771976226.69,2651771493.8046,3024399782.5864,3380665037.2193,3860005612.1398,4212180881.4714,4990601014.9473,5691378231.7747,6022102263.6665,5837841421.1849,5937197399.3245,7269851995.559,7220536582.0555,6954136529.7092,6739940495.7531,6991593184.4644,7518592836.5371,8171177628.1599,8924916859.5024,10337496479.888,12324596552.7986,12190165680.3753,11444763656.6394,11699376868.092,12452490737.1569,13553751157.25,6863981703.79
"Small","Crosscutting",13435197635,19369335588,17619461930,17645725767,18075942350,19041220687,19347541330,17962553578,17381412013,19097852392,450744288.9004,504404186.4609,735991273.7917,696658964.9564,930309207.228,911813592.4394,898725372.5988,2028007495.5649,3130808670.9812,3813989173.1776,1199353775.8586,500563779.0477,420162589.9337,295822941.7219,341271681.7689,182793233.6963,519775239.668,497073345.2703,328212621.9928,311156551.235,380194311.1622,298610926.2197,300438515.0449,548415148.0926,477864122.03,207846037.09
"Small","Fixed-Price",38566000,53234000,35144000,68448000,12661000,19949000,15977000,493178226,905377160,1281459225,5567301143.2509,6429292099.5915,7642526191.0153,9668531488.2271,9626545204.6002,12880106007.6498,-56369873531.7159,15012951716.3281,15268897729.3279,18405197989.5403,18741098576.106,18628513902.1461,19944667342.262,16901337584.8869,18971357789.9119,16967004167.4378,18232869380.2595,20243728802.5732,24341330401.0984,26634882018.134,28099915064.1497,28384821125.5144,33060337805.5443,38344972732.6993,39105398229.1523,17297606228.89
"Small","Incentive",,,,,,55000,,8005745,35257368,34588033,43176499,52351391,141076814,258360071,288565842,252468670.55,329474997.62,76261081.6334,57626279.1869,96264815.0688,442981747.3266,272300841.8732,201751112.1714,180895899.1937,334079410.026,580372022.8547,645429354.5217,681102311.4971,632606120.9735,572138272.3425,665360324.767,506958655.4848,362184860.2661,377661893.1553,281125611.49,117809101.74
"To Be Labeled","<=1 Year (All Types)",,,,139511000,380774000,203169000,35696000,743449523,422413267,544602013.19,625306124,579505239.3022,717908653.72,855337508.6852,950676793.3096,1698551624.3995,1081225473.1166,1524862179.2369,1061327527.9993,1259458487.3664,2130063397.8477,3042049867.0428,1782094799.3958,1270495400.1501,2054816756.8908,1878844688.0815,1594273335.6679,1851419975.7218,2095385092.7417,2425402763.3247,2629600254.8448,2688996489.9176,3183635563.7212,3513066922.5324,3470343277.21,3456571357.14
"To Be Labeled","Cost or Effort-Based",321829000,267216000,523600000,15240000,872366000,593206000,247751000,1320017962,1948302055,3281013513,264781289,436660526,348065691,322034007,331897450,201269175,226971358.6383,235168414.472,245212979.582,369707925.8031,454078663.1725,424907105.1506,504169185.4526,614817952.5971,541634447.3962,659762709.0699,613823185.1606,725126681.6956,656152081.0916,723528886.3515,791832475.4723,846004040.8523,985546931.0597,1397569975.2036,2525540188.71,1922400966.28
"To Be Labeled","Crosscutting",,,,,,68464000,3934000,460905638,228781184,774169956,21984208,15592336,86689647.08,36641959.23,38160472.35,121360695.31,64849937.02,94596609.35,204969696.5644,112069849.0577,401356206.5175,538444416.726,17606416.8848,19994301.1647,10241181.6556,631458.0735,55325698.4322,10327983.6386,96097232.6837,295718848.0962,98945272.6794,52444979.9744,386066359.5574,280482917.5426,1966588938.94,548931804.34
"To Be Labeled","Fixed-Price",485214541.09,108376000,77968000,71848000,23480000,64948000,552073000,1541729019,897373763,1470997554,700244976,1029220951,1085122896.49,5203508950.81,1925937908.4756,2770004304.19,3568937488.9943,4177213704.3242,6576488540.0979,3989048698.1743,2889722359.4887,3241120573.859,3770413964.1986,3296133523.4342,1953364111.9554,2472854658.3105,2306592428.5014,2742306665.9447,2792805905.0854,3327845136.3779,3564209351.9067,3413196530.437,3835276486.6407,6319941743.0596,7762183968.58,4516499553.45
"To Be Labeled","Incentive",515409000,-4395000,477608000,19701000,155255000,420505000,44313000,1309619175,231764473,454936195,35978355,44487105,40795828,42665977,43417088,145520254,170792562,31525291,322072624,440628100.21,343942037.8149,276141850.624,222622759.5468,86547785.43,32998108.72,36631164.4687,170302549.6756,221822452.0998,320320940.2683,220390403.79,492675434.05,494631351.31,369299523.35,572551120.6766,1486654390.88,1117687517.52
"Unlabeled","<=1 Year (All Types)",,,,655000,138000,113000,43651000,2399337765,1951352303,1061139446,740301171.3,1067586198.36,1339054998.47,409366390.68,1368065622.5867,6681991843.7682,6674553176.461,6696930436.9085,8234869691.0208,4470694578.3712,3459392867.037,3265987790.2534,2272425848.988,1268404751.5021,507178452.2566,507910524.8241,741639778.6133,836929395.4081,665236872.2159,775387342.0349,571899111.389,452608822.0646,23369571.5407,90258764.4334,75923975.86,41065636.83
"Unlabeled","Cost or Effort-Based",,,,,,,242000,,,,109008172,66981470,149020587,188921158,214720486,102696814,53146866,-1070,21110763.06,42094020.56,117513686.6586,385677817.9448,628161437.5005,648895723.87,126571009.36,102720057.1684,-260816625.47,-14380979.4208,195832199.1,-4775825.49,-8563944.91,3959577.36,-703552.3,-63111.1,-430548.59,
"Unlabeled","Crosscutting",12662598369,5734690167,5987561785,5597219734,4027379167,5041181309,5788685977,4097788635,3857399363,1451694736,26470.4,56480,3129337.45,6523292,11283982,54232092,-66441.86,2193926.1,-825850.16,-25458480.1938,1682764.9453,322066.9804,67567.0703,1639521.43,-9871.49,520300,237778.23,36500,-4721005.29,-795478.26,180733.51,2220,0,10000,55000,0
"Unlabeled","Fixed-Price",,93445000,94000,3383000,,0,97122000,4950000,,8550.4,49970049.75,76273007,85726053.91,108544697.87,315644203.9427,461520223.9548,598326118.4199,399514323.5623,1493921439.2169,1698237973.9705,1311273860.1462,1074704288.0816,948279693.7271,453891405.4449,393888155.5101,586778386.5801,586390976.8492,520250172.1338,507849062.0746,663736997.6978,106574670.6123,238064517.6107,210388066.6013,392863807.6269,219713019.2,36407820.68
"Unlabeled","Incentive",,,991000,-1264000,,,,,,,1155000,3555273,1285030,5415031,,2508881,6600,,0,,64600,1250,,,,,22221881.87,0,212882507,318944441,113571755,71038272.6,,-16148167.6,,
