"PricingUCA","costorpricingdata","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Incentive","Y",3355984129,4599025580,6332773481,7027343473.0469,8250198925,5479716476.875,4482192106.5613,3404370322.6231,10204692147.284,7464822633.9196,11160558064.0635,22617047280.462,17765315314.7342,19478180764.1232,15336905866.2906,15310408554.3277,16844821243.2665,18026451509.8329,25743031870.8179,29221569374.4958,20254194349.5541,26684312140.4657,25368542033.905,20133497513.9689
"Incentive",,,361378,1061049,158005619,145427282.5,1199927562.3891,8867212266.2745,4154313670.8677,1569028203.0907,2389961928.0294,1033928459.9843,134904219.1101,63608085.1122,25025893.3584,43116313.9087,37891176.8944,138898749.6799,54404718.045,125382337.3073,101279255.6,76074695.8863,102598775.6921,177903781.0182,75587516.2527
"Other CB","N",16936009200.9951,20251599685.9514,19631569429.2496,24755708372.2163,31356951980.1252,26332846532.8209,18918694832.2667,34057706640.753,39002278087.6144,44499417641.8386,48595876451.2558,45854888415.186,44467861397.2817,41936085097.1903,44025647902.2331,43956512735.7789,41525694235.8211,44947557911.9695,45932593979.5199,50038477428.4206,49945251972.9282,55051834235.0172,59088414726.5016,40141474724.5329
"Other CB","W",647774689,588344319,563239667,915496554,576594020.4531,503354320.4219,219166956.8336,833722569.0707,735439559.993,1047203423.0964,496318440.4285,1023146284.3229,763649857.4748,562362225.0334,293180779.1133,361962419.4067,282283282.9296,394223045.5713,473315023.3132,1014446554.9549,967760314.9102,870062166.2413,1056055934.7248,830979697.2437
"Other CB","Y",16261499230.9317,16210319437.0404,20890807461.3632,25849602380.9455,28853042399.2495,23408043259.3752,13166866298.5487,25364791208.1256,23969476112.835,21038613254.1031,24592255936.2429,34836163364.2898,33859277738.6141,31684068555.1242,30803959917.8612,28867168622.8777,29592475665.3162,30691268361.5994,29395732234.6435,30899483127.1888,29656157989.354,26147454894.192,27163506456.3714,17957985041.7241
"Other CB",,78291032.875,54775510,50894636.281,413675119.3804,549698117,13258755629.2833,38856741389.1203,10350801695.8655,7183019213.169,6768866599.7073,5052590310.2664,1259766916.4625,243137571.8918,250108022.6696,268687562.7061,506393087.7856,524877746.778,978653804.504,1330026458.2209,1600485162.5518,1722811474.9868,1476951167.5164,1304282283.8831,691232470.6296
"Other FP","N",5554286562,8418460062,8474213352,9935923173.2334,11760150416.2766,3395507018.9794,3761465134.7261,15957694888.2463,17549621157.747,23426809465.3218,17100597158.1353,19656207120.4873,27152295822.7917,17413361905.9757,11837617720.4049,9058573524.4145,7558167578.655,9290665937.5675,10512728097.2087,9694344352.1178,9326297120.8248,10299979188.7107,17684600367.5767,9384955405.0891
"Other FP","W",37118080,86327877,277234243,6351660,172557710,4209430880,8180250.5156,141153927.1808,2744750895.3956,207379624.1349,74947517.3264,25650820.2406,18985641.2243,708570916.12,187303109.1047,74681765.6962,23487979.099,35941285.699,207992615.1985,532907694.5206,138439234.6264,439371786.2229,412074264.728,239350942.602
"Other FP","Y",1167501073,1270536641,1468887457,1487356551,1804150473,1530830459,1028799941,360115295.7729,3914847486.3653,1436876679.2045,1271189261.1304,1405671277.3389,992959403.087,701661122.9957,261458203.8457,324230272.382,274675459.8927,246912356.6503,180077654.5799,320682071.7829,473309817.5879,565402424.8917,440203295.5544,215338728.7167
"Other FP",,80895347,150442773.5408,101948055.6406,142752957.5,77295192.6092,15432699083.2036,17057844516.2924,2561916595.25,1190400945.1538,1043887115.3965,550110629.8505,441748845.387,154612683.9308,99837712.3886,42828448.6564,59447376.5358,78702590.2242,22341634.4322,26942685.3549,-16994577.4055,35585906.8203,-4594510.6033,12646231.8528,10368681.293
"T&M/LH/FPLOE","N",3144726584.444,3094450479.4823,4027838853.218,5135756019.3118,5970705865.0689,3611267523.292,2634715331.4774,10312608299.7839,12541205575.855,12597826637.2684,12606303460.6359,8057700533.9127,6104231008.6993,3873107597.9592,2355641342.5052,1886353040.0442,2221606310.717,2231181269.2416,3478182444.5654,2810479807.7679,2748273556.59,2121731084.5187,2247297865.7288,1638134832.0935
"T&M/LH/FPLOE","W",33739689,29942305,39563484,24210650,10947887,48854965,17781833.8386,77718444.6261,36207834.4399,157708904.9677,183533119.6715,56136547.2767,106812005.4425,35344076.6875,10299033.6669,57827024.4428,2553917.3064,53326463.3722,64867477.8411,65906477.8029,52734174.8611,32378515.5899,317152414.9825,236314399.3047
"T&M/LH/FPLOE","Y",1959571469.3599,1708874314.5304,1954913018.3919,2405008624.0141,2781962734.4845,1267673720.7847,552805039.6275,2561489586.8122,2571814397.3046,1795198958.4052,1817146804.2858,2480799850.2006,1726258070.1325,695787994.684,367869005.6656,486506405.7584,365601231.3961,639872713.5485,534447330.6615,595369637.8391,704359283.9657,744241219.1975,464752119.6429,504229415.5867
"T&M/LH/FPLOE",,33836164.2656,31614803.9825,119110075.9834,603351419.0306,1104426884.9281,6570867087.6582,10969954476.1416,2556112771.681,2202327836.0875,1820487744.9883,1463442274.1731,800472537.0138,406775012.1634,269411636.0775,255966297.958,168327312.1589,264102801.9131,232469737.1592,522776465.7508,801401422.5999,819491123.9548,873599624.4926,739079733.0186,581409932.5047
