"PricingInflation","SubCustomer.platform","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"FP-Econ. Price Adj.","Navy",933032000,746412833,1051819212,832692281,947378760,940340846,491551704,382364305,666888829,601667641,791733278,670519819,471996231,1337568592,612811349.0695,2374389260.9204,2445421623.9022,2276674818.1341,2658393661.0997,536089536.4872,571468141.7797,171016724.8991,384213922.2299,377624860.7198,48021570.7037,27049017.7221,46279698.7767,9043680.4339,5053339.7878,-11272559.9512,39722527.1349,24859290.4384,39908847.178,60211443.0085,99873146.55,36712989.42
"FP-Econ. Price Adj.","Other DoD",718000,461945000,886403031,624650552,474253850,374071453,513728993,177341902,311612324,345288824,79780457,554819949,308670385,424726595,338667834,710992789,305248295,166191118.4902,219856299.1894,86368394.7333,238028158.4143,1842047693.8181,2924138551.9388,1832294745.2046,1469602364.6863,1155932915.833,882769860.8947,1209359322.1338,1591386245.4608,2121809408.9281,1735212167.7953,2349721433.2085,2473440428.2292,2630568224.5035,2398952318.72,1100683142.1
"FP-Incentive","Air Force",8174549000,6757848000,7960917186,7050352361,8657456423,4613959544,1012475217,2684666270,1759253405,727475099,627739327,873515725,975614391,1314312088,1085075647,920758904,1155705101.8877,1872639792.3588,1129364880.8204,1280524618.1118,2293455097.618,2955920049.5096,2844475030.9945,4521311910.4326,6050879434.2839,4391595514.7687,7769011428.1746,7737497764.2806,10698327772.6285,8400315760.4755,10577583478.4093,10149482203.2242,6901026267.8666,9258451917.0419,12916530581.04,5861424846.99
"FP-Incentive","Army",179227000,229874000,252913237,244669073,318184911,208127491,79275055,89669336,94538332,321407630,327211693,133412574,494933844,509925583,300629841,444596892,470977819.84,85214962.3763,105765135.0391,282997949.8423,1829978922.3787,625985453.2021,1220707773.39,570586270.6275,924960807.63,2963555767.05,3391570819.7812,3362520349.195,9305835827.46,10601877964.406,6945674939.1356,4529213012.9613,4211481204.136,7484460516.9399,6961000640.81,2466307947.59
"FP-Incentive","DLA",,72000,,57475,,-2328892,1740871,7631965,136264,,0,26868,31806,161303375,120226699,159773059,215746803,143420961.1375,177198838.5288,54915629.491,90616636.8781,85304547.7106,116395985.3362,88979292.5608,126333603.6018,148463425.035,49880997.4492,58089598.7459,230943101.55,172639717.3938,307997137.4748,233465944.8574,242962425.334,198257462.3991,67219406.91,29389318.4
"FP-Incentive","MDA",,,,,,,,,,,,,,,,,,,,,,38937636.3,161511086.39,185711941.31,251287892.6,230968513.06,431504533.2627,604922816.2928,2418842354.2092,3441684617.6254,2966172883.1975,1566759705.6338,3001091469.935,1079748588.2906,1919832393.32,999502632.55
"FP-Incentive","Navy",6975491000,6604056111,5056809598,3821777494,3791297076,5973665798,3511772780,4081596594,6468931378,5695776917,5099407177,5028683751,6823038459,6563049956,7922198830.74,4831256610,4821440350,2998118694.19,3728737708.98,7489673750.8639,10252514214.4096,20304061056.434,22898884126.4443,28303709760.4738,20764116339.8143,20997487148.2874,24468150480.1016,36962095445.5076,30122407702.4603,33428903453.0079,56179278281.0212,19199960005.0058,29666686679.206,46245190400.8736,16041348250.53,14798118363.21
"FP-Incentive","Other DoD",126671000,137333000,105158752,138071626,143647260,112729596,117128323,51392422,58192964,74488780,78740439,156954266,737946395,530641476,399380387.75,487619633.9382,418195995.36,451990734.22,208670134.13,199000560.8471,469526954.6147,511854056.0945,648083489.4102,991006612.56,1307019818.6601,650656689.9811,396235452.2089,365745911.6079,144721406.0283,183369041.1855,367812256.7007,394121599.7787,448324777.8103,520455683.6958,264283460.33,214446989.72
,"Air Force",8183943000,3563648000,2957195712,4384999342,5154005861,5868632641,6633341421,771853366,957977909,1490363958,1399742452,1716947088,2000188825,2223134881.0826,1984094224.5092,1645460665.1554,1105864810.2302,61765042.4564,360441596.8616,67636762.4081,8326694.3987,-340982.3943,-153172.9658,-22673.14,0,0,0,0,0,0,0,0,0,0,0,0
,"Army",6522042000,3318243000,2139155281,4168064424,1189932047,1705376272,2078489559,895172432,1061925151,1804101034.43,1594042999.4039,2041380483.2583,2374496688.835,3054679570.4727,3155539939.9491,2576810329.7307,1263651574.6781,33209176.8269,70892536.5555,-82606568.7031,130458354.415,-568196.3916,-680524.9622,756560.09,-2713465.3809,0,0,0,0,0,0,0,0,0,0,0
,"DLA",5942495000,100613000,55948278,85553252,120032996,146563409,147530631,194713528,266627845,497436528,405200248,497980125,601669141,614323646,794446176,541476877,403143877.3051,1069770.9201,2975083.843,5056512.5513,0,-20341.7402,0,0,0,0,0,0,0,50903.56,0,0,0,0,0,0
,"MDA",,,,,,,,2317359,3626732,7528363,6332286,9701377,30046321,40418410,19353530.1875,10424621,3735141.4687,3135847.4614,83909414.5868,8537961.2899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,"Navy",7331458000,2185614535,1771239954,1768935319,1791349607,1850318372,1400863149,1253186311,1716100244,2684213741,2624084272,1593468764.8886,2652610702.6876,2321178824.9415,2593569208.4512,1905531707.395,1411871545.4135,690683274.7761,5640100186.2703,3279052480.1565,49588924.0581,-316295.169,56212.6584,-42910.96,0,29995.58,1738.23,32000,20204.71,0,10000,10000,0,10000,10000,0
,"Other DoD",31644000,23678000,10606632,6490920,498185434,50623803,7023399,187689005,350588115.5,535688304.61,583971692.7451,564530783.19,823638033.4238,828851886.5078,723193059.3993,730959313.6359,524144752.1324,30334910.0891,34008305.6355,16546332.1843,26008615.8657,-1835583.8514,-1195553.4243,-182254.54,-121125.94,0,-60227.85,-1117.8,0,0,0,0,0,-39324.9492,0,0
