"ProductServiceOrRnDarea","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Experimental Development",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4972238617.4475,7971232383.1028,7227898343.8638
"FRS&C",9632225778,16022307467,15334799012,14224739972,16760739952,16561254791,17020066856,16970339374,16545316064,17167106212,17069573446.7748,19098608420.1096,21165720974.0444,27599476255.3415,27491689029.1255,30228612294.707,35420921243.9746,35489387762.2878,44775850994.6769,53227658711.7133,48276611825.8268,42240595225.1222,39144194234.6886,31821825781.0131,34171340568.2231,30229197614.5506,30371112949.8671,29879100754.7575,37228681604.1927,41941227960.6524,49426278665.8057,39106088060.1225,44833732196.5324,24088911748.617
"Fuels",4991340000,6001945000,3593048078,4501630373,4549886630,3517302871,3895296252,4189085296,3098943647,2627592707,3539978909,4114617850,5406158242,5644483530.7695,6524579126.4709,9564497100.7392,13081158279.3216,12521122660.2773,14398684080.4848,18724203093.7232,12353941753.2971,14004241053.2505,21690447759.8324,14231146403.2733,12423958605.5834,8942500936.2246,5879211092.2971,7570267424.2692,9657680562.9594,7726653536.2816,6073547584.7288,7034032800.8822,13886948391.417,6778077620.8485
"Ground Vehicles",2650328000,4851359772,3033090126,3432863279,2491959930,1918835719,2199174842,2260284719,1714470388,2378697778,3447341422.4375,3852962362.2578,3974846285.3247,7831244376.472,6571859871.1251,10369184080.0447,9699820767.917,21254478212.2411,32479339881.9227,21782136239.5991,21086212453.1771,16142382797.8329,8982056576.8837,5086336901.6627,4383428678.5978,5509073025.2393,5421509425.4354,6199955811.075,8440473518.7207,9086188651.1086,8286826049.2445,6263214050.909,7594616885.9508,4918187921.6557
"ICT",2932254799,4083510627,4822223677,4468651646,4841588061,5038442272,5449863799,5112399818,5375772104,6120083787,7344611737.721,7667927386.9988,8443963055.0587,10503897199.0271,12956980104.5563,13434015820.5891,14354101029.6732,15145158611.163,15612520262.0683,16521509971.9441,16886520459.0199,18111520069.4162,17095395882.459,15200195345.5603,14500281916.0125,13727496892.9704,15208747538.5426,15520079823.2971,17888614854.1443,18989947213.2565,21728265052.1166,19269304463.324,20132104260.6943,12210100305.5779
"Launchers & Munitions",1816994714,3808915171,3150482054,3042705346,1766237719,1870648416,2362215350,2495171665,2113956884,2233516303,2744765008.9,3116033655.24,4112211259.325,4834296687.0303,6179939909.4571,7374184123.5573,6740350180.1604,7698021080.579,9246910012.7856,8397641409.8576,8067531444.7838,7395025634.2914,6409542834.3488,4963984040.5158,4209841604.8987,4225401663.9008,7544556374.6513,6702175080.5014,8353605905.3101,8168485522.9772,6807688175.1838,6141609511.7814,6633201178.6856,4899897016.3638
"MED",917522000,597041920,735888108,693627610,829591436,1729592044,1749694962,2653300460,2994392962,3474107091,2206554815.8008,3356057051.2363,5353433907.9385,7128888723.96,6472680683.7143,8011259767.0005,9434026804.0826,10716277969.4613,10881237555.92,13674759065.3117,12939215879.3626,13924855850.9444,13708786101.9753,13363623688.6613,14209286517.6201,12714703152.3809,13368262938.296,13676931675.0611,13969372310.567,14201722288.9277,14689782118.9011,15330797492.6379,16426528598.9346,12759431432.4073
"Missiles & Space",8801443000,9340772308,7145358828,6423617216,4837150924,4480529903,4375215581,4485228697,4576263807,4636789745,4512811326,5066090947,7445126596.2734,7570046624.9102,9732228365,9106600889.5896,10218627287.7747,10546750028.7163,13719229492.7017,13509706488.8132,12405240703.7241,13762988352.979,15835106575.788,13731363294.2743,12133393748.5228,13171702565.824,12964190156.4007,12528448770.4748,19018478798.019,21904147275.0974,25577295469.3034,18481128880.7885,19461048015.4927,15798110099.7104
"Operational Systems Development",3826544000,4308226737,3910081088,3720889710,3585351058,4762692900,4062908569,4108189253,4772748627,5059025834,5047190255.7802,4868326303,7276919623.5195,8902654067.5,9314382855.7813,11795563629.418,14993827584.9336,15059574057.177,12975373642.8237,13837083040.1969,11457240139.0456,10083946745.8093,8202359355.7025,6386824648.0383,4224453246.3043,4267270827.6354,3702004692.7574,4189069216.5555,4136901306.7002,4078805708.3672,3788278459.396,322476937.3128,163702780.1909,106190360.7154
"Other",6346856769,7714953779,7110582504,6226474295,5102403759,6265977193,6750387712,6156476847,5961782463,5901741682,5957672717.09,7107329889.8393,8400240763.4443,9692007230.3224,11729756728.7397,20063089895.7508,17982899001.3316,18745604553.8458,22707352645.7717,16003945430.733,15440209034.0223,14982460753.3775,12036984655.8988,9640700595.9495,9687737215.0949,9685796183.0458,10045482305.7626,12859093034.2192,13769313945.0611,14456430999.9234,13421928730.218,14152680192.6572,13657706997.6405,9512132959.3208
"PAMS",9435330835,11649121600,11512769914,12188008848,12764049547,12935251309,13514715568,13359447099,14503015888,15943295004,17284311842.6942,17256873389.4621,21268079099.4599,28735840733.1043,34351534835.8169,38670589631.5934,43821675745.3966,48519588147.007,55266477676.2734,58877386159.0639,59728879998.247,57636930317.3907,54356973963.1855,48574287311.3624,41800749634.4927,41391200415.2956,43148575909.5493,45909632741.213,50444908533.364,54734276281.7011,57287356464.6941,57370996666.7923,57722346137.0045,33889691456.9176
"R&D administrative and operational expenses",746915000,1127462755,1413423659,1444082272,1122314507,789244551,830606845,1005562023,874705388,1007726382,1091711883.0078,1122007883.3008,1445155027.3048,1200014367.7139,1135233256.9407,1282356277.3255,1285136318.6073,1357657136.6169,1455482888.0454,1567139362.1834,1675008381.9797,1527068094.4019,1563995972.6084,1361605615.3806,1473637013.4673,1223663687.4416,1110835335.1597,954653023.003,1004475253.83,1057632900.1628,1239080805.3127,6663132044.6953,6358372138.7579,6162702594.9305
"R&D facilities and major equipment",287046000,223846621,193006078,412017769,675707898,717936425,662734168,515220063,628323030,682597841,683679440,654338561,505092888,648443544,730135771,857611550,770413795.1634,610201623.1253,620240440.1994,192794088.275,111641866.7578,124977366.9153,74411023.7629,100100897.23,80794715.8238,84600961.8933,114471958.7473,157944594.4788,196015516.2165,137120522.4245,228316273.4021,2639488874.0134,2272789243.6329,1564673843.0033
"Ships",4977429000,4915188351,4050072036,5200265803,3652783539,5590246706,3819890488,3561853856,3894445602,3876564820,4136220835,5703548176,5172657893,5526347008.01,7356622000.5908,6955671326.1299,8909496707.8627,8913430010.0078,10261180407.3413,12712211040.2326,9914506756.3812,19542425201.2573,15992293564.7739,14876765211.2303,15349731967.8257,13170630236.1893,15419487585.8317,17894305319.1992,20564002169.8176,22653887257.2058,30307983837.9289,22326737922.6128,25200310669.0209,16675309783.2445
,,,,,,,,,,,29507158.5386,9838575.9429,84083862.2943,75741000.174,7078195.7826,3802636.1223,109748294.8077,18047585.0499,368043.2192,986168.1333,-253919.658,-140825.1013,-6477.8001,-99723.1206,,30000,3581529.4308,1345607,-212795.3672,465885,314555.625,386316,0,10000
