"Project.Name","ProjectID","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"B-1",1797,148950517,163073784,162781605,133462354,,,,2882527.749,4704666.9899,14453377.6093,753460.1586,5640262.0581,12736915.3444,6293157.25,8710835.03,5987335,-4585247.5,-64212,,,,,,
"B-1 CMUP-DSUP",641,,,,,,,,2163214.56,0,,90625.3203,,1400,,,,,,,,,,,
"B-2 DMS-M",2145,,,,,,,,,,,,,,,,,122458368,0,131050,92348776.9844,8545064.7188,8999595.2519,3272575.835,2153626.75
"B-2 EHF",635,,,,,,,1209256,7583225.4215,8193766.0174,2652871.4269,1351340.6781,1191755.1045,17102535.7267,2987662.53,7456467.85,1380593.1082,2230725.0156,3505709.9687,1673888,1393171.8906,,,,
"B-2 RMP",1370,,,,,766000,143329960,156549798,73643593.5,106276594.5273,71885295.4688,9757168,-29590.3203,0,84164.26,2688775.31,-1021336.25,-217037,,,,,,,
"B-2 STEALTH",1883,242085743,398102521,415795735,505560356,175100588,82519931,16297171,9957685.8437,924050.2324,-4749522.6525,-8753139.3039,-2263949.659,-2270119.8297,-1049737.8,0,,-6342.1299,-2625585.3125,73769.3906,,0,0,,
"B-2A",1860,,,,-124659,162043337,161480738,164828173,429190271.5313,473696025.8036,784561935.8476,752899674.3933,648476401.8954,633911374.1448,743527852.3763,610924267.9395,189875830.5183,54471007.6632,15150155.6423,-2825372.5678,-20527429.0658,-3586378.1054,-1099272.5517,-835990.7695,59796.3984
"B-52 OAS/CMI MODS",1868,,,,,,,,12117510.0007,18684307.2214,8736272.4613,3074951.4814,3073880.3005,2789557.1732,2497771.68,6472356.06,38755.3207,-147352.0202,-8444.8799,0,2400,-57639.3789,,,
"B-52 RMP",2197,,,,,,,,,,,,,,,,,,,8371369,0,5281420.5625,11424821,30488370.0859,19987727.125
"B-52 STRATO FORTRESS",1881,33490577,93547368,94294146,97998062,370121,367379,821749,185875,,,0,,0,,,,,,,,,,,
"B1-B",64,,,,,,,853822,66572422.6582,97856423.171,106557265.1223,117974446.3896,150070734.6869,166809204.1137,80944804.48,90279373.26,4514662.7294,4015063,2987345,1248271.5626,-70879,8019,-56840,7240816,-185712.0625
"B1-B CMUP",693,,,,,115460733,65314719,133547442,120974484.875,140618706.3125,205463266.5801,203343672.7295,227416280.5419,196218195.2812,62391939.64,17141129.31,-1285888.4688,-357316.7588,1536896,,,,,,
"B1-CMUP COMPUTER UPGRADE",669,,,,,,,,104682,,,,-506,,,,,,,,,,,,
"BALLISTIC MISSILE DEFENSE",137,77469788,47442497,65224978,138578790,368864,,,,-53449.0796,-56731.6993,-14088.9404,,,,,,,,,,,,,
"BASE REALIGN & CLOS (BRAC",610,42354917,41471532,37583821,31265944,131770,,,,,49170,,,,,,,,,,,,,,
"BGM-109 TOMAHAWK",865,,40000,,,,,,,,,,,,,,,,,,,,,,
"BJL",2061,,,,12069706,2439651,4353258,3267404.1992,1029189,1238526.9063,,,,0,,,,0,,,,,,,
"BLACK HAWK (UH-60A/L)",52,,,,,,,,,,,,,502702.0273,780845.35,631400.82,,,,,,,,,
"BLACK HAWK UPGRADE (UH-60",1339,,,,,,5750,,,,,,,,,,,,,,,,,,
