"PlatformPortfolio","Competition.effective.only","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Electronics,
Comms, & Sensors","Unlabeled",0.178876371673862,0.179991983476992,0.192793802746859,0.169940406951731,0.14407643571075,0.0298795892548553,0.0223375497544313,0.0101456346445624,0.0106525706139718,0.00762450442688661,0.00557642527836529,0.00335364796823438,0.00662031729160199,0.00741468648631915,0.0101200936001504,0.00997400204583229,0.0086113970855606,0.0122564113839604,0.0114228702784093,0.0104064742819128,0.0239645054503104
"Facilities &
Construction","Not Effective Comp.",0.216653102666627,0.222590483745697,0.232255348639727,0.300432930116486,0.272502667686241,0.287973519587937,0.260274350557682,0.266991071123051,0.239206301167045,0.250959587655816,0.248434977743037,0.252227375369189,0.229777479994393,0.226583419440816,0.232535186126713,0.236185438423671,0.25361041234816,0.243283457840827,0.232424800446432,0.235301113785132,0.239033894872864
"Facilities &
Construction","Effective Comp.",0.743899226062671,0.727719613497322,0.704855879031433,0.634053892457765,0.655813334862265,0.675847504218312,0.706056399030409,0.724999724157927,0.745051104707133,0.736975111316863,0.736108141523578,0.734840407855792,0.759944840046411,0.763167705060046,0.757966700953161,0.752625575121707,0.73630879671703,0.748806302536211,0.741279719899662,0.754334476885408,0.723303508386217
"Facilities &
Construction","Unlabeled",0.0394476712707014,0.0496899027569808,0.0628887723288402,0.065513177425749,0.0716839974514941,0.0361789761937504,0.0336692504119091,0.00800920471902245,0.0157425941258223,0.0120653010273214,0.0154568807333848,0.0129322167750185,0.0102776799591954,0.0102488754991381,0.00949811292012574,0.011188986454622,0.0100807909348102,0.00791023962296157,0.0262954796539056,0.0103644093294604,0.037662596740919
"Other Products","Not Effective Comp.",0.194315317958046,0.206950393569634,0.246315395744095,0.221168299795482,0.194728788105665,0.162588298921512,0.225233272588264,0.233171763091729,0.331157750076791,0.203872306494504,0.280864045608895,0.196238935354587,0.16410763890676,0.20465092540546,0.147836960693326,0.133620387094422,0.160384436826461,0.15655131392149,0.16618561383342,0.184252942897126,0.281632429692194
"Other Products","Effective Comp.",0.79065931390888,0.762656698138004,0.652826768485381,0.705006673341514,0.723115982800591,0.807965874390951,0.766745902108955,0.764605047900236,0.666254926287097,0.794529940704926,0.717259981582941,0.801186350809197,0.83459378833981,0.79431826635838,0.849447656646452,0.868803885743503,0.839098824914092,0.841738519964596,0.783709225913231,0.76035130804603,0.570892470991833
"Other Products","Unlabeled",0.0150253681330732,0.0303929082923612,0.100857835770524,0.0738250268630041,0.0821552290937446,0.0294458266875368,0.00802082530278163,0.00222318900803474,0.00258732363611162,0.00159775280057081,0.00187597280816436,0.00257471383621653,0.0012985727534304,0.00103080823616037,0.00271538266022171,-0.00242427283792481,0.000516738259446641,0.0017101661139136,0.0501051602533492,0.0553957490568441,0.147475099315972
"Other Services","Not Effective Comp.",0.158750717072942,0.179052693487832,0.159671683831849,0.131937100834335,0.095493277099224,0.115399920416308,0.142972506954228,0.163002667911895,0.166229975261758,0.163306455929776,0.167513443909231,0.140343586941214,0.133428869915035,0.120031957187494,0.144085926611292,0.160642338185024,0.184489275797223,0.177544577878519,0.201802566862095,0.181113462817572,0.177635688068821
"Other Services","Effective Comp.",0.825094867536826,0.805823316891955,0.732456141297723,0.707397621219751,0.770000278986272,0.703744203089229,0.730729682322586,0.833242159878997,0.820362352719511,0.821281179360038,0.777753441052941,0.784099674567904,0.807698944744093,0.809402236875742,0.821165392498953,0.809540714572155,0.784619037543801,0.796823958221826,0.793650379056449,0.813781171707168,0.811003852541953
"Other Services","Unlabeled",0.0161544153902318,0.0151239896202128,0.107872174870428,0.160665277945914,0.134506443914504,0.180855876494463,0.126297810723186,0.00375517220910779,0.0134076720187312,0.0154123647101856,0.0547331150378273,0.0755567384908815,0.0588721853408728,0.0705658059367641,0.0347486808897547,0.0298169472428212,0.030891686658976,0.0256314638996544,0.0045470540814552,0.00510536547526006,0.0113604593892264
"Other Knowledge
Based","Not Effective Comp.",0.407019391052129,0.410167143070163,0.399009962619305,0.410409816006101,0.430342579409986,0.505847094397623,0.50450254100287,0.459156428030606,0.418105238924949,0.431749707004185,0.415588892987394,0.390460111159719,0.364757811292864,0.370212090501164,0.393006161946705,0.405399491015858,0.42202023692455,0.420575999711443,0.431605137195741,0.452920317489486,0.449045759439396
"Other Knowledge
Based","Effective Comp.",0.54393442655981,0.518206775613699,0.507588491990526,0.496796089088961,0.478283812344696,0.448845319909275,0.471156217157705,0.531756052183749,0.56960562425491,0.559938012456895,0.576759088964932,0.600432210669199,0.623628937811793,0.620060699996628,0.599472420548299,0.589125924240045,0.574056272139491,0.574451661553301,0.560302149732968,0.535984618900942,0.529594688352447
"Other Knowledge
Based","Unlabeled",0.0490461823880613,0.0716260813161372,0.093401545390169,0.0927940949049373,0.0913736082453186,0.0453075856931026,0.0243412418394252,0.00908751978564485,0.0122891368201408,0.00831228053891999,0.00765201804767367,0.00910767817108156,0.0116132508953428,0.00972720950220781,0.00752141750499583,0.00547458474409637,0.00392349093595951,0.00497233873525648,0.00809271307129029,0.0110950636095719,0.0213595522081564
