ProductOrServiceCode,ProductOrServiceCodeText,ProductServiceOrRnDarea, Action_Obligation_OMB25_GDP23 ,SpaceArea
5955,OSCILLATORS AND PIEZOELECTRIC CRYSTALS,Electronics & Communications,,Other Products
5960,ELECTRON TUBES & ASSOC HARDWARE,Electronics & Communications,,Other Products
5961,SEMI CONDUCTOR DEVICES,Electronics & Communications,,Other Products
5962,"MICROCIRCUITS, ELECTRONIC",Electronics & Communications,,Other Products
5963,ELECTRONIC MODULES,Electronics & Communications,,Other Products
5965,"HEADSET,HANDSET,MICROPHONE & SPEAK",Electronics & Communications,,Other Products
5975,ELECTRICAL HARDWARE AND SUPPLIES,Electronics & Communications,,Other Products
5980,OPTOELECTRICAL DEVICES/ASSOC HARDWA,Electronics & Communications,,Other Products
5985,ANTENNAS WAVEGUIDES & RELATED EQ,Electronics & Communications,"135,000",Other Products
5995,CABLE CORD WIRE ASSEMBLY - COMM EQ,Electronics & Communications,,Other Products
5996,AMPLIFIERS,Electronics & Communications,,Other Products
5998,ELE ASSEMB-BDS CARDS-ASSOC HARDWARE,Electronics & Communications,,Other Products
5999,MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,Electronics & Communications,"91,974",Other Products
6015,FIBER OPTIC CABLES,Electronics & Communications,,Other Products
6020,FIBER OPTIC CABLE ASSEMBLIES AND HARNESSES,Electronics & Communications,,Other Products
6034,FIBER OPTIC MOD/DEMODULATORS,Electronics & Communications,,Other Products
6099,MISC FIBER OPTIC COMPONENTS,Electronics & Communications,,Other Products
6105,"MOTORS, ELECTRICAL",Engines & Power Plants,,Other Products
6110,ELECTRICAL CONTROL EQUIPMENT,Engines & Power Plants,,Other Products
6115,GENERATORS & GENERATOR SETS ELECT,Engines & Power Plants,,Other Products
6130,"CONVERTERS, ELECTRICAL, NONROTATING",Engines & Power Plants,,Other Products
6135,"BATTERIES, NONRECHARGEABLE",Engines & Power Plants,,Other Products
6140,"BATTERIES, RECHARGEABLE",Engines & Power Plants,,Other Products
6150,MISC ELECTRIC POWER & DISTRIB EQ,Electronics & Communications,"773,932",Other Products
6220,ELEC VEHICULAR LIGHTS & FIXTURES,Electronics & Communications,,Other Products
6310,TRAFFIC AND TRANSIT SIGNAL SYSTEMS,Electronics & Communications,,Other Products
6340,AIRCRAFT ALARM AND SIGNAL SYSTEMS,Electronics & Communications,,Other Products
6350,"MISC ALARM, SIGNAL, SEC SYSTEMS",Electronics & Communications,"149,652",Other Products
6505,DRUGS AND BIOLOGICALS,Clothing & Subsistence,,Other Products
6515,"MED & SURGICAL INSTRUMENTS,EQ & SUP",Clothing & Subsistence,,Other Products
6525,"IMAGING EQUIPMENT AND SUPPLIES: MEDICAL, DENTAL, VETERINARY",Clothing & Subsistence,,Other Products
6605,NAVIGATIONAL INSTRUMENTS,Other,,Other Products
6610,FLIGHT INSTRUMENTS,Aircraft,,Other Products
6615,AUTO PILOT MECHANISMS AIRBORNE GYRO,Aircraft,,Other Products
6625,ELECT ELECTRONIC MEASURING INSTRUMT,Other,,Other Products
6635,PHYSICAL PROPERTIES TEST EQ,Other,,Other Products
6640,LABORATORY EQUIPMENT AND SUPPLIES,Other,,Other Products
6650,OPTICAL INSTRUMENTS,Other,"2,860,286",Other Products
6660,METEOROLOG INSTRUMENTS & APPARATUS,Other,,Other Products
6665,HAZARD-DETECTING INSTRU & APPARATUS,Other,,Other Products
6675,DRAFTING SURVEYING & MAPPING INSTRU,Other,,Other Products
6680,"LIQUID AND GAS FLOW, LIQUID LEVEL, AND MECHANICAL MOTION MEASURING INSTRUMENTS",Other,,Other Products
6685,PRESSURE TEMP HUMIDITY INSTRUMENTS,Other,,Other Products
6695,COMBINATION & MISC INSTRUMENTS,Other,,Other Products
6710,"CAMERAS, MOTION PICTURE",Other,,Other Products
6760,PHOTOGRAPHIC EQ & ACCESSORIES,Other,,Other Products
6810,CHEMICALS,Other,,Other Products
6830,GASES: COMPRESSED AND LIQUEFIED,Other,,Other Products
6920,ARMAMENT TRAINING DEVICES,Other,,Other Products
6930,OPERATION TRAINING DEVICES,Other,,Other Products
6940,COMMUNICATION TRAINING DEVICES,Other,,Other Products
7010,ADPE SYSTEM CONFIGURATION,Electronics & Communications,,Other Products
7021,"ADP CENTRAL PROCESSING UNIT (CPU, COMPUTER), DIGITAL",Electronics & Communications,"738,246",Other Products
7025,ADP INPUT/OUTPUT & STORAGE DEVICES,Electronics & Communications,,Other Products
7030,ADP SOFTWARE,Electronics & Communications,"734,609",Other Products
7035,ADP SUPPORT EQUIPMENT,Electronics & Communications,,Other Products
7042,MINI & MICRO COMPUTER CONT DEVICES,Electronics & Communications,,Other Products
7045,ADP SUPPLIES,Electronics & Communications,,Other Products
7050,ADP COMPONENTS,Electronics & Communications,,Other Products
7110,OFFICE FURNITURE,Other,,Other Products
7435,OFFICE INFORMATION SYSTEM EQUIPMENT,Electronics & Communications,,Other Products
7520,OFFICE DEVICES AND ACCESSORIES,Other,,Other Products
7610,BOOKS AND PAMPHLETS,Other,,Other Products
7641,"AERO MAPS, CHARTS, GEODETIC PRODS",Other,,Other Products
7830,RECREATIONAL & GYMNASTIC EQ,Other,,Other Products
8415,"CLOTHING, SPECIAL PURPOSE",Clothing & Subsistence,,Other Products
8460,LUGGAGE,Clothing & Subsistence,,Other Products
8970,COMPOSITE FOOD PACKAGES,Clothing & Subsistence,,Other Products
8999,FOOD ITEMS FOR RESALE,Clothing & Subsistence,,Other Products
9135,"LIQUID PROPELLANT FUELS AND OXIDIZERS, CHEMICAL BASE",Fuels,,Other Products
9390,MISC FABRICATED NONMETAL MATERIALS,Other,,Other Products
9999,MISCELLANEOUS ITEMS,Other,,Other Products
7E21,IT AND TELECOM - MOBILE DEVICE PRODUCTS (HARDWARE AND PERPETUAL LICENSE SOFTWARE),Electronics & Communications,"2,720",Other Products
7A20,IT AND TELECOM - APPLICATION DEVELOPMENT SOFTWARE (PERPETUAL LICENSE SOFTWARE),Electronics & Communications, -   ,Other Products
7A21,IT AND TELECOM - BUSINESS APPLICATION SOFTWARE (PERPETUAL LICENSE SOFTWARE),Electronics & Communications,,Other Products
7G20,IT AND TELECOM - NETWORK: ANALOG VOICE PRODUCTS (HARDWARE AND PERPETUAL LICENSE SOFTWARE),Electronics & Communications,"588,795",Other Products
7G22,"IT AND TELECOM - NETWORK: SATELLITE AND RF COMMUNICATIONS PRODUCTS (HW, PERPETUAL LICENSE SOFTWARE)",Electronics & Communications,"2,003,157",Other Products
AA35,R&D-AGRI PRODUCTION-OPSY DEV,Operational Systems Development,,R&D (All Other)
AB91,R&D- COMMUNITY SERVICE/DEVELOPMENT: OTHER (BASIC RESEARCH),Basic Research (6.1),,R&D (All Other)
AC11,DEFENSE AIRCRAFT (BASIC),Basic Research (6.1),,R&D (All Other)
AC12,R&D- DEFENSE SYSTEM: AIRCRAFT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),Applied Research (6.2),,R&D (All Other)
AC13,DEFENSE AIRCRAFT (ADVANCED),Experimental Development,"26,904,693",Other Products
AC16,R&D- DEFENSE SYSTEM: AIRCRAFT (MANAGEMENT/SUPPORT),R&D administrative and operational expenses,,R&D (All Other)
AC21,R&D- DEFENSE SYSTEM: MISSILE/SPACE SYSTEMS (BASIC RESEARCH),Basic Research (6.1),"196,512,709",R&D (Defense)
AC22,R&D- DEFENSE SYSTEM: MISSILE/SPACE SYSTEMS (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),Applied Research (6.2),"3,541,548,119",R&D (Defense)
AC23,R&D- DEFENSE SYSTEM: MISSILE/SPACE SYSTEMS (ADVANCED DEVELOPMENT),Advanced Development,"1,638,318,294",R&D (Defense)
AC23,R&D- DEFENSE SYSTEM: MISSILE/SPACE SYSTEMS (ADVANCED DEVELOPMENT),Experimental Development,"162,513,413",R&D (Defense)
AC24,R&D- DEFENSE SYSTEM: MISSILE/SPACE SYSTEMS (ENGINEERING DEVELOPMENT),Engineering Development,"4,034,412,036",R&D (Defense)
AC24,R&D- DEFENSE SYSTEM: MISSILE/SPACE SYSTEMS (ENGINEERING DEVELOPMENT),R&D administrative and operational expenses,"2,830,625",R&D (Defense)
AC25,R&D- DEFENSE SYSTEM: MISSILE/SPACE SYSTEMS (OPERATIONAL SYSTEMS DEVELOPMENT),Operational Systems Development,"3,653,902,336",R&D (Defense)
AC25,R&D- DEFENSE SYSTEM: MISSILE/SPACE SYSTEMS (OPERATIONAL SYSTEMS DEVELOPMENT),R&D facilities and major equipment,"139,583,897",R&D (Defense)
AC26,R&D- DEFENSE SYSTEM: MISSILE/SPACE SYSTEMS (MANAGEMENT/SUPPORT),R&D administrative and operational expenses,"2,236,623,119",R&D (Defense)
AC27,R&D- DEFENSE SYSTEM: MISSILE/SPACE SYSTEMS (COMMERCIALIZED),Commercialization,"308,455,864",R&D (Defense)
AC31,DEFENSE SHIPS (BASIC),Basic Research (6.1),,R&D (All Other)
AC32,DEFENSE SHIPS (APPLIED/EXPLORATORY),Applied Research (6.2),"896,148",R&D (Defense)
AC34,DEFENSE SHIPS (ENGINEERING),Engineering Development,,R&D (All Other)
AC34,DEFENSE SHIPS (ENGINEERING),R&D administrative and operational expenses,,R&D (All Other)
AC51,R&D- DEFENSE SYSTEM: WEAPONS (BASIC RESEARCH),Basic Research (6.1),,R&D (All Other)
AC52,R&D- DEFENSE SYSTEM: WEAPONS (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),Applied Research (6.2),,R&D (All Other)
AC54,R&D- DEFENSE SYSTEM: WEAPONS (ENGINEERING DEVELOPMENT),Engineering Development,,R&D (All Other)
AC61,R&D- DEFENSE SYSTEM: ELECTRONICS/COMMUNICATION EQUIPMENT (BASIC RESEARCH),Basic Research (6.1),"1,039,944",R&D (Defense)
AC62,R&D- DEFENSE SYSTEM: ELECTRONICS/COMMUNICATION EQUIPMENT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),Applied Research (6.2),"7,210,771",R&D (Defense)
AC63,R&D- DEFENSE SYSTEM: ELECTRONICS/COMMUNICATION EQUIPMENT (ADVANCED DEVELOPMENT),Advanced Development,,R&D (All Other)
AC64,R&D- DEFENSE SYSTEM: ELECTRONICS/COMMUNICATION EQUIPMENT (ENGINEERING DEVELOPMENT),Engineering Development,,R&D (All Other)
AC65,R&D- DEFENSE SYSTEM: ELECTRONICS/COMMUNICATION EQUIPMENT (OPERATIONAL SYSTEMS DEVELOPMENT),Operational Systems Development,"82,248,985",R&D (Defense)
AC66,R&D- DEFENSE SYSTEM: ELECTRONICS/COMMUNICATION EQUIPMENT (MANAGEMENT/SUPPORT),R&D administrative and operational expenses,,R&D (All Other)
AD21,R&D- DEFENSE OTHER: SERVICES (BASIC RESEARCH),Basic Research (6.1),,R&D (All Other)
AD22,R&D- DEFENSE OTHER: SERVICES (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),Applied Research (6.2),"4,837,414",R&D (Defense)
AD23,R&D- DEFENSE OTHER: SERVICES (ADVANCED DEVELOPMENT),Advanced Development,,R&D (All Other)
AD24,R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT),Engineering Development,,R&D (All Other)
AD25,R&D- DEFENSE OTHER: SERVICES (OPERATIONAL SYSTEMS DEVELOPMENT),Operational Systems Development,,R&D (All Other)
AD26,R&D- DEFENSE OTHER: SERVICES (MANAGEMENT/SUPPORT),R&D administrative and operational expenses,,R&D (All Other)
AD66,CONSTRUCTION (MANAGEMENT/SUPPORT),R&D administrative and operational expenses,,R&D (All Other)
AD91,OTHER DEFENSE (BASIC),Basic Research (6.1),,R&D (All Other)
AD92,OTHER DEFENSE (APPLIED/EXPLORATORY),Applied Research (6.2),"3,246,655",R&D (Defense)
AD93,OTHER DEFENSE (ADVANCED),Advanced Development,"548,688",R&D (Defense)
AD94,OTHER DEFENSE (ENGINEERING),Engineering Development,,R&D (All Other)
AD95,OTHER DEFENSE (OPERATIONAL),Operational Systems Development,"252,824,549",R&D (Defense)
AD96,OTHER DEFENSE (MANAGEMENT/SUPPORT),R&D administrative and operational expenses,,R&D (All Other)
AG31,GEOTHERMAL (BASIC),Basic Research (6.1),,R&D (All Other)
AJ11,PHYSICAL SCIENCES (BASIC),Basic Research (6.1),"628,003",R&D (All Other)
AJ14,PHYSICAL SCIENCES (ENGINEERING),R&D administrative and operational expenses,"2,738,141",R&D (All Other)
AJ14,PHYSICAL SCIENCES (ENGINEERING),Engineering Development,,R&D (All Other)
AJ41,ENGINEERING (BASIC),Basic Research (6.1),"125,078",R&D (All Other)
AJ42,ENGINEERING (APPLIED/EXPLORATORY),Applied Research (6.2),,R&D (All Other)
AJ45,ENGINEERING (OPERATIONAL),Operational Systems Development,"2,277,813",R&D (All Other)
AJ46,ENGINEERING (MANAGEMENT/SUPPORT),R&D administrative and operational expenses,,R&D (All Other)
AJ47,R&D- GENERAL SCIENCE/TECHNOLOGY: ENGINEERING (COMMERCIALIZED),Commercialization,"1,679,272,023",R&D (All Other)
AJ71,R&D- GENERAL SCIENCE/TECHNOLOGY: SOCIAL SCIENCES (BASIC RESEARCH),Basic Research (6.1),"71,630",R&D (All Other)
AN11,BIOMEDICAL (BASIC),Basic Research (6.1),,R&D (All Other)
AN91,OTHER MEDICAL (BASIC),Basic Research (6.1),,R&D (All Other)
AN95,OTHER MEDICAL (OPERATIONAL),Operational Systems Development,,R&D (All Other)
AR10,R&D-AERO & SPACE TECH,Uncategorized R&D,,R&D (Space Flight)
AR11,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (BASIC RESEARCH),Basic Research (6.1)," 15,843,708,829.00 ",R&D (Space Flight)
AR12,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),Applied Research (6.2),"754,029,280",R&D (Space Flight)
AR13,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (ADVANCED DEVELOPMENT),Advanced Development,"207,042,423",R&D (Space Flight)
AR13,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (ADVANCED DEVELOPMENT),Experimental Development,"116,290,754",R&D (Space Flight)
AR14,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (ENGINEERING DEVELOPMENT),Engineering Development,"947,190,827",R&D (Space Flight)
AR14,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (ENGINEERING DEVELOPMENT),R&D administrative and operational expenses,"190,509,704",R&D (Space Flight)
AR15,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (OPERATIONAL SYSTEMS DEVELOPMENT),Operational Systems Development,"58,884",R&D (Space Flight)
AR15,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (OPERATIONAL SYSTEMS DEVELOPMENT),R&D facilities and major equipment,"13,778,153",R&D (Space Flight)
AR16,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (MANAGEMENT/SUPPORT),R&D administrative and operational expenses,"3,200,053",R&D (Space Flight)
AR17,R&D-AERO & SPACE TECH-COMERCLIZ,Commercialization,"28,366,239",R&D (Space Flight)
AR20,R&D-SPACE SCIENCE & APPL,Uncategorized R&D,,R&D (All Other)
AR21,R&D- SPACE: SCIENCE/APPLICATIONS (BASIC RESEARCH),Basic Research (6.1),"1,539,362,573",R&D (All Other)
AR22,R&D- SPACE: SCIENCE/APPLICATIONS (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),Applied Research (6.2),"3,761,327,491",R&D (All Other)
AR23,R&D- SPACE: SCIENCE/APPLICATIONS (ADVANCED DEVELOPMENT),Advanced Development,"1,245,123,118",R&D (All Other)
AR24,R&D- SPACE: SCIENCE/APPLICATIONS (ENGINEERING DEVELOPMENT),Engineering Development,"2,037,426,017",R&D (All Other)
AR25,R&D- SPACE: SCIENCE/APPLICATIONS (OPERATIONAL SYSTEMS DEVELOPMENT),Operational Systems Development, -   ,R&D (All Other)
AR26,R&D- SPACE: SCIENCE/APPLICATIONS (MANAGEMENT/SUPPORT),R&D administrative and operational expenses,,R&D (All Other)
AR27,R&D-SPACE SCIENCE-COMERCLIZ,Commercialization,,R&D (All Other)
AR31,R&D- SPACE: FLIGHT (BASIC RESEARCH),Basic Research (6.1),"154,352,869",R&D (Space Flight)
AR32,R&D- SPACE: FLIGHT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),Applied Research (6.2),"2,832,909,775",R&D (Space Flight)
AR33,R&D- SPACE: FLIGHT (ADVANCED DEVELOPMENT),Advanced Development,"1,601,683,802",R&D (Space Flight)
AR34,R&D- SPACE: FLIGHT (ENGINEERING DEVELOPMENT),Engineering Development,"6,558,832,502",R&D (Space Flight)
AR35,R&D- SPACE: FLIGHT (OPERATIONAL SYSTEMS DEVELOPMENT),Operational Systems Development,"451,713,430",R&D (Space Flight)
AR36,R&D- SPACE: FLIGHT (MANAGEMENT/SUPPORT),R&D administrative and operational expenses,,R&D (All Other)
AR37,R&D- SPACE: FLIGHT (COMMERCIALIZED),Commercialization,"57,870",R&D (Space Flight)
AR41,"R&D- SPACE: OPERATIONS, TRACKING AND DATA ACQUISITION (BASIC RESEARCH)",Basic Research (6.1),"297,141",R&D (All Other)
AR42,"R&D- SPACE: OPERATIONS, TRACKING AND DATA ACQUISITION (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)",Applied Research (6.2),"19,568,124",R&D (All Other)
AR43,"R&D- SPACE: OPERATIONS, TRACKING AND DATA ACQUISITION (ADVANCED DEVELOPMENT)",Advanced Development,,R&D (All Other)
AR44,"R&D- SPACE: OPERATIONS, TRACKING AND DATA ACQUISITION (ENGINEERING DEVELOPMENT)",Engineering Development,"1,532,043,614",R&D (All Other)
AR45,"R&D- SPACE: OPERATIONS, TRACKING AND DATA ACQUISITION (OPERATIONAL SYSTEMS DEVELOPMENT)",Operational Systems Development,"9,060,574",R&D (All Other)
AR46,"R&D- SPACE: OPERATIONS, TRACKING AND DATA ACQUISITION (MANAGEMENT/SUPPORT)",R&D administrative and operational expenses,"407,600",R&D (All Other)
AR47,R&D-SPACE TRACK DATA ACQ-COMERCLIZ,Commercialization,,R&D (All Other)
AR54,RDTE/SP+TERRESTRIAL APP-DEMO/VALID,Engineering Development,,R&D (All Other)
AR55,RDTE/SP+TERRESTRIAL APP-ENG/MANUF,Operational Systems Development,"6,300,235,976",R&D (All Other)
AR57,R&D-SPACE & TERRESTRIAL-COMERCLIZ,Commercialization,,R&D (All Other)
AR61,R&D-SPACE STATION-B RES,Basic Research (6.1),"153,825",R&D (Space Station)
AR62,R&D- SPACE: STATION (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),Applied Research (6.2),"13,568,301,336",R&D (Space Station)
AR63,R&D- SPACE: STATION (ADVANCED DEVELOPMENT),Advanced Development,,R&D (Space Station)
AR64,R&D- SPACE: STATION (ENGINEERING DEVELOPMENT),Engineering Development,"7,071,893",R&D (Space Station)
AR65,R&D-SPACE STATION-OPSY DEV,Operational Systems Development,,R&D (Space Station)
AR66,R&D-SPACE STATION-MGMT SUP,R&D administrative and operational expenses,,R&D (Space Station)
AR67,R&D- SPACE: STATION (COMMERCIALIZED),Commercialization,"305,175",R&D (Space Station)
AR71,R&D- SPACE: COMMERCIAL PROGRAMS (BASIC RESEARCH),Basic Research (6.1),"43,773,543",R&D (All Other)
AR72,R&D- SPACE: COMMERCIAL PROGRAMS (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),Applied Research (6.2),"797,921",R&D (All Other)
AR73,R&D- SPACE: COMMERCIAL PROGRAMS (ADVANCED DEVELOPMENT),Advanced Development,"92,465",R&D (All Other)
AR74,R&D- SPACE: COMMERCIAL PROGRAMS (ENGINEERING DEVELOPMENT),Engineering Development,,R&D (All Other)
AR75,R&D-COMMERCIAL PROGRAMS-OPSY DEV,Operational Systems Development,,R&D (All Other)
AR76,R&D-COMMERCIAL PROGRAMS-MGMT SUP,R&D administrative and operational expenses,,R&D (All Other)
AR77,R&D-COMMERCIAL PROGRAMS-COMERCLIZ,Commercialization,,R&D (All Other)
AR90,R&D-OTHER SPACE,Uncategorized R&D,,R&D (All Other)
AR91,R&D- SPACE: OTHER (BASIC RESEARCH),Basic Research (6.1),"1,833,511",R&D (All Other)
AR92,R&D- SPACE: OTHER (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),Applied Research (6.2),"498,192,068",R&D (All Other)
AR93,R&D- SPACE: OTHER (ADVANCED DEVELOPMENT),Advanced Development,,R&D (All Other)
AR94,R&D- SPACE: OTHER (ENGINEERING DEVELOPMENT),Engineering Development,"11,614,691",R&D (All Other)
AR95,R&D- SPACE: OTHER (OPERATIONAL SYSTEMS DEVELOPMENT),Operational Systems Development,"28,296,564",R&D (All Other)
AR96,R&D- SPACE: OTHER (MANAGEMENT/SUPPORT),R&D administrative and operational expenses,,R&D (All Other)
AR97,R&D- SPACE: OTHER (COMMERCIALIZED),Commercialization,,R&D (All Other)
AS13,AIR TRANSPORTATION (ADVANCED),Advanced Development,,R&D (All Other)
AS91,OTHER MODAL TRANSPORTATION (BASIC),Basic Research (6.1),"1,309,280",R&D (All Other)
AZ11,R&D- OTHER RESEARCH AND DEVELOPMENT (BASIC RESEARCH),Basic Research (6.1),,R&D (All Other)
AZ12,R&D- OTHER RESEARCH AND DEVELOPMENT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),Applied Research (6.2),"9,518,979",R&D (All Other)
B506,SPECIAL STUDIES/ANALYSIS- DATA (OTHER THAN SCIENTIFIC),PAMS,,Other Services
B539,AERONAUTIC/SPACE STUDIES,PAMS,"1,164,016",Other Services
B544,SPECIAL STUDIES/ANALYSIS- TECHNOLOGY,PAMS,,Other Services
B553,COMMUNICATIONS STUDIES,PAMS,,Other Services
B599,OTHER SPECIAL STUDIES AND ANALYSES,PAMS,,Other Services
C211,A/E SVCS. (INCL LANDSCAPING INTERIO,PAMS,"26,207,125",Other Services
C215,A/E PROD ENG SVCS (INCL DESIGN-CONT,PAMS,,Other Services
C219,ARCHITECT AND ENGINEERING- GENERAL: OTHER,PAMS,,Other Services
D301,ADP FACILITY MANAGEMENT,ICT,,Other Services
D302,ADP SYSTEMS DEVELOPMENT SERVICES,ICT,,Other Services
