Office_ID,VendorIsForeign,VendorStateCode,VendorCD,Action_Obligation_OMB24_GDP22
#N/A,0,GA,GA-,227913.5223
GA01,0,GA,GA-01,0
GA02,0,GA,GA-02,-14514.51564
GA04,0,GA,GA-04,485865.1016
GA06,0,GA,GA-06,96174.35199
GA07,0,GA,GA-07,2371565.57
GA09,0,GA,GA-09,-6470.0999
GA11,0,GA,GA-11,0
#N/A,0,GA,GA-90,11285.05648
#N/A,0,IA,IA-,3088293
IA01,0,IA,IA-01,150630315.3
IA02,0,IA,IA-02,36040052.19
ID01,0,ID,ID-01,26636.13951
ID02,0,ID,ID-02,74725.01849
#N/A,0,IL,IL-,89561.1102
IL03,0,IL,IL-03,58067.9414
IL04,0,IL,IL-04,126658.6046
IL06,0,IL,IL-06,7991924.386
IL08,0,IL,IL-08,196390.6134
IL09,0,IL,IL-09,659470.8471
IL11,0,IL,IL-11,17629850.8
IL12,0,IL,IL-12,105611188.1
IL13,0,IL,IL-13,1380577.74
IL16,0,IL,IL-16,874.614038
IL17,0,IL,IL-17,2324252.446
#N/A,0,IL,IL-90,85412.64488
#N/A,0,IN,IN-,2419719.437
IN02,0,IN,IN-02,6158.420456
IN03,0,IN,IN-03,-150837.0571
IN04,0,IN,IN-04,5423978.79
IN05,0,IN,IN-05,225368.2501
IN06,0,IN,IN-06,23453.90215
IN07,0,IN,IN-07,6121351.107
IN08,0,IN,IN-08,1713240.883
IN09,0,IN,IN-09,408081.272
#N/A,0,KS,KS-,68018.7094
KS03,0,KS,KS-03,11895.77339
KS04,0,KS,KS-04,-24367.38204
#N/A,0,KY,KY-,649134.8296
KY01,0,KY,KY-01,0
KY03,0,KY,KY-03,-479437.5964
KY05,0,KY,KY-05,6548.588723
#N/A,0,LA,LA-,377.15
LA01,0,LA,LA-01,5721739.309
LA02,0,LA,LA-02,20007.9814
LA04,0,LA,LA-04,2411.25
#N/A,0,MA,MA-,46222.0703
MA01,0,MA,MA-01,-312408.4376
MA03,0,MA,MA-03,147310600.2
MA04,0,MA,MA-04,5400
MA05,0,MA,MA-05,7090096.878
MA06,0,MA,MA-06,1831385512
MA07,0,MA,MA-07,467807.4192
MA08,0,MA,MA-08,0
MA09,0,MA,MA-09,16102585.28
#N/A,0,MA,MA-90,0
#N/A,0,MD,MD-,215183.9277
MD01,0,MD,MD-01,100549.9125
MD02,0,MD,MD-02,28630735.54
MD03,0,MD,MD-03,2654139.44
MD05,0,MD,MD-05,-45419.0234
MD06,0,MD,MD-06,8354556.005
MD07,0,MD,MD-07,3636407.541
MD08,0,MD,MD-08,191201.5445
#N/A,0,MD,MD-90,14986208.07
ME01,0,ME,ME-01,186100
#N/A,0,MI,MI-,318941.8396
MI01,0,MI,MI-01,137816.2354
MI02,0,MI,MI-02,296608
MI03,0,MI,MI-03,345267
MI04,0,MI,MI-04,699218.0002
MI05,0,MI,MI-05,726088
MI06,0,MI,MI-06,75088.17524
MI08,0,MI,MI-08,694926.0537
MI09,0,MI,MI-09,155526715
MI10,0,MI,MI-10,3118257584
MI11,0,MI,MI-11,73489261
MI12,0,MI,MI-12,498981.5298
#N/A,0,MI,MI-14,0
#N/A,0,MN,MN-,270336.0851
MN01,0,MN,MN-01,144052.1692
MN03,0,MN,MN-03,274019337.5
MN05,0,MN,MN-05,255798850.3
MN06,0,MN,MN-06,17233535.3
MN07,0,MN,MN-07,11807
MN08,0,MN,MN-08,0
#N/A,0,MN,MN-90,0
#N/A,0,MO,MO-,1264499.803
MO01,0,MO,MO-01,980147820.1
MO02,0,MO,MO-02,19184765
MO03,0,MO,MO-03,2599.977983
MO04,0,MO,MO-04,0
MO05,0,MO,MO-05,73589799.5
MO06,0,MO,MO-06,381395725.2
MO07,0,MO,MO-07,4571688.32
MO08,0,MO,MO-08,18298.62191
MS01,0,MS,MS-01,85419802.1
MS02,0,MS,MS-02,5064202.895
MS04,0,MS,MS-04,3866208.75
#N/A,0,MT,MT-,70660.6992
#N/A,0,MT,MT-00,71987.1133
MT01,0,MT,MT-01,113387.1415
MT02,0,MT,MT-02,150298.7141
#N/A,0,NC,NC-,525
NC01,0,NC,NC-01,2074082.564
NC02,0,NC,NC-02,1325370.472
NC10,0,NC,NC-10,4925208.589
NC12,0,NC,NC-12,11651.96
NC13,0,NC,NC-13,4537411
NC14,0,NC,NC-14,7744.842841
#N/A,0,NE,NE-,334475.6567
NE03,0,NE,NE-03,329022.289
NH01,0,NH,NH-01,21813545.39
NH02,0,NH,NH-02,150257875.3
#N/A,0,NJ,NJ-,1146896.017
NJ01,0,NJ,NJ-01,8993808.403
NJ02,0,NJ,NJ-02,32109.61291
NJ03,0,NJ,NJ-03,245150.9532
NJ04,0,NJ,NJ-04,352436.4365
NJ05,0,NJ,NJ-05,6671.943563
NJ06,0,NJ,NJ-06,33698.56494
NJ07,0,NJ,NJ-07,4756386.975
NJ09,0,NJ,NJ-09,49967.6797
NJ11,0,NJ,NJ-11,6446413.869
#N/A,0,NJ,NJ-90,95379.83794
#N/A,0,NM,NM-,103000
NM02,0,NM,NM-02,4596.05
#N/A,0,NY,NY-,2268427.162
NY01,0,NY,NY-01,12169.19996
NY02,0,NY,NY-02,4926009.295
#N/A,0,NY,NY-03,151310.1738
NY04,0,NY,NY-04,-70380.55717
NY08,0,NY,NY-08,0
NY10,0,NY,NY-10,2045.897524
NY12,0,NY,NY-12,189935.7597
NY17,0,NY,NY-17,-84239.47287
NY19,0,NY,NY-19,0
NY20,0,NY,NY-20,93438.9529
NY22,0,NY,NY-22,-3147465.27
NY23,0,NY,NY-23,9572294.577
NY24,0,NY,NY-24,72065.6602
NY25,0,NY,NY-25,-13005
NY26,0,NY,NY-26,139191.619
#N/A,0,NY,NY-27,61622
#N/A,0,NY,NY-90,387946.3123
#N/A,0,OH,OH-,690190.2912
OH01,0,OH,OH-01,46520.82577
OH02,0,OH,OH-02,45447630.74
OH03,0,OH,OH-03,1336.653049
OH04,0,OH,OH-04,878.4483075
OH06,0,OH,OH-06,4116.593806
OH07,0,OH,OH-07,559864.2239
OH08,0,OH,OH-08,86489.09677
OH10,0,OH,OH-10,357121.3817
OH11,0,OH,OH-11,0
OH12,0,OH,OH-12,26663051.14
OH13,0,OH,OH-13,-0.67
OH14,0,OH,OH-14,9422.57419
OH15,0,OH,OH-15,1988.669621
#N/A,0,OH,OH-16,681305.2103
#N/A,0,OH,OH-90,125287130.5
#N/A,0,OK,OK-,1190.2
OK01,0,OK,OK-01,886975.0487
OK02,0,OK,OK-02,3212.0701
OK04,0,OK,OK-04,12899790.27
OK05,0,OK,OK-05,4433
#N/A,0,OK,OK-90,12175841.5
OR01,0,OR,OR-01,5157.473786
OR03,0,OR,OR-03,4530.542302
#N/A,0,PA,PA-,620604.8358
PA01,0,PA,PA-01,63178994.09
PA02,0,PA,PA-02,23612.896
PA04,0,PA,PA-04,2232089.537
PA05,0,PA,PA-05,-7060.492504
PA06,0,PA,PA-06,-15971.35386
PA07,0,PA,PA-07,346556.0625
PA08,0,PA,PA-08,195577303.6
PA09,0,PA,PA-09,2195781.8
PA10,0,PA,PA-10,1025987222
PA11,0,PA,PA-11,61486.99
PA12,0,PA,PA-12,744112.0089
PA13,0,PA,PA-13,5287671.779
PA14,0,PA,PA-14,5846.688591
PA15,0,PA,PA-15,1430697.569
PA16,0,PA,PA-16,0
PA17,0,PA,PA-17,23581705.43
#N/A,0,PA,PA-18,96800
#N/A,0,PA,PA-90,365018.1629
RI01,0,RI,RI-01,-1421
#N/A,0,SC,SC-,56009.0195
SC02,0,SC,SC-02,229680
SC07,0,SC,SC-07,-44739.0195
SD00,0,SD,SD-00,34759033.87
#N/A,0,TN,TN-,136174.6076
TN04,0,TN,TN-04,12011.94584
TN07,0,TN,TN-07,3742510.137
TN08,0,TN,TN-08,28385.10876
TN09,0,TN,TN-09,4153814
#N/A,0,TX,TX-,482523.0238
TX01,0,TX,TX-01,797470.0625
TX02,0,TX,TX-02,12158.9605
TX03,0,TX,TX-03,13482862.55
TX04,0,TX,TX-04,3399017.875
TX06,0,TX,TX-06,-20139.45278
TX10,0,TX,TX-10,1615105.77
TX11,0,TX,TX-11,27750
TX12,0,TX,TX-12,-4879.30876
TX21,0,TX,TX-21,0
TX24,0,TX,TX-24,-17994.84221
TX25,0,TX,TX-25,-73325.38226
TX28,0,TX,TX-28,0
TX30,0,TX,TX-30,50856.9102
TX32,0,TX,TX-32,-100
TX33,0,TX,TX-33,4682576947
TX35,0,TX,TX-35,529229.6541
#N/A,0,TX,TX-90,3076568399
#N/A,0,UT,UT-,76232.97
UT01,0,UT,UT-01,15005755.61
UT02,0,UT,UT-02,291049.1875
UT03,0,UT,UT-03,119867.5913
UT04,0,UT,UT-04,2528796.105
#N/A,0,VA,VA-,-35745.75
VA01,0,VA,VA-01,51848.65251
VA02,0,VA,VA-02,10156026.05
VA03,0,VA,VA-03,155318.5684
VA04,0,VA,VA-04,-1522759.925
VA05,0,VA,VA-05,572.2790277
VA06,0,VA,VA-06,-89015.26802
VA08,0,VA,VA-08,62697440.28
VA09,0,VA,VA-09,0
VA10,0,VA,VA-10,18742974.15
VA11,0,VA,VA-11,26093591.5
#N/A,0,VA,VA-90,2851.370717
#N/A,0,VT,VT-,52702.5
VT00,0,VT,VT-00,-41396.94449
#N/A,0,WA,WA-,1176
WA01,0,WA,WA-01,3712059.979
WA02,0,WA,WA-02,500000
WA07,0,WA,WA-07,223300
WA09,0,WA,WA-09,199315.5199
#N/A,0,WI,WI-,265872.3048
WI01,0,WI,WI-01,297957.0758
WI02,0,WI,WI-02,102643.4643
WI04,0,WI,WI-04,4704.589812
WI06,0,WI,WI-06,34999998
WI08,0,WI,WI-08,552968.4063
WV01,0,WV,WV-01,36698146.91
WV02,0,WV,WV-02,129005.1039
WY00,0,WY,WY-00,542976
#N/A,1,,,65197269.75
#N/A,1,AB,,-2099.1399
#N/A,1,BAYERN,,653898951.6
#N/A,1,ESSEX,,761215.293
#N/A,1,GYEONGGI,,65716708.34
#N/A,1,KYONGGI,,199584
#N/A,1,LU,,0
#N/A,1,MID GLAMORGAN,,235970.7127
#N/A,1,NIEDERSACHSEN,,0
#N/A,1,ON,,16116146.12
#N/A,1,SUFFOLK,,13351858.75
#N/A,1,SURREY,,23030.4395
#N/A,,AZ,,2605280
