Office_ID,PlaceIsForeign,Place_State_Code,PlaceCD, Action_Obligation_OMB24_GDP22 
MS02,0,MS,MS-02," 5,090,995 "
MS04,0,MS,MS-04," 3,866,209 "
#N/A,0,MT,MT-00," 95,139 "
MT01,0,MT,MT-01," 113,387 "
MT02,0,MT,MT-02," 150,299 "
NC01,0,NC,NC-01," 3,399,453 "
NC08,0,NC,NC-08, -   
NC10,0,NC,NC-10," 1,551,644 "
NC12,0,NC,NC-12," 11,652 "
NC13,0,NC,NC-13," 258,100 "
NC14,0,NC,NC-14," 7,745 "
NE03,0,NE,NE-03," 663,498 "
NH01,0,NH,NH-01," 21,944,364 "
NH02,0,NH,NH-02," 150,257,875 "
NJ01,0,NJ,NJ-01," 9,808,335 "
NJ02,0,NJ,NJ-02," 32,635 "
NJ03,0,NJ,NJ-03," 468,823 "
NJ04,0,NJ,NJ-04," 306,733 "
NJ05,0,NJ,NJ-05," 6,672 "
NJ06,0,NJ,NJ-06," 33,699 "
NJ07,0,NJ,NJ-07," 4,676,885 "
NJ09,0,NJ,NJ-09," 54,294 "
NJ11,0,NJ,NJ-11," 11,646,057 "
#N/A,0,NJ,NJ-90," 95,380 "
NM02,0,NM,NM-02," (399,109)"
NY01,0,NY,NY-01," 49,776 "
NY02,0,NY,NY-02," 6,437,932 "
#N/A,0,NY,NY-03," 171,429 "
NY04,0,NY,NY-04," (42,763)"
NY07,0,NY,NY-07," 2,925 "
NY08,0,NY,NY-08," 164,000 "
NY10,0,NY,NY-10," 41,748 "
NY12,0,NY,NY-12," 189,936 "
NY17,0,NY,NY-17," (5,774)"
NY20,0,NY,NY-20," 93,439 "
NY22,0,NY,NY-22," (2,945,324)"
NY23,0,NY,NY-23," 332,910 "
NY24,0,NY,NY-24," 15,795,595 "
NY25,0,NY,NY-25," (13,005)"
NY26,0,NY,NY-26," 143,438 "
#N/A,0,NY,NY-27," 78,775 "
#N/A,0,NY,NY-90," 387,946 "
OH01,0,OH,OH-01," 169,889 "
OH02,0,OH,OH-02," 45,527,133 "
OH03,0,OH,OH-03," 7,346 "
OH04,0,OH,OH-04," 22,718,206 "
OH06,0,OH,OH-06," 4,117 "
OH07,0,OH,OH-07," 559,864 "
OH08,0,OH,OH-08," 86,489 "
OH10,0,OH,OH-10," 859,458 "
OH11,0,OH,OH-11, -   
OH12,0,OH,OH-12," 17,329,414 "
OH13,0,OH,OH-13, -   
OH14,0,OH,OH-14," 53,811 "
OH15,0,OH,OH-15," 2,939 "
#N/A,0,OH,OH-16," 640,815 "
#N/A,0,OH,OH-90," 31,676,604 "
OK01,0,OK,OK-01," 888,165 "
OK02,0,OK,OK-02," 51,065 "
OK04,0,OK,OK-04," 12,899,790 "
OK05,0,OK,OK-05," 4,433 "
#N/A,0,OK,OK-90," 12,175,841 "
OR01,0,OR,OR-01," 5,157 "
PA01,0,PA,PA-01," 2,234,756 "
PA02,0,PA,PA-02," (35,527)"
PA03,0,PA,PA-03," 21,600 "
PA04,0,PA,PA-04," 306,337 "
PA05,0,PA,PA-05," (7,060)"
PA06,0,PA,PA-06," 83,303,355 "
PA07,0,PA,PA-07," 346,556 "
PA08,0,PA,PA-08," 205,909,041 "
PA10,0,PA,PA-10," 926,526,173 "
PA12,0,PA,PA-12," 19,271 "
PA13,0,PA,PA-13," 9,118,605 "
PA14,0,PA,PA-14," 102,647 "
PA15,0,PA,PA-15," 2,155,538 "
#N/A,0,PA,PA-90," 365,018 "
RI01,0,RI,RI-01," 221,879 "
SC02,0,SC,SC-02," 229,680 "
SD00,0,SD,SD-00," 36,619,543 "
TN04,0,TN,TN-04," 20,963 "
TN07,0,TN,TN-07," 3,869,716 "
TN08,0,TN,TN-08," 4,188,437 "
TN09,0,TN,TN-09, 18 
TX01,0,TX,TX-01," 819,025 "
TX02,0,TX,TX-02," (20,555)"
TX03,0,TX,TX-03," 28,482,863 "
TX04,0,TX,TX-04," 3,456,419 "
TX06,0,TX,TX-06," (20,139)"
TX07,0,TX,TX-07," 32,714 "
TX10,0,TX,TX-10," 1,640,050 "
TX11,0,TX,TX-11," 27,750 "
TX12,0,TX,TX-12," 26,787 "
TX21,0,TX,TX-21, -   
TX24,0,TX,TX-24," 44,784 "
TX25,0,TX,TX-25," (46,009)"
TX28,0,TX,TX-28, -   
TX30,0,TX,TX-30," (6,544)"
TX32,0,TX,TX-32, (100)
TX33,0,TX,TX-33," 4,679,875,937 "
TX35,0,TX,TX-35," 442,520 "
#N/A,0,TX,TX-90," 3,073,111,302 "
UT01,0,UT,UT-01," 15,019,535 "
UT02,0,UT,UT-02," 6,208,377 "
UT03,0,UT,UT-03," 119,868 "
UT04,0,UT,UT-04," 249,369 "
VA01,0,VA,VA-01," 11,161,716 "
VA02,0,VA,VA-02," 10,000 "
VA03,0,VA,VA-03," (1,450,900)"
VA04,0,VA,VA-04," 33,416 "
VA05,0,VA,VA-05, 572 
VA06,0,VA,VA-06," (89,015)"
VA08,0,VA,VA-08," 63,124,555 "
VA09,0,VA,VA-09," 67,775,012 "
VA10,0,VA,VA-10," 18,384,776 "
VA11,0,VA,VA-11," 20,895,216 "
#N/A,0,VA,VA-90," 2,851 "
VT00,0,VT,VT-00," 11,306 "
WA01,0,WA,WA-01," 3,707,867 "
WA02,0,WA,WA-02," 505,369 "
WA09,0,WA,WA-09," 55,995 "
WI01,0,WI,WI-01," 297,957 "
WI02,0,WI,WI-02," 241,982 "
WI04,0,WI,WI-04," 4,347 "
WI06,0,WI,WI-06," 35,008,690 "
WI07,0,WI,WI-07," 16,150 "
WI08,0,WI,WI-08," 572,762 "
WV01,0,WV,WV-01," 36,692,138 "
WV02,0,WV,WV-02," 129,005 "
WY00,0,WY,WY-00," 542,976 "
#N/A,1,,," 100,350,871 "
#N/A,1,/ ,," 819,086,257 "
#N/A,1,NS,, -   
#N/A,,,, -   
#N/A,,/ ,, -   
#N/A,,01,, -   
#N/A,,UK,, -   
