"CalendarYear","exclude","NAICS_Code","naics_text","obl","cont_count","hh_index","pct_sum_check","top4","top8","top12","top20","top50","mismatch"
1999,FALSE,"54151",NA,470484943.3281,262,320.365909479672,1,0.287509841840864,0.412363485145709,0.504637296219278,0.619464136931237,0.806975561734426,NA
1999,FALSE,"54161",NA,76721264,70,790.686077483749,1,0.492984348512105,0.689606747077725,0.772907934659938,0.862395091079802,0.985317214141849,NA
1999,FALSE,"54162",NA,8110484,8,4874.49884428188,1,0.935526289183235,1,1,1,1,NA
1999,FALSE,"54171",NA,147758783.0031,45,854.801661399148,1,0.509595778713291,0.716318643173097,0.839874650172049,0.948943369851788,1,"Scientific R&D Manual Aggregation"
1999,FALSE,"54172",NA,4120,1,10000,1,1,1,1,1,1,NA
1999,FALSE,"54182",NA,627897,1,10000,1,1,1,1,1,1,NA
1999,FALSE,"54199",NA,54471132,16,8082.64638742327,1,0.984743184701945,0.999127978467567,1,1,1,NA
1999,FALSE,"56111",NA,41933627.1299,3,9263.94795113011,1,1,1,1,1,1,NA
1999,FALSE,"56121",NA,205081575,18,1945.67674730085,1,0.805201257109519,0.935969284417676,0.991967625565583,1,1,NA
1999,FALSE,"56145",NA,205600,2,7111.23559781374,1,1,1,1,1,1,NA
1999,FALSE,"56161",NA,319974,2,5063.38298857503,1,1,1,1,1,1,NA
1999,FALSE,"56162",NA,0,1,NA,0,NA,NA,NA,NA,NA,NA
1999,FALSE,"56171",NA,37254,2,10000,1,1,1,1,1,1,NA
1999,FALSE,"56172",NA,10927881,11,2024.24562685949,1,0.810124304977333,0.990788058544927,1,1,1,NA
1999,FALSE,"56173",NA,715057,4,7474.74228435809,1,1,1,1,1,1,NA
1999,FALSE,"56179",NA,0,2,NA,0,NA,NA,NA,NA,NA,NA
1999,FALSE,"56199",NA,17848737,2,10000,1,1,1,1,1,1,NA
1999,FALSE,"56211",NA,1562063,4,7681.54272306571,1,1,1,1,1,1,NA
1999,FALSE,"56221",NA,683726.8047,6,5696.2250290435,1,1,1,1,1,1,NA
1999,FALSE,"56291",NA,51120579,13,1561.40965781257,1,0.707221606390647,0.967979588024619,1,1,1,NA
1999,FALSE,"56299",NA,38728,1,10000,1,1,1,1,1,1,NA
1999,FALSE,"61142",NA,1389745,3,4899.10407281351,1,1,1,1,1,1,NA
1999,FALSE,"61143",NA,346867,2,6251.43467873738,1,1,1,1,1,1,NA
1999,FALSE,"61151",NA,38533509,3,4943.23555038255,1,1,1,1,1,1,NA
1999,FALSE,"61162",NA,52760,1,10000,1,1,1,1,1,1,NA
1999,FALSE,"61169",NA,726219,2,10000,1,1,1,1,1,1,NA
1999,FALSE,"61171",NA,302155,5,7265.863181183,1,1,1,1,1,1,NA
1999,FALSE,"62131",NA,2680402,1,10000,1,1,1,1,1,1,NA
1999,FALSE,"62139",NA,1262566,2,8813.5073202539,1,1,1,1,1,1,NA
1999,FALSE,"62149",NA,1840864,2,5700.65415098604,1,1,1,1,1,1,NA
1999,FALSE,"62151",NA,52437,1,10000,1,1,1,1,1,1,NA
1999,FALSE,"62199",NA,3635058,4,4185.68463617441,1,1,1,1,1,1,NA
1999,FALSE,"62211",NA,0,1,NA,0,NA,NA,NA,NA,NA,NA
1999,FALSE,"62431",NA,241273,1,10000,1,1,1,1,1,1,NA
1999,FALSE,"62441",NA,213600,1,10000,1,1,1,1,1,1,NA
1999,FALSE,"71121",NA,0,1,NA,0,NA,NA,NA,NA,NA,NA
1999,FALSE,"71151",NA,0,1,NA,0,NA,NA,NA,NA,NA,NA
1999,FALSE,"72231",NA,1039130,2,6839.52442681836,1,1,1,1,1,1,NA
1999,FALSE,"81111",NA,0,1,NA,0,NA,NA,NA,NA,NA,NA
1999,FALSE,"81121",NA,31007664,12,6750.17939318414,1,0.951018754589188,0.998387527677029,1,1,1,NA
1999,FALSE,"81131",NA,43565886,7,7548.7416293598,1,1,1,1,1,1,NA
1999,FALSE,"81141",NA,78079,1,10000,1,1,1,1,1,1,NA
1999,FALSE,"81142",NA,6563.87,1,10000,1,1,1,1,1,1,NA
1999,FALSE,"81219",NA,0,1,NA,0,NA,NA,NA,NA,NA,NA
1999,FALSE,"81221",NA,0,1,NA,0,NA,NA,NA,NA,NA,NA
1999,FALSE,"81232",NA,442744,4,4920.06253720131,1,1,1,1,1,1,NA
1999,FALSE,"92119",NA,-66088,2,NA,0,NA,NA,NA,NA,NA,"Not tracked: Public Administration"
1999,FALSE,"92312",NA,32160,1,10000,1,1,1,1,1,1,"Not tracked: Public Administration"
1999,FALSE,"92711",NA,135328883,2,9982.87127395283,1,1,1,1,1,1,"Not tracked: Public Administration"
1999,FALSE,"92811",NA,25733329,1,10000,1,1,1,1,1,1,"Not tracked: Public Administration"
1999,TRUE,"61131",NA,8375395,50,449.831198776118,1,0.321658500882645,0.512635284664186,0.627867700568152,0.781468456114607,1,"Not tracked: Schools and Universities"
1999,TRUE,NA,NA,30599210988.1647,12947,298.268344815445,1,0.286717517281564,0.384886184158521,0.440215144702623,0.515575061134145,0.619806827262163,"Not tracked: Excluded at Lower Level"
2000,FALSE,"21111",NA,46928540,25,1662.74620464464,1,0.718433674420045,0.899801937609952,0.980393825872835,0.99758193645112,1,NA
2000,FALSE,"21211",NA,845280,1,10000,1,1,1,1,1,1,NA
2000,FALSE,"21229",NA,29802,1,10000,1,1,1,1,1,1,NA
2000,FALSE,"21231",NA,1154342,12,1944.86054718012,1,0.700842754279122,0.927350879732347,1,1,1,NA
2000,FALSE,"21232",NA,1168989,5,7457.11887897505,1,0.986738113019028,1,1,1,1,NA
2000,FALSE,"21239",NA,391001,5,2563.31302579556,1,0.91800276725635,1,1,1,1,NA
2000,FALSE,"21311",NA,1053507,10,3468.46425249907,1,0.90480589339893,1,1,1,1,NA
2000,FALSE,"22111",NA,70356474,50,1266.89331978027,1,0.504364374485282,0.673494680816438,0.803440149658438,0.920783423569521,1,NA
2000,FALSE,"22112",NA,132523898,79,754.812197636883,1,0.433111309478687,0.618012624409825,0.743488785698109,0.871774500626295,0.98985645592767,NA
2000,FALSE,"22121",NA,36909073,46,642.477055632985,1,0.41962137602318,0.606028631496651,0.726136606031801,0.879626779030728,1,NA
2000,FALSE,"22131",NA,14912810,44,1017.01580516338,1,0.55919072260694,0.724973428884295,0.825661964445333,0.930062878826995,1,NA
2000,FALSE,"22132",NA,13473375,43,757.209288241366,1,0.471669347880542,0.700488481913403,0.803446129867238,0.889348808297847,1,NA
2000,FALSE,"22133",NA,2988758.78,4,5164.50382331276,1,1,1,1,1,1,NA
2000,FALSE,"23311",NA,40300611,62,NA,1,NA,NA,NA,NA,NA,"Reassigned in 2002"
2000,FALSE,"23321",NA,120322718,83,NA,1,NA,NA,NA,NA,NA,"Reassigned in 2002"
2000,FALSE,"23322",NA,105330600,90,NA,1,NA,NA,NA,NA,NA,"Reassigned in 2002"
2000,FALSE,"23331",NA,100536271,121,NA,1,NA,NA,NA,NA,NA,"Reassigned in 2002"
2000,FALSE,"23332",NA,695328495,648,NA,1,NA,NA,NA,NA,NA,"Reassigned in 2002"
2000,FALSE,"23411",NA,70564065,160,NA,1,NA,NA,NA,NA,NA,"Reassigned in 2002"
2000,FALSE,"23412",NA,15326389,21,NA,1,NA,NA,NA,NA,NA,"Reassigned in 2002"
2000,FALSE,"23491",NA,36144748,102,NA,1,NA,NA,NA,NA,NA,"Reassigned in 2002"
2000,FALSE,"23492",NA,15174954,25,NA,1,NA,NA,NA,NA,NA,"Reassigned in 2002"
2000,FALSE,"23493",NA,188457930,187,NA,1,NA,NA,NA,NA,NA,"Reassigned in 2002"
2000,FALSE,"23499",NA,488056178,319,NA,1,NA,NA,NA,NA,NA,"Reassigned in 2002"
2000,FALSE,"23511",NA,55356716,251,NA,1,NA,NA,NA,NA,NA,"Reassigned in 2002"
2000,FALSE,"23521",NA,24758163,96,NA,1,NA,NA,NA,NA,NA,"Reassigned in 2002"
2000,FALSE,"23531",NA,28301438,155,NA,1,NA,NA,NA,NA,NA,"Reassigned in 2002"
2000,FALSE,"23541",NA,1527844,14,NA,1,NA,NA,NA,NA,NA,"Reassigned in 2002"
2000,FALSE,"23542",NA,1097480,15,NA,1,NA,NA,NA,NA,NA,"Reassigned in 2002"
2000,FALSE,"23543",NA,165313,7,NA,1,NA,NA,NA,NA,NA,"Reassigned in 2002"
2000,FALSE,"23551",NA,4431385,55,NA,1,NA,NA,NA,NA,NA,"Reassigned in 2002"
2000,FALSE,"23552",NA,2441711,54,NA,1,NA,NA,NA,NA,NA,"Reassigned in 2002"
2000,FALSE,"23561",NA,23642603,113,NA,1,NA,NA,NA,NA,NA,"Reassigned in 2002"
2000,FALSE,"23571",NA,7160476,37,NA,1,NA,NA,NA,NA,NA,"Reassigned in 2002"
2000,FALSE,"23581",NA,1596576,9,NA,1,NA,NA,NA,NA,NA,"Reassigned in 2002"
2000,FALSE,"23591",NA,9062792,14,NA,1,NA,NA,NA,NA,NA,"Reassigned in 2002"
2000,FALSE,"23592",NA,307666,12,NA,1,NA,NA,NA,NA,NA,"Reassigned in 2002"
2000,FALSE,"23593",NA,838617,8,NA,1,NA,NA,NA,NA,NA,"Reassigned in 2002"
2000,FALSE,"23594",NA,30633994,44,NA,1,NA,NA,NA,NA,NA,"Reassigned in 2002"
2000,FALSE,"23595",NA,6952619,46,NA,1,NA,NA,NA,NA,NA,"Reassigned in 2002"
2000,FALSE,"23599",NA,143361805,261,NA,1,NA,NA,NA,NA,NA,"Reassigned in 2002"
2000,FALSE,"23622",NA,0,4,NA,0,NA,NA,NA,NA,NA,"Uncollated at NAICS 4-5"
2000,FALSE,"23711",NA,0,1,NA,0,NA,NA,NA,NA,NA,"Uncollated at NAICS 4-5"
2000,FALSE,"23799",NA,0,1,NA,0,NA,NA,NA,NA,NA,"Uncollated at NAICS 4-5"
2000,FALSE,"23829",NA,0,1,NA,0,NA,NA,NA,NA,NA,"Uncollated at NAICS 4-5"
2000,FALSE,"23833",NA,0,1,NA,0,NA,NA,NA,NA,NA,"Uncollated at NAICS 4-5"
2000,FALSE,"23839",NA,0,1,NA,0,NA,NA,NA,NA,NA,"Uncollated at NAICS 4-5"
2000,FALSE,"23899",NA,0,1,NA,0,NA,NA,NA,NA,NA,"Uncollated at NAICS 4-5"
2000,FALSE,"31111",NA,1054319,4,5374.39860512857,1,1,1,1,1,1,NA
2000,FALSE,"31121",NA,80568,1,10000,1,1,1,1,1,1,NA
2000,FALSE,"31133",NA,88872,1,10000,1,1,1,1,1,1,NA
2000,FALSE,"31134",NA,53800,1,10000,1,1,1,1,1,1,NA
2000,FALSE,"31141",NA,112453,1,10000,1,1,1,1,1,1,NA
2000,FALSE,"31142",NA,1137769,5,3459.97332132027,1,0.950214850290349,1,1,1,1,NA
2000,FALSE,"31151",NA,1737726,4,5431.65181416306,1,1,1,1,1,1,NA
2000,FALSE,"31161",NA,136598989,6,3339.7975834514,1,0.99954866430234,1,1,1,1,NA
2000,FALSE,"31181",NA,3814047,8,7408.38088503479,1,0.971094483104167,1,1,1,1,NA
2000,FALSE,"31182",NA,120627,3,3599.56643877353,1,1,1,1,1,1,NA
2000,FALSE,"31191",NA,44844,1,10000,1,1,1,1,1,1,NA
2000,FALSE,"31192",NA,345995,2,6738.24897610178,1,1,1,1,1,1,NA
2000,FALSE,"31193",NA,386012,1,10000,1,1,1,1,1,1,NA
2000,FALSE,"31194",NA,77873,2,5191.12205004074,1,1,1,1,1,1,NA
2000,FALSE,"31199",NA,8767420,21,1562.32109375314,1,0.677360956815118,0.85377134892591,0.936659017133889,0.996649755572335,1,NA
2000,FALSE,"31211",NA,1611947,14,2365.8397946857,1,0.784249730295103,0.94661859229863,0.999821954443912,1,1,NA
2000,FALSE,"31321",NA,1977718,5,4931.78655812894,1,0.978815988932699,1,1,1,1,NA
2000,FALSE,"31322",NA,68400,2,5346.26038781163,1,1,1,1,1,1,NA
2000,FALSE,"31323",NA,1569124,2,8683.92434564769,1,1,1,1,1,1,NA
2000,FALSE,"31331",NA,991850,5,2452.40574809311,1,0.957759741896456,1,1,1,1,NA
2000,FALSE,"31332",NA,9843790,3,5422.6450790469,1,1,1,1,1,1,NA
2000,FALSE,"31411",NA,8289805,19,1594.4269258507,1,0.687995073466746,0.882730775935019,0.954856477323652,1,1,NA
2000,FALSE,"31412",NA,5235049,17,2481.88649616056,1,0.732747678197472,0.886569352072922,0.960557962303696,1,1,NA
2000,FALSE,"31491",NA,59061525,24,2271.90816064916,1,0.777674873786276,0.93836803231884,0.98176875724086,0.998081373618443,1,NA
2000,FALSE,"31499",NA,10740576,50,745.106433017689,1,0.466334114669455,0.642402697955864,0.754633084855039,0.860202469588223,1,NA
2000,FALSE,"31511",NA,3871922,5,2886.92281040393,1,0.951869639935928,1,1,1,1,NA
2000,FALSE,"31519",NA,4035347,5,4337.17074837432,1,0.986290646132786,1,1,1,1,NA
2000,FALSE,"31521",NA,89048750,57,575.335987001182,1,0.385159864775049,0.603773752669323,0.72557110712796,0.881453040656243,0.997384188942747,NA
2000,FALSE,"31522",NA,85381752,29,870.858882675762,1,0.468666896408527,0.73549509876512,0.897783326294689,0.992104113105801,1,NA
2000,FALSE,"31523",NA,258394,4,2946.65944385555,1,1,1,1,1,1,NA
2000,FALSE,"31529",NA,13053845,14,3016.08131599561,1,0.895326702592225,0.972448194382575,0.994498172760593,1,1,NA
2000,FALSE,"31599",NA,17817764,32,1102.39158691222,1,0.562199667702412,0.750067011775439,0.858361801177746,0.966732133167776,1,NA
2000,FALSE,"31611",NA,25260,1,10000,1,1,1,1,1,1,NA
2000,FALSE,"31621",NA,20007834,19,1555.54547188901,1,0.724619316613682,0.926750891675731,0.965804944203356,1,1,NA
