"PlatformPortfolio","Competition.effective.only","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Space Systems","Effective Comp.",0.321982098486323,0.300580394884261,0.284684901351577,0.233187356245694,0.316799952925116,0.399643006615519,0.397937829457964,0.370425057059691,0.360017744176339,0.54250518096583,0.636165722487062,0.587930121067054,0.453287303825743,0.575983363576053,0.571277103103082,0.461097336344744,0.522872302310067,0.490209249085563,0.440416407090426,0.444909467830621,0.397415769443723,0.343987912092089,0.374319706980832,0.338740900000988,0.281381880806108,0.349179225655737,0.309294087634032,0.463124210003636,0.392028230826829,0.384074797136238,0.303526780255508,0.297556592542443
"Space Systems","Unlabeled",0.331898895975587,0.244606485601672,0.103569543348255,0.0159375714158296,0.0695640269588538,0.0113773889168611,0.0144154765280362,0.00162588278512798,0.000200762618024625,0.00222774652997137,0.000748426266754464,0.00136506399210769,0.000363114672420394,0.000961127677985487,0.000918771161516414,0.00407861611838918,7.67700396593184e-05,4.11162296480515e-05,0.00675193186951389,8.98302338769876e-06,4.07022227141204e-05,0.00460484203622812,-2.70527327239614e-06,3.4044399323635e-07,0,6.50755001168934e-05,4.34669189515197e-05,9.51199493875251e-05,0.000114059311662168,0.000962806161725726,0.00115559504886859,0.00437778021989726
"Air & Missile
Defense","Not Effective Comp.",0.687037607184835,0.458632513546975,0.586849381428302,0.569148748539508,0.526255518602806,0.557789260490519,0.566526567200982,0.48633187283954,0.487695515752258,0.300117024432641,0.412152868513544,0.398236864962419,0.446441368153724,0.45447506382259,0.462487699541731,0.529745403949073,0.527047689754449,0.562514703492215,0.671706144902131,0.751545136349958,0.741221258833845,0.713125033807851,0.795108137522946,0.693815693116833,0.746712451485291,0.726553214050382,0.71927284905897,0.697228355272039,0.764006701201075,0.821053574070935,0.623446504148243,0.720753526944887
"Air & Missile
Defense","Effective Comp.",0.303312594021058,0.535959334926117,0.413921797713917,0.430804408316593,0.474691296528709,0.441981455062357,0.432815958656745,0.51201877286587,0.510553564919884,0.696998016504028,0.58474669255331,0.59478068523703,0.546540294235629,0.53566233659446,0.531277014671495,0.467335282932328,0.458618113030173,0.394187180554448,0.314845486646217,0.249757613763465,0.258257714198046,0.286352810299481,0.204865705593912,0.306341227144056,0.253422192729597,0.273136574159709,0.280268688784797,0.302592675803093,0.235903384748233,0.178941373336727,0.376555919507188,0.262628739226361
"Air & Missile
Defense","Unlabeled",0.00964979879410777,0.00540815152690873,-0.000771179142218029,4.68431438990189e-05,-0.000946815131514464,0.000229284447124126,0.000657474142272925,0.00164935429458967,0.00175091932785812,0.002884959063331,0.00310043893314628,0.00698244980055076,0.00701833761064734,0.00986259958295003,0.0062352857867736,0.00291931311859906,0.0143341972153772,0.0432981159533366,0.0134483684516525,-0.00130275011342266,0.000521026968108686,0.000522155892668062,2.61568831427541e-05,-0.000156920260888762,-0.00013464421488766,0.000310211789908287,0.000458462156232963,0.000178968924868649,8.99140506925329e-05,5.05259233770427e-06,-2.42365543067132e-06,0.0166177338287524
"Ordnance &
Missiles","Not Effective Comp.",0.624242385993075,0.665720776984136,0.680269444887019,0.725407600919894,0.731557685164489,0.726608667762864,0.754895864006579,0.783283033944755,0.761395792366789,0.66814981756494,0.649567744535434,0.661198427444481,0.671121123032958,0.657995282207874,0.650861007589745,0.672890742100037,0.642442823090974,0.683216620675388,0.719028898572596,0.772955952388689,0.764663688024758,0.746847805612495,0.752705346104631,0.741885461551036,0.761521960915686,0.766862785622265,0.77242492195863,0.803361114712984,0.819738583863602,0.85362948735913,0.847394186505259,0.795191702728749
"Ordnance &
Missiles","Effective Comp.",0.374944014554215,0.331402838541026,0.320596851862094,0.275244280093114,0.267052270722363,0.271210020707854,0.243874617306871,0.213883970608351,0.234474845460622,0.330416129541165,0.348550605076735,0.333851527237988,0.322862820243225,0.335452707272295,0.34676296830746,0.325927254400798,0.35732249053588,0.315467353070974,0.280572520567439,0.22560877051441,0.23066141354395,0.251764092483251,0.244749561212664,0.254746364043931,0.230406476988406,0.230927996147108,0.227060989540747,0.191016115101222,0.179755156679699,0.140458502136491,0.146546420562013,0.177007337547212
"Ordnance &
Missiles","Unlabeled",0.000813599452710274,0.00287638447483834,-0.000866296749112344,-0.000651881013008027,0.00139004411314813,0.00218131152928235,0.00122951868654951,0.00283299544689446,0.00412936217258897,0.00143405289389538,0.00188165038783168,0.00495004531753102,0.00601605672381616,0.00655201051983107,0.00237602410279594,0.00118200349916528,0.000234686373145764,0.00131602625363804,0.000398580859965326,0.00143527709690174,0.00467489843129158,0.00138810190425423,0.00254509268270487,0.00336817440503306,0.00807156209590834,0.00220921823062638,0.000514088500622995,0.00562277018579331,0.000506259456699386,0.00591201050437962,0.00605939293272855,0.0278009597240389
"Electronics,
Comms & Sensors","Not Effective Comp.",0.515692035251475,0.481980878354814,0.460326685333312,0.443294367923885,0.44934294044037,0.418228721005779,0.417117086678845,0.37097961090652,0.363254655966224,0.395223009868624,0.380412634212787,0.389926168804549,0.39816597478864,0.396286845945685,0.51124810065731,0.49155854292666,0.493428213640633,0.507313877617519,0.506784238027949,0.545499510158751,0.557383988793093,0.565377669374623,0.550827491804635,0.524192377942566,0.525615492026125,0.498922214806001,0.493494384374712,0.534452549263617,0.531325255359089,0.508099123896145,0.510598078462794,0.500594134570012
"Electronics,
Comms & Sensors","Effective Comp.",0.439271771730683,0.508893318055533,0.533557046665867,0.554927838150941,0.547835625636426,0.578505009180083,0.522079368586458,0.519381751211851,0.487080685526202,0.425126641947658,0.437983157893345,0.415734955517778,0.430457152685455,0.459606214024092,0.458872030815035,0.486103312367565,0.496411559451342,0.482022534253879,0.485585848395254,0.448911445708798,0.439259679860987,0.427996242671587,0.441751096315191,0.465680525084315,0.464406906236508,0.492431642477896,0.494244043770303,0.45796061873965,0.461395687857262,0.484019327617616,0.480912474913651,0.473724574868757
"Electronics,
Comms & Sensors","Unlabeled",0.0450361930178425,0.00912580358965357,0.00611626800082117,0.00177779392517416,0.00282143392320441,0.00326626981413795,0.0608035447346969,0.109638637881628,0.149664658507574,0.179650348183718,0.181604207893868,0.194338875677673,0.171376872525905,0.144106940030224,0.0298798685276549,0.022338144705775,0.0101602269080245,0.0106635881286019,0.00762991357679635,0.00558904413245041,0.00335633134591961,0.00662608795378962,0.00742141188017432,0.0101270969731193,0.00997760173736615,0.00864614271610379,0.0122615718549849,0.00758683199673279,0.0072790567836488,0.00788154848623938,0.00848944662355494,0.0256812905612312
"Facilities &
Construction","Not Effective Comp.",0.243281355389343,0.237491964290846,0.216860255659634,0.177726142445223,0.187174311769696,0.195453797830578,0.20190275962351,0.194041883437603,0.204754173892542,0.21715985362904,0.222443625397041,0.232778638740331,0.29965910858656,0.271646729959784,0.286608343290842,0.26007968070412,0.269544413937842,0.24261216856035,0.255082150322164,0.249954050802582,0.254631567033397,0.234297319585935,0.232369145346263,0.236752351555734,0.240974875693768,0.259661981514066,0.246615303681601,0.237636896138829,0.240744395297969,0.247997520706723,0.258273199125189,0.230317772268096
