"","Fiscal.Year","NAICS_Code","Action.Obligation","Obligation.2016","vendor_count","hh_index","pct_sum_check","top4","top8","top12","top20","top50","GEO.id2","NAICS.id","NAICS.display-label","OPTAX.id","OPTAX.display-label","ESTAB","RCPTOT","PAYANN","EMP"
"25",2007,"324",10069729920.6078,11555806656.6534,404,796.564807973169,NA,0.483414524344507,0.666386913332661,0.76821369448523,0.878833092784607,0.994021628208556,NA,"324","Petroleum and coal products manufacturing","99","Total","2283","615484030","8508950","105775"
"26",2007,"325",1346452170.0556,1545159708.57884,2640,513.80689652474,NA,0.372999370636915,0.503115499642788,0.598250058099039,0.678516339667512,0.804224250928915,NA,"325","Chemical manufacturing","99","Total","13789","716152473","50234763","800350"
"27",2007,"326",370790143.2292,425510836.847831,1704,519.217630048943,NA,0.387619257533866,0.501363978538404,0.566782086504355,0.646215373099251,0.781810316126793,NA,"326","Plastics and rubber products manufacturing","99","Total","14347","209335541","32871881","848708"
"28",2007,"327",345349106.5788,396315247.393619,774,4568.65798966786,NA,0.738488053684577,0.80565669699812,0.848365131211965,0.885473661315736,0.931760309446207,NA,"327","Nonmetallic mineral product manufacturing","99","Total","17557","127978584","20287261","478548"
"29",2007,"331",397173534.372,455787852.159743,1397,1104.13764078322,NA,0.532301184209366,0.653063144396351,0.706134566087657,0.766557885017237,0.846612306144008,NA,"331","Primary metal manufacturing","99","Total","4720","256851055","22655462","438825"
"30",2007,"332",8594336865.3388,9862677146.3608,13052,149.382349805532,NA,0.171252116744732,0.270770715155343,0.34180368844258,0.459788878382741,0.643667704214926,NA,"332","Fabricated metal product manufacturing","99","Total","60895","345166675","67709131","1611975"
"31",2007,"333",5201260176.1583,5968854918.70358,10831,182.133267327115,NA,0.219269158945277,0.302009619609245,0.356413473734841,0.440492471441055,0.6010374880386,NA,"333","Machinery manufacturing","99","Total","26415","350499485","56154986","1152853"
"32",2007,"334",26140385872.262,29998147661.5355,16222,234.146711380984,NA,0.219333512110627,0.341097619696226,0.426250814292989,0.552349366897571,0.735922425001271,NA,"334","Computer and electronic product manufacturing","99","Total","14602","395728996","65991098","1061108"
"33",2007,"335",1403163832.9073,1610240799.75591,5481,151.707833216399,NA,0.175830156411912,0.263481756079871,0.322073960058081,0.399927207908541,0.5490343786604,NA,"335","Electrical equipment, appliance, and component manufacturing","99","Total","6286","129180071","18748115","424958"
"34",2007,"336",88447068449.5124,101499963793.335,9938,517.007504336412,NA,0.373442565101403,0.514671951641541,0.595538267747787,0.71718176784205,0.867923815645025,NA,"336","Transportation equipment manufacturing","99","Total","13071","745947384","87513395","1579550"
"35",2007,"337",734264596.7972,842626344.729401,2072,195.46073900326,NA,0.197163254119502,0.327020471698776,0.423903412227074,0.534074997656642,0.687944988074111,NA,"337","Furniture and related product manufacturing","99","Total","21746","85049179","17554573","513907"
"36",2007,"339",2182970570.5256,2505130331.10581,7237,61.7066081736238,NA,0.107732298157217,0.15375572739159,0.187811715430976,0.237164475364535,0.366754710412283,NA,"339","Miscellaneous manufacturing","99","Total","32233","148913381","29047449","664537"
"37",2007,"421",48341362.3093,55475513.3225844,53,2664.11593319775,NA,0.784992840262709,0.925060021190174,0.959165874502219,0.985507964569934,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",2007,"422",55551042.0352,63749187.5547395,21,2931.48080109892,NA,0.893786153146489,0.986990992994574,0.998114521717426,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",2007,"423",3123356903.0186,3584297570.59743,12865,233.81689344207,NA,0.23520450877589,0.350399362393053,0.437966976670589,0.542207699830013,0.67712737636758,NA,"423","Merchant wholesalers, durable goods","00","Wholesale Trade","254975","2898091632","206819191","3618805"
"40",2007,"424",8601390187.7815,9870771388.31937,2677,886.109413970678,NA,0.524369563947932,0.685956719352906,0.745141494625115,0.806398852398977,0.904175586808192,NA,"424","Merchant wholesalers, nondurable goods","00","Wholesale Trade","134614","2990899411","116022411","2319786"
"41",2007,"425",8144251.3899,9346168.682465,87,1618.77280758012,NA,0.678363393082225,0.813286933617146,0.865325195738582,0.917338515762943,0.983213528501794,NA,"425","Wholesale electronic markets and agents and brokers","00","Wholesale Trade","45394","626717511","13365174","288798"
"42",2007,"441",100253932.9247,115049268.906013,962,330.667059525373,NA,0.299272476261715,0.37525578846905,0.423820127007896,0.500937160436482,0.660570258159389,NA,"441","Motor vehicle and parts dealers","99","Total","126779","891036746","72804722","1914466"
"43",2007,"442",18069165.1257,20735787.3831765,488,178.518588097288,NA,0.189080385685321,0.29799746812362,0.377862501442878,0.503617406508493,0.699019364243354,NA,"442","Furniture and home furnishings stores","99","Total","65144","108220081","14882633","557477"
"44",2007,"443",1048838639.0645,1203624786.6244,1465,421.960416482294,NA,0.34121242892428,0.499105749747213,0.59215198197518,0.689380727686145,0.847605407632143,NA,"443","Electronics and appliance stores","99","Total","50803","109014992","11219666","486483"
"45",2007,"444",141753137.2432,162672868.078035,716,659.394270101666,NA,0.437988956752505,0.626674103561731,0.703071410978323,0.786532276677464,0.899376356727062,NA,"444","Building material and garden equipment and supplies dealers","99","Total","91070","318320271","37709991","1331322"
"46",2007,"445",3696364.0498,4241868.31512509,60,1101.74930983633,NA,0.494939640081363,0.663716204041303,0.771800587780151,0.897624745988948,0.999446294776384,NA,"445","Food and beverage stores","99","Total","146084","539207574","54655594","2827162"
"47",2007,"446",203660109.6476,233715985.365619,109,7359.4419021777,NA,0.990926967365759,0.993434110365507,0.994596867724945,0.996195828072107,0.998733808761381,NA,"446","Health and personal care stores","99","Total","88452","234026783","28414937","1068186"
"48",2007,"447",2199757.479,2524394.62818453,43,1405.80549517876,NA,0.619169498695402,0.766091043285577,0.855999296456852,0.942913909108363,1,NA,"447","Gasoline stations","99","Total","118756","450413061","14670825","890829"
"49",2007,"448",31565870.4551,36224317.7129906,228,1990.61393347339,NA,0.672033975554916,0.792024065573812,0.86148236574662,0.893401901360244,0.94826919640086,NA,"448","Clothing and clothing accessories stores","99","Total","156468","215647177","26855281","1644025"
"50",2007,"451",217475087.7001,249569758.664333,442,5990.02321737577,NA,0.955692079801001,0.961774658748792,0.965345226246086,0.969760312151928,0.979308576842276,NA,"451","Sporting goods, hobby, musical instrument, and book stores","99","Total","57415","81084315","9465919","619075"
"51",2007,"452",17560784.4932,20152380.6440211,71,3954.87010554752,NA,0.908576713663596,0.944656418537128,0.959018128015653,0.975634633228217,0.997920557975152,NA,"452","General merchandise stores","99","Total","45855","577098195","54413555","2763474"
"52",2007,"453",151665836.007,174048469.138168,845,1606.83412533587,NA,0.670843491631482,0.8040345288049,0.840277210326626,0.87582277005698,0.921370577054497,NA,"453","Miscellaneous store retailers","99","Total","121911","104068221","14397730","792105"
"53",2007,"454",12792906.7736,14680866.1620381,398,419.730533807621,NA,0.339213881668233,0.502625334936796,0.576117672885789,0.666286144263739,0.809223009244241,NA,"454","Nonstore retailers","99","Total","59375","289526040","23327834","620792"
"54",2007,"481",3161560148.4858,3628138797.89511,218,3084.83088245164,NA,0.875759822200821,0.931300457817705,0.953448098002397,0.975775481931383,0.998302058358826,NA,"481","Air transportation","99","Total","5661","146612459","26119995","478157"
"55",2007,"482",2540976.15,2915969.87606151,19,3983.22623126496,NA,0.927910322967809,0.968206254120095,0.991718477955804,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",2007,"483",1211691545.7959,1390511298.82476,142,1633.16392559115,NA,0.642749009796977,0.776272956324083,0.85686996411016,0.934871734257761,0.99469517627877,NA,"483","Water transportation","99","Total","1721","34446794","4544480","75997"
"57",2007,"484",345636922.2703,396645538.524558,722,1533.50544609033,NA,0.754380134404674,0.811816905363338,0.846506299934643,0.881694185711929,0.949734330967828,NA,"484","Truck transportation","99","Total","120390","217833458","58266300","1507923"
"58",2007,"485",107465425.5388,123325023.569888,514,284.52090530758,NA,0.246308216135428,0.411732596607586,0.519788782113025,0.622951118374235,0.821161232232042,NA,"485","Transit and ground passenger transportation","99","Total","17791","26464611","9844475","444925"
"59",2007,"486",5140203.501,5898787.58434703,11,7886.61847266748,NA,0.993485280645366,0.999533374203252,1,1,1,NA,"486","Pipeline transportation","99","Total","2529","25717767","3218745","36964"
"60",2007,"487",401332,460560.018361258,26,1022.45582653486,NA,0.565638922388446,0.723592935524703,0.821967847069259,0.959230761563992,1,NA,"487","Scenic and sightseeing transportation","99","Total","2542","2447598","653338","24386"
"61",2007,"488",1899568701.8358,2179904408.80858,1129,1082.88887850518,NA,0.454538136875853,0.580624275108358,0.659888374250038,0.739524237838776,0.875628909776192,NA,"488","Support activities for transportation","99","Total","42130","86596320","24578776","608385"
"62",2007,"491",15729928.7762,18051329.7867799,58,2451.38094245387,NA,0.605193176857816,0.702111866233939,0.780398060782022,0.894883351147334,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63",2007,"492",47566788.8944,54586629.4404407,115,3687.38292477951,NA,0.844609159847944,0.897566590943124,0.927684949396994,0.959530161999757,0.994411277295274,NA,"492","Couriers and messengers","99","Total","13004","77876714","20430622","557195"
"64",2007,"493",630279139.1904,723294857.918751,280,570.552721252269,NA,0.404097293980104,0.547463962526627,0.648168785981356,0.77766465146656,0.94679413503233,NA,"493","Warehousing and storage","99","Total","13938","21920686","25526342","720451"
"65",2007,"511",509686046.9505,584904804.854831,2081,1097.73415912152,NA,0.406742133730506,0.480984493219099,0.526498556833726,0.591083055302528,0.728518079414035,NA,"511","Publishing industries (except internet)","99","Total","30958","282223524","80866907","1093047"
"66",2007,"512",126602639.3215,145286480.745352,295,2665.87260074256,NA,0.689886386438,0.77450094973589,0.822224464936765,0.888495390611985,0.966869639165836,NA,"512","Motion picture and sound recording industries","99","Total","23891","94985691","17635488","335807"
"67",2007,"513",381008500.7471,437237205.355864,37,2392.18879251366,NA,0.843541204338603,0.950496560422849,0.982658838045269,0.997911034933679,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68",2007,"514",346766573.4078,397941902.005738,32,2711.87528953778,NA,0.844948102861673,0.982966680455528,0.99951033672632,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69",2007,"515",29255414.8424,33572888.2745008,169,1313.52502497564,NA,0.579228839855149,0.727965263946281,0.806432538426423,0.867912371037856,0.966709184622118,NA,"515","Broadcasting (except internet)","99","Total","10188","99919404","18076325","294876"
"70",2007,"516",6184045.3203,7096678.12749598,93,430.690287745566,NA,0.313392755004257,0.472031146087783,0.604180727417235,0.765746490320074,0.957374018729343,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71",2007,"517",3905120728.4004,4481433014.00092,1320,438.928092500863,NA,0.358626117199295,0.468759573619281,0.551513361796064,0.68403403743168,0.893300493964474,NA,"517","Telecommunications","99","Total","51999","491123941","75401076","1250993"
"72",2007,"518",357927483.2864,410749923.4409,475,420.525960730997,NA,0.339201431776707,0.489007913108931,0.571539292454686,0.687383257031938,0.883471298647968,NA,"518","Data processing, hosting, and related services","99","Total","17129","66651853","26428444","393741"
"73",2007,"519",154145823.7623,176894450.037067,252,1606.16520896805,NA,0.740749651773156,0.8313649816991,0.86925061241072,0.91242384163343,0.969680167363471,NA,"519","Other information services","99","Total","7401","37438443","10428347","128309"
"74",2007,"521",17752,20371.8154693597,1,10000,1,1,1,1,1,1,NA,"521","Monetary authorities - central bank","99","Total","47","44967000","1338898","19062"
"75",2007,"522",29153910.1987,33456403.7166628,24,4290.5551154523,NA,0.983293837688416,0.993609916053807,0.998126067246383,0.999861131494677,1,NA,"522","Credit intermediation and related activities","99","Total","231439","1343342885","180904372","3280051"
"76",2007,"523",23815256.76,27329879.2288272,20,9386.18585998381,NA,0.992685176673511,0.998233946441407,0.999649281533396,1,1,NA,"523","Securities, commodity contracts, and other financial investments and related activities","99","Total","85475","611507962","166305518","884915"
"77",2007,"524",8200774494.1638,9411033387.84003,55,3095.87842358612,NA,0.971313436985149,0.999267016888817,0.999830958889641,0.999937547621327,1,NA,"524","Insurance carriers and related activities","99","Total","184752","1669484844","153867882","2423483"
"78",2007,"525",70205.0898,80565.8593068625,4,6264.44748586657,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79",2007,"531",179447789.0844,205930444.209777,623,620.186864906901,NA,0.385023924599652,0.545756462951448,0.636805353602935,0.724146985869744,0.865076177277573,NA,"531","Real estate","99","Total","316730","330437404","61347040","1528976"
"80",2007,"532",667793938.36,766346038.97177,2087,350.058920110831,NA,0.299695634130666,0.472869088908083,0.560851294628786,0.665414595898249,0.784647569925849,NA,"532","Rental and leasing services","99","Total","65120","121685020","21123459","630124"
"81",2007,"533",1129816,1296552.67385816,4,9572.21161011759,NA,1,1,1,1,1,NA,"533","Lessors of nonfinancial intangible assets (except copyrighted works)","99","Total","2447","32936173","2294365","29379"
"82",2007,"541",84543167719.9739,97019930823.9315,20305,146.742620576409,NA,0.188591892506022,0.291418068100119,0.358421664404532,0.439179412051979,0.584452442744868,NA,"541","Professional, scientific, and technical services","A","All establishments","847492","1251003504","502074331","7870414"
"83",2007,"551",160854,184592.609593757,3,4466.55343393322,1,1,1,1,1,1,NA,"551","Management of companies and enterprises","99","Total","51451","104442966","249510832","2664203"
