Fiscal_Year,PlatformPortfolioUAV,SubCustomer,TopVendText,Toppos,Action_Obligation_Then_Year,Action_Obligation_OMB23_GDP21
2021,Other R&D and Knowledge Based,Army,All Other,0,8408024188,8408024188
2021,Other R&D and Knowledge Based,Army,RAYTHEON^,1,641235575.2,641235575.2
2021,Other R&D and Knowledge Based,Army,OMNICOM^,2,348136206.5,348136206.5
2021,Other R&D and Knowledge Based,Army,NORTHROP GRUMMAN^,3,320133484.8,320133484.8
2021,Other R&D and Knowledge Based,Army,LEIDOS^,4,314567161.4,314567161.4
2021,Other R&D and Knowledge Based,Army,TORCH TECHNOLOGIES^,5,292480362.3,292480362.3
2021,Other R&D and Knowledge Based,Army,GENERAL DYNAMICS^,6,250542919.9,250542919.9
2021,Other R&D and Knowledge Based,Army,JACOBS ENGINEERING GROUP^,7,244162403.3,244162403.3
2021,Other R&D and Knowledge Based,Army,BOOZ ALLEN HAMILTON^,8,239359893.4,239359893.4
2021,Other R&D and Knowledge Based,Army,CRSA^,9,224569862.9,224569862.9
2021,Other R&D and Knowledge Based,Army,L3 COMMUNICATIONS^,10,202932313.9,202932313.9
2021,Other Services,Army,All Other,0,1572609012,1572609012
2021,Other Services,Army,VINELL BROWN & ROOT [Joint Venture - Northrop Grumman/KBR]^,1,1299592946,1299592946
2021,Other Services,Army,VECTRUS^,2,982515077.4,982515077.4
2021,Other Services,Army,AMERICAN SECURITIES^,3,344977766.8,344977766.8
2021,Other Services,Army,LOCKHEED MARTIN^,4,261428997.2,261428997.2
2021,Other Services,Army,FLUOR^,5,157118588.6,157118588.6
2021,Other Services,Army,CERBERUS^,6,156939233,156939233
2021,Other Services,Army,CSRA^,7,128814115,128814115
2021,Other Services,Army,087424511^,8,125948006,125948006
2021,Other Services,Army,534699199^,9,87294042.81,87294042.81
2021,Other Services,Army,032093028^,10,78608079.89,78608079.89
2021,Ships & Submarines,Army,All Other,0,169459443.8,169459443.8
2021,Ships & Submarines,Army,078275744^,1,66723277.8,66723277.8
2021,Ships & Submarines,Army,120613799^,2,40251461.06,40251461.06
2021,Ships & Submarines,Army,009419300^,3,24949817.25,24949817.25
2021,Ships & Submarines,Army,967468609^,4,19269002.38,19269002.38
2021,Ships & Submarines,Army,COLONNA SHIPYARD^,5,18700513.35,18700513.35
2021,Ships & Submarines,Army,TORCH TECHNOLOGIES^,6,18620240.6,18620240.6
2021,Ships & Submarines,Army,938980042^,7,16522413.41,16522413.41
2021,Ships & Submarines,Army,DEFENSE SYSTEMS & SOLUTIONS^,8,12284311,12284311
2021,Ships & Submarines,Army,154503866^,9,10535640,10535640
2021,Ships & Submarines,Army,807454640^,10,9427801.016,9427801.016
2021,Space Systems,Army,All Other,0,85046803.23,85046803.23
2021,Space Systems,Army,SAIC^,1,184645886.2,184645886.2
2021,Space Systems,Army,BAE SYSTEMS^,2,74870349,74870349
2021,Space Systems,Army,LEIDOS^,3,68767453.07,68767453.07
2021,Space Systems,Army,TORCH TECHNOLOGIES^,4,63623299.06,63623299.06
2021,Space Systems,Army,NORTHROP GRUMMAN^,5,58752848.41,58752848.41
2021,Space Systems,Army,RADIANCE TECHNOLOGIES^,6,31334390.72,31334390.72
2021,Space Systems,Army,JAVELIN [LOCKHEED MARTIN/TEXAS INSTRUMENTS/RAYTHEON]^,7,29675019.87,29675019.87
2021,Space Systems,Army,GENERAL DYNAMICS^,8,29162987.4,29162987.4
2021,Space Systems,Army,079170375^,9,22684671.51,22684671.51
2021,Space Systems,Army,036593457^,10,22302694.7,22302694.7
2021,Land Vehicles,Army,All Other,0,997067084.2,997067084.2
2021,Land Vehicles,Army,GENERAL DYNAMICS^,1,2438295374,2438295374
2021,Land Vehicles,Army,OSHKOSH^,2,1978963709,1978963709
2021,Land Vehicles,Army,AM GENERAL^,3,379971082.7,379971082.7
2021,Land Vehicles,Army,BAE SYSTEMS^,4,281236985.6,281236985.6
2021,Land Vehicles,Army,HONEYWELL^,5,214590067.2,214590067.2
2021,Land Vehicles,Army,020016718^,6,193999248,193999248
2021,Land Vehicles,Army,AMERICAN SECURITIES^,7,114986643,114986643
2021,Land Vehicles,Army,065574683^,8,92914264,92914264
2021,Land Vehicles,Army,Classified Domestic Contractor^,9,67138274.5,67138274.5
2021,Land Vehicles,Army,L3 COMMUNICATIONS^,10,64739837.37,64739837.37
2021,Other Products,Army,All Other,0,1228711552,1228711552
2021,Other Products,Army,PFIZER^,1,13315561280,13315561280
2021,Other Products,Army,MODERNA^,2,6920591679,6920591679
2021,Other Products,Army,REGENERON PHARMACEUTICALS^,3,5564999936,5564999936
2021,Other Products,Army,ELI LILLY & COMPANY^,4,1913730016,1913730016
2021,Other Products,Army,MERCK^,5,1208165043,1208165043
2021,Other Products,Army,ASTRAZENECA^,6,502078908,502078908
2021,Other Products,Army,GLAXOSMITHKLINE^,7,284070328.5,284070328.5
2021,Other Products,Army,Foreign Contractor^,8,198661794.5,198661794.5
2021,Other Products,Army,LOCKHEED MARTIN^,9,128964040.6,128964040.6
2021,Other Products,Army,GENERAL DYNAMICS^,10,86689277.14,86689277.14
2021,Remotely Operated,Army,All Other,0,5756677.199,5756677.199
2021,Remotely Operated,Army,GENERAL ATOMICS^,1,611460368.4,611460368.4
2021,Remotely Operated,Army,AEROVIRONMENT^,2,60392207.98,60392207.98
2021,Remotely Operated,Army,GRIFFON AEROSPACE^,3,18436832.83,18436832.83
2021,Remotely Operated,Army,809210417^,4,13208778,13208778
2021,Remotely Operated,Army,168834591^,5,8925968,8925968
2021,Remotely Operated,Army,967912853^,6,7969070,7969070
2021,Remotely Operated,Army,L3 COMMUNICATIONS^,7,4981800,4981800
2021,Remotely Operated,Army,BAE SYSTEMS^,8,4807642.398,4807642.398
2021,Remotely Operated,Army,080313197^,9,4071776,4071776
2021,Remotely Operated,Army,TEXTRON^,10,3279411.601,3279411.601
