"CalendarYear","exclude","NAICS_Code","naics_text","def4_mismatch","def_obl","US_rcp","def_ratio","OPTAX.display-label","US_pay","US_emp","us_avg_sal","def_cont_count","us_estab","def_hh_index","def_top4","def_top8","def_top12","def_top20","def_top50"
2012,"No","2212","Natural gas distribution",NA,49295121.9431,89568130000,0.000550364531927819,"Total",6681677000,"83937",79603.4764168364,101,"2419",1111.13418034734,0.541499096736634,0.700684195254476,0.802224003690583,0.90753553402414,0.992468215079967
2012,"No","2213","Water, sewage and other systems",NA,388086473.2768,12243270000,0.0316979428924462,"Total",2304351000,"45287",50883.2777618301,462,"4846",713.574699458472,0.457202216164374,0.602787070999459,0.719774348646777,0.842979314049914,0.956467156182618
2012,"No","2361","Residential Building Construction","Uncollated at NAICS 4-5",214566756.2656,193227613000,0.00111043526820155,NA,21414609000,"517956",41344.4558997289,145,NA,1562.76184630314,0.7001632796549,0.807527063094295,0.871092472408491,0.935079400217901,0.99276522912024
2012,"No","2362","Nonresidential Building Construction","Uncollated at NAICS 4-5",16692596038.4188,314294062000,0.0531113948898557,NA,33893573000,"567088",59767.7485681235,3435,NA,56.6827363361937,0.0882731088726889,0.148954960645564,0.197839311004527,0.26626216459376,0.417536669152644
2012,"No","2371","Utility System Construction","Uncollated at NAICS 4-5",1085604342.9825,125833840000,0.00862728454430462,NA,31244081000,"554217",56375.1761494144,753,NA,1353.00598060121,0.502141808231589,0.603664083864524,0.662502573246274,0.737621522659235,0.851131462796482
2012,"No","2372","Land Subdivision","Uncollated at NAICS 4-5",1264675.54,6533003000,0.000193582574506701,NA,930179000,"17357",53591.0007489774,9,NA,3144.69812701952,0.95773619532485,1,1,1,1
2012,"No","2373","Highway, Street, and Bridge Construction","Uncollated at NAICS 4-5",1151633075.648,99289053000,0.0115987920203852,NA,16997750000,"302042",56276.1139179319,646,NA,142.387689786608,0.155561493076059,0.241048115789688,0.30996574451526,0.410711180970807,0.637921570041438
2012,"No","2379","Other Heavy and Civil Engineering Construction","Uncollated at NAICS 4-5",4576672380.9351,24658790000,0.185600038807058,NA,5541617000,"87707",63183.2920975521,1097,NA,140.347750247718,0.176570226259867,0.275386731019935,0.33143505346054,0.413058887147084,0.588403162571004
2012,"No","2381","Foundation, Structure, and Building Exterior Contractors","Uncollated at NAICS 4-5",432603548.5212,111965027000,0.00386373816996623,NA,28278537000,"726133",38944.0185200232,886,NA,189.094043583376,0.20102443921733,0.29433034350335,0.358448219294456,0.452919566233361,0.644807310649429
2012,"No","2382","Building Equipment Contractors","Uncollated at NAICS 4-5",1049823284.1163,298484061000,0.00351718373369458,NA,85762510000,"1677331",51130.3433848179,2668,NA,159.983812426221,0.207840320609081,0.311497912111538,0.358076036179264,0.414175697254116,0.536404327946161
