"PlatformPortfolio","multiyearcontract","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Other
Products","1",841252333.632062,975050534.075414,2078832725.2134,1187579897.8837,390472041.419887,2150954205.70371,1024425563.77305,92282685.4095968,2374621368.45196,2456292202.57363,1884039425.48004,3197281113.36716,1406830490.48596,3353378731.54763,3493333804.62425,1509304047.99102,277828216.421645,187027293.976476,247891001.707929,353166624.140309,1481112028.57318,7184379627.081
"Other Knowledge
Based","1",98610433.6177152,75315226.6919658,20513274.7424037,180753817.891712,240665505.878149,120183296.384081,97445323.5196719,167409157.7368,284799201.364528,371380966.045836,747021011.974056,751034166.449527,687267711.026488,745804613.038398,492391381.426684,572763749.292227,765478110.816988,1008275099.10915,726626510.12922,1137910698.6159,1304799985.50633,874961452.2698
"Ships &
Submarines","1",1553501422.63467,608703306.858422,209443549.835152,439399074.396508,228330032.280533,237512651.154325,112014563.457856,134450718.43273,138182751.4788,3560321206.30108,3313114492.30146,4228999484.92459,3499408548.35457,4796349697.90477,3844110637.82802,1803105188.7796,2550404254.76006,2317803862.71191,2366275884.83179,3470871935.83152,4006668510.00471,1748033326.2781
,"1",0,,419360.36248018,,,,,,-121472.041959402,,,,,,,,,21799.999991934,-248301.319133884,,0,
"Space Systems","1",,5053751.94527522,,,6155448.63547658,,,5656629.38912093,31680936.8453347,76972891.2573104,301299871.600719,609122087.787681,1357018443.66846,37868679.3025313,28263330.6385923,40247345.0395902,115578075.020869,94196949.9035771,62949306.2594546,210253051.07341,211588935.326736,105678438.9526
"Other
Services","1",,,457087.799674613,1284421.01049797,4834891.69906666,23625801.5263298,11069866.1541646,9918992.31871436,20001836.5937869,28295094.3660277,61197340.6620501,113594591.400982,287129326.766271,247227863.575253,128029432.340598,105411112.068919,84175956.7627817,105390556.713063,230657201.637292,91817892.2989402,126043290.905506,156793850.6322
"Air & Missile
Defense","1",,,,,,0,1954997.28861657,0,15338135.3842517,41655651.0862566,151841046.805158,451285952.988396,489882790.950387,490841627.865822,484225133.195872,948787876.667203,1215624596.77535,1067935736.59033,436936911.46277,557697087.402898,2117003933.96179,1716750001.6499
"Electronics,
Comms, & Sensors","Unlabeled",111465.969459322,141658.358947345,35544147.322335,364110170.61282,435613179.342418,659464.627988331,103885471.106242,4020499.78253812,34726691.8615525,1063747620.73184,4916429086.96253,5451853894.33336,5997724317.95048,5367446740.96606,6085956534.88864,6683969313.85076,8246400124.19164,8841022306.6297,9537746667.35292,10724601668.2607,12245170925.8796,11621306679.2182
"Facilities &
Construction","Unlabeled",36152.521476182,10817.2752748647,194433.058977145,299857.215971685,119365045.216484,255668219.695513,12676052.781467,7222020.36135674,23225533.5657605,1388630260.71194,5855733379.06348,5726332954.0282,4576566131.02311,3133219266.60271,3330916002.02347,2646476069.80637,2735331941.70624,2631029878.5606,3813663745.02577,2894345806.78829,3016174367.62632,2826215739.652
"Other
Products","Unlabeled",40559.0441328458,22655.7827946709,1804.75957032815,77463.6819947073,1048031.58118272,741316.16466689,2977040.3491557,91007.9790135731,8254693.74937829,1030523439.96448,2740297899.9937,2643850754.42791,2204502206.48021,2314731412.17696,2111024746.13317,2075329312.7244,1938960750.71053,2004615506.7664,2606452950.92069,2017460198.72151,1900096796.75455,1590954644.5403
"Other Knowledge
Based","Unlabeled",31175.5082329583,39499.6309098957,2948.95354628783,99077.269390968,80893.3532706225,1889288.57402795,2502825.20877141,693526.630527336,4036241.47492792,351744454.279522,1808581297.77641,2412565461.64631,2749002038.19284,2593584458.79822,2996555948.91021,3316564095.70098,3730600770.83834,4124478080.9332,3976164994.28566,4518199582.10366,4650282645.88544,4319629341.3421
,"Unlabeled",135290.483777878,259055.879055244,529194.874697504,110031.003133053,18633.2326753077,,0,,,,-22526.3207342795,-42880.7586657232,-1245.35944421794,-9685.60587402808,,33460.7587434948,1926.66053499966,1445178.67946528,21531.565182719,0,322854.729474503,10000
"Land Vehicles","Unlabeled",,32130.5732634199,,24413.6282312832,8627458.70840396,363047.691126813,109068487.64151,53809966.0606006,77414518.7876478,157466752.197321,928663491.47244,1843329532.87714,1428055976.87005,688701114.442426,821144689.863734,799309068.021993,652260481.258261,657678301.174462,1041447653.92364,960976123.34807,838747833.796356,695790247.6025
"Ordnance &
Missiles","Unlabeled",,20439.6189786687,119343.262973042,2876659.44378806,1969592.71093396,,-7323.77333845916,72145.9135762702,12933146.4712321,173126252.059558,455580180.075469,505762234.540254,567651139.420183,323892143.716321,389999473.942478,398862074.596198,620002037.416665,903004700.433703,873314453.193043,867480556.652326,697927277.107495,504851116.5983
"Other
Services","Unlabeled",,0,,71073.5765182212,1204468.93967196,279638.224126017,483960.137398974,287950.910846146,4087305.97747569,63828956.1175557,3711938183.43046,2230905093.96342,1492693009.47229,1181569213.90743,1562682202.40274,1460882744.71858,1764928492.49873,2181450541.36578,2614284706.85503,2437449826.72053,2680395417.48028,2197629676.4741
"Aircraft","Unlabeled",,,81009.111762187,53081.64658891,52731.2108828865,58883.0272648099,2140194.70011332,920933.701442167,5065589.54004308,549249329.968221,2057472806.62485,3600641343.34684,5890600517.39309,6881559241.35064,6449891857.56384,7488226122.05368,7563475620.09647,9241302523.46946,11946915428.1182,10723772627.8315,8419995058.81002,9380347288.5056
"Ships &
Submarines","Unlabeled",,,,,81849.4404902918,34296.2987783866,22668.5231562086,25376.0972534804,1712841.20543354,66223376.8214331,875104047.859374,1250386563.71865,1344743632.48055,1424170529.97866,1781970585.37501,1703129886.85481,1630354748.58388,1571810522.37059,2014748071.64646,1785988852.52601,1320956679.32762,1429511825.4226
"Space Systems","Unlabeled",,,,,,,69939.3095091035,0,7671.08617972452,4166670.01895918,43213326.0177614,38288501.8161076,53194020.4372351,70984506.1668826,64941208.8941459,39283394.6943791,45874545.5139498,28505843.0615188,12316600.5844009,33096373.0600133,7592131.4373843,11298564.438
"Air & Missile
Defense","Unlabeled",,,,,,,,,18381.4618020048,3920830.80185292,5059624.21781006,37908201.7258055,143985859.841719,174176748.592095,255923239.38628,255852275.113096,367502267.110606,292746913.484988,282861129.95296,308233652.345246,270227821.52167,229341515.7703
