"PlaceIsForeign","VendorNTIB","CrisisProductOrServiceArea","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"International","Canada","Other",130979920.753284,58798969.6324053,58975460.7830262,59016757.8775374,70471580.7975541,80399229.3366827,103470207.991494,108909909.271433,56468679.3005808,38184899.5767221,78439653.5471
"International","Canada","Aircraft",66246022.8627476,58838754.8147712,89522466.7432882,45610317.6616457,90953052.7535212,123383307.187733,108917590.582749,85796588.4558376,77934582.5628392,35488071.89072,70842656.6809
"International","Canada","Ground Vehicles",288746450.960901,128368821.358728,233169476.624608,78095065.9733585,96887569.2900502,71370860.5882766,81842212.7723945,108192076.260292,81153626.738798,23389352.7936447,7943311.0551
"International","Canada","Ships",2638156.44607789,1646099.31812807,3410633.59956771,1091842.93636164,2940962.85647421,503884.228398466,361695.167116173,1213891.53788199,-31541.7078955526,31982.744829092,809596.1217
"International","Canada","Missiles & Space",1459747.65307911,950195.360243393,811297.352576521,220637.484935778,11347659.7162125,-19671.9606594633,4274893.96989185,15412506.4358949,5385615.11125252,0,9195.81
"International","Canada","Engines & Power Plants",22366396.898875,13533887.6770364,32164558.3591831,20496310.8588781,18443930.9949327,34404770.2732814,42047832.7333382,35000321.438453,44860206.3927492,29789499.5885467,44378522.5992
"International","Canada","Electronics & Communications",102268180.466999,169064725.076081,93367018.1805675,85708263.8780425,158800752.861073,77050782.2653563,139679968.259976,166201326.512954,244911090.27977,262388521.740653,173214337.5019
"International","Canada","Launchers & Munitions",147140194.522383,90418832.3836938,43647036.6626754,80173970.4947221,80785149.7977678,83812699.3478037,73631319.9226311,154694125.303564,169873043.524098,133660852.257756,161761601.3237
"International","Canada","Clothing & Subsistence",21605700.0100124,60055564.2164292,52150817.7715862,10767018.1481838,31936318.2441389,19751350.8932432,37711712.1096,46092942.1656787,40263906.6757062,47252946.6028913,27213656.8057
"International","Canada","Fuels",357011.549931882,,25104874.2219531,13967457.3610543,5051818.93965408,4470657.37033135,12670147.1704331,11531856.1033147,8587506.92612237,693622.327702739,
"International","New Zealand","PAMS",307998.397354374,53671.4327562633,12222.4891932831,11994.4756707558,325075.561330893,16872702.8629512,981444.157177956,35552909.502389,8472312.11218017,12765471.6503116,58897.5
"International","New Zealand","ICT",15967.9239969533,13356.02474119,13102.5433553151,12954.0337244163,11785.4821491168,13884.4399141174,13565.9085949017,13305.3041645451,13130.1421872602,,
"International","New Zealand","ERS",104395.733861331,83266.8268638565,3009295.17464265,163024.789736122,2556917.4506509,4767598.2606546,7185348.32232858,9633872.90832821,15220959.0439543,23011549.9727238,16412200.7882
"International","New Zealand","FRS",,,,169017.155295537,,,,,,,
"International","New Zealand","Construction",,1415770.19472462,,,,,,,,,
"International","New Zealand","R&D",27389.774994774,79146.8132811256,121319.845882547,151082.41554884,405500.310254595,672212.587249417,764171.742032203,61453.0336286691,169739.13946423,44888.6932349219,
"International","New Zealand","Other",10880.351997924,0,,,15315.9715746226,19697.999009815,10619.7769303523,41533.3490589037,258541.500445937,182848.178732055,0
"International","New Zealand","Aircraft",,328147.350105517,1575694.87913177,215154.333326268,1379805.49808144,187313.671079315,27845.328941761,0,66523.8432871376,,
"International","New Zealand","Ships",453347.999913501,,,,,,,,1818557.84986026,0,
"International","New Zealand","Engines & Power Plants",,,,,,533240.824668319,6118751.04585533,147642.554504386,182330.426584372,592823.219677643,-23165.1992
"International","New Zealand","Electronics & Communications",153001.172070807,115628.547527894,,,,32237.705673814,23180.8034071131,,651305.373647518,56265.9132449164,86301
"International","New Zealand","Launchers & Munitions",11248159.3693414,1835916.0445182,157441.36202394,140173.439926288,0,,,19189.6981285759,,,
"International","New Zealand","Clothing & Subsistence",8122.48499845023,,,,,,,,41215.4821741775,,
"International","United Kingdom","PAMS",39772022.7320877,20781198.1783535,30647597.8640185,29603253.5740923,23673116.0936228,46198823.1549897,38093098.1833354,41353882.0241415,30482214.1851482,21239263.8994898,22623023.3848
"International","United Kingdom","ICT",33757358.9001322,-3893000.92103765,6219059.0687525,4669196.77868589,3090293.84615183,3190233.22296785,9831796.87850933,7962361.61286696,3999807.42237079,5400005.5227635,1579592.7011
"International","United Kingdom","ERS",150549862.777731,114436776.730868,-24699089.7464167,26918015.5857512,27910234.7176034,27187184.5428663,12171847.7512832,22630606.3863814,38535785.6435056,17147341.8545461,34598496.2935
"International","United Kingdom","FRS",21586331.3155133,2285919.8812218,86066330.6794415,9805297.01270003,6861449.74855778,5949852.25950829,7031995.1254219,14498166.4581917,23336225.7627771,41253773.2002688,94754293.071
"International","United Kingdom","Construction",0,,,,,,111981.551040323,50172.7231756038,111371.752882404,88293.5995900505,
"International","United Kingdom","MED",1774488.00375457,1279357.11279469,1110785.01280137,905756.96269957,473710.762776735,536979.152847724,584078.189585283,345329.011640624,308402.07701431,276208.146458218,273428.5351
"International","United Kingdom","R&D",40271832.6627905,35805172.3107807,35405581.5273307,32877247.22355,29747520.6016294,23034867.5865392,20244303.4983844,22106111.3183905,20197966.2497299,15095727.5815387,8916450.002
"International","United Kingdom","Other",151649107.903443,43172138.0403182,34262494.2956318,30156587.5348007,31364270.9273248,63876642.5975538,39318279.4434865,102807277.325921,115117002.068817,14901719.6032888,37744817.0829
"International","United Kingdom","Aircraft",120176833.963799,63105026.0441308,73598778.8780207,52586252.1199396,111096944.548013,70943929.8407938,83011549.3359397,152251979.855187,117641222.718784,73747440.8195723,53253221.5777
