"StartFY","Action.Obligation","UnmodifiedContractBaseAndAllOptionsValue","ChangeOrderBaseAndAllOptionsValue","UnmodifiedNumberOfOffersReceived","Term","SumOfisChangeOrder","UnmodifiedDays","Dur","Ceil","CBre","NChg","StartFY.1"
2011,0,72549457920,0,NA,"Unterminated",0,NA,NA,"75m+","None","   0",2011
2014,0,72549457920,0,NA,"Unterminated",0,NA,NA,"75m+","None","   0",2014
2011,0,72549457920,0,NA,"Unterminated",0,NA,NA,"75m+","None","   0",2011
2012,0,72549457920,0,NA,"Unterminated",0,NA,NA,"75m+","None","   0",2012
2008,0,72549457920,0,NA,"Unterminated",0,-39593.9583333333,"[0 months,~2 months)","75m+","None","   0",2008
2013,0,7e+09,0,NA,"Unterminated",0,NA,NA,"75m+","None","   0",2013
2011,0,1e+09,0,111,"Unterminated",0,-40227,"[0 months,~2 months)","75m+","None","   0",2010
2014,0,7e+09,0,NA,"Unterminated",0,NA,NA,"75m+","None","   0",2014
2009,2501,72549457920,0,253,"Unterminated",0,102.958333333333,"[~2 months,~7 months)","75m+","None","   0",2009
2005,0,72549457920,0,NA,"Unterminated",0,-38499.9583333333,"[0 months,~2 months)","75m+","None","   0",2005
2014,0,72549457920,0,NA,"Unterminated",0,NA,NA,"75m+","None","   0",2014
2015,0,5.28e+09,0,NA,"Unterminated",0,NA,NA,"75m+","None","   0",2015
2008,0,72549457920,0,253,"Unterminated",0,307,"[~7 months-~1 year]","75m+","None","   0",2008
2007,2195234260.4901,878219136,257263006.375,NA,"Unterminated",12,738,"(~2 years+]","75m+","Ceiling Breach","[   3,3316]",2007
2010,0,72549457920,0,NA,"Unterminated",0,NA,NA,"75m+","None","   0",2010
2014,0,72549457920,0,NA,"Unterminated",0,NA,NA,"75m+","None","   0",2014
2007,0,2e+09,0,NA,"Unterminated",0,-39345.9583333333,"[0 months,~2 months)","75m+","None","   0",2007
2016,0,3.96e+09,0,NA,"Unterminated",0,NA,NA,"75m+","None","   0",2016
2012,0,72549457920,0,NA,"Unterminated",0,NA,NA,"75m+","None","   0",2012
2011,0,72549457920,0,NA,"Unterminated",0,NA,NA,"75m+","None","   0",2011
2008,0,1646993536,0,9,"Unterminated",0,1,"[0 months,~2 months)","75m+","None","   0",2008
2005,0,72549457920,0,NA,"Unterminated",0,-38499.9583333333,"[0 months,~2 months)","75m+","None","   0",2005
2009,0,72549457920,0,NA,"Unterminated",0,NA,NA,"75m+","None","   0",2009
2008,1658125,1700734080,0,6,"Unterminated",0,198,"[~2 months,~7 months)","75m+","None","   0",2008
2009,2501,72549457920,0,253,"Unterminated",0,102.958333333333,"[~2 months,~7 months)","75m+","None","   0",2009
2007,0,72549457920,0,NA,"Unterminated",0,-39221.9583333333,"[0 months,~2 months)","75m+","None","   0",2007
2009,0,17500000256,0,NA,"Unterminated",0,-39837,"[0 months,~2 months)","75m+","None","   0",2009
2009,2185551.7832,1765449984,114506680,NA,"Unterminated",2,181,"[~2 months,~7 months)","75m+","Ceiling Breach","   2",2009
2013,0,4.1e+09,0,NA,"Unterminated",0,-41539.9583333333,"[0 months,~2 months)","75m+","None","   0",2013
2009,0,72549457920,0,NA,"Unterminated",0,102.958333333333,"[~2 months,~7 months)","75m+","None","   0",2009
2009,0,17500000256,0,NA,"Unterminated",0,-39837,"[0 months,~2 months)","75m+","None","   0",2009
2014,0,72549457920,0,NA,"Unterminated",0,NA,NA,"75m+","None","   0",2014
1995,1999765510,0,0,NA,"Unterminated",13,NA,NA,"0 - <15k","None","[   3,3316]",1995
2013,0,1.5e+09,0,NA,"Unterminated",1,-41356.9583333333,"[0 months,~2 months)","75m+","None","   1",2013
2011,17873426.419,17941800960,-75258846,NA,"Unterminated",3,872,"(~2 years+]","75m+","None","[   3,3316]",2011
2005,0,72549457920,0,NA,"Unterminated",0,-38499.9583333333,"[0 months,~2 months)","75m+","None","   0",2005
2008,1867729.5401,1420101376,16743517,NA,"Unterminated",2,202,"[~2 months,~7 months)","75m+","Ceiling Breach","   2",2008
2012,0,72549457920,0,NA,"Unterminated",0,NA,NA,"75m+","None","   0",2012
2007,0,72549457920,0,NA,"Unterminated",0,-39221.9583333333,"[0 months,~2 months)","75m+","None","   0",2007
2009,0,72549457920,0,NA,"Unterminated",0,NA,NA,"75m+","None","   0",2009
2009,2501,72549457920,0,NA,"Unterminated",0,102.958333333333,"[~2 months,~7 months)","75m+","None","   0",2009
2008,0,35000000512,0,NA,"Unterminated",0,-39476,"[0 months,~2 months)","75m+","None","   0",2008
2010,0,72549457920,0,NA,"Unterminated",0,NA,NA,"75m+","None","   0",2010
2015,0,5.28e+09,0,NA,"Unterminated",0,NA,NA,"75m+","None","   0",2015
2015,0,5.28e+09,0,NA,"Unterminated",0,NA,NA,"75m+","None","   0",2015
2010,0,72549457920,0,NA,"Unterminated",0,NA,NA,"75m+","None","   0",2010
2015,0,5.28e+09,0,NA,"Unterminated",0,NA,NA,"75m+","None","   0",2015
2016,0,3.96e+09,0,NA,"Unterminated",0,NA,NA,"75m+","None","   0",2016
2016,0,3.96e+09,0,NA,"Unterminated",0,NA,NA,"75m+","None","   0",2016
2009,0,2e+10,0,NA,"Unterminated",0,-40011.9583333333,"[0 months,~2 months)","75m+","None","   0",2009
2010,0,72549457920,0,NA,"Unterminated",0,NA,NA,"75m+","None","   0",2010
2005,0,375000006656,0,NA,"Unterminated",0,-38568.9583333333,"[0 months,~2 months)","75m+","None","   0",2005
2014,0,72549457920,0,NA,"Unterminated",0,NA,NA,"75m+","None","   0",2014
2012,0,72549457920,0,NA,"Unterminated",0,NA,NA,"75m+","None","   0",2012
2016,0,5e+09,0,NA,"Unterminated",0,NA,NA,"75m+","None","   0",2016
2016,0,3.96e+09,0,NA,"Unterminated",0,NA,NA,"75m+","None","   0",2016
2014,0,72549457920,0,NA,"Unterminated",0,NA,NA,"75m+","None","   0",2014
2015,0,5.28e+09,0,NA,"Unterminated",0,NA,NA,"75m+","None","   0",2015
2016,0,3.96e+09,0,NA,"Unterminated",0,NA,NA,"75m+","None","   0",2016
2008,0,72549457920,0,253,"Unterminated",0,307,"[~7 months-~1 year]","75m+","None","   0",2008
2015,0,5.28e+09,0,NA,"Unterminated",0,NA,NA,"75m+","None","   0",2015
2005,0,72549457920,0,NA,"Unterminated",0,-38499.9583333333,"[0 months,~2 months)","75m+","None","   0",2005
2010,0,72549457920,0,NA,"Unterminated",0,NA,NA,"75m+","None","   0",2010
2010,0,72549457920,0,NA,"Unterminated",0,NA,NA,"75m+","None","   0",2010
2016,0,3.96e+09,0,NA,"Unterminated",0,NA,NA,"75m+","None","   0",2016
2013,1565989405,284439361,0,NA,"Unterminated",0,1216.95833333333,"(~2 years+]","75m+","None","   0",2013
2016,0,3.96e+09,0,NA,"Unterminated",0,NA,NA,"75m+","None","   0",2016
2012,0,72549457920,0,NA,"Unterminated",0,NA,NA,"75m+","None","   0",2012
2011,0,72549457920,0,NA,"Unterminated",0,NA,NA,"75m+","None","   0",2011
2016,0,3.96e+09,0,NA,"Unterminated",0,NA,NA,"75m+","None","   0",2016
2008,0,72549457920,0,NA,"Unterminated",0,-39593.9583333333,"[0 months,~2 months)","75m+","None","   0",2008
2016,0,3.96e+09,0,NA,"Unterminated",0,NA,NA,"75m+","None","   0",2016
2005,0,1e+10,0,3,"Unterminated",0,-38257.9583333333,"[0 months,~2 months)","75m+","None","   0",2005
2010,0,72549457920,0,NA,"Unterminated",0,NA,NA,"75m+","None","   0",2010
2015,0,5.28e+09,0,NA,"Unterminated",0,NA,NA,"75m+","None","   0",2015
2006,0,72549457920,0,NA,"Unterminated",0,-38865.9583333333,"[0 months,~2 months)","75m+","None","   0",2006
2008,0,72549457920,0,NA,"Unterminated",0,-39593.9583333333,"[0 months,~2 months)","75m+","None","   0",2008
2009,0,2e+10,0,NA,"Unterminated",0,-40018.9583333333,"[0 months,~2 months)","75m+","None","   0",2009
2006,0,72549457920,0,NA,"Unterminated",0,-38865.9583333333,"[0 months,~2 months)","75m+","None","   0",2006
2009,0,17500000256,0,NA,"Unterminated",0,-39837,"[0 months,~2 months)","75m+","None","   0",2009
2011,1287828,3003052544,-3001708800,NA,"Unterminated",1,1,"[0 months,~2 months)","75m+","None","   1",2011
2009,0,17500000256,0,NA,"Unterminated",0,-39837,"[0 months,~2 months)","75m+","None","   0",2009
1996,14617619219.4609,0,0,NA,"Unterminated",10,NA,NA,"0 - <15k","None","[   3,3316]",1996
2014,0,72549457920,0,NA,"Unterminated",0,NA,NA,"75m+","None","   0",2014
2008,0,4e+09,0,NA,"Unterminated",0,-39565.9583333333,"[0 months,~2 months)","75m+","None","   0",2008
2013,0,7e+09,0,NA,"Unterminated",1,-41421.9583333333,"[0 months,~2 months)","75m+","None","   1",2013
2014,0,72549457920,0,NA,"Unterminated",0,NA,NA,"75m+","None","   0",2014
2003,0,1e+10,0,2,"Unterminated",0,-37526.9583333333,"[0 months,~2 months)","75m+","None","   0",2003
2009,0,72549457920,0,NA,"Unterminated",0,NA,NA,"75m+","None","   0",2009
2012,0,72549457920,0,NA,"Unterminated",0,NA,NA,"75m+","None","   0",2012
2010,0,1000029120,0,NA,"Unterminated",4,-40326.9583333333,"[0 months,~2 months)","75m+","None","[   3,3316]",2010
2014,0,72549457920,0,NA,"Unterminated",0,NA,NA,"75m+","None","   0",2014
2016,0,5e+09,0,NA,"Unterminated",0,NA,NA,"75m+","None","   0",2016
2011,12580229.976,10155207680,944281473,NA,"Unterminated",18,1286,"(~2 years+]","75m+","Ceiling Breach","[   3,3316]",2011
2004,0,4e+09,0,NA,"Unterminated",0,-38075,"[0 months,~2 months)","75m+","None","   0",2004
1996,2737634576.6802,0,0,NA,"Unterminated",27,3826,"(~2 years+]","0 - <15k","None","[   3,3316]",1996
2009,0,1e+09,0,2,"Unterminated",0,-39861,"[0 months,~2 months)","75m+","None","   0",2009
2010,0,72549457920,0,NA,"Unterminated",0,NA,NA,"75m+","None","   0",2010
2014,0,72549457920,0,NA,"Unterminated",0,NA,NA,"75m+","None","   0",2014
2014,0,7e+09,0,114,"Unterminated",0,NA,NA,"75m+","None","   0",2014
2014,0,7e+09,0,NA,"Unterminated",0,NA,NA,"75m+","None","   0",2014
2016,0,3.96e+09,0,NA,"Unterminated",0,NA,NA,"75m+","None","   0",2016
2005,0,72549457920,0,NA,"Unterminated",0,-38499.9583333333,"[0 months,~2 months)","75m+","None","   0",2005
2016,0,3.96e+09,0,NA,"Unterminated",0,NA,NA,"75m+","None","   0",2016
2010,0,2e+09,0,NA,"Terminated",0,-40188,"[0 months,~2 months)","75m+","None","   0",2010
2005,0,1e+10,0,3,"Unterminated",0,-38257.9583333333,"[0 months,~2 months)","75m+","None","   0",2005
2015,0,3885118976,0,NA,"Unterminated",2,NA,NA,"75m+","None","   2",2015
2008,0,72549457920,0,NA,"Unterminated",0,307,"[~7 months-~1 year]","75m+","None","   0",2008
2016,0,3.96e+09,0,NA,"Unterminated",0,NA,NA,"75m+","None","   0",2016
2009,0,72549457920,0,NA,"Unterminated",0,NA,NA,"75m+","None","   0",2009
2012,0,72549457920,0,NA,"Unterminated",0,NA,NA,"75m+","None","   0",2012
2009,0,17500000256,0,NA,"Unterminated",0,-39837,"[0 months,~2 months)","75m+","None","   0",2009
2012,0,72549457920,0,NA,"Unterminated",0,NA,NA,"75m+","None","   0",2012
2012,0,72549457920,0,NA,"Unterminated",0,NA,NA,"75m+","None","   0",2012
2014,0,3e+09,0,NA,"Unterminated",0,-41809.9583333333,"[0 months,~2 months)","75m+","None","   0",2014
2012,0,72549457920,0,NA,"Unterminated",0,NA,NA,"75m+","None","   0",2012
2010,0,54000001024,0,NA,"Unterminated",0,NA,NA,"75m+","None","   0",2010
2015,0,5.28e+09,0,NA,"Unterminated",0,NA,NA,"75m+","None","   0",2015
2016,0,3.96e+09,0,NA,"Unterminated",0,NA,NA,"75m+","None","   0",2016
2016,0,1e+10,0,NA,"Unterminated",0,NA,NA,"75m+","None","   0",2016
2014,0,72549457920,0,NA,"Unterminated",0,NA,NA,"75m+","None","   0",2014
2006,0,72549457920,0,NA,"Unterminated",0,-38865.9583333333,"[0 months,~2 months)","75m+","None","   0",2006
2014,0,72549457920,0,NA,"Unterminated",0,NA,NA,"75m+","None","   0",2014
2014,0,72549457920,0,NA,"Unterminated",0,NA,NA,"75m+","None","   0",2014
2009,1465362794.375,1509925376,-309000,NA,"Unterminated",4,403,"(~1 year,~2 years]","75m+","None","[   3,3316]",2009
2010,0,72549457920,0,NA,"Unterminated",0,NA,NA,"75m+","None","   0",2010
2002,7781414870.32,4803460096,0,NA,"Unterminated",1,3840,"(~2 years+]","75m+","None","   1",2002
2014,0,4.4e+09,0,3,"Unterminated",0,-41897.9583333333,"[0 months,~2 months)","75m+","None","   0",2014
1996,7535771251,0,0,NA,"Unterminated",552,NA,NA,"0 - <15k","None","[   3,3316]",1996
2014,0,72549457920,0,NA,"Unterminated",0,NA,NA,"75m+","None","   0",2014
2010,0,72549457920,0,NA,"Terminated",0,NA,NA,"75m+","None","   0",2010
2009,2501,72549457920,0,253,"Unterminated",0,102.958333333333,"[~2 months,~7 months)","75m+","None","   0",2009
2008,1711263.7657,1201000448,129756262,NA,"Unterminated",5,366,"(~1 year,~2 years]","75m+","Ceiling Breach","[   3,3316]",2008
2009,2501,72549457920,0,253,"Unterminated",0,102.958333333333,"[~2 months,~7 months)","75m+","None","   0",2009
2015,0,5.28e+09,0,NA,"Unterminated",0,NA,NA,"75m+","None","   0",2015
2011,0,72549457920,0,NA,"Unterminated",0,NA,NA,"75m+","None","   0",2011
2011,0,4.8e+10,0,NA,"Unterminated",0,-40812.9583333333,"[0 months,~2 months)","75m+","None","   0",2011
2005,0,1e+10,0,4,"Unterminated",0,-38257.9583333333,"[0 months,~2 months)","75m+","None","   0",2005
2010,0,72549457920,0,NA,"Unterminated",0,NA,NA,"75m+","None","   0",2010
2007,0,1e+09,0,2,"Unterminated",0,-39002.9583333333,"[0 months,~2 months)","75m+","None","   0",2007
2011,0,2671657472,0,NA,"Unterminated",0,-40482.9583333333,"[0 months,~2 months)","75m+","None","   0",2011
2008,0,72549457920,0,253,"Unterminated",0,307,"[~7 months-~1 year]","75m+","None","   0",2008
2005,0,72549457920,0,NA,"Unterminated",0,-38499.9583333333,"[0 months,~2 months)","75m+","None","   0",2005
2008,0,72549457920,0,253,"Unterminated",0,307,"[~7 months-~1 year]","75m+","None","   0",2008
2014,0,72549457920,0,NA,"Unterminated",0,NA,NA,"75m+","None","   0",2014
2007,0,72549457920,0,NA,"Unterminated",0,-39221.9583333333,"[0 months,~2 months)","75m+","None","   0",2007
2016,0,3.96e+09,0,NA,"Unterminated",0,NA,NA,"75m+","None","   0",2016
2008,0,3e+09,0,NA,"Unterminated",2,-39489,"[0 months,~2 months)","75m+","None","   2",2008
2012,0,60000002048,0,NA,"Unterminated",0,-41109.9583333333,"[0 months,~2 months)","75m+","None","   0",2012
2001,0,1e+10,0,2,"Unterminated",0,-36796.9583333333,"[0 months,~2 months)","75m+","None","   0",2001
2002,0,1e+09,0,NA,"Terminated",0,-37501.9583333333,"[0 months,~2 months)","75m+","None","   0",2002
2016,0,7.2e+09,0,NA,"Unterminated",0,NA,NA,"75m+","None","   0",2016
2009,0,72549457920,0,NA,"Unterminated",0,102.958333333333,"[~2 months,~7 months)","75m+","None","   0",2009
2006,0,1e+09,0,NA,"Unterminated",0,670,"(~1 year,~2 years]","75m+","None","   0",2006
2010,0,72549457920,0,NA,"Unterminated",0,NA,NA,"75m+","None","   0",2010
2005,0,1e+10,0,3,"Unterminated",0,-38257.9583333333,"[0 months,~2 months)","75m+","None","   0",2005
2006,0,1e+10,0,2,"Unterminated",0,-38622.9583333333,"[0 months,~2 months)","75m+","None","   0",2006
2016,0,3.96e+09,0,NA,"Unterminated",0,NA,NA,"75m+","None","   0",2016
2005,0,1e+10,0,3,"Unterminated",0,-38257.9583333333,"[0 months,~2 months)","75m+","None","   0",2005
2014,0,5.79e+09,0,NA,"Unterminated",0,NA,NA,"75m+","None","   0",2015
2012,0,1.9e+09,0,NA,"Unterminated",0,-40915,"[0 months,~2 months)","75m+","None","   0",2012
2008,4380653167.0287,4372325888,481809780,NA,"Unterminated",50,2684.04166666667,"(~2 years+]","75m+","Ceiling Breach","[   3,3316]",2008
2009,1941016.8515,1887858304,16394088,NA,"Unterminated",2,201.041666666667,"[~2 months,~7 months)","75m+","Ceiling Breach","   2",2009
2014,0,72549457920,0,NA,"Unterminated",0,NA,NA,"75m+","None","   0",2014
2006,0,72549457920,0,NA,"Unterminated",0,-38865.9583333333,"[0 months,~2 months)","75m+","None","   0",2006
2008,0,72549457920,0,NA,"Unterminated",0,-39593.9583333333,"[0 months,~2 months)","75m+","None","   0",2008
2011,0,72549457920,0,NA,"Unterminated",0,-40718.9583333333,"[0 months,~2 months)","75m+","None","   0",2011
2012,0,7e+09,0,NA,"Unterminated",1,-41176.9583333333,"[0 months,~2 months)","75m+","None","   1",2012
2016,0,3.96e+09,0,NA,"Unterminated",0,NA,NA,"75m+","None","   0",2016
2009,0,72549457920,0,NA,"Unterminated",0,NA,NA,"75m+","None","   0",2009
2005,0,1e+10,0,4,"Unterminated",0,-38257.9583333333,"[0 months,~2 months)","75m+","None","   0",2005
2012,0,72549457920,0,NA,"Unterminated",0,NA,NA,"75m+","None","   0",2012
2015,0,1.8e+09,0,NA,"Unterminated",0,NA,NA,"75m+","None","   0",2015
2016,0,3.96e+09,0,NA,"Unterminated",0,NA,NA,"75m+","None","   0",2016
2009,0,72549457920,0,NA,"Unterminated",0,NA,NA,"75m+","None","   0",2009
2009,2501,72549457920,0,253,"Unterminated",0,102.958333333333,"[~2 months,~7 months)","75m+","None","   0",2009
2010,0,72549457920,0,NA,"Unterminated",0,NA,NA,"75m+","None","   0",2010
2008,0,3e+09,0,NA,"Unterminated",0,-39489,"[0 months,~2 months)","75m+","None","   0",2008
2003,0,99999997952,0,5,"Unterminated",0,1890,"(~2 years+]","75m+","None","   0",2003
2009,0,17500000256,0,NA,"Unterminated",0,-39837,"[0 months,~2 months)","75m+","None","   0",2009
2015,0,5.28e+09,0,NA,"Unterminated",0,NA,NA,"75m+","None","   0",2015
2005,0,72549457920,0,NA,"Unterminated",0,-38499.9583333333,"[0 months,~2 months)","75m+","None","   0",2005
2007,0,72549457920,0,NA,"Unterminated",0,-39221.9583333333,"[0 months,~2 months)","75m+","None","   0",2007
2007,0,72549457920,0,NA,"Unterminated",0,-39221.9583333333,"[0 months,~2 months)","75m+","None","   0",2007
2014,0,72549457920,0,NA,"Unterminated",0,NA,NA,"75m+","None","   0",2014
2009,0,72549457920,0,NA,"Unterminated",0,NA,NA,"75m+","None","   0",2009
2008,0,72549457920,0,NA,"Unterminated",0,307,"[~7 months-~1 year]","75m+","None","   0",2008
2006,0,72549457920,0,NA,"Unterminated",0,-38865.9583333333,"[0 months,~2 months)","75m+","None","   0",2006
1990,1562700423,0,0,NA,"Unterminated",0,NA,NA,"0 - <15k","None","   0",1990
2010,0,72549457920,0,NA,"Unterminated",0,NA,NA,"75m+","None","   0",2010
2008,0,1e+09,0,2,"Unterminated",0,-39621.9583333333,"[0 months,~2 months)","75m+","None","   0",2008
2007,0,2003768960,0,8,"Unterminated",0,-39235.9583333333,"[0 months,~2 months)","75m+","None","   0",2007
2010,0,72549457920,0,NA,"Unterminated",0,NA,NA,"75m+","None","   0",2010
2012,0,72549457920,0,NA,"Unterminated",0,NA,NA,"75m+","None","   0",2012
2005,0,72549457920,0,NA,"Unterminated",0,-38499.9583333333,"[0 months,~2 months)","75m+","None","   0",2005
2008,0,72549457920,0,253,"Unterminated",0,307,"[~7 months-~1 year]","75m+","None","   0",2008
2010,0,72549457920,0,NA,"Unterminated",0,NA,NA,"75m+","None","   0",2010
2006,0,72549457920,0,NA,"Unterminated",0,-38865.9583333333,"[0 months,~2 months)","75m+","None","   0",2006
2009,0,72549457920,0,NA,"Unterminated",0,NA,NA,"75m+","None","   0",2009
2015,0,5.28e+09,0,NA,"Unterminated",0,NA,NA,"75m+","None","   0",2015
2008,0,72549457920,0,NA,"Unterminated",0,-39593.9583333333,"[0 months,~2 months)","75m+","None","   0",2008
2012,0,2098860416,0,NA,"Unterminated",1,-41146.9583333333,"[0 months,~2 months)","75m+","None","   1",2012
1996,4851998037,0,0,NA,"Terminated",187,NA,NA,"0 - <15k","None","[   3,3316]",1996
2014,0,72549457920,0,NA,"Unterminated",0,NA,NA,"75m+","None","   0",2014
2010,0,72549457920,0,NA,"Unterminated",0,NA,NA,"75m+","None","   0",2010
2008,0,5.6e+09,0,10,"Unterminated",0,-39352.9583333333,"[0 months,~2 months)","75m+","None","   0",2008
2009,0,72549457920,0,NA,"Unterminated",0,NA,NA,"75m+","None","   0",2009
2016,0,3.96e+09,0,NA,"Unterminated",0,NA,NA,"75m+","None","   0",2016
2015,0,5.28e+09,0,NA,"Unterminated",0,NA,NA,"75m+","None","   0",2015
2009,0,72549457920,0,NA,"Unterminated",0,NA,NA,"75m+","None","   0",2009
2014,0,72549457920,0,NA,"Unterminated",0,NA,NA,"75m+","None","   0",2014
2014,0,72549457920,0,NA,"Unterminated",0,NA,NA,"75m+","None","   0",2014
2013,0,7e+09,0,NA,"Unterminated",0,-41421.9583333333,"[0 months,~2 months)","75m+","None","   0",2013
2014,0,72549457920,0,NA,"Unterminated",0,NA,NA,"75m+","None","   0",2014
2005,0,72549457920,0,NA,"Unterminated",0,-38499.9583333333,"[0 months,~2 months)","75m+","None","   0",2005
2011,0,72549457920,0,NA,"Unterminated",0,NA,NA,"75m+","None","   0",2011
2007,0,72549457920,0,NA,"Unterminated",0,-39221.9583333333,"[0 months,~2 months)","75m+","None","   0",2007
2012,0,72549457920,0,NA,"Unterminated",0,NA,NA,"75m+","None","   0",2012
2013,0,6.5e+09,0,NA,"Unterminated",0,-41240,"[0 months,~2 months)","75m+","None","   0",2013
2010,0,72549457920,0,NA,"Unterminated",0,NA,NA,"75m+","None","   0",2010
2012,0,72549457920,0,NA,"Unterminated",0,NA,NA,"75m+","None","   0",2012
2011,0,72549457920,0,NA,"Unterminated",0,NA,NA,"75m+","None","   0",2011
2016,0,3.96e+09,0,NA,"Unterminated",0,NA,NA,"75m+","None","   0",2016
2008,0,4e+09,0,NA,"Unterminated",0,-39565.9583333333,"[0 months,~2 months)","75m+","None","   0",2008
1990,1407977787,0,0,NA,"Unterminated",0,1525,"(~2 years+]","0 - <15k","None","   0",1990
2007,5858581162.7095,619179328,20392552,NA,"Unterminated",15,1523,"(~2 years+]","75m+","Ceiling Breach","[   3,3316]",2007
2009,0,3e+09,0,NA,"Terminated",0,-40077.9583333333,"[0 months,~2 months)","75m+","None","   0",2009
2008,0,72549457920,0,NA,"Unterminated",0,307,"[~7 months-~1 year]","75m+","None","   0",2008
2014,0,72549457920,0,NA,"Unterminated",0,NA,NA,"75m+","None","   0",2014
2013,0,5e+09,0,NA,"Unterminated",13,-41208.9583333333,"[0 months,~2 months)","75m+","None","[   3,3316]",2013
2009,0,17500000256,0,NA,"Unterminated",0,-39837,"[0 months,~2 months)","75m+","None","   0",2009
2008,0,35000000512,0,NA,"Unterminated",0,NA,NA,"75m+","None","   0",2008
2008,0,1.5e+09,0,NA,"Unterminated",0,-39570.9583333333,"[0 months,~2 months)","75m+","None","   0",2008
2005,0,1e+10,0,3,"Unterminated",0,-38257.9583333333,"[0 months,~2 months)","75m+","None","   0",2005
2009,2501,72549457920,0,253,"Unterminated",0,102.958333333333,"[~2 months,~7 months)","75m+","None","   0",2009
2011,698417418.9278,1137627520,159029889.1875,NA,"Unterminated",17,1546.95833333333,"(~2 years+]","75m+","Ceiling Breach","[   3,3316]",2011
2005,0,72549457920,0,NA,"Unterminated",0,-38499.9583333333,"[0 months,~2 months)","75m+","None","   0",2005
2007,0,72549457920,0,NA,"Unterminated",0,-39221.9583333333,"[0 months,~2 months)","75m+","None","   0",2007
2014,0,72549457920,0,NA,"Unterminated",0,NA,NA,"75m+","None","   0",2014
2012,1316223140,295596992,0,NA,"Unterminated",0,2602,"(~2 years+]","75m+","None","   0",2012
2013,0,1e+10,0,NA,"Unterminated",1,-41209.9583333333,"[0 months,~2 months)","75m+","None","   1",2013
2016,0,3.96e+09,0,NA,"Unterminated",0,NA,NA,"75m+","None","   0",2016
2016,0,3.96e+09,0,NA,"Unterminated",0,NA,NA,"75m+","None","   0",2016
