"EntityID","fiscal_year","EntityText","EntityCategory","EntitySizeCode","EntitySizeText","UnknownCompany","IsEntityAbove2018constant10ThousandThreshold","AnyEntityUSplaceOfPerformance","AnyEntityForeignPlaceOfPerformance","Action_Obligation_Then_Year","ObligatedAmountIsSmall","MajorityNotSmall","ObligatedAmount_OMB20_GDP20","NumberOfActions","first_year_2018T","last_year_2018T","active_2007_to_2016","first_year","first_graduate"
"370179",2007,"197212400","PDuns-1","S","Always Small Vendor",NA,1,1,0,10340,10340,0,12849.5091338387,1,2007,2007,1,2007,NA
"445491",2007,"600596753","PDuns-2+","S","Always Small Vendor",NA,1,1,0,255335,255335,0,317304.585559836,1,2007,2008,2,2007,NA
"82474",2007,"053423455","PDuns-1","S","Always Small Vendor",NA,1,1,0,9869.73,9869.73,0,12265.1050080775,2,2007,2017,4,2005,NA
"506043",2007,"784724135","PDuns-1","M","Medium Vendor",NA,1,1,0,10000,NA,NA,12426.9914253759,1,2007,2007,1,2007,NA
"350593",2007,"195550426","PDuns-1","N","Sometimes Small Vendor",NA,1,1,0,80468,77239,0,99997.5146017149,12,2007,2012,3,2007,NA
"419455",2007,"212020705","PDuns-1","M","Medium Vendor",NA,1,1,1,9122,NA,NA,11335.9015782279,1,2007,2007,1,2005,NA
"252404",2007,"122263333","PDuns-1","S","Always Small Vendor",NA,1,1,0,970000,970000,0,1205418.16826146,3,2007,2010,2,2007,NA
"64469",2007,"006063754","PDuns-1","S","Always Small Vendor",NA,1,1,0,20214,20214,0,25119.9204672549,2,2007,2007,1,2007,NA
"383249",2007,"198284965","PDuns-1","S","Always Small Vendor",NA,1,1,0,12000,12000,0,14912.3897104511,1,2007,2010,2,2007,NA
"448390",2007,"600852961","PDuns-1","N","Sometimes Small Vendor",NA,1,1,0,1835021,911426,1,2280379.02323847,3,2007,2012,3,2007,2007
"216346",2007,"102889214","PDuns-1","S","Always Small Vendor",NA,1,1,0,11160,11160,0,13868.5224307195,1,2007,2018,3,2003,NA
"545660",2007,"794315580","PDuns-1","S","Always Small Vendor",NA,1,1,0,35244,35244,0,43797.6885795949,5,2007,2007,1,2006,NA
"543699",2007,"794153536","PDuns-1","S","Always Small Vendor",NA,1,1,0,123124,123124,0,153006.089225798,3,2007,2008,2,2007,NA
"499787",2007,"784363439","PDuns-1","S","Always Small Vendor",NA,1,1,0,9027.5,9027.5,0,11218.4665092581,2,2007,2008,2,2007,NA
"476604",2007,"690467647","PDuns-1","M","Medium Vendor",NA,1,1,1,3199,NA,NA,3975.39455697776,3,2007,2009,2,2004,NA
"351476",2007,"173033940","PDuns-1","S","Always Small Vendor",NA,1,1,0,2501,2501,0,3107.99055548652,1,2007,2019,3,2007,NA
"542443",2007,"794083860","PDuns-1","S","Always Small Vendor",NA,1,1,0,13805,13805,0,17155.4616627315,1,2007,2007,1,2007,NA
"411470",2007,"205418411","PDuns-2+","S","Always Small Vendor",NA,1,NA,NA,0,0,0,0,0,2007,2020,8,2007,NA
"587937",2007,"832559306","PDuns-1","S","Always Small Vendor",NA,1,1,0,10379,10379,0,12897.9744003977,2,2007,2008,2,2007,NA
"417726",2007,"606280444","PDuns-1","S","Always Small Vendor",NA,1,1,0,34927,34927,0,43403.7529514105,10,2007,2020,3,2005,NA
"450724",2007,"621436195","PDuns-1","S","Always Small Vendor",NA,1,1,0,46625,46625,0,57940.8475208152,1,2007,2008,2,2007,NA
"56779",2007,"002304277","PDuns-1","S","Always Small Vendor",NA,1,1,1,8368,8368,0,10398.9064247546,2,2007,2007,1,2007,NA
"584727",2007,"941947038","PDuns-1","S","Always Small Vendor",NA,1,1,0,54682,54682,0,67953.2745122406,5,2007,2011,3,2006,NA
"400703",2007,"152114570","PDuns-1","S","Always Small Vendor",NA,1,1,0,10000,10000,0,12426.9914253759,1,2007,2012,3,2007,NA
"461248",2007,"190562368","PDuns-1","M","Medium Vendor",NA,1,1,0,89250,NA,NA,110910.89847148,1,2007,2007,1,2007,NA
"415392",2007,"618034495","PDuns-1","N","Sometimes Small Vendor",NA,1,1,1,25281.1995,15691.8997,0,31416.9249409718,3,2007,2010,2,2007,NA
"671329",2007,"SIX CONTINENTS HOTELS HOTELS DE COLOMBIA SA","PID","S","Always Small Vendor",0,1,1,1,27367,27367,0,34008.9474338263,1,2007,2011,4,2007,NA
"577782",2007,"805576712","PDuns-1","S","Always Small Vendor",NA,1,NA,NA,17500,17500,0,21747.2349944079,0,2007,2007,1,2007,NA
"104634",2007,"036586394","PDuns-1","S","Always Small Vendor",NA,1,1,0,33764.3999,33764.3999,0,41958.9908040263,2,2007,2011,3,2007,NA
"491734",2007,"784024296","PDuns-1","S","Always Small Vendor",NA,1,1,0,22680,22680,0,28184.4165527526,3,2007,2015,9,2006,NA
"435529",2007,"233793178","PDuns-1","M","Medium Vendor",NA,1,1,1,21180,NA,NA,26320.3678389462,1,2007,2014,4,2007,2012
"506385",2007,"791063451","PDuns-1","S","Always Small Vendor",NA,1,1,0,38244,38244,0,47525.7860072077,1,2007,2007,1,2007,NA
"181914",2007,"090092628","PDuns-1","M","Medium Vendor",NA,1,1,1,12301,NA,NA,15286.4421523549,1,2007,2017,4,2007,NA
"553669",2007,"794989942","PDuns-1","S","Always Small Vendor",NA,1,1,0,205202,205202,0,255004.349446999,5,2007,2010,2,2007,NA
"306631",2007,"168279417","PDuns-1","S","Always Small Vendor",NA,1,1,0,691705.6875,691705.6875,0,859582.064744625,1,2007,2020,10,2007,NA
"318065",2007,"169175267","PDuns-1","S","Always Small Vendor",NA,1,1,0,120000,120000,0,149123.897104511,3,2007,2020,4,2007,NA
"28387",2007,"001181775","PDuns-1","S","Always Small Vendor",NA,1,1,0,395152,395152,0,491055.051572014,2,2007,2011,5,2007,NA
"74072",2007,"034785175","PDuns-1","S","Always Small Vendor",NA,1,1,0,23780,23780,0,29551.3856095439,3,2007,2009,2,2006,NA
"640658",2007,"929658177","PDuns-1","S","Always Small Vendor",NA,1,1,0,28632.9101,28632.9101,0,35582.092829626,5,2007,2007,1,2007,NA
"414858",2007,"557383556","PDuns-1","S","Always Small Vendor",NA,1,1,0,32250,32250,0,40077.0473468373,2,2007,2007,1,2007,NA
"383434",2007,"366658854","PDuns-1","S","Always Small Vendor",NA,1,1,1,38078,38078,0,47319.4979495464,4,2007,2007,1,2005,NA
"300392",2007,"126595656","PDuns-1","M","Medium Vendor",NA,1,1,0,10500,NA,NA,13048.3409966447,1,2007,2007,1,2007,NA
"556962",2007,"787981831","PDuns-1","S","Always Small Vendor",NA,1,1,0,8665,8665,0,10767.9880700882,3,2007,2007,1,2007,NA
"513702",2007,"800769171","PDuns-1","S","Always Small Vendor",NA,1,1,0,14733,14733,0,18308.6864670063,1,2007,2009,3,2007,NA
"537963",2007,"786797709","PDuns-1","S","Always Small Vendor",NA,1,1,0,79971,79971,0,99379.8931278737,1,2007,2012,5,2007,NA
"365241",2007,"160826475","PDuns-1","S","Always Small Vendor",NA,1,1,0,18750,18750,0,23300.6089225798,1,2007,2015,9,2007,NA
"651186",2007,"841232973","PDuns-1","S","Always Small Vendor",NA,1,1,0,17025,17025,0,21156.9529017025,1,2007,2020,9,2007,NA
"249149",2007,"121980478","PDuns-1","S","Always Small Vendor",NA,1,1,0,18275,18275,0,22710.3268298745,2,2007,2016,2,2007,NA
"262503",2007,"131099983","PDuns-1","S","Always Small Vendor",NA,1,NA,NA,0,0,0,0,0,2007,2019,4,2005,NA
"182947",2007,"090153888","PDuns-1","S","Always Small Vendor",NA,1,1,0,510345,510345,0,634205.293898347,1,2007,2008,2,2007,NA
"39322",2007,"001800718","PDuns-1","S","Always Small Vendor",NA,1,1,0,36542.2998,36542.2998,0,45411.0846278116,5,2007,2020,3,2007,NA
"191513",2007,"069705353","PDuns-1","S","Always Small Vendor",NA,1,NA,NA,0,0,0,0,0,2007,2007,1,2007,NA
"490038",2007,"603670337","PDuns-1","S","Always Small Vendor",NA,1,1,0,563489.8438,563489.8438,0,700248.345718901,7,2007,2010,4,2007,NA
"206493",2007,"070638192","PDuns-1","S","Always Small Vendor",NA,1,1,0,29920,29920,0,37181.5583447247,9,2007,2007,1,2005,NA
"4688",2007,"023612922","PDuns-1","S","Always Small Vendor",NA,1,1,0,9450,9450,0,11743.5068969802,1,2007,2009,3,2007,NA
"363845",2007,"160561481","PDuns-1","S","Always Small Vendor",NA,1,1,0,20470,20470,0,25438.0514477445,2,2007,2010,3,2007,NA
"23990",2007,"040720927","PDuns-1","S","Always Small Vendor",NA,1,1,0,23500,23500,0,29203.4298496334,1,2007,2020,7,2007,NA
"248646",2007,"114712180","PDuns-1","S","Always Small Vendor",NA,1,1,0,8992,8992,0,11174.350689698,1,2007,2009,2,2005,NA
"32053",2007,"049828072","PDuns-1","S","Always Small Vendor",NA,1,1,0,45142,45142,0,56097.924692432,9,2007,2008,2,2007,NA
"481673",2007,"690594874","PDuns-2+","M","Medium Vendor",NA,1,1,1,34605,NA,NA,43003.6038275134,1,2007,2010,4,2007,NA
"491123",2007,"790345479","PDuns-1","S","Always Small Vendor",NA,1,1,0,67200,67200,0,83509.3823785262,1,2007,2007,1,2007,NA
"500879",2007,"790794882","PDuns-1","S","Always Small Vendor",NA,1,1,0,58760,58760,0,73021.0016155089,23,2007,2020,10,2007,2020
