,NAICS_Code, Action.Obligation , Obligation.2016 , minyear ,maxyear,2007 to 2012,1997 to 2002,,2007 NAICS U.S. Matched to 2012 NAICS U.S. (Full Concordance),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,525,"2,624,177","2,745,951"," 2,007 ",2012,TRUE,,111,111211,Potato Farming,111211,Potato Farming,,,,,814110,Private Households,814110,Private Households,,,,,111,111191,Oilseed and Grain Combination Farming,111191,Oilseed and Grain Combination Farming,,,,,111,111219,Other Vegetable (except Potato) and Melon Farming,111219,Other Vegetable (except Potato) and Melon Farming,
12,814,"88,450","101,158"," 2,007 ",2012,TRUE,,111,111219,Other Vegetable (except Potato) and Melon Farming,111219,Other Vegetable (except Potato) and Melon Farming,,,,,,,,,,,,,111,111199,All Other Grain Farming,111199,All Other Grain Farming,,,,,111,111310,Orange Groves,111310,Orange Groves,
,,,,,,,,111,111310,Orange Groves,111310,Orange Groves,,,,,,,,,,,,,111,111211,Potato Farming,111211,Potato Farming,,,,,111,111320,Citrus (except Orange) Groves,111320,Citrus (except Orange) Groves,
,,,,,,,,111,111320,Citrus (except Orange) Groves,111320,Citrus (except Orange) Groves,,,,2002,421110,Automobile and Other Motor Vehicle Wholesalers,423110,Automobile and Other Motor Vehicle Merchant Wholesalers,Merchant Wholesalers,,,,111,111219,Other Vegetable (except Potato) and Melon Farming - sweet potato and yam farming,111211,Potato Farming,,,,,111,111331,Apple Orchards,111331,Apple Orchards,
,,,,,,,,111,111331,Apple Orchards,111331,Apple Orchards,,,,,421110,Automobile and Other Motor Vehicle Wholesalers,425110,Business to Business Electronic Markets (pt),Business to Business Electronic Markets,,,,111,111219,Other Vegetable (except Potato) and Melon Farming - except sweet potato and yam farming,111219,Other Vegetable (except Potato) and Melon Farming,,,,,111,111332,Grape Vineyards,111332,Grape Vineyards,
,,,,,,,,111,111332,Grape Vineyards,111332,Grape Vineyards,,,,,421110,Automobile and Other Motor Vehicle Wholesalers,425120,Wholesale Trade Agents and Brokers (pt),Agents and Brokers,,,,111,111310,Orange Groves,111310,Orange Groves,,,,,111,111333,Strawberry Farming,111333,Strawberry Farming,
,2362,"29,414,920,950.09",32072197446," 2,007 ",2012,,,111,111333,Strawberry Farming,111333,Strawberry Farming,,,,,421120,Motor Vehicle Supplies and New Parts Wholesalers,423120,Motor Vehicle Supplies and New Parts Merchant Wholesalers,Merchant Wholesalers,,,,111,111320,Citrus (except Orange) Groves,111320,Citrus (except Orange) Groves,,,,,111,111334,Berry (except Strawberry) Farming,111334,Berry (except Strawberry) Farming,
,2371,"1,973,315,796.08",2156416652," 2,007 ",2012,,,111,111334,Berry (except Strawberry) Farming,111334,Berry (except Strawberry) Farming,,,,,421120,Motor Vehicle Supplies and New Parts Wholesalers,425110,Business to Business Electronic Markets (pt),Business to Business Electronic Markets,,,,111,111331,Apple Orchards,111331,Apple Orchards,,,,,111,111335,Tree Nut Farming,111335,Tree Nut Farming,
,2372,"7,052,088.00",7973419.128," 2,007 ",2012,,,111,111335,Tree Nut Farming,111335,Tree Nut Farming,,,,,421120,Motor Vehicle Supplies and New Parts Wholesalers,425120,Wholesale Trade Agents and Brokers (pt),Agents and Brokers,,,,111,111332,Grape Vineyards,111332,Grape Vineyards,,,,,111,111336,Fruit and Tree Nut Combination Farming,111336,Fruit and Tree Nut Combination Farming,
,2373,"2,569,732,912.89",2830894091," 2,007 ",2012,,,111,111336,Fruit and Tree Nut Combination Farming,111336,Fruit and Tree Nut Combination Farming,,,,,421130,Tire and Tube Wholesalers,423130,Tire and Tube Merchant Wholesalers,Merchant Wholesalers,,,,111,111333,Strawberry Farming,111333,Strawberry Farming,,,,,111,111339,Other Noncitrus Fruit Farming,111339,Other Noncitrus Fruit Farming,
,2379,"7,871,562,679.42",8591318535," 2,007 ",2012,,,111,111339,Other Noncitrus Fruit Farming,111339,Other Noncitrus Fruit Farming,,,,,421130,Tire and Tube Wholesalers,425110,Business to Business Electronic Markets (pt),Business to Business Electronic Markets,,,,111,111334,Berry (except Strawberry) Farming,111334,Berry (except Strawberry) Farming,,,,,111,111411,Mushroom Production,111411,Mushroom Production,
,2381,"833,726,142.73",911996351.7," 2,007 ",2012,,,111,111411,Mushroom Production,111411,Mushroom Production,,,,,421130,Tire and Tube Wholesalers,425120,Wholesale Trade Agents and Brokers (pt),Agents and Brokers,,,,111,111335,Tree Nut Farming,111335,Tree Nut Farming,,,,,111,111419,Other Food Crops Grown Under Cover,111419,Other Food Crops Grown Under Cover,
,2382,"1,589,117,495.35",1718797205," 2,007 ",2012,,,111,111419,Other Food Crops Grown Under Cover,111419,Other Food Crops Grown Under Cover,,,,,421140,Motor Vehicle Parts (Used) Wholesalers,423140,Motor Vehicle Parts (Used) Merchant Wholesalers,Merchant Wholesalers,,,,111,111336,Fruit and Tree Nut Combination Farming,111336,Fruit and Tree Nut Combination Farming,,,,,111,111421,Nursery and Tree Production,111421,Nursery and Tree Production,
,2383,"479,530,034.75",524097410.8," 2,007 ",2012,,,111,111421,Nursery and Tree Production,111421,Nursery and Tree Production,,,,,421140,Motor Vehicle Parts (Used) Wholesalers,425110,Business to Business Electronic Markets (pt),Business to Business Electronic Markets,,,,111,111339,Other Noncitrus Fruit Farming,111339,Other Noncitrus Fruit Farming,,,,,111,111422,Floriculture Production,111422,Floriculture Production,
,2389,"2,035,947,635.05",2210261451," 2,007 ",2012,,,111,111422,Floriculture Production,111422,Floriculture Production,,,,,421140,Motor Vehicle Parts (Used) Wholesalers,425120,Wholesale Trade Agents and Brokers (pt),Agents and Brokers,,,,111,111411,Mushroom Production,111411,Mushroom Production,,,,,111,111910,Tobacco Farming,111910,Tobacco Farming,
,,,,,,,,111,111910,Tobacco Farming,111910,Tobacco Farming,,,,,421210,Furniture Wholesalers,423210,Furniture Merchant Wholesalers,Merchant Wholesalers,,,,111,111419,Other Food Crops Grown Under Cover,111419,Other Food Crops Grown Under Cover,,,,,111,111920,Cotton Farming,111920,Cotton Farming,
,7225,Restaurants and Other Eating Places,NA," 1,772,999 ",2012,2016,,111,111920,Cotton Farming,111920,Cotton Farming,,,,,421210,Furniture Wholesalers,425110,Business to Business Electronic Markets (pt),Business to Business Electronic Markets,,,,111,111421,Nursery and Tree Production,111421,Nursery and Tree Production,,,,,111,111930,Sugarcane Farming,111930,Sugarcane Farming,
,,,,,,,,111,111930,Sugarcane Farming,111930,Sugarcane Farming,,,,,421210,Furniture Wholesalers,425120,Wholesale Trade Agents and Brokers (pt),Agents and Brokers,,,,111,111422,Floriculture Production,111422,Floriculture Production,,,,,111,111940,Hay Farming,111940,Hay Farming,
,,,,,,,,111,111940,Hay Farming,111940,Hay Farming,,,,,421220,Home Furnishing Wholesalers,423220,Home Furnishing Merchant Wholesalers,Merchant Wholesalers,,,,111,111910,Tobacco Farming,111910,Tobacco Farming,,,,,111,111991,Sugar Beet Farming,111991,Sugar Beet Farming,
,31135,Chocolate and Confectionery Manufacturing,NA," 1,808,473 ",2013,2016,,111,111991,Sugar Beet Farming,111991,Sugar Beet Farming,,,,,421220,Home Furnishing Wholesalers,425110,Business to Business Electronic Markets (pt),Business to Business Electronic Markets,,,,111,111920,Cotton Farming,111920,Cotton Farming,,,,,111,111992,Peanut Farming,111992,Peanut Farming,
,31223,Tobacco Manufacturing,NA," 61,706 ",2014,2015,,111,111992,Peanut Farming,111992,Peanut Farming,,,,,421220,Home Furnishing Wholesalers,425120,Wholesale Trade Agents and Brokers (pt),Agents and Brokers,,,,111,111930,Sugarcane Farming,111930,Sugarcane Farming,,,,,111,111998,All Other Miscellaneous Crop Farming,111998,All Other Miscellaneous Crop Farming,
,31524,"WomenÆs, GirlsÆ, and InfantsÆ Cut and Sew Apparel Manufacturing",NA," 90,172,022 ",2012,2016,,111,111998,All Other Miscellaneous Crop Farming,111998,All Other Miscellaneous Crop Farming,,,,,421310,"Lumber, Plywood, Millwork, and Wood Panel Wholesalers",423310,"Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers",Merchant Wholesalers,,,,111,111940,Hay Farming,111940,Hay Farming,,,,,112,112111,Beef Cattle Ranching and Farming,112111,Beef Cattle Ranching and Farming,
,33342,NA,NA," 4,104 ",2013,2013,,112,112111,Beef Cattle Ranching and Farming,112111,Beef Cattle Ranching and Farming,,,,,421310,"Lumber, Plywood, Millwork, and Wood Panel Wholesalers",425110,Business to Business Electronic Markets (pt),Business to Business Electronic Markets,,,,111,111991,Sugar Beet Farming,111991,Sugar Beet Farming,,,,,112,112112,Cattle Feedlots,112112,Cattle Feedlots,
,44314,Electronics and Appliance Stores,NA," 7,045,255 ",2012,2016,,112,112112,Cattle Feedlots,112112,Cattle Feedlots,,,,,421310,"Lumber, Plywood, Millwork, and Wood Panel Wholesalers",425120,Wholesale Trade Agents and Brokers (pt),Agents and Brokers,,,,111,111992,Peanut Farming,111992,Peanut Farming,,,,,112,112120,Dairy Cattle and Milk Production,112120,Dairy Cattle and Milk Production,
,54112,NA,NA," 291,824 ",2009,2016,,112,112120,Dairy Cattle and Milk Production,112120,Dairy Cattle and Milk Production,,,,,421320,"Brick, Stone, and Related Construction Material Wholesalers",423320,"Brick, Stone, and Related Construction Material Merchant Wholesalers",Merchant Wholesalers,,,,111,111998,"All Other Miscellaneous Crop Farming - except algae, seaweed, and other plant aquaculture",111998,All Other Miscellaneous Crop Farming,,,,,112,112130,Dual-Purpose Cattle Ranching and Farming,112130,Dual-Purpose Cattle Ranching and Farming,
,,,,,,,,112,112130,Dual-Purpose Cattle Ranching and Farming,112130,Dual-Purpose Cattle Ranching and Farming,,,,,421320,"Brick, Stone, and Related Construction Material Wholesalers",425110,Business to Business Electronic Markets (pt),Business to Business Electronic Markets,,,,111,111998,"All Other Miscellaneous Crop Farming - algae, seaweed, and other plant aquaculture",112519,Other Aquaculture,,,,,112,112210,Hog and Pig Farming,112210,Hog and Pig Farming,
,221114,Solar Electric Power Generation ,NA," 13,232,141 ",2012,2016,,112,112210,Hog and Pig Farming,112210,Hog and Pig Farming,,,,,421320,"Brick, Stone, and Related Construction Material Wholesalers",425120,Wholesale Trade Agents and Brokers (pt),Agents and Brokers,,,,112,112111,Beef Cattle Ranching and Farming,112111,Beef Cattle Ranching and Farming,,,,,112,112310,Chicken Egg Production,112310,Chicken Egg Production,
,221115,Wind Electric Power Generation ,NA," 2,003,991 ",2013,2016,,112,112310,Chicken Egg Production,112310,Chicken Egg Production,,,,,421330,"Roofing, Siding, and Insulation Material Wholesalers",423330,"Roofing, Siding, and Insulation Material Merchant Wholesalers",Merchant Wholesalers,,,,112,112112,Cattle Feedlots,112112,Cattle Feedlots,,,,,112,112320,Broilers and Other Meat Type Chicken Production,112320,Broilers and Other Meat Type Chicken Production,
,221116,Geothermal Electric Power Generation ,NA," 38,412 ",2012,2015,,112,112320,Broilers and Other Meat Type Chicken Production,112320,Broilers and Other Meat Type Chicken Production,,,,,421330,"Roofing, Siding, and Insulation Material Wholesalers",425110,Business to Business Electronic Markets (pt),Business to Business Electronic Markets,,,,112,112120,Dairy Cattle and Milk Production,112120,Dairy Cattle and Milk Production,,,,,112,112330,Turkey Production,112330,Turkey Production,
,221117,Biomass Electric Power Generation ,NA," 29,012,795 ",2014,2016,,112,112330,Turkey Production,112330,Turkey Production,,,,,421330,"Roofing, Siding, and Insulation Material Wholesalers",425120,Wholesale Trade Agents and Brokers (pt),Agents and Brokers,,,,112,112130,Dual-Purpose Cattle Ranching and Farming,112130,Dual-Purpose Cattle Ranching and Farming,,,,,112,112340,Poultry Hatcheries,112340,Poultry Hatcheries,
,221118,Other Electric Power Generation ,NA," 30,065,245 ",2012,2016,,112,112340,Poultry Hatcheries,112340,Poultry Hatcheries,,,,,421390,Other Construction Material Wholesalers,423390,Other Construction Material Merchant Wholesalers,Merchant Wholesalers,,,,112,112210,Hog and Pig Farming,112210,Hog and Pig Farming,,,,,112,112390,Other Poultry Production,112390,Other Poultry Production,
,311224,Soybean and Other Oilseed Processing ,NA," 5,860 ",2015,2015,,112,112390,Other Poultry Production,112390,Other Poultry Production,,,,,421390,Other Construction Material Wholesalers,425110,Business to Business Electronic Markets (pt),Business to Business Electronic Markets,,,,112,112310,Chicken Egg Production,112310,Chicken Egg Production,,,,,112,112410,Sheep Farming,112410,Sheep Farming,
,311314,Cane Sugar Manufacturing ,NA," 95,523 ",2013,2015,,112,112410,Sheep Farming,112410,Sheep Farming,,,,,421390,Other Construction Material Wholesalers,425120,Wholesale Trade Agents and Brokers (pt),Agents and Brokers,,,,112,112320,Broilers and Other Meat Type Chicken Production,112320,Broilers and Other Meat Type Chicken Production,,,,,112,112420,Goat Farming,112420,Goat Farming,
,311710,Seafood Product Preparation and Packaging,NA," 2,009,982 ",2012,2016,,112,112420,Goat Farming,112420,Goat Farming,,,,,421410,Photographic Equipment and Supplies Wholesalers,423410,Photographic Equipment and Supplies Merchant Wholesalers,Merchant Wholesalers,,,,112,112330,Turkey Production,112330,Turkey Production,,,,,112,112511,Finfish Farming and Fish Hatcheries,112511,Finfish Farming and Fish Hatcheries,
,313110,"Fiber, Yarn, and Thread Mills ",NA," 1,202,656 ",2012,2016,,112,112511,Finfish Farming and Fish Hatcheries,112511,Finfish Farming and Fish Hatcheries,,,,,421410,Photographic Equipment and Supplies Wholesalers,425110,Business to Business Electronic Markets (pt),Business to Business Electronic Markets,,,,112,112340,Poultry Hatcheries,112340,Poultry Hatcheries,,,,,112,112512,Shellfish Farming,112512,Shellfish Farming,
,313220,Narrow Fabric Mills and Schiffli Machine Embroidery,NA," 3,582,170 ",2012,2016,,112,112512,Shellfish Farming,112512,Shellfish Farming,,,,,421410,Photographic Equipment and Supplies Wholesalers,425120,Wholesale Trade Agents and Brokers (pt),Agents and Brokers,,,,112,112390,Other Poultry Production,112390,Other Poultry Production,,,,,112,112519,Other Animal Aquaculture,112519,Other Animal Aquaculture,
,313240,Knit Fabric Mills,NA," 495,119 ",2013,2016,,112,112519,Other Aquaculture,112519,Other Aquaculture,,,,,421420,Office Equipment Wholesalers,423420,Office Equipment Merchant Wholesalers,Merchant Wholesalers,,,,112,112410,Sheep Farming,112410,Sheep Farming,,,,,112,112910,Apiculture,112910,Apiculture,
,313310,Textile and Fabric Finishing Mills ,NA," 64,724,381 ",2012,2016,,112,112910,Apiculture,112910,Apiculture,,,,,421420,Office Equipment Wholesalers,425110,Business to Business Electronic Markets (pt),Business to Business Electronic Markets,,,,112,112420,Goat Farming,112420,Goat Farming,,,,,112,112920,Horses and Other Equine Production,112920,Horses and Other Equine Production,
,314120,Curtain and Linen Mills,NA," 10,503,656 ",2012,2016,,112,112920,Horses and Other Equine Production,112920,Horses and Other Equine Production,,,,,421420,Office Equipment Wholesalers,425120,Wholesale Trade Agents and Brokers (pt),Agents and Brokers,,,,112,112511,Finfish Farming and Fish Hatcheries,112511,Finfish Farming and Fish Hatcheries,,,,,112,112930,Fur-Bearing Animal and Rabbit Production,112930,Fur-Bearing Animal and Rabbit Production,
,314910,TEXTILE BAG AND CANVAS MILLS ,NA," 390,373,140 ",2012,2016,,112,112930,Fur-Bearing Animal and Rabbit Production,112930,Fur-Bearing Animal and Rabbit Production,,,,,421430,Computer and Computer Peripheral Equipment and Software Wholesalers,423430,Computer and Computer Peripheral Equipment and Software Merchant Wholesalers,Merchant Wholesalers,,,,112,112512,Shellfish Farming,112512,Shellfish Farming,,,,,112,112990,All Other Animal Production,112990,All Other Animal Production,
,315110,Hosiery and Sock Mills,NA," 28,586,710 ",2012,2016,,112,112990,All Other Animal Production,112990,All Other Animal Production,,,,,421430,Computer and Computer Peripheral Equipment and Software Wholesalers,425110,Business to Business Electronic Markets (pt),Business to Business Electronic Markets,,,,112,112519,Other Animal Aquaculture - animal aquaculture except finfish and shellfish,112519,Other Aquaculture,,,,,113,113110,Timber Tract Operations,113110,Timber Tract Operations,
,315190,Other Apparel Knitting Mills ,NA," 7,872,061 ",2012,2016,,113,113110,Timber Tract Operations,113110,Timber Tract Operations,,,,,421430,Computer and Computer Peripheral Equipment and Software Wholesalers,425120,Wholesale Trade Agents and Brokers (pt),Agents and Brokers,,,,112,112910,Apiculture,112910,Apiculture,,,,,113,113210,Forest Nurseries and Gathering of Forest Products,113210,Forest Nurseries and Gathering of Forest Products,
,322219,Other Paperboard Container Manufacturing ,NA," 5,731,793 ",2012,2016,,113,113210,Forest Nurseries and Gathering of Forest Products,113210,Forest Nurseries and Gathering of Forest Products,,,,,421440,Other Commercial Equipment Wholesalers,423440,Other Commercial Equipment Merchant Wholesalers,Merchant Wholesalers,,,,112,112920,Horses and Other Equine Production,112920,Horses and Other Equine Production,,,,,113,113310,Logging,113310,Logging,
,323120,Support Activities for Printing,NA," 1,667,882 ",2013,2016,,113,113310,Logging,113310,Logging,,,,,421440,Other Commercial Equipment Wholesalers,425110,Business to Business Electronic Markets (pt),Business to Business Electronic Markets,,,,112,112930,Fur-Bearing Animal and Rabbit Production,112930,Fur-Bearing Animal and Rabbit Production,,,,,114,114111,Finfish Fishing,114111,Finfish Fishing,
,325130,Synthetic Dye and Pigment Manufacturing,NA," 4,438,921 ",2012,2016,,114,114111,Finfish Fishing,114111,Finfish Fishing,,,,,421440,Other Commercial Equipment Wholesalers,425120,Wholesale Trade Agents and Brokers (pt),Agents and Brokers,,,,112,112990,All Other Animal Production,112990,All Other Animal Production,,,,,114,114112,Shellfish Fishing,114112,Shellfish Fishing,
,325180,Other Basic Inorganic Chemical Manufacturing ,NA," 61,611,518 ",2012,2016,,114,114112,Shellfish Fishing,114112,Shellfish Fishing,,,,,421450,"Medical, Dental, and Hospital Equipment and Supplies Wholesalers",423450,"Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers",Merchant Wholesalers,,,,113,113110,Timber Tract Operations,113110,Timber Tract Operations,,,,,114,114119,Other Marine Fishing,114119,Other Marine Fishing,
,325194,"Cyclic Crude, Intermediate, and Gum and Wood Chemical Manufacturing ",NA," 413,749 ",2013,2016,,114,114119,Other Marine Fishing,114119,Other Marine Fishing,,,,,421450,"Medical, Dental, and Hospital Equipment and Supplies Wholesalers",425110,Business to Business Electronic Markets (pt),Business to Business Electronic Markets,,,,113,113210,Forest Nurseries and Gathering of Forest Products,113210,Forest Nurseries and Gathering of Forest Products,,,,,114,114210,Hunting and Trapping,114210,Hunting and Trapping,
,325220,Artificial and Synthetic Fibers and Filaments Manufacturing,NA," 672,226 ",2012,2016,,114,114210,Hunting and Trapping,114210,Hunting and Trapping,,,,,421450,"Medical, Dental, and Hospital Equipment and Supplies Wholesalers",425120,Wholesale Trade Agents and Brokers (pt),Agents and Brokers,,,,113,113310,Logging,113310,Logging,,,,,115,115111,Cotton Ginning,115111,Cotton Ginning,
,327110,"Pottery, Ceramics, and Plumbing Fixture Manufacturing ",NA," 2,581,585 ",2012,2016,,115,115111,Cotton Ginning,115111,Cotton Ginning,,,,,421460,Ophthalmic Goods Wholesalers,423460,Ophthalmic Goods Merchant  Wholesalers,Merchant Wholesalers,,,,114,114111,Finfish Fishing,114111,Finfish Fishing,,,,,115,115112,"Soil Preparation, Planting, and Cultivating",115112,"Soil Preparation, Planting, and Cultivating",
,327120,Clay Building Material and Refractories Manufacturing ,NA," 3,353,671 ",2012,2016,,115,115112,"Soil Preparation, Planting, and Cultivating",115112,"Soil Preparation, Planting, and Cultivating",,,,,421460,Ophthalmic Goods Wholesalers,425110,Business to Business Electronic Markets (pt),Business to Business Electronic Markets,,,,114,114112,Shellfish Fishing,114112,Shellfish Fishing,,,,,115,115113,"Crop Harvesting, Primarily by Machine",115113,"Crop Harvesting, Primarily by Machine",
,331313,Alumina Refining and Primary Aluminum Production ,NA," 2,768,621 ",2012,2016,,115,115113,"Crop Harvesting, Primarily by Machine",115113,"Crop Harvesting, Primarily by Machine",,,,,421460,Ophthalmic Goods Wholesalers,425120,Wholesale Trade Agents and Brokers (pt),Agents and Brokers,,,,114,114119,Other Marine Fishing,114119,Other Marine Fishing,,,,,115,115114,Postharvest Crop Activities (except Cotton Ginning),115114,Postharvest Crop Activities (except Cotton Ginning),
,331318,"Other Aluminum Rolling, Drawing, and Extruding ",NA," 36,394,167 ",2012,2016,,115,115114,Postharvest Crop Activities (except Cotton Ginning),115114,Postharvest Crop Activities (except Cotton Ginning),,,,,421490,Other Professional Equipment and Supplies Wholesalers,423490,Other Professional Equipment and Supplies Merchant Wholesalers,Merchant Wholesalers,,,,114,114210,Hunting and Trapping,114210,Hunting and Trapping,,,,,115,115115,Farm Labor Contractors and Crew Leaders,115115,Farm Labor Contractors and Crew Leaders,
,331410,NONFERROUS METAL (EXCEPT ALUMINUM) SMELTING AND REFINING ,NA," 3,818,915 ",2012,2016,,115,115115,Farm Labor Contractors and Crew Leaders,115115,Farm Labor Contractors and Crew Leaders,,,,,421490,Other Professional Equipment and Supplies Wholesalers,425110,Business to Business Electronic Markets (pt),Business to Business Electronic Markets,,,,115,115111,Cotton Ginning,115111,Cotton Ginning,,,,,115,115116,Farm Management Services,115116,Farm Management Services,
,331420,"Copper Rolling, Drawing, Extruding, and Alloying",NA," 27,003,992 ",2012,2016,,115,115116,Farm Management Services,115116,Farm Management Services,,,,,421490,Other Professional Equipment and Supplies Wholesalers,425120,Wholesale Trade Agents and Brokers (pt),Agents and Brokers,,,,115,115112,"Soil Preparation, Planting, and Cultivating",115112,"Soil Preparation, Planting, and Cultivating",,,,,115,115210,Support Activities for Animal Production,115210,Support Activities for Animal Production,
,331529,Other Nonferrous Metal Foundries (except Die-Casting) ,NA," 15,414,913 ",2012,2016,,115,115210,Support Activities for Animal Production,115210,Support Activities for Animal Production,,,,,421510,Metal Service Centers and Offices,423510,Metal Service Centers and Other Metal Merchant Wholesalers,Merchant Wholesalers,,,,115,115113,"Crop Harvesting, Primarily by Machine",115113,"Crop Harvesting, Primarily by Machine",,,,,115,115310,Support Activities for Forestry,115310,Support Activities for Forestry,
,332119,"Metal Crown, Closure, and Other Metal Stamping (except Automotive) ",NA," 11,010,273 ",2012,2016,,115,115310,Support Activities for Forestry,115310,Support Activities for Forestry,,,,,421510,Metal Service Centers and Offices,425110,Business to Business Electronic Markets (pt),Business to Business Electronic Markets,,,,115,115114,Postharvest Crop Activities (except Cotton Ginning),115114,Postharvest Crop Activities (except Cotton Ginning),,,,,211,211111,Crude Petroleum and Natural Gas Extraction,211111,Crude Petroleum and Natural Gas Extraction,
,332215,"Metal Kitchen Cookware, Utensil, Cutlery, and Flatware (except Precious) Manufacturing ",NA," 18,606,606 ",2012,2016,,211,211111,Crude Petroleum and Natural Gas Extraction,211111,Crude Petroleum and Natural Gas Extraction,,,,,421510,Metal Service Centers and Offices,425120,Wholesale Trade Agents and Brokers (pt),Agents and Brokers,,,,115,115115,Farm Labor Contractors and Crew Leaders,115115,Farm Labor Contractors and Crew Leaders,,,,,211,211112,Natural Gas Liquid Extraction,211112,Natural Gas Liquid Extraction,
,333420,NA,NA," 4,104 ",2013,2013,,211,211112,Natural Gas Liquid Extraction,211112,Natural Gas Liquid Extraction,,,,,421520,Coal and Other Mineral and Ore Wholesalers,423520,Coal and Other Mineral and Ore Merchant Wholesalers,Merchant Wholesalers,,,,115,115116,Farm Management Services,115116,Farm Management Services,,,,,212,212111,Bituminous Coal and Lignite Surface Mining,212111,Bituminous Coal and Lignite Surface Mining,
,333519,Rolling Mill and Other Metalworking Machinery Manufacturing ,NA," 40,172,123 ",2012,2016,,212,212111,Bituminous Coal and Lignite Surface Mining,212111,Bituminous Coal and Lignite Surface Mining,,,,,421520,Coal and Other Mineral and Ore Wholesalers,425110,Business to Business Electronic Markets (pt),Business to Business Electronic Markets,,,,115,115210,Support Activities for Animal Production,115210,Support Activities for Animal Production,,,,,212,212112,Bituminous Coal Underground Mining,212112,Bituminous Coal Underground Mining,
