"ProjectAbbreviation","ProjectName","ProjectPlatform","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"2AFD","F-6 SKYRAY","Aircraft",,,,127200,36285,79965,128250,,,,,,,,,,,,,,,,,,,,,,,,
"2AFE","F-5 FREEDOM FIGHTER","Aircraft",990000,1520000,124932,158186,237057,2945024,1416818,2539841,1896286,494661,107027,122636,27729,457619,,,,,,,,,,,,,,,,,
"2AFF","F-8 CRUSADER","Electronics, Comms, & Sensors",,,,,1608241,2196745,913631,,,,,,,,,,,,,,,,,,,,,,,,
"2AFU","F-14 TOMCAT","Aircraft",6109000,9111000,5853657,7391106,1962374,1716783,861930,-199908,2352519,2127761,3035636,2977290,4356666,3278071,,,,,,,,,,,,,,,,,
"2AFX","F-18 HORNET","Aircraft",12719000,44756571,15837106,4730434,25010275,31600265,7262774,12455934,12686943,11740226,26546057,8502513,7712936,8143201,,,,,,,,,,,,,,,,,
"2AHB","UH-2 SEASPRITE","Aircraft",79000,,,,,,,,,,,,,417655,,,,,,,,,,,,,,,,,
"2AHC","SH-3D SEA KING","Aircraft",,,,102047,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2AHD","AH-1J SEA COBRA","Aircraft",,,563744,6800000,36158,284150,36491,2104938,4953690,1188949,161961,118268,3343040,499230,,,,,,,,,,,,,,,,,
"2AHE","AH-1W SUPER COBRA","Aircraft",,,,,,,,,,,412289,,579130,88015,,,,,,,,,,,,,,,,,
"2AHG","H-13 SIOUX","Aircraft",,,,,,,382680,,,,,,,,,,,,,,,,,,,,,,,,
"2AHJ","H-46 SEA KNIGHT","Aircraft",164000,,,,,,84174,,,,,34680,937282,107255,,,,,,,,,,,,,,,,,
"2AHM","QH-50 DASH","Aircraft",26000,1923000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2AHP","CH-53 SEA STALLION","Aircraft",,94000,332315,751483,83700,360900,408246,,77165,258378,694644,643260,210409,,,,,,,,,,,,,,,,,,
"2AIA","UH-60 UTTAS BLACK HAWK","Electronics, Comms, & Sensors",,,98010,43590,,,,,65159,,,,,,,,,,,,,,,,,,,,,,
"2AMD","C9B COMMERCIAL ACFT","Electronics, Comms, & Sensors",,,,,17540467,141185,,,,,,,,,,,,,,,,,,,,,,,,,
"2APC","P-3 ORION","Aircraft",257000,2587000,1308053,30970,,128121,,25925,,288445,45725,,436923,2223863,,,,,,,,,,,,,,,,,
"2ASF","S-3 VIKING","Aircraft",1172000,-54000,103366,211355,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2ATB","T-38 TALON","Aircraft",1377000,478000,545950,531393,552717,798867,741594,344241,1347851,1564854,678905,243456,797754,922146,,,,,,,,,,,,,,,,,
"2ATD","T-28 TROJAN","Ordnance and Missiles",,77000,,30000,,,260253,,,,167849,,,,,,,,,,,,,,,,,,,,
"2ATG","TA-4 SKYHAWK","Aircraft",106000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2ATL","T-33 SHOOTING STAR","Electronics, Comms, & Sensors",269000,54000,54500,,392307,,173927,,,,,,,499252,,,,,,,,,,,,,,,,,
"2ATR","T-45 GOSHAWK","Aircraft",,,,,,,,,,,,,275340,275340,,,,,,,,,,,,,,,,,
"2AVG","AV-8 HARRIER","Aircraft",586000,401000,319141,2689038,1317089,4977164,1390286,1098244,1981460,1859490,1566122,466535,902490,949705,,,,,,,,,,,,,,,,,
"2AVJ","OV-10 COIN (NOW BRONCO)","Aircraft",,,838289,41669,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2AVL","XV-6",,,,,,,1530000,,,,,,,,,,,,,,,,,,,,,,,,,
"2BJB","J-52","Aircraft",71000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2BSA","JT8D TURBOFAN ENGINE","Ships & Submarines",,,,,,,,,,,,64575,,,,,,,,,,,,,,,,,,,
"2CAA","STRATEGIC DEFENSE INITIAT","Ordnance and Missiles",38545000,40856771,24657031,34513428,33378286,91105602,17096442,18500984,22431413,4569268,6886771,844194,749100,9402628,,,,,,,,,,,,,,,,,
"2CLB","GUIDED MSL LAUNCH MK-41","Ordnance and Missiles",6e+06,87591000,412651374,183698561,95967506,306966161,114949166,98422399,428169707,187921745,22985897,52272958,182727897,27161385,,,,,,-1042,,,,,,,,,0,,
"2CLE","GUIDED MSL LAUNCH MK-49","Ordnance and Missiles",,,72192095,479323,30541,27292710,,,,,,,,,,,,,,,,,,,,,,,,,
"2CLH","ROCKET LAUNCHER LAU-68","Electronics, Comms, & Sensors",,2389000,-181874,,0,,,,,255628,,,,,,,,,,,,,,,,,,,,,
"2CLI","ROCKET LAUNCHER LAU-10","Aircraft",,626000,1336708,,,896600,,762240,,2196900,,406696,3958800,655277,,,,,,,,,,,,,,,,,
"2CLJ","GUIDED MSL LAUNCH MK-26","Ordnance and Missiles",15932000,-4740000,16978556,-1544653,12147995,17984539,3637315,,,,,,,,,,,,,,,,,,,,,,,,
"2CLL","GUIDED MSL LAUNCH MK-13","Ordnance and Missiles",-576000,14524000,27041793,19645289,3182728,-88762,-580240,-87702,79100,,,,1803475,2198481,,,,,,,,,,,,,,,,,
"2CLN","GUIDED MSL LAUNCH MK-73","Ordnance and Missiles",425000,893000,4669392,,-429877,22608270,50966515,8897384,,3505306,3786716,9448949,3999137,60281859,,,,,,,-63814,,,,,,,,,,
"2CMA","RIM-2 TERRIER","Ships & Submarines",,,75000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2CMB","AIM-7 SPARROW","Missile Defense",70207000,5236000,137964541,88236676,138735603,20833827,14362805,55496371,491187,1051904,-31641,508745,95130,16006869,,,,,,-4880.27,,0,,,,,,,,-29575.7598,-153380.5781
"2CMF","UGM-27 POLARIS","Missile Defense",850000,783000,75000,259647,-112081,524881,155000,,,,,,,,,,,,,,,,,,,,,,,,
"2CMG","BQM-34 FIREBEE","Aircraft",102000,467000,3364234,-167451,54661250,28651244,412294,3579402,,,,,,,,,,,,,,,,,,,,,,,
"2CMI","AQM-37 TARGET DRONE","Aircraft",51005000,67008000,19449623,1232302,-1833000,,,285478,336105,,,,,,,,,,,,,,,,,,,,,,
"2CMJ","UUM-44 SUBROC","Ordnance and Missiles",49000,,,,,,,,,,,,674590,,,,,,,,,,,-350,,,,,,,
"2CMK","AGM-45 SHRIKE","Ordnance and Missiles",,-51000,-699871,,29000,,,,,,,,,,,,,,,,,,,,,,,,,,
"2CML","AIM-54 PHOENIX","Ordnance and Missiles",222781000,-1665000,27457930,7878558,10980056,10783269,1230304,-26790,,,,,,,,,,,,,,,,,,,,,,,
"2CMM","AGM-62 WALLEYE","Ordnance and Missiles",5732000,27000,112220,,,,,,,,77120,,32150,,,,,,,,,,,,,,,,,,
"2CMN","RIM-66 STANDARD MISSILE(M","Ordnance and Missiles",112367000,321724000,390471287,326405149,169962762,209759708,217968083,409583266,466413933,352536426,302438980,324003129,97561120,25886135,,,,,,,-14728.8398,,,,,,,,,,
"2CMP","RIM-67 STANDARD MISSILE(E","Ordnance and Missiles",75124000,29037000,22359848,6064608,44342373,64537736,229777717,135795418,138276333,141611224,50138186,3902047,105966103,70860725,,,,,,-465373.3125,,-1072663,,,,,,,,,
"2CMQ","ZUGM-73 POSEIDON","Ships & Submarines",463000,,,277089,10250181,-3324579,,,,,,,,,,,,,,,,,,,,,,,,,
"2CMS","FIM-43 REDEYE","Missile Defense",13735000,,29300,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2CMU","RIM-24 TARTER","Ordnance and Missiles",4424000,,208375,,,111000,,,,822971,845645,119177,180362,48231,,,,,,,,,,,,,,,,,
"2CMZ","CHAFF DECOY WARHEADS","Missile Defense",66000,,3077946,115035,95214,,4239000,,,,,,,,,,,,,,,,,,,,,,,,
"2CNA","RIM 7-H-2 NATO SEA SPARRO","Missile Defense",90466000,56857497,89317220,60456264,64137492,52781630,100834986,66957579,67534545,69541008,38269403,8392967,25868981,44883147,,,,,,,-350,-280523.2813,,,,,,,,,
"2CND","AQM-38","Aircraft",56000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2CNE","MQM-39","Ships & Submarines",,2532000,9020720,3071583,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2CNM","RIM-85","Missile Defense",,,,,,,3539466,,-95000,,,22244,,225090,,,,,,-43.42,,,,,,,,,,,
"2CNN","ZRGM-59","Ordnance and Missiles",,1e+06,1e+06,13577253,9883121,1780375,-1e+05,,,,,,,,,,,,,,,,,,,,,,,,
"2CNO","AGM-87","Ordnance and Missiles",415000,132000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2CNP","AGM-88 HARM","Ordnance and Missiles",488969000,689781526,355488034,206991973,257791683,209013625,49571130,48675221,2311559,23520861,19648647,84974723,64677302,5159418,,,,,,,-71.7,,,,,,,,,,
"2CNQ","ZAGM-63","Ordnance and Missiles",,,,,,75520,1401149,,,,,,,,,,,,,,,,,,,,,,,,
"2CNS","MQM-74","Ordnance and Missiles",-307000,258000,-2373567,,530064,-1107467,44750,-159788,,,,,,,,,,,,,,,,,,,,,-32690.3496,,
"2CNU","AGM-84 HARPOON","Missile Defense",87160000,568174000,147926676,242917899,289749627,202155615,140266139,147769436,62946401,159959455,19200215,38124493,4842583,25386308,,,,,,,,,,,,,,,,,
"2CNV","AIM-95 AGILE","Ordnance and Missiles",133000,33795000,34663561,11639526,,,,6754772,123397843,0,1e+07,1044705,,,,,,,,,,,,,,,,,,,
"2CNY","BGM-109 TOMAHAWK","Ordnance and Missiles",646384000,1110564367,774810296,543652837,422387712,392585129,410018920,229328507,123038563,493151676,69929743,101192081,354927912,124613995,,,,,,,-7050.5898,,,,,,,-80370.5,,0,
"2CNZ","CG-47 AEGIS","Missile Defense",765761000,341146724,155746675,394220917,430256361,427276724,467752036,572235260,370064826,400336436,90579885,42261652,33333530,20208796,50000,,,,,,,,,,,,,,-252.06,,
"2CPA","FIREBRAND TARGET",,5023000,327000,,424141,346775,,,,,,,,,,,,,,,,,,,,,,,,,,
"2CPE","STANDARD MISSILE 2","Ordnance and Missiles",,,,,54037784,26008681,5078524,,,486000,,,164980860,196040906,,,,,,-266244.0938,-299046.7344,-268898,0,,,,,,0,0,
"2CPI","BQM-74","Aircraft",,,,,,,27006576,23457917,29873986,24157274,,591773,,,,,,,,,,,,,,,,,,,
"2CPJ","2CPJ","Space Systems",,,,,,,749788,,,,,,,,,,,,,,,,,,,,,,,,
"2CPK","BQM-74E SSAT","Missile Defense",,,,,,,,6066621,2327861,2375027,4580133,25909374,5008533,27408149,,,,,,,-682.5,,,,,,,,,,
"2CPL","ADM-141C ITALD","Ordnance and Missiles",,,,,,,,,14434581,,,,8381625,61442,,,,,,,,,,,,,,,,,
"2CPN","JSOW-AGM-154","Ordnance and Missiles",,,,,,,,918719,,276843,5842768,12267112,24141537,20597056,,,,,,,,,,,,,,,,,
"2CPO","AGM-154A","Ordnance and Missiles",,,,,,,,,8.6e+07,634189,474232,546248,135529402,27833102,,,,,,-43701.8008,,,,,,,,,,,
"2CPP","AGM-154B","Ordnance and Missiles",,,,,,,,,,2146000,,,,,,,,,,,,,,,,,,,,,
"2CPQ","AGM-154C","Ordnance and Missiles",,,,,,,,,,,,,,11858021,,,,,,,,,,,,,,,,,
"2CPR","AN/SWG-1A HSCLLS","Missile Defense",,,,,,,,26070804,1879825,24458354,7652904,757946,-3334430,17413,,,,,,,,,,,,,,,,,
"2CPS","TOMHWK STRIKE COOR MDLE (","Ordnance and Missiles",,,,,,,,,,,34238,,,282166,,,,,,,,,,,,,,,,,
"2CRL","MK-56 MOD 2 ROCKET MTR","Missile Defense",,16241000,5e+05,3800000,8116373,,453036,614624,,1025284,947784,,,,,,,,,,,,,,,,,,,,
"2DAA","PREDATOR UAV","Aircraft",,,,,,,,,,,,,,2397798,,,,,,-6142.77,,,,,,,,,,,
"2DBK","LVTP-7","Land Vehicles",,39000,,,,,205200,111100,,,,,,,,,,,,,,,,,,,,,,,
"2DBL","LVTC-7","Land Vehicles",,,,,,,,46050,,,,,173072,,,,,,,,,,,,,,,,,,
"2DBU","PIONEER UNMANNED AERIAL V","Aircraft",,,,,,,2550000,,,,,,,,,,,,,,,,,,,,,,,,
"2EBB","MK149 PHALANX","Ordnance and Missiles",2403000,7334000,4688384,1779186,1455849,1506248,2413476,505221,,,,,,,,,,,,,,,,,,,,,,,
"2EBE","MK15 CLOSE IN WPN SYS","Ordnance and Missiles",57153000,208623000,87824099,285767008,102521409,168132581,77590891,75869404,47917048,17859519,39266871,36962968,74485681,203884516,346000,,,,,,-1184426.375,,,,,,,,,0,
"2EBJ","MK45 MOD-O 5.54 GUN MOUNT","Ordnance and Missiles",5859000,67954000,60242662,55001900,27306009,26113518,41508138,117924870,56685592,38280912,37877891,-9488077,16326631,10883167,,,,,,,-10621714.1837,,,,,,,0,,,
"2EBN","30MM GUN MOUNT/COASTAL PT","Ordnance and Missiles",1326000,,-73296,1116490,,520927,109172,280471,,,,,,,,,,,,,,,,,,,,,,,
"2EBO","105MM GUN M-60 COMBAT","Ordnance and Missiles",,,,,,,,1548390,,,,,,121691,,,,,,,,,,,,,,,,,
"2EBP","M107 GUN 175MM","Ordnance and Missiles",,-88000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2EBQ","MK42 MOD-9 5.54 GUN MOUNT","Ordnance and Missiles",27000,80000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2EBT","MK42 MOD-7 GUN MOUNT","Ordnance and Missiles",,,,70176,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2EBU","MK71 MCLWG GUN MOUNT","Ordnance and Missiles",,3690000,1754273,1837448,1583727,,28960,,,,,,,,,,,,,,,,,,,,,,,,
"2EBW","MK75 76MM GUN MOUNT","Ordnance and Missiles",312000,9037000,800169,1040283,10552450,2568867,432735,1214582,,124980,1205400,40455,,,,,,,,,,,,,,,,,,,
"2EHC","5.56MM RIFLE M16","Other Products",,,29378,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2FAA","WALLEYE","Ordnance and Missiles",,765000,86387,,1206956,,,,,,,,,,,,,,,,,,,,,,,,,,
"2FAE","MK-104 PRACTICE","Ordnance and Missiles",2599000,39260000,41762749,23039012,2305323,1574145,647398,,,145461,,,5821644,,,,,,,,,,,,,,,,,,
"2FAO","MK-121 TGT IDENT","Ordnance and Missiles",,49000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2FBB","5""/38 CAL CARTRIDGE","Ordnance and Missiles",,59501000,18624843,28800120,2375362,4864486,0,-20688,,3433129,,64260,,,,,,,,,,,,,,,,,,,
"2FME","MK-55 MINE","Ordnance and Missiles",1151000,,,,,,150000,,,,,,,,,,,,,,,,,,,,,,,,
"2FMG","MK-57 MINE SUB LAID MOORE","Ordnance and Missiles",1415000,77000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2FMM","MK-65 MINE","Ordnance and Missiles",4819000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2FPC","5./54 MK-41 PROJECTILE","Electronics, Comms, & Sensors",74000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2FTB","MK30 MOBILE TARGET","Electronics, Comms, & Sensors",,,,,,,,,,,12977659,1102758,,,,,,,,,,,,,,,,,,,
"2FTD","MK37 TORPEDO","Ordnance and Missiles",,,67494,67493,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2FTG","MK44 TORPEDO","Ordnance and Missiles",2631000,2747000,9412000,7922023,6019253,,,,,,,,,,,,,,,,,,,,,,,,,,
"2FTH","MK45 TORPEDO (ASTOR)","Ordnance and Missiles",12482000,4501000,853063,2785112,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2FTJ","MK46 TORPEDO LT WT ASW","Ordnance and Missiles",213053000,315248000,9692650,104059240,73262292,114461087,56354723,25500846,40741400,44275709,882600,2785769,1951305,22158622,,,,,,,,,,,,,,,,,
"2FTL","MK48 TORPEDO (ADCAP)","Ordnance and Missiles",390592000,269480000,3158425,39293020,19121741,30004090,45692827,12647232,29146606,29921491,33086983,7784332,36157788,56204266,,,,,,-2618.8701,,-140000,,,,,,,,0,
"2FTN","MK50 TORPEDO","Ordnance and Missiles",156316000,11125000,107949445,261474322,4594506,3647084,2989300,1422058,241725,-470565,,,26678,,,,,,,,,,,,,,,,,,
"2FTR","MK60 CAPTOR","Ordnance and Missiles",758000,484000,1070715,1540752,1733769,1623667,,,,,,,,,,,,,,,,,,,,,,,,,
"2GAV","AN/SLQ-13","Ordnance and Missiles",3247000,5036000,,,5801576,,6989142,1143075,5534055,8384670,18025371,11979313,6528735,7957050,,,,,,,,,,,,,,,,,
"2GBH","MK75 MOD3 RANGE FINDER","Ordnance and Missiles",,,,,7034338,,,,,,179280,,,,,,,,,,,,,,,,,,,,
"2GBO","MK86 GUN FIRE CTRL SYS","Ordnance and Missiles",383000,-437000,92764,-67592,,54474,132754,1145664,,,,,348050,,,,,,,,,,,,,,,,,,
"2GCA","AN/SLQ-25 TORP CM TRANS S","Electronics, Comms, & Sensors",,4066000,-55020,-30000,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2GCD","AN/ALE-41","Electronics, Comms, & Sensors",,,,,,,,,,,,655533,246060,,,,,,,,,,,,,,,,,,
"2GCM","AN/BLR-14 ECM","Electronics, Comms, & Sensors",,,91944,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2GCP","MK76 GD MSL FIRE CTRL SYS","Ordnance and Missiles",,3943000,1e+06,225000,2e+05,,,,,,,,,,,,,,,,,,,,,,,,,,
"2GCQ","MK92 FIRE CONTROL SYS","Electronics, Comms, & Sensors",145000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2GCR","WLR 14 SEASCOUT SYSTEM MI","Ordnance and Missiles",,,,6608732,13653922,,,,,,,,,,,,,,,,,,,,,,,,,,
"2GFB","AN/UGC-129","Electronics, Comms, & Sensors",,,,505240,,,,-59440,,,,,,,,,,,,,,,,,,,,,,,
"2GFE","AN/SYR-1 TRACKING SET","Electronics, Comms, & Sensors",51000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2GIF","MISSION DISTRIBUTION SYS ",,,,,,,,,6954026,5791670,-3995744,,821858,0,393000,,,,,,,,,,,,,,,,,
"2GMH","AN/SPS-52 RADAR","Missile Defense",,991000,,,59732,,2759000,,,,,,,3962505,,,,,,,,,,,,,,,,,
"2GMK","AN/USP-1 RADAR","Missile Defense",,49780,35035,854398,243812,,,,169740,3046537,-544324,96270,,,,,,,,,,,,,,,,,,,
"2GMY","AN/TPS-63 RADAR SET","Missile Defense",556000,1377000,-134802,267294,861144,377842,172980,1366680,418426,147267,1818685,,44373,3180974,,,,,,,,,,,,,,,,,
"2GNF","AN/SPS-48 AIR SEARCH RADA","Missile Defense",2247000,69807854,68537098,29553839,5450992,17743162,5294139,6555338,16214754,-652000,936237,4888736,3651896,3525959,,,,,,,,,,,,,,,,,
"2GNI","AN/APG-59 RADAR","Missile Defense",,,,529200,,,,,,,84564,280836,,,,,,,,,,,,,,,,,,,
"2GNM","AN/APQ-109 RADAR","Missile Defense",,50000,,,,,225483,,,,,,,5788000,,,,,,,,,,,,,,,,,
"2GNT","AN/SPS 49","Electronics, Comms, & Sensors",,,,,,,,,,7e+06,650000,116397,209231,392500,,,,,,,,,,,,,,,,,
"2GNU","AN/SPS 30","Electronics, Comms, & Sensors",,-183000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2GNZ","AN/APD-7 RADAR","Missile Defense",,866000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2GQB","AN/SPG-55 RADAR ANTENNA","Missile Defense",2207000,11684000,-930,19173095,121889,142533,,506167,581332,3819972,3819970,,279206,1108485,,,,,,,,,,,,,,,,,
"2GQC","AN/BPS-15 RADAR","Missile Defense",,,3237582,,-330216,,,,2761000,,,,267053,1492073,,,,,,,,,,,,,,,,,
"2GQD","AN/TPS-59 RADAR SYS","Missile Defense",448000,18502000,27133780,31025547,39634974,27823046,24247670,60689109,10585526,15284138,7632772,17403073,941208,537514,,,,,,,-189843.5,,,,,,,,,0,
"2GQE","MK-23 TAS","Missile Defense",1553000,-28572,98347,,310276,950330,2744560,343176,,,,50800,,,,,,,,,,,,,,,,,,,
"2GQL","AN/TPS-71 ROHR","Missile Defense",16065000,,2729566,1525318,1822001,,,,,,,,,,,,,,,,,,,,,,,,,,
"2GQM","OTHR (OVER THE HORIZON RA","Electronics, Comms, & Sensors",,,,-65344,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2GSI","AN/SQS-56","Electronics, Comms, & Sensors",6450000,9832000,,-1e+05,68000,,,,,,,,,,,,,,,,,,,,,,,,,,
"2GTA","AN/SQQ-16 MINE SONAR","Electronics, Comms, & Sensors",,,,,,,,,,,,,,275000,,,,,,,,,,,,,,,,,
"2GTL","AN/BQQ-1  SONAR","Electronics, Comms, & Sensors",61000,-36000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2GYC","OPERATIONAL CONTROL CENTE","Electronics, Comms, & Sensors",,221074,,,,,,,261003,,,,,,,,,,,,,,,,,,,,,,
"2HBH","AN/PVS-4 SIGHT","Ordnance and Missiles",,30000,,,,,240922,472361,27031,,,,39700,137428,,,,,,,,,,,,,,,,,
"2HXA","EX-41 VLS COVER VERT LNCH","Ordnance and Missiles",,40000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2HXC","25/MK 58 LOCATION MARKER","Ordnance and Missiles",393000,,,95381,,113372,321568,,,,,,,,,,,,,,,,,,,,,,,,
"2HXD","AS2629 BBR CABLE ASSEMBLY","Electronics, Comms, & Sensors",1368714,15596273,-3790632,623681,,157295,,,,,,,,,,,,,,,,,,,,,,,,,
"2HXN","MK-27","Facilities and Construction",,917000,478053,818736,,72930,120400,,,,,,,,,,,,,,,,,,,,,,,,
"2SCA","DESTROYER DDG-47 AEGIS","Ships & Submarines",,,,,,,,2183827,,,,,,,,,,,,,,,,,,,,,,,
"2SCY","DESTROYER DDG-51","Ships & Submarines",,,,,,,2728468,262525000,265335211,188502272,-1500000,,,252411568,,,,,,,,,,,,,,,,,
"2SDL","SUBMARINE FBM-SSBN","Ships & Submarines",,,41878,29902,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2SDN","SUBMARINE NUCLEAR-SSN","Ships & Submarines",,,,,242512,,,,,,,,,,,,,,,,,,,,,,,,,,
"2SDR","TRIDENT","Ships & Submarines",293000,27000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2SEA","ASSAULT SHIP AMPHIBIOUS-L","Ships & Submarines",,,,,68476,,,,,,,,,,,,,,,,,,,,,,,,,,
"2SFB","MINE CTMS SUPPORT SHIP-MC","Electronics, Comms, & Sensors",,,,,,,,1075410,,,,,,,,,,,,,,,,,,,,,,,
"2SFQ","MNSWEEPER OCEAN NON-MAG-M","Ships & Submarines",,,,,,,733524,387333,,,,,,,,,,,,,,,,,,,,,,,
"2SID","AMMUNITION SHIP-AE","Ships & Submarines",,,,,,,,,,,,,79040,,,,,,,,,,,,,,,,,,
"2SJC","GUIDED MISSILE SHIP-AVM","Ordnance and Missiles",,,1149131,,-55716,,,,,,,,,,,,,,,,,,,,,,,,,,
"2SJO","LAUNCH SHIP SATELLITE-AGS","Space Systems",,,,32590,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2SJS","MISCELLANEOUS-AG","Ships & Submarines",,,,,,,207507,,,,,,129851896,,,,,,,,,,,,,,,,,,
"2SLP","SURTASS SHIP T-AGOS","Ships & Submarines",,1136000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2SMZ","FUEL BARGE NON-SELF PROP","Ships & Submarines",,,,,,,,,,,,,,25918,,,,,,,,,,,,,,,,,
"300","MAVERICK (LASER) ","Ordnance and Missiles",,,,,,,,,,,,,,,,,,11026982.7832,7248594.9942,,3199999.5,1555975.625,0,,,,,,,,
"301","FCS ","Land Vehicles",,,,,,,,,,,,,,,51496000,111015238,202409609,270690426.5,242075918,234306734.6484,71762012.3496,-30922179.1279,-230832.9297,-185593.44,-1060.33,-44218.53,0,,,,
"302","MINUTEMAN III GRP ","Ordnance and Missiles",,,,,,,,,,,,569969,35565762,3492574,36769370,-1960000,,2592662.0781,88512389.796,43059481.75,51955391.3146,90918366.0388,284029930.8172,7773652.87,-4046730.48,-2544583.78,-6868150.25,775500,0,-99416.7813,0
"307","HAWK IMPROVED ","Ordnance and Missiles",,,,,,,,,,,,,,,,,,13390689.5391,22270701.0469,17619249.4952,20540079.2627,28095913.7812,47500187.7891,39645828.7,32659258.42,21970150.8547,4506538.372,1649832.2578,-1147092.5596,-1668209.3886,-90449.0015
"308","TOW ","Ordnance and Missiles",,,,,,,,,,,,,,,,,0,34170252.608,273541474.641,56770305.2,44172558.9219,38904851.1719,48110266.9219,46868462.28,32028020.31,26136732.7618,23786138.4704,22350763.6481,24130094.4013,6561997.8437,-758025.6426
"316","F-5E ","Aircraft",,,,,,,,,,,,,,,,,,73600,,,112615.7618,192278.6954,559734.8469,446875.24,,0,,,,,
"317","MAVERICK (TV) ","Ordnance and Missiles",,,,,,,,,,,,,,,,,,45599824,,,,,,,,,,,,,
"326","WIDEBAND GAPFILLER ","Space Systems",,,,,,,,,,,,,,,45000,1838805,120210352,415437403,297617737.422,299061547.922,227813103.0294,540385344.8359,1150879770.9279,49833426.4784,-32168503.2,25211031.2571,80607495.6761,60609532.0195,43627251.5605,329727761.087,322305904.5508
"331","ALAM ","Ordnance and Missiles",,,,,,,,,,,,,,,21669,114956,236855,,,,,,,,,,,,,,
"337","SSGN ","Ships & Submarines",,,,,,,,,,,,,,,594702,437000,108000,,,,,,,,,,,,,,
"341","BLACK HAWK UPGRADE (UH-60","Aircraft",,,,,,,,,,,,,,,,18953,83265,0,,,,-17369.0605,-4046.97,,,5379876.6201,283240,33450,2256712.9,8650,1701728.7646
"345","MUOS ","Space Systems",,,,,,,,,,,,,,,4.7e+07,362286363,422510715,599440734.4375,631666388.25,868280428.3848,428605488.4688,769640648.711,295655263.2396,560169225.375,95428554.6852,85777054.2987,90135204.5507,68150674.836,77989868.6954,102773489.1406,21312163.0088
"346","CBDP ",,,,,,,,,,,,,,,,,157376,471640,,,,,,,,,,,,,,
"347","GCSS ARMY ","Electronics, Comms, & Sensors",,,,,,,,,,,,,,,25613,,,,,,,,,,,,,,,,
"354","SDB ","Ordnance and Missiles",,,,,,,,,,,,,,,1237285,22910490,76629652,214676484.0714,260969732.9433,249109764.982,218043975.4427,321928401.1688,178296122.1098,161503835.375,113245513.7819,45137966.6215,31545997.8735,18015752.875,22622531.3283,10371091.4414,2266889.8668
"355","GCSS DOD ","Electronics, Comms, & Sensors",,,,,,,,,,,,,,,,,13200,,,,,,,,,,,,,,
"358","SBR ","Space Systems",,,,,,,,,,,,,,,61863968,42658032,64988067,151405531.4082,30386716,-391.71,,-166451.1194,45622.8416,15294,-128856.97,,,,0,0,
"359","MINUTEMAN II ","Ordnance and Missiles",,,,,,,,,,,,,,,,,,364771.6031,0,,45541.36,102613.6204,440342.2499,2922446.8889,2944401.08,-11280,,-234742.6548,,,
"362","BMDS ","Missile Defense",,,,,,,,,,,,,,,89724927,244783962,270902157.4219,448850784.125,435022488.6299,425997768.1564,258866860.6211,263393207.0523,493982433.0777,417122703.3063,628060221.5797,570446795.6054,606250561.8626,548339567.3518,691883896.4739,720931920.8941,643919640.7736
"365","COBRA JUDY REPLACEMENT ","Missile Defense",,,,,,,,,,,,,,,231147305,191239107,258784310.7002,276345994.0469,203721031,255975774.589,97776180.8438,60873219.5937,92689335.794,59265090.81,11443014.62,8239280.74,-31858,0,-80522.7266,0,
