"ProjectAbbreviation","ProjectName","ProjectPlatform","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"167","AV-8B ","Aircraft",,,,,,,,,,,,,,,,,,,,124852.2031,,,,,,,,,,,
"168","B1-B ","Aircraft",,,,,,,,,,,,,,,,,,1531795.5372,351981.2813,755044.9844,2724505.3468,4916661.5301,5861579.4689,1995698.45,1314232.36,32812,-13385,0,0,0,
"169","PHOENIX (AIM-54C) ","Missile Defense",,,,,,,,,,,,,,,,,,31998.3008,,,,,,,,-18470.1191,,,,,
"170","JTIDS (ARMY) ","Electronics, Comms, & Sensors",,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
"171","JTIDS (NAVY) ","Electronics, Comms, & Sensors",,,,,,,,,,,,,,,,,3882,,,,,,,,,,,,,,
"172","JTIDY (AIR FORCE) ","Electronics, Comms, & Sensors",,,,,,,,,,,,,,,,,,7935000,,0,,,,-5766415,,,,,,,
"173","BMTC ","Missile Defense",,,,,,,,,,,,,,,,,,,,,,8336,,,,,,,,,
"174","KIOWA WARRIOR ","Aircraft",,,,,,,,,,,,,,,,,,7174228.8033,6830301.9492,2061099.8321,4548722.6875,448200,0,5317901.45,1375490,-138918.38,-18450,-9560,-2650,,
"175","LAV (ARMY) ","Land Vehicles",,,,,,,,,,,,,,,,,0,,,,,,-249870.1401,,-39427.14,39427.14,,,,,
"176","EELV ","Space Systems",,,,,,,,,,,,,,,1188918,940864,887502610.6101,309254818.8501,1452836014.0667,1408366777.7144,1309035292.8859,1675661578.3354,2460436023.9666,1295284212.66,2574970473.8961,1769915183.1825,1617007977.7999,2094715754.5127,1586016399.0235,1276084913.7849,578227435.8985
"177","TRIDENT II SUB ","Ordnance and Missiles",,,,,,,,,,,,,,,,,,,,,64333349,75039615,93425035,61565301,12021611,2470276.9062,3237117,-782452,-1191085.6875,-989934,-649622.25
"178","TRIDENT II MISSILE ","Ordnance and Missiles",,,,,,,,,,,15220416,527767997,101339351,3758648,677563676,1349069500,1580842092,1785059373.2257,1786137093.5755,1820844410.4926,1737796437.1912,1674685637.8225,1886000696.0013,1925814966.3037,2329221894.3024,2261565782.6405,2321100790.17,2328499402.9938,2111264407.5934,3707266810.1221,1537701311.2198
"180","DDG 51 ","Ships & Submarines",,,,,,,,,,,,,,,45575282,87529055,106227722,60341116,69391889.3389,19612275.3204,653072.3835,980392.2891,-205866.4629,-71019.91,-114739.3,-164483.33,,,,,
"181","KC-135R ","Aircraft",,,,,,,,,,,,,,,,,,-1496.8,,,,,203488.5,909912,0,,,,,,
"184","AMRAAM (NAVY) ","Ordnance and Missiles",,,,,,,,,,,,,,,731000,31834636,36814566,331308756.8398,73669810.5625,85713709,70991334.2166,26673608.5503,31771798.4236,12074716.13,16412188.57,7976200.0155,8954716.25,11689566.375,-1696721.4063,-2671791.25,-3662530.5
"185","AMRAAM ","Ordnance and Missiles",640528000,1176031000,789514959,918678654,661668979,490362751,454869735,358677136,257112780,246934580,227204986,265222633,371688688,188449669,186542528,255518619,348027385.2969,235005312.3621,584446944.0464,964723666.6323,750619203.3908,665539056.1739,657097142.959,626008193.05,244174115.14,1145311289.2346,876137237.5587,178742604.4728,1339704773.5562,254437890.6445,1014134870.6739
"187","LANTRIN ","Electronics, Comms, & Sensors",,,,,,,,,,,,,,,,,,129675,0,19140,,,,,,,,,,,
"191","MH-60R ","Aircraft",,,,,,,,,,,,,,,,262103,20850,,28193,0,,,,181560,,4011326.1094,,13164.5996,,,
"197","DD(X) ","Ships & Submarines",,,,,,,,,,,,,,,,,205759975,167484443,278071242,146310870,127440807,132329716,55539463,-16399245,46766108.61,587465,-728060.625,0,-39535.2695,-979216.3125,-1219736.75
"198","JSF (F-35) ","Aircraft",,,,,,,,,,,,,,,57680,27000,,,,,,,,,30045,0,,,,71968.6172,421251.7188
"1ACE","C-12","Aircraft",,,,,,,,710690,56000,,,,,,,,,,,,,,,,,,,,,,
"1AHB","H-2 SEASPRITE","Ordnance and Missiles",,,,562895,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1AHK","CH-47 CHINOOK","Aircraft",,,118153,38703,,,,,,,299147415,86851399,330911,448429,,,,,,,,,,,,,,,,,
