"Vehicle.sum7","Commercial","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Single-Awd.","Commercial",0.875652934597961,0.940264704573891,0.70874438404833,1.11368162127905,0.61073601621869,0.710541784984218,0.75076973022647,0.970040258162855,1.01872340776656,0.604392150983152,0.526721317330692,0.539486462573345,0.574343223979757,0.666795489954973,0.88828812261895,0.885259099586258,0.93052404165001,1.04633296120478,0.9851325575941
"Single-Awd.","Non-Commercial",0.426853406002265,0.761857464201307,0.883488249961852,0.911479427206851,0.290272548566577,0.754564794940847,0.645809420612687,0.669485043680308,0.571981512579902,1.49339273572353,1.10753219987771,0.473682704685872,0.893780316321681,0.591812454526339,0.721615356439524,0.623272970563604,0.681224871189985,1.21412445752495,0.8884983405591
"Single-Awd.","Not IT",0.00423918318233296,0.00677181009314611,,0.000124932806324111,0.0941010743475042,0.177836647582577,0.168721584874224,0.145378756954742,0.235673617270677,0.183682837784369,0.144006007417958,0.192921440115007,0.209354898042146,0.371312077674317,0.365085229914889,0.390009882894916,0.490272991207162,0.468574238753188,0.4648191255589
"Single-Awd.","Unlabeled",0.106683148357871,0.120467398860003,0.487386534075482,0.103352001317523,0.430613289927231,-0.000809843556480676,0.000620628935224644,0.195107464786952,0.42140562816613,0.0101875525722476,0.00123957469238719,0.000413742812041944,0.000305192256637168,0.000568970546448087,0.00100404057704385,0.010829396438311,-0.00390094454309806,0.0274230504540353,0.0915840631856
"Multi-Awd.","Commercial",0.143121673272933,0.356525737522591,0.804252282515341,0.675271164402372,1.19514259149509,1.27158249183236,1.01939179802581,1.1940214451513,1.12208846276143,0.677991511728326,0.568092485421059,0.321298895129552,0.162804986108739,0.0315545047107104,0.013416132098863,0.0261961557764305,0.22223458812107,0.139319435144883,0.1161839892172
"Multi-Awd.","Non-Commercial",0.626515877689694,0.833711046851105,0.571063798533804,0.948359046360343,0.426320902203881,0.34913531183149,0.29427789148131,0.325939331884449,0.396173887952142,0.965065085990289,1.17169643311172,0.880506525811253,1.00575950612655,0.827866723338142,0.801172484565566,1.21842748901744,0.705245576970435,0.389388533532497,1.3273479089697
"Multi-Awd.","Non-Developmental",,,-0.000209101276133587,,,,,,,,,,,,,,,,
"Multi-Awd.","Not IT",0.000798822197055493,0.00762605032670652,0.000717893021992941,,0.0175806868377378,0.0233627638491363,0.0501371169237794,0.106269819688493,0.0513390008310061,0.148917030869545,0.196108113656218,0.284454612430488,0.284770330725111,0.255405001184153,0.234124908121169,0.235139016795575,0.130799984936602,0.0848670244574023,0.0964223030807
"Multi-Awd.","Unlabeled",0.0340904784824462,0.0631530555314889,0.0126690698182188,0.0566545190629776,0.40445332531929,0.0176829726121536,0.0238563842580056,0.116309292195715,0.317417090676811,0.0317417619379899,0,1.23034953207802e-05,-9.9108517699115e-06,-1.15173335519126e-05,7.16993787763942e-05,0.00580085436236971,5.54396855090568e-05,0.049562144929599,0.0386787880013
"FSS or GWAC","Commercial",0.425348877406568,0.346903581259558,0.608993455657752,0.633917474606851,0.492813445561471,0.512089738573506,0.578372926126263,0.678140886702094,0.647289323649242,0.905149865251433,0.980933169961075,1.02762846117059,1.02562842816394,0.858987361183279,1.00119011328511,1.12622373334567,1.26742953404893,1.29757609371676,1.1993026845589
