"Shiny.VendorSize","Vehicle.sum","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Large","Single-Awd.",,,,,,,,,,,11755126535.0679,14134661389.6585,16221157571.1048,28319597444.5281,36818832997.1715,40607025974.6776,47156031205.1955,52467590793.8086,65350429741.7352,59903830952.2639,53438896921.6315,48045312445.6821,45875273647.8771,32684433928.453,32279736622.3142,28509910654.3451,27612918562.777,29709920282.1478,36193066497.836,34596823582.3136,37006730721.4977,33425305922.9317,
"Large","Unlbd. IDV",,,,,,,,,,,733110266,521615369.55,628215988,735909614.791,719956089.7128,555846127.0678,589533888.5631,539700520.8246,441342993.1199,492790946.7507,400487249.191,344464006.2161,443640362.7538,175721598.145,172738188.2955,201654446.1399,19047998.5478,54978155.7348,6549,,,-602778.7148,
"Large",,35960786888,37864157273,35093190779,33829226700,31124696371,28535738215,30194250369,29073824093,28131511337,29678232189,0,36050,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,
"Medium","Definitive",,,,,,,,,,,15550890079.3198,21875853340.1582,18988075800.3504,22846893887.8578,20556159988.9368,24259413493.2465,24251458601.2708,27226142385.9764,32008377552.1631,35208064455.737,31682532878.0755,33634057669.7851,29310530752.7178,24712801541.4001,22941840049.1393,23932055965.3149,23326406929.7207,24732370634.5844,28289643430.7651,31338083309.1924,30843860924.1299,28194588871.8904,171904676165.539
"Medium","Multi-Awd.",,,,,,,,,,,2808502160.6321,3247210117.4235,4590999650.024,5745797134.0317,6664099112.1807,6533315397.7051,8763382706.265,8290397636.0142,11164199975.9028,11234301680.8375,11396214568.1251,12046967195.4868,11326256856.9567,9815390983.9259,8983820235.4793,7106498463.198,8218322643.152,8815656560.7973,11269531655.7778,12849862446.8972,16224352859.4229,13748339999.2271,34885705948.2977
"Medium","Other IDV",,,,,,,,,,,1432309241.6748,1614404338.7786,2222553843.663,2540706121.0101,3149704752.4445,3185105896.1992,2941902194.1923,2858776896.5476,2814364786.6827,2989595048.124,2646508591.3391,3717630692.102,4719730969.0871,3865943103.1322,3824774857.9676,4266879109.391,4194974188.9216,4799167593.9821,5557139043.4722,6191471269.0541,6159370918.6125,5817276443.1882,20912721307.5702
"Medium","Pur. Order",,,,,,,,,,,838325633.7998,937954216.8906,1127034644.5591,1458263903.7678,1727294897.0425,1962041027.9902,1709600061.6182,2163210270.9391,2384281057.0764,2547999698.3,3053696475.6668,2826082114.8749,2255699620.2826,2205234729.5155,2261791915.1809,2207103330.9437,2243100094.3802,2371132326.9911,2974243759.0002,3301212196.9653,2775361336.732,2554890846.7472,3370714083.9737
"Medium","Single-Awd.",,,,,,,,,,,9816458977.3785,10592575594.7554,12123865545.9401,14533848182.4904,15620438404.3025,21657909241.4914,23766857395.7399,25154420765.4821,28569942366.2387,30277751456.0774,29555907795.7882,27104121371.0976,26088778882.4289,21110699143.4132,17137367458.8846,15474055763.1807,15734201401.3711,18376906228.6594,21613178152.3501,23898232988.6251,25075807152.371,25552362025.7172,99223613185.1056
"Medium","Unlbd. IDV",,,,,,,,,,,653714795.0031,487513436.5304,401429569.6816,314210217,452604893.3198,391539642.2443,140050126.1329,182043184.5016,127741061.3381,140628163.6502,164751061.0327,179763293.5251,150320459.8318,154923748.5735,177866415.5942,201340148.0841,18622332.9719,91886413.7408,1927279.2498,29285,88463,1435000,852296.41
"Medium",,28304563806,41243339793,34954992394,33954732784,32186662449,35189234715,30275743132,30248655247,30401001630,32560231774,0,0,169197.2031,0,3166164.5508,2628995.1562,41330,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
"Small","Definitive",,,,,,,,,,,8849194773.8278,8982052424.3958,10175223877.5704,11652596317.6218,11706651739.0132,13094394057.5184,14906398203.2046,15233948509.0131,16090179719.0325,18212115748.1596,18428368888.0987,16386219174.3554,17588821094.5748,14466996791.7394,15600181836.3187,14308216140.2179,15443744349.2386,15671720434.785,17876988598.1596,18442849703.2937,20549777582.6619,20753977504.2209,23231006554.5008
"Small","Multi-Awd.",,,,,,,,,,,2074850206.5752,2422456343.1602,2906168746.9215,3706776710.0464,3912164848.4787,5666155908.0832,5608595342.6288,6622758039.3485,8101813046.1601,9522438781.8695,10506979698.6356,10646223492.0623,10390751397.7868,9379130008.4295,12088473125.2705,12202655626.7047,14229649551.9532,14864003003.9298,17472739850.1615,18880009478.0231,19246579652.6859,21245919749.3441,25209470542.4593
"Small","Other IDV",,,,,,,,,,,1362971788.1787,1561691861.6449,2197607457.9385,2849976016.1315,3587017704.7637,3639339793.1217,3865162734.8155,4131809309.2465,4085657217.4619,3952169614.6128,4302302397.0632,4134454511.2611,4507823978.9811,4133345058.6627,4971876571.2688,5033216610.2787,5800338050.4151,5953443929.477,6466343188.0745,6964932923.7296,7993766113.8209,7610803250.2186,8240175307.4276
"Small","Pur. Order",,,,,,,,,,,1413586279.8009,1688963587.9903,2275052124.7693,3175616191.6601,3534476219.924,4943823373.235,4950596576.1261,5291456052.9445,6139303171.0125,5959829631.1833,5869366428.5753,5645678298.035,4681645614.7634,4345194899.0563,4940928522.1389,5050026929.3056,5275259328.1555,5320794941.1944,6751420062.03,6639714847.6881,6006543887.7313,5507867228.7308,6026601132.6828
"Small","Single-Awd.",,,,,,,,,,,6556882793.0028,6896782281.1015,8385299640.253,11095184898.4364,11956615945.8509,15979240956.344,16227489324.0673,18565786738.9392,20529637679.7133,21564695530.9262,18772169005.3402,19358763996.6272,18946345023.5858,14633349992.0449,15616621934.5513,15710432312.1474,15745249735.6357,17344553970.5426,21678995253.2203,22335738619.887,22041376941.798,19099157242.4937,21373875217.4453
"Small","Unlbd. IDV",,,,,,,,,,,365414691.4413,237199696,227769304.5508,206108537.3203,173075333.6394,157443692.4213,121721705.0707,96473921.5659,90632048.4234,131280919.1359,120914610.5066,165230597.1346,213940425.4377,204078820.5007,262516890.6741,208690701.2653,51051984.1416,109770646.9985,861666.375,1122630.5,1474850.955,1930569.125,2267440.8601
"Small",,13434309635,19368531588,17618999024,17645725767,18075942350,19041220687,19347310930,17934266701,17287313973,19013255479,348305,0,115762.3828,707775,1068586,1484082.64,1236989,667000,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
"Unlabeled","Definitive",,,,,,,,,,,870851522,1320369357,1552817581.7734,360776704.2187,1125789371.4062,1301966913.4286,2787139635.4442,2385591762.081,3724094477.2573,2071767001.2436,1633629936.283,1399016758.218,1137241316.9569,449430041.2253,212094016.1288,391308156.4474,418682091.7846,214026531.0614,155899664.615,275750649.1691,4800399.3108,371834976.0199,0
"Unlabeled","Multi-Awd.",,,,,,,,,,,,,,1320000,28560021,2134292,27509627.2473,5195953.7202,35752374.8642,158675150.4132,111376244.538,106227031.3017,-3013316.3853,11300186.78,38222817.5,29619631.7988,106459839.2458,140888962.4889,-37076275.2871,,-1187726.4062,146644687.6361,
"Unlabeled","Other IDV",,,,,,,,,,,,347323,2280447,-891803,125925,1451769,7529201.5938,23440404,,,251451813.3876,546062534.8492,340210949.2759,405552605.9401,53305682.2703,19161264.2687,13110173.3221,20688391.1379,19961966.8297,12199393.4076,5550659.0411,20466563.2829,
"Unlabeled","Pur. Order",,,,,,,,,,,1714039.45,2921820.3596,8087252.7902,280142103.8317,479554157.7435,383969981.4306,801244404.9562,1405269727.6378,1873984141.3174,1208789536.0024,901936955.6308,715301799.1891,501914155.5843,232691140.2695,168496862.2423,155988921.7241,86128828.9565,106898147.2631,82867305.4798,83737320.4951,63076810.5397,72112725.2819,
"Unlabeled","Single-Awd.",,,,,,,,,,,162687,609256,5393153,22514290,138743369.9294,5513131391.183,3476508902.9198,3190235031.0506,3581346670.2939,1862065983.8534,1912947137.2405,1472586164.1881,1058030133.0225,444461817.0537,187403045.2434,-55841769.2105,113200354.0388,35880010.2264,11053108.539,-727721.8451,7524090.0659,145189647.0283,
"Unlabeled","Unlbd. IDV",,,,,,,,,,,27732615,9020621,9600283,10814170,11285331,208513,1e+05,670906,,,,,,,,,,,,,,,
"Unlabeled",,12657156369,5733027167,5986408785,5597104734,4027272167,5034572112,5788506977,4097788635,3857386043,1451694736,0,0,0,0,0,4721.8799,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,
