"Shiny.VendorSize","PricingUCA.sum","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Large","UCA",1588552568,792883921,935803112,1419529987,889812676,2720622705.5,1910884649.9062,3167326916.9737,3909298362.4226,2488147018.2158,6493700947.5532,3892828934.1178,3863184145.1911,1597962091.0693,1797989396.5174,255785464.4999,4792710422.7821,2903269794.5368,11733124250.6869,8091205335.0255,9329643870.975,6517128515.6889
"Large","Unclear",4512956100.2366,2536428105.1801,3339070209.8455,3553859702.7448,3653109805.0992,9571340147.0576,3474398071.7905,8570983079.9182,9369243277.12,8494984307.3483,261979056.9209,60810541.2036,205404458.9918,283157973.0125,415767122.1194,618128870.3911,124893552.669,809444984.5718,0,0,-2164.04,0
"Medium","FFP",17278703014.7897,19528065412.1881,23634077690.5086,31448070449.2424,30019293585.9082,31734038569.0512,38970087178.1149,40213242429.5985,50138692227.8795,49026864444.7095,50147260037.3609,48942363654.6316,46012500617.9066,37275556699.3446,36935190232.2226,35154913437.6525,33809827720.3773,38476861461.6909,45396966263.171,51114853780.7466,55428258535.2945,51909199762.9263
"Medium","Less Common",2778231498.5193,3171000537.2822,3597723074.3875,4342075319.9942,4979732941.5131,6092720481.9009,7520195197.9695,6169736771.5584,7911463490.4181,8632355734.8679,6454788134.4945,7143821500.6185,6577790181.4514,6538059280.4623,2575995708.3948,2546594771.352,2720030010.1453,3007123739.3787,3492300423.7824,3939130695.8462,3796544793.0993,3623104796.4543
"Medium","Incentive",753863388,2362916554,1103390960,578748971,811646373.5,2694409691.9526,2957997699.548,1686427454.7614,2461620443.0671,1177336837.4748,4343058889.8171,5633785446.7766,5940927549.6346,4073890233.1467,2292261205.1703,2386942800.4401,2523579821.9677,2000144947.6421,3260269700.3784,2971516076.1483,2236095307.4286,2388330374.8789
"Medium","Other CB",7067889689.4707,11172712341.1738,8221627552.6797,8388476765.9776,9455468417.4761,9153642782.6506,9295963421.2489,9365090202.4124,10608456441.2798,13287225941.6648,14260653108.7033,14424914423.7091,13610236157.9051,12703364986.9857,12656462114.2277,12961850380.3185,13432009286.7795,14396101931.8594,15916870869.4919,17151250609.4257,18218291393.5423,18183549789.8277
"Medium","UCA",378693737,610713078,473252349,308574931.8101,393930023.9511,990876223.4752,687067677.1248,1268533657.984,993998374.909,1763971629.1662,3192799218.3858,3152010691.1211,1403254040.3686,1174269025.4069,787375428.534,77398108.2564,1228213794.6957,1284254618.4135,1789727326.8387,2607133977.4776,1645391409.0706,1506009613.0803
"Medium","Unclear",2842696550.0284,1909958387.8926,2424056624.8455,2373773008.1335,2513390968.4291,7326265945.0024,2141981241.213,7175260623.1463,4954675821.8483,8510585914.8429,103330624.0158,212558737.6084,310364830.2886,106692154.4342,107241062.5665,126160485.6784,106960974.4052,163151874.0651,20204.7109,0,0,0
"Small","FFP",13173992294.7459,14047940425.5767,16923298212.1659,21745582962.1537,22555851315.2809,28469781426.9812,30525278266.8929,35028749365.3618,39117300929.2523,41910116687.8537,42784920938.4596,42082113122.5077,41913003140.3481,34987501364.3841,40545047456.1941,39855780171.4069,42649585175.7116,44546758534.3294,53641416613.7328,54686119566.5558,57323478631.3245,56014121802.1789
"Small","Less Common",1757800582.6258,1969992746.1652,2370252493.7907,3218839381.5343,3480817431.1818,4918875908.9293,5605164001.2207,4430032267.7457,4830316969.476,5457466873.6923,5259499289.8404,4969497810.0849,5297640784.5434,3529872579.8531,3425465910.8456,2603875886.0295,2229394668.447,2704412445.5047,3403867383.4881,3732776465.4717,3184505688.4974,3537186073.7849
"Small","Incentive",68300220,75311813,166650558,336680840,336876565,259311486.3232,367331950.3419,98769842.2133,87040223.6746,118148452.476,541964362.5526,289861425.1248,246370284.9793,311719230.6435,446528110.6332,663769393.2516,736602547.3308,729526361.1741,657206170.8026,608988156.2827,742784640.2354,610590334.8532
"Small","Other CB",3816343291.1025,3775606147.0602,4211830428.6968,4414852533.2132,5082507924.8996,5711630827.2108,6709208665.1585,6100635311.0687,6118586518.1722,6239624574.3931,7560683920.058,8002473986.4781,8154691465.8586,7871799630.441,8506183157.0938,9167538637.7509,10029274187.1422,10337072463.4647,11734892948.6621,13467324589.8256,13444953976.4252,13315284663.5243
"Small","UCA",124077912,145148290,162150591,271199818.0625,426987659.25,498762256.7656,369612998.5853,808733402.4844,863182282.4704,1411423853.2363,1529313893.0349,940377617.0909,612433666.9779,402620759.9673,478589192.191,129664322.2855,756735356.6187,720206392.3303,812717533.2036,776781574.5456,1162025000.1763,825450547.9546
"Small","Unclear",1682857547.3525,1775291506.4906,2333054630.7329,2699810911.2528,2988035384.0576,3623519957.1535,2104604992.7137,3475979382.1838,4020795958.7582,4205749784.2359,323718624.2741,52246108.1892,105188192.4223,58582005.1445,78785053.2646,98835570.3752,152716750.0629,234249730.4399,0,0,-199.72,0
"Unlabeled","FFP",73825048.4,216829228.0601,137457658.7812,467072279.9504,901096611.0791,6762299952.9623,6940908302.2907,7005417406.0813,9137146624.1104,5274423257.5103,4753267522.3169,4210934429.5393,3009711900.4252,1540204597.5986,659953357.7945,546654870.096,687964036.24,504732089.3479,232408605.3226,370392150.1079,78404613.4185,596653129.4008
"Unlabeled","Less Common",6666370,9648178,18519850,15098171,20328195,214464998,4422315,18009,1159998.6158,2687482.288,3690039.082,4584861.5123,2905327.2422,1091298.71,-89697.9597,1051368.1457,563713.6763,79389.7314,-11639,837214,,42977554.1308
"Unlabeled","Incentive",1155000,3555273,1285030,5415031,3e+05,3204919,-4772059,17780.7905,931844,1279344.3438,64600,89000,,,26720,,18909980,11743510,,,,67138274.5
"Unlabeled","Other CB",818622222,1101710994,1417214375,179167981,847170455,147461695,158155583,0,31986402.2463,38101838.2208,47327990.9873,21053125.4849,19379200.7815,-711276.66,-358084.96,-7436043.8732,39150.6908,69967.4981,,,,49178639.7588
"Unlabeled","UCA",,1072657,499693.72,7795000,8501172,63563870,570818,333167.1201,9350221.573,6845686.5938,5369525.3187,2764737.2292,2454242.9351,2824650.19,-9871.49,-43989.34,30102073.5107,410552.6003,308803.8538,-269722.8812,1045063.5078,291001.4587
"Unlabeled","Unclear",192223.05,452047.2995,3202110.0624,127002.1,6661743,11872146.9598,746812.8706,4617421.4977,34602573.1873,-22039937.4441,1622409.375,-231866.0196,-67432.9297,26521.43,0,10000,2333.23,1346533,0,0,314555.625,10000
