"PlatformPortfolio","Competition.effective.only","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Space Systems","Effective Comp.",0.521679419933217,0.619741485734169,0.563258619295505,0.429706435347181,0.564446288595145,0.543631511974156,0.426829717179932,0.505819780230988,0.472584194917359,0.426969170193609,0.431722677905001,0.386234238492064,0.336906804266115,0.372720088696579,0.338891458504274,0.281954967469443,0.347908774313823,0.308271903342759,0.443400773527231,0.385379257516396,0.28928305513751
"Space Systems","Unlabeled",0.00232915645844304,0.000782211786583123,0.00144679328226298,0.000409744830033647,0.000987279015302494,0.000978016823588991,0.00433796622609961,6.37038190904295e-05,4.25377457768541e-05,0.00691418613949423,9.19642505003223e-06,4.14574916707261e-05,0.00465454749681513,-2.71218959154301e-06,0.00019788725831922,0,0.00133552684203104,0.00106565121022466,0.0107705434764359,0.00676436450461392,0.0899528009056862
"Air & Missile
Defense","Not Effective Comp.",0.36341709518576,0.440986818472345,0.324405691120682,0.385999284654819,0.450626544165398,0.461745453919319,0.528877752587524,0.527340607330532,0.562490302787657,0.671742772992256,0.751796405622433,0.74127722367665,0.713125033807851,0.795120326450462,0.693819908583115,0.746712451485291,0.726519137045844,0.71927284905897,0.691575995255077,0.689460660735094,0.765785495076531
"Air & Missile
Defense","Effective Comp.",0.636069674441294,0.558811439724886,0.674389416292577,0.612038966438356,0.539441894556645,0.53201065004708,0.468197547964804,0.458339117117593,0.39421118417536,0.314804971201844,0.249504617073235,0.258202015091051,0.286352810299481,0.204853518222457,0.306337009517336,0.253422192729597,0.27317061250558,0.280268688784797,0.265152045685192,0.305575723765804,0.232078106880284
"Air & Missile
Defense","Unlabeled",0.000513230372945803,0.000201741802769236,0.00120489258674119,0.0019617489068253,0.00993156127795667,0.00624389603360102,0.00292469944767145,0.0143202755518748,0.0432985130369831,0.0134522558059008,-0.00130102269566887,0.000520761232298172,0.000522155892668062,2.61553270811866e-05,-0.000156918100451229,-0.00013464421488766,0.000310250448576503,0.000458462156232963,0.0432719590597313,0.00496361549910213,0.00213639804318448
"Ordnance &
Missiles","Not Effective Comp.",0.591087586406511,0.610758389479154,0.658937302043427,0.670642560658146,0.659071023130407,0.650655543696008,0.672986421945756,0.642177566975442,0.683265620473796,0.719035058890252,0.772797632936335,0.764625536276955,0.746852411565867,0.752724820796913,0.741370530290959,0.761289733311714,0.766483053456528,0.771945289397463,0.78181971374127,0.841401555083057,0.861859140681577
"Ordnance &
Missiles","Effective Comp.",0.406856250730174,0.386082260190657,0.334371580011586,0.321878340434257,0.334406389796098,0.346973221012669,0.32582983386696,0.357587738742185,0.315322735066384,0.280711188235039,0.225765943477003,0.230697770851407,0.251366823792636,0.244226963652398,0.254138028926095,0.230148827019626,0.230720944320144,0.226820301138155,0.148081264174113,0.144658954899806,0.114459726741975
"Ordnance &
Missiles","Unlabeled",0.00205616286331471,0.00315935033018979,0.00669111794498644,0.0074790989075967,0.006522587073495,0.00237123529132276,0.00118374418728314,0.000234694282372239,0.0014116444598195,0.00025375287470863,0.00143642358666187,0.0046766928716375,0.00178076464149623,0.00304821555068898,0.00449144078294571,0.00856143966866055,0.00279600222332753,0.00123440946438213,0.0700990220846164,0.0139394900171366,0.023681132576448
"Electronics,
Comms, & Sensors","Not Effective Comp.",0.385572531897943,0.376294508177537,0.387373010069114,0.395811389157727,0.391296721612789,0.504781236671287,0.485376311199206,0.489431516000074,0.503363427940236,0.503566785697656,0.543567759657971,0.555085152478053,0.564464776115758,0.551130340054669,0.524899128074406,0.525868491203863,0.498984039415565,0.492873317934928,0.502871485634172,0.527078559904204,0.502993582917097
"Electronics,
Comms, & Sensors","Effective Comp.",0.421648094213077,0.435686536109306,0.415485051461333,0.431085123620899,0.461579393913963,0.463730472185177,0.492153948549364,0.500155594915241,0.48596720322862,0.488829258870614,0.450818362486129,0.44096895920469,0.427877615164993,0.43988322771761,0.462999448648644,0.463289719516236,0.490276550811725,0.487704924030225,0.344018590172405,0.450713714149493,0.467405552271891
