Year,Global Vendor Name,Number of Actions,Dollars Obligated,%Total Actions,%Total Dollars
2016,SIERRA NEVADA CORPORATION,710,1109587840.85,5.140666370824937e-5,0.003721420508158627
2016,LEONARDO SPA,2918,1057806822.8599999,2.1127414746573476e-4,0.003547753372320423
2016,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,230,1001805362,1.6652862891404725e-5,0.0033599313926098327
2016,HEWLETT-PACKARD COMPANY,12718,965068769.25,9.208309141429796e-4,0.0032367214000102447
2016,VECTRUS SYSTEMS CORPORATION,336,923378255.44,2.4327660571791253e-5,0.0030968965683237752
2016,JOHNS HOPKINS UNIVERSITY,1600,902172694.98,1.1584600272281549e-4,0.003025775738879223
2016,COMPUTER SCIENCES CORPORATION,1381,880145486.37,9.998958110013011e-5,0.002951899203069361
2016,THE AEROSPACE CORPORATION,18,866e6,1.3032675306316742e-6,0.00290445698972024
2016,AUSTAL LIMITED,184,865867984.47,1.3322290313123781e-5,0.0029040142259455747
2016,THE MITRE CORPORATION,237,791744959.46,1.7159689153317044e-5,0.0026554147593295207
2016,EXPRESS SCRIPTS HOLDING COMPANY,101,789284743.26,7.3127789218777275e-6,0.002647163498199829
2016,FLUOR CORPORATION,400,756279886.9,2.8961500680703873e-5,0.0025364692883274105
2016,ALION SCIENCE AND TECHNOLOGY CORPORATION,1035,741109656.99,7.493788301132127e-5,0.0024855902117711026
2016,ROCKWELL COLLINS  INC.,2576,738922525.74,1.8651206438373294e-4,0.0024782548438190264
2016,ROLLS-ROYCE CORPORATION,611,730936241.75,4.423869228977517e-5,0.0024514698341693195
2016,MACANDREWS & FORBES HOLDINGS INC.,1494,721742542.78,1.0817120504242896e-4,0.0024206353038750926
2016,"CERBERUS CAPITAL MANAGEMENT, L.P.",709,696493704.46,5.1334259956547614e-5,0.0023359538201096885
2016,ROYAL DUTCH SHELL PLC,735,631572370.1,5.321675750079337e-5,0.0021182156868950613
2016,ADVANCED TECHNOLOGY INTERNATIONAL,151,622175650.95,1.0932966506965711e-5,0.0020867002520040044
2016,MANTECH INTERNATIONAL CORPORATION,1342,609862513.3,9.71658347837615e-5,0.0020454035098412676
2016,JACOBS ENGINEERING GROUP INC.,1752,587844421.32,1.2685137298148295e-4,0.001971557550081898
2016,FEDEX CORPORATION,5697184,578505658.31,0.41249749573523803,0.00194023649292285
2016,"ENGILITY HOLDINGS, INC.",2660,573329167.23,1.9259397952668076e-4,0.0019228751814915218
2016,KIEWIT-TURNER A JOINT VENTURE,26,572934475.46,1.8824975442457517e-6,0.001921551434066393
2016,PATRIOT TEAM,857,535675154.62,6.205001520840805e-5,0.0017965882760456458
2016,ACCENTURE INC.,449,510897130.6,3.250928451409009e-5,0.001713485845264647
2016,GOVERNMENT OF CANADA,1691,510250821.42,1.2243474412767562e-4,0.0017113182041383521
2016,CARDINAL HEALTH  INC.,287413,503665681.99,0.020809779487857855,0.00168923246020562
2016,ANHAM FZCO,21190,479660951.55,0.0015342354985602876,0.0016087235605372504
2016,KBR  INC.,781,475357960.93,5.654733007907431e-5,0.001594291861711662
2016,INSIGHT ENTERPRISES  INC.,1649,469670618.91,1.1939378655620171e-4,0.0015752172193526336
2016,CDW CORPORATION,2271,458687959.26,1.6442892011469623e-4,0.0015383827359967894
2016,WORLD WIDE TECHNOLOGY HOLDING CO.  INC.,2301,445846984.99,1.66601032665749e-4,0.001495315695034527
2016,VSE CORPORATION,1784,438467910.33,1.2916829303593927e-4,0.0014705671904457227
2016,VERIZON COMMUNICATIONS INC.,17032,425674089.69,0.0012331806989843708,0.0014276582969317791
2016,CSC GOVERNMENT SOLUTIONS LLC,654,416335965.05,4.735205361295083e-5,0.001396339380786829
2016,CHUGACH ALASKA CORPORATION,1463,405068216.21,1.0592668873967441e-4,0.001358548743515755
2016,JOHNS HOPKINS HEALTH SYS CORP,13,3959e5,9.412487721228759e-7,0.001327799679249703
2016,HEWLETT PACKARD ENTERPRISE COMPANY,5822,379100091.54,4.2153464240764487e-4,0.0012714548622135518
2016,VIASAT  INC.,491,376835818.73,3.5550242085564e-5,0.0012638607710014987
2016,PARSONS CORPORATION,669,375465303.67,4.843810988847722e-5,0.0012592642328426837
2016,THE CHARLES STARK DRAPER LABORATORY INC,284,362647915.06,2.056266548329975e-5,0.0012162762952696176
2016,BP PRODUCTS NORTH AMERICA INC,199,361041359.63,1.4408346588650176e-5,0.0012108881068769656
2016,METLIFE  INC.,62,355231339.59,4.4890326055091e-6,0.0011914020175979904
2016,THE BAHRAIN PETROLEUM COMPANY BSC (CLOSED),1643,348889637.34,1.1895936404599116e-4,0.0011701327318858227
2016,"MICHAEL BAKER INTERNATIONAL, LLC",70,348338911.71,5.0682626191231775e-6,0.0011682856661751166
2016,SERCO GROUP PLC,1003,346712005.02,7.262096295686496e-5,0.0011628292221711985
2016,CUBIC CORPORATION,777,344081206.28,5.625771507226727e-5,0.0011540058482809672
2016,MARTIN'S POINT HEALTH CARE  INC.,15,329475516.84,1.0860562755263951e-6,0.0011050201707016472
2016,MARITIME HELICOPTER SUPPORT COMPANY LLC,22,309184149.75,1.592882537438713e-6,0.0010369654328546154
2016,DELOITTE LLP,385,308038147.5,2.7875444405177476e-5,0.0010331218829178397
2016,TORCH TECHNOLOGIES  INC.,600,300963635.03,4.3442251021055804e-5,0.0010093948422800168
2016,INTERNATIONAL BUSINESS MACHINES CORPORATION,385,297087644.86,2.7875444405177476e-5,9.963952501999438e-4
2016,CISCO SYSTEMS  INC.,57,290923747.64,4.127013847000302e-6,9.757223005873038e-4
2016,REDSTONE DEFENSE SYSTEMS,554,290605504.35,4.011167844277486e-5,9.746549519174748e-4
2016,GEORGIA TECH RESEARCH CORPORATION,689,286807506.94,4.988618492251242e-5,9.619169379169967e-4
2016,AT&T INC.,7848,282701717.22,5.6822464335541e-4,9.481466265421984e-4
2016,GREAT LAKES DREDGE & DOCK CORPORATION,134,278063373.04,9.702102728035798e-6,9.325901933154903e-4
2016,CARAHSOFT TECHNOLOGY CORPORATION,1884,277765078.47,1.3640866820611525e-4,9.315897501875086e-4
2016,KRATOS DEFENSE & SECURITY SOLUTIONS  INC.,542,275580760.09,3.924283342235375e-5,9.242638162538302e-4
2016,INTUITIVE RESEARCH AND TECHNOLOGY CORPORATION,363,272288917.07,2.6282561867738764e-5,9.132233815326977e-4
2016,SUPPLYCORE INC.,74351,270684108.45,0.005383291342777534,9.078410517249353e-4
2016,GOVERNMENT OF ABU DHABI,94,270209468.86,6.80595265996541e-6,9.062491691905549e-4
2016,BATTELLE MEMORIAL INSTITUTE INC,1126,267446995.36,8.15266244161814e-5,8.9698417442613e-4
2016,SODEXO,132,264832955.23,9.557295224632277e-6,8.882170068430032e-4
2016,SHAW INFRASTRUCTURE  INC.,525,258821552.22,3.8011969643423835e-5,8.680555039672299e-4
2016,ARCTIC SLOPE REGIONAL CORPORATION,1120,258404975.51,8.109220190597084e-5,8.666583571576292e-4
2016,DATA LINK SOLUTIONS L.L.C.,361,258324905.99,2.6137754364335244e-5,8.663898138816159e-4
2016,MICROSOFT CORPORATION,345,257269820.55,2.497929433710709e-5,8.628511876911308e-4
2016,CH2M HILL COMPANIES  LTD.,788,252032217.61,5.7054156340986624e-5,8.452849146328604e-4
2015,LOCKHEED MARTIN CORPORATION,66353,29405035099.95,0.0050385000000000004,0.10771280000000001
2015,THE BOEING COMPANY,12645,14617281593.03,9.601999999999999e-4,0.0535442
2015,RAYTHEON COMPANY,10008,12369896493.05,7.599999999999999e-4,0.045311899999999995
2015,GENERAL DYNAMICS CORPORATION,20822,11806173874.13,0.0015811,0.043246900000000005
2015,NORTHROP GRUMMAN CORPORATION,10397,9513579686.04,0.00078949999999999995,0.034849
2015,UNITED TECHNOLOGIES CORPORATION,24626,6699330240.58,0.00187,0.0245401
2015,L-3 COMMUNICATIONS HOLDINGS  INC.,7622,5040999557.56,5.788e-4,0.0184656
2015,BAE SYSTEMS PLC,10133,4294755447.9,7.693999999999999e-4,0.015732
2015,HUMANA INC.,206,3553902730.76,1.56e-5,0.0130182
2015,HUNTINGTON INGALLS INDUSTRIES  INC.,2729,3079363549.22,2.072e-4,0.0112799
2015,BECHTEL GROUP  INC.,155,2916483132.67,1.18e-5,0.0106833
2015,HEALTH NET  INC.,120,2764954879.23,9.1e-6,0.0101282
2015,UNITEDHEALTH GROUP INCORPORATED,207,2632864042.66,1.57e-5,0.0096444
2015,GENERAL ATOMIC TECHNOLOGIES CORPORATION,730,2302782829.99,5.54e-5,0.0084353
2015,MCKESSON CORPORATION,37139,2151090018.64,0.0028201,0.0078796
2015,BELL BOEING JOINT PROJECT OFFICE,2570,2043291313.12,1.952e-4,0.0074846999999999995
2015,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,64563,1921173837.58,0.0049026,0.0070374
2015,AMERISOURCEBERGEN CORPORATION,207112,1860713738.88,0.015727,0.006815900000000001
2015,UNITED LAUNCH ALLIANCE  L.L.C.,74,1723432101.78,5.6e-6,0.0063131
2015,BOOZ ALLEN HAMILTON HOLDING CORPORATION,4137,1709241519.29,3.141e-4,0.0062611
2015,HARRIS CORPORATION,3094,1589976165.98,2.35e-4,0.005824199999999999
2015,TEXTRON INC.,4453,1584726253.59,3.381e-4,0.005805
2015,"LEIDOS HOLDINGS, INC",4145,1532685593.02,3.147e-4,0.0056143
2015,GENERAL ELECTRIC COMPANY,4734,1502229781.25,3.595e-4,0.0055027999999999995
2015,CERBERUS CAPITAL MANAGEMENT  L.P.,1573,1445921919.9,1.202e-4,0.0052672
2015,OSHKOSH CORPORATION,7322,1408755629.01,5.56e-4,0.005160400000000001
2015,COMPUTER SCIENCES CORPORATION,2742,1327098282.4,2.0820000000000002e-4,0.0048613
2015,CACI INTERNATIONAL INC,2209,1257434220.98,1.677e-4,0.0046061
2015,ALLIANT TECHSYSTEMS INC.,1108,1164515507.83,8.410000000000001e-5,0.0042657
2015,HEWLETT-PACKARD COMPANY,18424,1143875462.2,0.001399,0.0041900999999999996
2015,MACANDREWS & FORBES HOLDINGS INC.,2174,1114068127.96,1.66e-4,0.004053299999999999
2015,ATLANTIC DIVING SUPPLY  INC.,20696,1077054175.99,0.0015715000000000002,0.0039453
2015,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,200,967553608.22,1.52e-5,0.0035442
2015,SIERRA NEVADA CORPORATION,764,928013793.65,5.7999999999999994e-5,0.0033994000000000003
2015,HONEYWELL INTERNATIONAL INC.,6194,896918452.57,4.7030000000000005e-4,0.0032855000000000002
2015,VECTRUS SYSTEMS CORPORATION,499,893275093.67,3.79e-5,0.0032721
2015,ROYAL DUTCH SHELL PLC,769,889088412.24,5.8399999999999997e-5,0.0032568000000000002
2015,CARDINAL HEALTH  INC.,313825,882705392.83,0.023830200000000003,0.0032334
2015,THE BAHRAIN PETROLEUM COMPANY BSC (CLOSED),103,864975051.99,7.8e-6,0.0031685000000000003
2015,AUSTAL LIMITED,127,845997862.19,9.6e-6,0.003099
2015,THE AEROSPACE CORPORATION,24,840444751.69,1.8000000000000001e-6,0.0030786000000000003
2015,FLUOR CORPORATION,444,778467547.89,3.37e-5,0.0028516
2015,EXXON MOBIL CORPORATION,278,770793543.46,2.1099999999999998e-5,0.0028235
2015,ROCKWELL COLLINS  INC.,2193,769507374.17,1.665e-4,0.0028188
2015,JOHNS HOPKINS UNIVERSITY,1536,761023695.47,1.166e-4,0.0027877
2015,THE MITRE CORPORATION,192,754934014.1,1.4599999999999999e-5,0.0027654
2015,NAVISTAR INTERNATIONAL CORPORATION,1216,722795893.48,9.260000000000001e-5,0.0026215
2015,INSIGHT ENTERPRISES  INC.,2067,718991955.14,1.576e-4,0.0026005
2015,JACOBS ENGINEERING GROUP INC.,2309,717534628.72,1.753e-4,0.0026284000000000004
2015,ALION SCIENCE AND TECHNOLOGY CORPORATION,1099,693251139.72,8.35e-5,0.0025394
2015,VALERO ENERGY CORPORATION,409,645962647.93,3.11e-5,0.0023662
2015,AECOM TECHNOLOGY CORPORATION,2158,640999985.27,1.6389999999999997e-4,0.0023480000000000003
2015,FEDEX CORPORATION,6157422,639200143.72,0.4675626,0.0023414
2015,GILBANE  INC.,688,637407552.63,5.26e-5,0.0023001000000000002
2015,CDW CORPORATION,3630,620506250.86,2.769e-4,0.0022402999999999998
2015,MANTECH INTERNATIONAL CORPORATION,1504,613961808.52,1.142e-4,0.0022489999999999997
2015,ACCENTURE INC.,762,606214682.02,5.81e-5,0.0021882
2015,FINMECCANICA SPA,2466,591883310.02,1.8769999999999998e-4,0.0021390000000000003
2015,KBR  INC.,935,569707504.37,7.14e-5,0.0020518
2015,EUROPEAN AERONAUTIC DEFENCE AND SPACE COMPANY EADS N.V.,335,556872920.86,2.54e-5,0.0020399
2015,AEROSPACE TESTING ALLIANCE,56,546629951.45,4.3e-6,0.0019657999999999998
2015,EXPRESS SCRIPTS HOLDING COMPANY,133,542892294.96,1.01e-5,0.0019887
2015,PATRIOT TEAM,668,540062440.73,5.07e-5,0.0019783
2015,ARCTIC SLOPE REGIONAL CORPORATION,1232,536933120.3199999,9.400000000000001e-5,0.0019317000000000002
2015,MARITIME HELICOPTER SUPPORT COMPANY LLC,52,534389494.41,4e-6,0.001925
2015,CARAHSOFT TECHNOLOGY CORPORATION,3324,532336968.68,2.538e-4,0.0019142999999999999
2015,ROLLS-ROYCE CORPORATION,830,529146477.53,6.3e-5,0.0019383
2015,THE CHARLES STARK DRAPER LABORATORY INC,192,517908128.19,1.4599999999999999e-5,0.0018970999999999999
2015,EXELIS INC.,1917,517114023.62,1.456e-4,0.0018942
2015,DELOITTE LLP,843,516025384.52,6.44e-5,0.0018564999999999999
2015,GREAT LAKES DREDGE & DOCK CORPORATION,101,499549010.23,7.699999999999999e-6,0.0018299000000000002
2015,ANHAM FZCO,20267,478876378.69,0.001539,0.0017542
2015,URS CORPORATION,656,461627451.16,4.98e-5,0.001691
2015,WYLE SERVICES CORPORATION,1193,443143713.48,9.06e-5,0.0016233
2015,HENSEL PHELPS CONSTRUCTION CO,212,436644793.32,1.6100000000000002e-5,0.0015995
2015,STERLING PARENT INC.,1139,419996570.78,8.7e-5,0.0015045
2015,REDSTONE DEFENSE SYSTEMS,634,409086090.3,4.8100000000000004e-5,0.0014985
2015,ADVANCED TECHNOLOGY INTERNATIONAL,125,405662893.95,9.5e-6,0.0014860000000000001
2015,CUBIC CORPORATION,612,378395964.46,4.65e-5,0.0013861000000000001
2015,CHUGACH ALASKA CORPORATION,1555,376039697.85,1.181e-4,0.0013775
2015,STEYR TRUCKS INTERNATIONAL FZE,8,373996218,6e-7,0.0013700000000000001
2015,WORLD WIDE TECHNOLOGY HOLDING CO.  INC.,2252,371558518.07,1.71e-4,0.001361
2015,S-OIL CORPORATION,75,355897098.89,5.7e-6,0.0013037
2015,ENGILITY CORP.,1473,351129648.56,1.1190000000000001e-4,0.0012862000000000001
2015,METLIFE  INC.,54,350708878.12,4.1e-6,0.0012847
2015,A.P. MOLLER - MARSK A/S,17150,345088064.71,0.0013023000000000002,0.0012641
2015,AAR CORP.,4466,332482774.02,3.391e-4,0.0012179
2015,"JOHNS HOPKINS HEALTH SYSTEM CORPORATION, THE",13,3215e5,1e-6,0.0011777
2015,GOVERNMENT OF CANADA,1440,321444446.31,1.093e-4,0.0011775
2015,THE INTERPUBLIC GROUP OF COMPANIES INC,294,321381315.77,2.2300000000000003e-5,0.0011772
2015,BATTELLE MEMORIAL INSTITUTE INC,1245,309631515.24,9.45e-5,0.0011342000000000001
2015,MANSON CONSTRUCTION CO.,89,294673562.68,6.8e-6,0.0010793999999999999
2015,THE WHITING-TURNER CONTRACTING COMPANY,136,277992376.98,1.0300000000000001e-5,0.0010183
2015,SODEXO,126,273535190.08,9.6e-6,0.001002
2015,TOTAL SA,3440,272759476.23,2.612e-4,9.991e-4
2015,AASKI TECHNOLOGY INC,167,269299574.7,1.27e-5,9.865e-4
2015,MARTIN'S POINT HEALTH CARE  INC.,12,2667e5,9.000000000000001e-7,9.769e-4
2015,INTERNATIONAL BUSINESS MACHINES CORPORATION,482,265650029.84,3.66e-5,9.731e-4
2015,MISSION ESSENTIAL PERSONNEL  LLC,90,257451581.21,6.9e-6,9.067999999999999e-4
2015,NEPTUNE ORIENT LINES LIMITED,11986,256632740.95,9.21e-4,9.039e-4
2014,LOCKHEED MARTIN CORPORATION,18634,25065461247.84,0.0014318,0.0882882
2014,THE BOEING COMPANY,12663,18005350332.68,9.73e-4,0.0634203
2014,GENERAL DYNAMICS CORPORATION,16329,13630604800.84,0.0012547,0.048011200000000004
2014,RAYTHEON COMPANY,10275,11816577883.63,0.00078950000000000005,0.0416216
2014,NORTHROP GRUMMAN CORPORATION,10194,9213821365.01,7.833e-4,0.03245390000000001
2014,UNITED TECHNOLOGIES CORPORATION,9296,6117086747.690001,7.143e-4,0.0215462
2014,L-3 COMMUNICATIONS HOLDINGS  INC.,8499,5288631065.98,6.531000000000001e-4,0.018628199999999998
2014,BAE SYSTEMS PLC,9340,4876213940.43,7.177e-4,0.0171755
2014,HUNTINGTON INGALLS INDUSTRIES  INC.,3116,4025292235.52,2.394e-4,0.0141783
2014,HUMANA INC.,231,3527209086.24,1.77e-5,0.012423900000000002
2014,UNITEDHEALTH GROUP INCORPORATED,243,3203771598.01,1.87e-5,0.011284700000000002
2014,HEALTH NET  INC.,129,3086459475.28,9.9e-6,0.010871500000000001
2014,SAIC  INC.,13789,2988612860.95,0.0010595000000000001,0.010526800000000001
2014,UNITED LAUNCH ALLIANCE  L.L.C.,89,2519158433.33,6.8e-6,0.0088732
2014,BECHTEL GROUP  INC.,153,2476019275.51,1.18e-5,0.0087213
2014,GENERAL ELECTRIC COMPANY,4649,2200317806.74,3.572e-4,0.0077502000000000005
2014,BOOZ ALLEN HAMILTON HOLDING CORPORATION,4507,2166187575.84,3.463e-4,0.0076300000000000005
2014,EXELIS INC.,2583,2105471497.3,1.985e-4,0.0074161
2014,BELL BOEING JOINT PROJECT OFFICE,2859,2018971983.94,2.197e-4,0.0071114
2014,HEWLETT-PACKARD COMPANY,42041,1766447587.13,0.0032304,0.006222
2014,MCKESSON CORPORATION,16139,1663708861.81,0.0012401,0.0058601
2014,ROYAL DUTCH SHELL PLC,489,1606631098.63,3.76e-5,0.005659
2014,TEXTRON INC.,3717,1584800612.37,2.856e-4,0.005582200000000001
2014,GENERAL ATOMIC TECHNOLOGIES CORPORATION,707,1577207888.26,5.43e-5,0.0055554
2014,COMPUTER SCIENCES CORPORATION,2592,1523472772.36,1.992e-4,0.0053661
2014,AMERISOURCEBERGEN CORPORATION,68252,1468704529.13,0.0052444,0.0051732
2014,CACI INTERNATIONAL INC,2734,1465494053.95,2.101e-4,0.0051619000000000005
2014,URS CORPORATION,2588,1226800302.53,1.989e-4,0.0043212
2014,HONEYWELL INTERNATIONAL INC.,6282,1143718543.59,4.827e-4,0.0040285
2014,ALLIANT TECHSYSTEMS INC.,1023,1124202961.56,7.860000000000001e-5,0.0039598
2014,HARRIS CORPORATION,3053,1102221228.06,2.346e-4,0.0038824
2014,CARDINAL HEALTH  INC.,64950,989787643.82,0.0049907,0.0034863
2014,ANHAM FZCO,16323,985900614.11,0.0012542,0.0034726
2014,ATLANTIC DIVING SUPPLY  INC.,6716,984580065.4,5.16e-4,0.003468
2014,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,154,952819502.38,1.18e-5,0.0033561000000000003
2014,VALERO ENERGY CORPORATION,171,943737879.76,1.31e-5,0.0033241
2014,FLUOR CORPORATION,407,918934005.59,3.13e-5,0.0032368
2014,EXXON MOBIL CORPORATION,183,878349559.83,1.41e-5,0.0030938
2014,CERBERUS CAPITAL MANAGEMENT  L.P.,1175,862503973.3100001,9.03e-5,0.0030380000000000003
2014,ALION SCIENCE AND TECHNOLOGY CORPORATION,1262,859389290.41,9.7e-5,0.003027
2014,FOSTER FUELS  INC.,594,858803853.98,4.56e-5,0.003025
2014,ROCKWELL COLLINS  INC.,2064,842775758.28,1.5859999999999998e-4,0.0029685000000000002
2014,JACOBS ENGINEERING GROUP INC.,2568,826612027.14,1.973e-4,0.0029116
2014,JOHNS HOPKINS UNIVERSITY,1418,799720741.47,1.0899999999999999e-4,0.0028169
2014,THE MITRE CORPORATION,240,781981688.66,1.84e-5,0.0027544
2014,MANTECH INTERNATIONAL CORPORATION,1703,746066693.08,1.3089999999999998e-4,0.0026279000000000003
2014,AUSTAL LIMITED,65,736670625.82,5e-6,0.0025948
2014,THE AEROSPACE CORPORATION,20,729239965.95,1.4999999999999998e-6,0.0025686
2014,EXPRESS SCRIPTS HOLDING COMPANY,96,707183500.41,7.4e-6,0.0024909
2014,A.P. MOLLER - MARSK A/S,19450,681547990.11,0.0014945,0.0024006
2014,ROLLS-ROYCE CORPORATION,610,667535128.12,4.6899999999999995e-5,0.0023513
2014,SIERRA NEVADA CORPORATION,699,665081373.29,5.37e-5,0.0023426
2014,FEDEX CORPORATION,6734085,663169674.15,0.5174384,0.0023359
2014,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,12409,651140480.3,9.535e-4,0.0022935
2014,THE BAHRAIN PETROLEUM COMPANY BSC (CLOSED),51,636052238.04,3.9e-6,0.0022404
2014,RED STAR ENTERPRISES LTD,28,583986658.18,2.2e-6,0.002057
2014,FINMECCANICA SPA,2340,572347954.76,1.798e-4,0.002016
2014,WFS UK HOLDING PARTNERSHIP II LP,145,543415197.28,1.11e-5,0.0019141
2014,OSHKOSH CORPORATION,2578,540546642.89,1.9810000000000002e-4,0.001904
2014,WYLE SERVICES CORPORATION,1075,507663062.47,8.26e-5,0.0017881
2014,GOVERNMENT OF CANADA,1132,507077901.46,8.7e-5,0.0017860999999999999
2014,VERITAS CAPITAL FUND II L.P.  THE,292,502501437.31,2.24e-5,0.0017699999999999999
2014,S-OIL CORPORATION,33,501822573.48,2.5e-6,0.0017676
2014,PATRIOT TEAM,534,483688957.56,4.1e-5,0.0017036999999999998
2014,HENSEL PHELPS KIEWIT JOINT VENTURE,20,439167037,1.4999999999999998e-6,0.0015469
2014,THE CHARLES STARK DRAPER LABORATORY INC,185,431758385.77,1.42e-5,0.0015207999999999999
2014,VERIZON COMMUNICATIONS INC.,32592,420955758.92,0.0025042999999999997,0.0014827000000000002
2014,AL RAHA GROUP FOR TECHNICAL S ERVICES,75,420746560.78,5.8e-6,0.001482
2014,ADVANCED TECHNOLOGY INTERNATIONAL,141,411022171.26,1.08e-5,0.0014477000000000001
2014,JOHNS HOPKINS HEALTH SYS CORP,18,404524103.65,1.4e-6,0.0014249
2014,CHEVRON CORPORATION,394,403986040.48,3.03e-5,0.001423
2014,CUBIC CORPORATION,650,399666190.17,4.989999999999999e-5,0.0014077
2014,INTERNATIONAL BUSINESS MACHINES CORPORATION,580,392653657.2,4.460000000000001e-5,0.0013830000000000001
2014,BECHTEL PARSONS BLUE GRASS  A JOINT VENTURE,25,375897555.65,1.9e-6,0.0013239999999999999
2014,REDSTONE DEFENSE SYSTEMS,723,361309425.81,5.5599999999999996e-5,0.0012726
2014,GREAT LAKES DREDGE & DOCK CORPORATION,109,361282430.15,8.400000000000001e-6,0.0012725
2014,BATTELLE MEMORIAL INSTITUTE INC,1439,350152874.23,1.106e-4,0.0012332999999999999
2014,MARTIN'S POINT HEALTH CARE  INC.,19,342569543.77,1.4999999999999998e-6,0.0012066
2014,METLIFE  INC.,61,340001805.59,4.7e-6,0.0011976
2014,WESTERN REFINING  INC.,174,325234159.8,1.34e-5,0.0011455999999999999
2014,ADNOC DISTRIBUTION,23,321669648.85,1.8000000000000001e-6,0.001133
2014,CDW CORPORATION,2183,314602759.57,1.677e-4,0.0011081
2014,AAR CORP.,1310,310015110.79,1.0070000000000001e-4,0.001092
2014,NANA REGIONAL CORPORATION  INC.,1024,308529872.98,7.87e-5,0.0010867000000000001
2014,EUROPEAN AERONAUTIC DEFENCE AND SPACE COMPANY EADS N.V.,515,305167508.26,3.96e-5,0.0010749
2014,SODEXO,1875,300230246.17,1.4409999999999998e-4,0.0010575
2014,CHUGACH ALASKA CORPORATION,1284,299068670.55,9.87e-5,0.0010534000000000001
2014,THE INTERPUBLIC GROUP OF COMPANIES INC,351,299030417.86,2.7000000000000002e-5,0.0010532999999999999
2014,CH2M HILL COMPANIES  LTD.,896,298363345.57,6.879999999999999e-5,0.0010509
2014,KONGSBERG GRUPPEN ASA,236,298054546.92,1.81e-5,0.0010498
2014,WORLD WIDE TECHNOLOGY HOLDING CO.  INC.,2080,289281561.05,1.598e-4,0.0010188999999999999
2014,ENGILITY CORP.,1142,288969257.32,8.77e-5,0.0010178
