"SpaceParentID","TopCAU","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"SIERRA NEVADA","Other Labeled",,99819,,,,,8100000,1900000,,,1471429.1563,610156,212218,2740763,313791,2118897,778057
"SPACEX","CONT_AWD_80MSFC20C0034_8000_-NONE-_-NONE-",,,,,,,,,,,,,,94778203,344832713.24,818789100,911559648
"SPACEX","CONT_AWD_NNK17MA01T_8000_NNK14MA74C_8000",,,,,,,,,,,0,0,105836240,-53918200,411199849,487366208,582993012
"SPACEX","CONT_IDV_NNJ09GA04B_8000",,,25070000,114587767,193958881.51,244671571.8,323337816.1,325834103.9,487835459.06,314775376.85,346126611.59,307792197.62,267212682.72,60192795.43,,,-0.5
"SPACEX","CONT_IDV_NNJ16GX08B_8000",,,,,,,,,,76159856,58988925,130859909,406106763.9,439167434.83,556011184.14,471094442.21,464613844
"SPACEX","Other Labeled",,20000,587217.65,754625,623296,11605455,270904686,42299799,30770241,263624405,218614574.25,347155241.97,443425726.47,542246803.54,827687139.1138,958778384.6675,1118497499.5893
"UNITED LAUNCH ALLIANCE","CONT_AWD_FA881113C0003_9700_-NONE-_-NONE-",,,,,,,525500000,2446379853.9961,1712430554.68,1451459075.8302,1767260082.2,930846616.51,624470111.5,14683281.3,32866005.35,24422337,-9015999.5
"UNITED LAUNCH ALLIANCE","CONT_AWD_FA881119C0002_9700_-NONE-_-NONE-",,,,,,,,,,,,,470095055,433110494.45,202109782.66,284176789.18,205927236
"UNITED LAUNCH ALLIANCE","CONT_AWD_FA881123F0024_9700_FA881120D0001_9700",,,,,,,,,,,,,,,,,123233000
"UNITED LAUNCH ALLIANCE","CONT_AWD_FA881123F0033_9700_FA881120D0001_9700",,,,,,,,,,,,,,,,,128571760
"UNITED LAUNCH ALLIANCE","CONT_AWD_FA881606C0002_9700_-NONE-_-NONE-",,,457683517.51,1021773469.6953,751729852.6761,42615086.7304,-10631817.07,0,-5128438.75,,,,2768187.02,,,,-424307.875
"UNITED LAUNCH ALLIANCE","CONT_IDV_NNK10LB00B_8000",,,,0,10305923,199613568,193481745,324328504,347622222,305989005,167080500,296720345,212693075,275796019,85292104,40676271,10898485
"UNITED LAUNCH ALLIANCE","Other Labeled",,106995229,1086916415.01,373637653.05,1114040832.3838,2500676857.458,839572604.82,113103397,40021685.1,105346673.3447,314913857,510406124.72,327014098.92,570832284.72,402215073.19,773423301.82,598477748.414
"Virgin Orbit","CONT_AWD_FA881820F0007_9700_FA881820D0007_9700",,,,,,,,,,,,,,50000,,,
"Virgin Orbit","CONT_AWD_FA881820F0009_9700_FA881820D0007_9700",,,,,,,,,,,,,,3.5e+07,2249791,0,-210426
"Virgin Orbit","CONT_IDV_FA881820D0007_9700",,,,,,,,,,,,,,0,0,0,0
"WYLE LABORATORIES","CONT_AWD_JSC00199702DNAS997029_8000_-NONE-_-NONE-",-336446.99,,,,,,,,,,,,,,,,
"WYLE LABORATORIES","CONT_AWD_JSC00199707DNAS997114_8000_-NONE-_-NONE-",-451267.39,,,,,,,,,,,,,,,,
"WYLE LABORATORIES","CONT_IDV_NNJ15HK11B_8000",,,,,,,,,8883660.88,113321401.43,123974497.34,138243172.07,142282971.62,150144801.24,153857506.88,,
"WYLE LABORATORIES","Other Labeled",,,-5133.5698,705840,537941,984326,662137,-533595,404100,438789,532345,0,,,,,
