"SpaceParentID","SpaceArea","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"JOHNS HOPKINS UNIVERSITY","R&D (Defense)",70912645,47180609,19846532.4123,37525330.4042,29202782.8887,22869785.2844,21287965.01,16385645.99,19579950.36,11909389.4018,6830574.5565,13169035.9298,54123979.5047,56227970.3372,,,
"JOHNS HOPKINS UNIVERSITY","R&D (Space Flight)",1380500,,5172587,5832014,-308159.7202,-2924,0,0,3156.68,397037,810000,2025592,198207,-198207,86141574.125,322071693.9688,463730916.9551
"LORAL SPACE","Other Products",947948.18,0,87018144.98,5405366.04,6750505,322792,0,,0,,,,,,,,
"LORAL SPACE","Other Services",1171383.3,,,,,,,,,,,,,,,,
"LORAL SPACE","R&D (All Other)",-1091979.84,,50000,,,2269319,,,,,,,,,,,
"LORAL SPACE","R&D (Defense)",53453291,,25000,22289453.0525,24954492.6406,10174724.385,125848.59,,,,,,,,,,
"LORAL SPACE","Space Vehicles and Components",715391,,,,,,,,,,,,,,,,
"MAXAR TECHNOLOGIES","R&D (All Other)",,,,,,,,,,,,,,1456970,275177,99299,953894
"MAXAR TECHNOLOGIES","R&D (Defense)",,,,,,,,,,,,574671,0,,,,
"MAXAR TECHNOLOGIES","R&D (Space Flight)",,,,,,,,,,,,499886,151162315.43,92040334.37,81884308.2,189619023,177764326
"MAXAR TECHNOLOGIES","Space Transp. and Launch",,,,,,,,,,,,,20650088,29703228,5885887,12241052.25,2637413
"MAXAR TECHNOLOGIES","Space Vehicles and Components",,,,,,,,,,,,21251000,55050000,379874,5598635,5e+06,4310260
"MDA","R&D (All Other)",,,,,,,0,837665.34,,,,,,,,,
"MDA","R&D (Defense)",,,,,,,4150000,4400000,,,,,,,,,
"MDA","R&D (Space Flight)",27500,-1458.35,1458.35,50000,0,,,949851,0,1152922,2983409,249996,,,,,
"MDA","Space Transp. and Launch",,,,,,,,889426,0,50000,,,,,,,
"MDA","Space Vehicles and Components",,,,940000,1822031.3125,558406.6875,,,,-36909.03,20950000,,,,,,
"NORTHROP GRUMMAN","Other Products",6404278,2826713,2827408,100059,112150,-267198.7813,-85803,,590016.53,,,,150000,,,,
"NORTHROP GRUMMAN","Other Services",1279200,2251544,587872.72,95000,,,,41179.3,8599816.3,43424395.5625,,5879119,0,,,633369,829371
"NORTHROP GRUMMAN","R&D (All Other)",606599255.14,697162359.96,658995047.82,661006281.5192,141258495.8669,31079700.9306,1848482.06,6955963.6,12383457.5496,3184760.6079,-5440129.69,1902930.17,98763107.28,310179494.4,520463151.87,718727874.33,1039129737.843
"NORTHROP GRUMMAN","R&D (Defense)",422439069.8303,384800917.0903,243040381.3966,314491081.4684,306337174.9599,319702466.2053,257865732.45,247004213.12,99699628.4706,161502313.4646,212204977.7094,318069842.7,374179882.7484,469750038.076,46998847.89,32027357.285,-249942.7031
"NORTHROP GRUMMAN","R&D (Space Flight)",227583859.88,298184254.7,307561285.27,256561259,269417903.3101,279280331.5625,339180918.24,371591852.21,328751427.3502,316833641.7158,307253224.3281,250950653.59,473860552.7298,544225703.6893,466678984.5098,329818741.3194,412553271.9619
"NORTHROP GRUMMAN","Space Transp. and Launch",,,,,,,,,,,,,497998484.5,491819110.76,412754947.64,489618246.73,496133620
"NORTHROP GRUMMAN","Space Vehicle Services",,,,,,,,,,,,,,,,0,0
"NORTHROP GRUMMAN","Space Vehicles and Components",34046526,32921892,29038670,26525763.84,31085976.4766,32150186.4375,59034378,44364656.6,74812031,119879151.0469,107232500,69641590.78,136686906.11,104645184.9,229920168,54846356.14,68571351.6138
"ORBITAL SCIENCES","Other Products",50567843.4902,11651696,77246677.6875,48506751.9766,70369166.4923,150394208.8701,144128457.84,157650930.91,,,,,,,,,
"ORBITAL SCIENCES","Other Services",2645015.3076,3492351.1201,2113127.0587,4049438.7447,6799908.1562,4323670.7188,9307283.48,3639986.31,,,,,,,,,
"ORBITAL SCIENCES","R&D (All Other)",,50000,127019,14315698,58052199.375,56244209.9845,64644732.14,72600360.53,,,,,,,,,
"ORBITAL SCIENCES","R&D (Defense)",108156204.77,140965455.4219,118267959.0023,166468826.6415,28417994.5791,89269601.6218,20271859.66,4442031.94,,,,,,,,,
"ORBITAL SCIENCES","R&D (Space Flight)",-4e+05,348566,922698,4e+05,615066,,,0,,,,,,,,,
"ORBITAL SCIENCES","Space Transp. and Launch",104129,26574374.65,71834080,189539855.2344,282574090.62,327446549.8807,119339222.81,544408271.96,,,,,,,,,
"ORBITAL SCIENCES","Space Vehicle Services",,,,,,,4e+05,4e+05,,,,,,,,,
"ORBITAL SCIENCES","Space Vehicles and Components",20314999.48,10324113,19415000,194079,16946342,40314235,40622238,69996888.75,,,,,,,,,
"ORBITAL SCIENCES",,0,,,,,,,,,,,,,,,,
"Orbital ATK","R&D (All Other)",,,,,,,,,58509569.4337,47099345.9766,56088602.084,57048985.43,,,,,
"Orbital ATK","R&D (Defense)",,,,,,,,,33075492.96,23884159.4346,87732075.2849,111848423.6315,,,,,
"Orbital ATK","R&D (Space Flight)",,,,,,,,,1674286.81,10814447.3902,23746967.6988,310981808.65,,,,,
"Orbital ATK","Space Transp. and Launch",,,,,,,,,370259829.17,618845533.37,479194216.5,293306129.78,,,,,
"Orbital ATK","Space Vehicle Launchers",,,,,,,,,239032007,261232007,264280295,,,,,,
"Orbital ATK","Space Vehicle Services",,,,,,,,,198193.68,-21690.99,0,114872,102529,23205,415901,333618,0
"Orbital ATK","Space Vehicles and Components",,,,,,,,,81021507.67,56004137,197284188.2187,345376491.3491,,,,,
"RUSSIA SPACE AGENCY","R&D (All Other)",,,,341238820,414009402.3398,586488883.3809,285001263,312278472.29,459872927.3633,235823637.5215,254927244.2813,,,,,,
"RUSSIA SPACE AGENCY","Space Vehicle Services",100040612,199782273,387192261,,,,,,,,,127459133.88,184529617.64,136408443.41,3413944.54,2504481,6014852
"Rocket Lab","R&D (All Other)",,,,,,,,,99964,,,,,,1092000,371000,1128350
"Rocket Lab","Space Transp. and Launch",,,,,,,,,3025000,3925000,0,6530871,0,9819139,456010,0,14099000
"Rocket Lab","Space Vehicles and Components",,,,,,,,,,,,,,93500,,,
"SIERRA NEVADA","R&D (All Other)",,,,,,,,,,,589516,2171066,1017000,1901036,465328,3421966,1523162.75
"SIERRA NEVADA","R&D (Defense)",0,0,950000,1208346,17751729,11057026,950000,6276396,1758731.0625,7566554.4775,4397117.4281,36886475,-32532407.6299,7670791,,,
"SIERRA NEVADA","R&D (Space Flight)",,99819,,,,,8100000,1900000,,,4871429.1563,7760156,3625142,8264211.76,10487299.16,12242875.06,7300020
"SIERRA NEVADA","R&D (Space Station)",,,,,,,,,,,250000,,,,81917,,
"SIERRA NEVADA","Space Transp. and Launch",,,,,,,,,,73715390.2,112242299.24,293553520.95,105837363.83,334642586.63,41026609.46,131474349.31,44254333.65
"SIERRA NEVADA","Space Vehicles and Components",,68950,0,,,,1910820,,108877,,,,,,4358604.38,-50636.33,57206
"SPACEX","Other Products",,,,,,,,,,,,,,,37500,1307884,1530246
"SPACEX","Other Services",,,,,,,,,,,,,,5022.02,758021.92,3264183.8,14665132
"SPACEX","R&D (All Other)",,,,,,,,129300000,124200000,383469083,459117756,146357789,65496610,54740301,7814147,-711571,2227759
"SPACEX","R&D (Defense)",,4e+06,0,,,,,,,,,34969731,598636.42,,44448054.5,108318949.05,13244513
"SPACEX","R&D (Space Flight)",,,129905.65,0,294921,0,8100000,1469525,,,,,498535.7,96828183,397767413.24,867828515.61,978161481.12
"SPACEX","Space Transp. and Launch",,20000,25527312,115342392,194287256.51,256277026.8,586142502.1,366664377.9,518605700.06,654559637.85,623730110.84,785807348.59,1222082877.39,985638853.8,1741963472.2538,1868199619.2675,2099502521.9693
"SPACEX","Space Vehicles and Components",,,,,,,,,,,,,,,546115,,
"UNITED LAUNCH ALLIANCE","Other Products",,,,,,,,,,96154.1094,-10597.1797,,,,,,
"UNITED LAUNCH ALLIANCE","Other Services",,,,24578,,,,,,,,,,,,,
"UNITED LAUNCH ALLIANCE","R&D (All Other)",,,,,,,,,,,,59982,,,,,
"UNITED LAUNCH ALLIANCE","R&D (Defense)",,,12956136.19,22990566.6016,0,-1880922.875,-686442.43,-40000,1499914,-10300000,0,,,,418835.43,,
"UNITED LAUNCH ALLIANCE","R&D (Space Flight)",,,65249720,932014.1875,821470,0,,,120000,,,,,,4313491,12756861,16626322
"UNITED LAUNCH ALLIANCE","Space Transp. and Launch",,106995229,275818870.87,293541837.0625,344586117,314903100,1340792533,2795051157.9961,2098230501.68,1870289917.8302,2250294439.2,1740882086.51,1632698098.29,1294422079.47,718185196.53,1109948748.94,1041630672.8203
"UNITED LAUNCH ALLIANCE","Space Vehicle Launchers",,,216520628,117056900,630976,0,,,,-16444256,,,,,-15722.33,,
"UNITED LAUNCH ALLIANCE","Space Vehicle Services",,,460979412.14,-37893098.2,-1569376.5537,-63807.417,-1601806.85,-350000,-6221860.76,,,,956361.13,0,,,-164764.9063
"UNITED LAUNCH ALLIANCE","Space Vehicles and Components",,,526031301.51,1021773469.6953,1531607421.6136,2426996063.3554,208731806.6,89110597,2817382.11,8949092.3447,-1040000,-2909000.28,3386068.02,0,,-6910.94,-424307.875
"Virgin Orbit","R&D (Defense)",,,,,,,,,,,,,897869.52,3e+05,0,0,0
"Virgin Orbit","Space Transp. and Launch",,,,,,,,,,,,,,35050000,2249791,0,-210426
"WYLE LABORATORIES","R&D (All Other)",,,,,,,80000,-80000,103000,606512,1433780,91886,,,,,
"WYLE LABORATORIES","R&D (Defense)",10936761,154637,0,0,,,,,0,,,,,,,,
"WYLE LABORATORIES","R&D (Space Flight)",-787714.38,,-5133.5698,705840,537941,984326,662137,-533595,9287760.88,113760190.43,124506842.34,138243172.07,142282971.62,150144801.24,153857506.88,,
"WYLE LABORATORIES","R&D (Space Station)",,,,,,,,,,,250000,827237.8281,1242367,231756,300016,,
