"","CSIScontractID","IsOriginal","IsComplete","Action.Obligation","IsClosed","IsTerminated","LastCurrentCompletionDate","MinOfSignedDate","MaxBoostDate","MinOfEffectiveDate","StartFiscal_Year","WhyMissing"
"4204",62565412,NA,1,0,0,0,2015-02-17,2015-05-12,NA,2015-05-12,2015,"Unknown Other"
"4205",1411913,NA,1,0,1,1,NA,2012-06-05,NA,2012-06-06,2012,"Close/Term LastCurrent Out of Range"
"4206",8333338,NA,1,0,1,0,NA,2009-11-05,2009-11-05,2009-11-03,2010,"Close/Term LastCurrent Out of Range"
"4207",18068861,NA,1,-2381.95,1,0,2000-03-31,2010-09-03,NA,2010-09-01,2010,"Unknown Close/Term"
"4208",62945536,NA,1,-2699.22,1,0,2015-01-28,2015-07-14,NA,2015-07-08,2015,"Unknown Close/Term"
"4209",62493131,NA,1,0,0,0,2016-02-25,2015-03-02,2015-03-02,2015-03-02,2015,"Unknown Other"
"4210",8093149,NA,1,0,0,1,NA,2010-09-03,NA,2010-09-03,2010,"Close/Term LastCurrent Out of Range"
"4211",4165204,NA,1,0,1,0,NA,2010-03-26,2011-03-29,2010-04-01,2010,"Close/Term LastCurrent Out of Range"
"4212",25226903,NA,1,-0.0016,0,1,2014-06-23,2013-02-27,2013-02-27,2013-02-27,2013,"Unknown Close/Term"
"4213",62581818,NA,1,0,0,0,2016-02-22,2015-03-26,NA,2015-03-26,2015,"Unknown Other"
"4214",25439170,NA,1,-3469.44,1,1,2013-10-05,2014-09-19,NA,2014-09-19,2014,"Unknown Close/Term"
"4215",66308504,NA,1,0,0,1,2017-10-23,2015-12-01,2015-12-01,2015-12-04,2016,"Close/Term LastCurrent Out of Range"
"4216",62937921,NA,1,952352,0,1,2019-12-29,2014-11-28,2016-12-19,2014-11-28,2015,"Close/Term LastCurrent Out of Range"
"4217",17623556,NA,1,-125,1,0,1998-09-30,2010-06-07,NA,2010-06-07,2010,"Unknown Close/Term"
"4218",62428153,NA,1,0,0,1,NA,2015-03-09,2015-03-09,2015-04-01,2015,"Close/Term LastCurrent Out of Range"
"4219",25167737,NA,1,43502.77,0,0,2014-09-30,2013-04-01,2014-04-01,2013-04-01,2013,"Unknown Other"
"4220",26176900,NA,1,-4171.29,0,0,2013-08-14,2014-06-26,NA,2014-06-26,2014,"Unknown Other"
"4221",27379025,NA,1,50736185.4256,0,1,2018-02-28,2014-07-10,2016-08-04,2014-07-10,2014,"Close/Term LastCurrent Out of Range"
"4222",8199316,NA,1,0,1,1,NA,2012-03-13,2013-07-08,2012-03-12,2012,"Close/Term LastCurrent Out of Range"
"4223",3023915,NA,1,0,1,0,2017-11-15,2010-09-16,2010-09-16,2010-09-16,2010,"Close/Term LastCurrent Out of Range"
"4224",61148800,NA,1,173503,1,0,2018-06-14,2015-04-03,2015-04-03,2015-04-03,2015,"Close/Term LastCurrent Out of Range"
"4225",25145224,NA,1,0,0,1,NA,2013-03-29,NA,2013-04-01,2013,"Close/Term LastCurrent Out of Range"
"4226",25426678,NA,1,1700,0,0,2013-07-13,2013-03-07,2013-04-11,2013-03-07,2013,"Unknown Other"
"4227",10392293,NA,1,0,0,0,2009-12-31,2009-09-08,NA,2009-07-30,2009,"Unknown Other"
"4228",7951869,NA,1,0,0,1,2060-12-25,2009-01-08,2009-01-08,2009-01-08,2009,"Close/Term LastCurrent Out of Range"
"4229",60780706,NA,1,405,0,0,2015-12-01,2015-02-03,2015-03-05,2015-02-03,2015,"Unknown Other"
"4230",1160582,NA,1,20794842,1,0,NA,2011-03-20,NA,1998-04-24,2011,"Close/Term LastCurrent Out of Range"
"4231",27683781,NA,1,266959.9317,1,0,2017-09-29,2014-09-29,2016-09-02,2014-09-30,2014,"Close/Term LastCurrent Out of Range"
"4232",25811348,NA,1,44110,1,0,2014-06-13,2013-09-18,2013-09-26,2013-09-20,2013,"Unknown Close/Term"
"4233",60556399,NA,1,-32321.22,0,0,2015-05-04,2015-04-07,2015-04-07,2015-03-30,2015,"Unknown Other"
"4234",25313524,NA,1,-3520,0,0,2013-08-26,2013-10-16,NA,2013-10-16,2014,"Unknown Other"
"4235",27675115,NA,1,273443.0541,1,0,2017-04-29,2013-10-31,2016-10-25,2013-10-30,2014,"Close/Term LastCurrent Out of Range"
"4236",25242949,NA,1,4002.6499,1,0,2017-11-06,2012-10-29,2012-10-29,2012-10-24,2013,"Close/Term LastCurrent Out of Range"
"4237",18191743,NA,1,29809.9405,1,1,2017-10-08,2008-02-28,2011-10-29,2008-02-28,2008,"Close/Term LastCurrent Out of Range"
"4238",27117371,NA,1,670019.0301,1,0,2017-09-29,2014-09-26,2016-09-13,2014-09-26,2014,"Close/Term LastCurrent Out of Range"
"4239",1222046,NA,1,0,0,1,NA,2010-10-28,2010-10-28,2010-11-01,2011,"Close/Term LastCurrent Out of Range"
"4240",8317820,NA,1,0,0,1,NA,2009-11-20,2009-11-20,2009-11-20,2010,"Close/Term LastCurrent Out of Range"
"4241",25888273,NA,1,0,1,0,2018-04-02,2013-04-04,2013-04-04,2013-04-03,2013,"Close/Term LastCurrent Out of Range"
"4242",2132388,NA,1,0,1,1,2020-03-23,2012-02-23,2012-02-23,2012-02-23,2012,"Close/Term LastCurrent Out of Range"
"4243",60349900,NA,1,781577.75,1,0,2017-11-30,2015-09-27,2016-08-16,2015-09-28,2015,"Close/Term LastCurrent Out of Range"
"4244",66343225,NA,1,-12599.7002,0,0,2016-03-29,2015-12-10,NA,2015-12-10,2016,"Unknown Other"
"4245",27676404,NA,1,3848.4999,1,0,2017-12-28,2014-09-29,2014-09-29,2014-09-29,2014,"Close/Term LastCurrent Out of Range"
"4246",4473774,NA,1,0,0,0,2012-09-30,2010-12-27,2010-12-27,2010-12-27,2011,"Unknown Other"
"4247",25386412,NA,1,0,0,0,2013-11-30,2013-10-30,NA,2013-10-30,2014,"Unknown Other"
"4248",62561876,NA,1,-11127.75,1,1,2015-06-12,2015-02-26,NA,2015-02-26,2015,"Unknown Close/Term"
"4249",3006810,NA,1,0,1,0,NA,2008-09-30,NA,2008-10-16,2008,"Close/Term LastCurrent Out of Range"
"4250",62984524,NA,1,0.0078,1,1,2017-10-31,2015-08-05,2016-04-15,2015-10-01,2015,"Close/Term LastCurrent Out of Range"
"4251",62473697,NA,1,-2e-04,0,0,2015-12-07,2015-07-30,2015-07-30,2015-07-30,2015,"Unknown Other"
"4252",25341886,NA,1,-254,0,0,2013-08-01,2014-04-10,NA,2014-04-10,2014,"Unknown Other"
"4253",18966638,NA,1,0,1,0,1998-08-28,2008-05-22,NA,2008-05-22,2008,"Unknown Close/Term"
"4254",27494214,NA,1,0,0,1,NA,2014-01-02,2014-01-02,2014-01-02,2014,"Close/Term LastCurrent Out of Range"
"4255",18804589,NA,1,0,0,0,2009-04-04,2008-05-29,2008-05-29,2008-05-29,2008,"Unknown Other"
"4256",66345210,NA,1,79000,0,1,2019-05-24,2015-10-30,2015-10-30,2015-10-30,2016,"Close/Term LastCurrent Out of Range"
"4257",8676588,NA,1,0,0,1,NA,2011-07-20,2011-07-20,2011-07-20,2011,"Close/Term LastCurrent Out of Range"
"4258",28444372,NA,1,209741.38,1,0,2017-09-23,2014-09-23,2016-09-01,2014-09-23,2014,"Close/Term LastCurrent Out of Range"
"4259",25559655,NA,1,0,1,0,2018-06-03,2013-06-04,2013-06-04,2013-06-04,2013,"Close/Term LastCurrent Out of Range"
"4260",1373192,NA,1,0,1,0,NA,2012-07-25,2012-07-25,2012-07-25,2012,"Close/Term LastCurrent Out of Range"
"4261",27215846,NA,1,0,0,0,2015-09-21,2014-09-04,2014-09-04,2014-09-04,2014,"Unknown Other"
"4262",60393764,NA,1,130592956,1,0,2019-04-30,2015-04-01,2016-01-20,2015-04-01,2015,"Close/Term LastCurrent Out of Range"
"4263",27841155,NA,1,0,1,0,2019-04-04,2013-11-19,2013-11-19,2013-11-19,2014,"Close/Term LastCurrent Out of Range"
"4264",3034625,NA,1,0,1,1,2014-07-09,2012-04-10,2012-04-10,2012-04-10,2012,"Unknown Close/Term"
"4265",62491589,NA,1,0,0,0,2016-09-14,2014-12-05,2014-12-05,2014-12-05,2015,"Unknown Other"
"4266",26297846,NA,1,708.36,0,0,2013-12-06,2013-04-02,2013-04-02,2013-04-02,2013,"Unknown Other"
"4267",25258200,NA,1,11.25,0,0,2012-10-18,2012-11-13,2012-11-13,2012-11-08,2013,"Unknown Other"
"4268",4471642,NA,1,0,0,1,2012-08-08,2010-10-25,2010-10-25,2010-10-25,2011,"Unknown Close/Term"
"4269",27488210,NA,1,873962.795,0,1,2018-10-15,2014-09-28,2014-09-28,2014-09-28,2014,"Close/Term LastCurrent Out of Range"
"4270",27031322,NA,1,0,0,1,2018-11-30,2013-11-22,2013-11-22,2013-12-01,2014,"Close/Term LastCurrent Out of Range"
"4271",1360130,NA,1,0,1,0,NA,2008-09-30,2008-09-30,2008-09-30,2008,"Close/Term LastCurrent Out of Range"
"4272",26367290,NA,1,124531.5999,1,0,2018-09-30,2013-09-16,2013-09-16,2013-09-16,2013,"Close/Term LastCurrent Out of Range"
"4273",27390442,NA,1,1889927.0156,1,0,2017-02-28,2014-01-24,2016-08-18,2014-01-21,2014,"Close/Term LastCurrent Out of Range"
"4274",67103501,NA,1,0,1,1,2015-04-29,2015-04-29,2015-04-29,2015-04-29,2015,"Unknown Close/Term"
"4275",25892492,NA,1,1206526,0,0,2014-01-31,2013-03-18,2013-11-26,2013-03-18,2013,"Unknown Other"
"4276",1187061,NA,1,383927944,0,0,2008-10-28,2008-10-22,2008-10-31,1989-11-22,2009,"Unknown Other"
"4277",3431826,NA,1,16528.25,1,0,2020-09-30,2010-09-18,2010-09-18,2010-09-16,2010,"Close/Term LastCurrent Out of Range"
"4278",25862118,NA,1,-854.56,0,0,2013-12-04,2014-08-15,NA,2014-08-18,2014,"Unknown Other"
"4279",61815660,NA,1,0,1,0,NA,2015-06-30,NA,2015-07-01,2015,"Close/Term LastCurrent Out of Range"
"4280",8442329,NA,1,0,1,0,NA,2010-12-22,2010-12-22,2011-01-01,2011,"Close/Term LastCurrent Out of Range"
"4281",2170541,NA,1,0,1,0,NA,2009-09-24,2009-09-30,2009-09-23,2009,"Close/Term LastCurrent Out of Range"
"4282",25560117,NA,1,0,0,0,2013-04-26,2012-11-15,NA,2012-11-15,2013,"Unknown Other"
"4283",1221556,NA,1,0,1,0,NA,2009-12-01,2009-12-01,2009-12-01,2010,"Close/Term LastCurrent Out of Range"
"4284",8198538,NA,1,0,1,0,NA,2011-04-22,2011-09-22,2011-04-21,2011,"Close/Term LastCurrent Out of Range"
