fiscal_year	IsAbove2018constantCommercialItem7500k	IsAbove2018constantCostAccounting2000kThreshold	CostAccountingStandardsClause	costorpricingdata	IsSealedBid	IsCommercialitemacquisitionprocedures	isforeigngovernment	FixedPriceEffective	AlwaysCAUisCASexemptOrWaived	contractingofficerbusinesssizedetermination	n_cau	obligatedamount
2013	1	1	NULL	NULL	0	0	0	0	1	S	3	2128359.2400
2022	0	1	Y	N	0	1	0	0	0	O	47	7096251.7100
2013	0	1	NULL	W	0	0	0	0	1	S	1	80000.0000
2008	0	0	Y	Y	0	0	0	0	1	O	824	162378967.0651
2015	0	0	X	N	1	0	0	1	1	S	1003	145676630.8200
2005	1	1	X	W	0	0	0	0	1	S	10	11403184.0000
2009	0	0		Y	0	0	0	0	1	S	10	1660374.5469
2022	1	1		Y	0	0	0	0	0	S	22	66598960.2891
2014	1	1	N	W	0	1	0	1	1	S	2	1729749.6000
2023	0	0	X	Y	1	0	0	0	1	S	4	3154146.8984
2011	0	0			1	0	0	0	1	O	1	0.0000
2017	0	1	N	N	0	0	0	1	1	S	92	201561.1204
2006	0	0		Y	0	0	0	0	1	S	15	1846108.6602
2024	1	1	N	Y	0	1	0	0	1	O	3	-91552.5000
2023	1	1		W	0	0	0	0	0	S	1	-1142452.3750
2010	1	1	N	N	0	0	0	1	1	S	143	198616353.5116
2021	0	0	X	W	1	0	0	1	1	S	10	396999.6953
2018	0	1	N	N	0	0	NULL	0	0	O	1	-24624.0098
2006	0	1	X	N	1	0	0	0	1	S	95	73287179.8359
2020	0	0	Y	N	1	0	0	0	0	S	1	128290.0000
2002	1	1	X	N	0	0	0	0	1		1	0.0000
2013	0	1	X	W	0	0	0	1	1	O	121	52338484.5500
2018	1	1	NULL	N	0	0	0	1	1	O	2	0.0200
2010	0	1	X		1	0	0	0	1	S	10	2295145.0684
2004	0	0	X	W	0	1	0	1	1	O	2	-3115.0000
2011	1	1	NULL	N	0	0	0	0	0	O	9	0.0000
2008	1	1	X	W	1	0	0	0	1	O	8	409870.0508
2010	0	1	N	N	0	1	0	0	1	S	94	18375135.6712
2008	1	1	N	Y	0	1	0	0	1	S	2	1464683.8594
2020	0	1	NULL	Y	0	0	0	0	1	S	3	-249176.0500
2023	0	1	Y	N	0	1	0	1	0	S	35	14886327.8544
2015	0	0		N	0	1	1	0	1	O	63	14897915.6611
2010	1	1	X	NULL	1	0	0	1	1	S	1	0.0000
2008	0	0	X	N	0	0	0	0	1	O	117276	6688197777.8329
2001	0	0	Y	W	0	0	0	0	0	O	12	1906558.0000
2018	1	1	N	N	0	1	0	1	1	S	93	14150179.7117
2002	0	1	X		0	1	0	0	1	S	123	106890014.0000
2017	1	1	Y	N	0	1	0	1	0	S	80	63127558.9469
2016	1	1		N	0	1	0	0	1	O	1624	4600193588.8173
2014	0	1		N	0	1	0	1	1	S	1704	1891467478.1185
2012	0	0	X	N	1	0	0	0	1	S	98	-2390044.3366
2024	1	1	N	Y	0	0	0	0	1	O	10	25050582.0000
2017	1	1	X	N	1	1	0	1	1	O	12	3004552.2500
2023	0	1	N	N	0	1	1	1	1	O	1	0.0000
2010	1	1	X	NULL	0	1	0	1	1	S	14	0.0000
2004	1	1	Y	Y	0	1	0	0	1	O	14	75889240.0000
2013	1	1	Y	N	1	0	0	1	0	S	37	3584305.9100
2011	0	0	Y	Y	0	0	1	0	1	O	1	-143200.0000
2021	0	1	X	N	0	0	0	1	1	S	1459	377902371.1636
2005	1	1	Y	N	0	1	0	0	1	O	2	0.0000
2023	1	1		N	0	0	0	0	0	O	13022	22254441471.9436
2015	1	1	Y	Y	0	0	0	0	0	O	13765	41041910479.6673
2007	1	1	Y	N	1	0	0	1	0	S	3	33776361.0000
2018	1	1	N		0	0	0	0	1	O	9	0.0000
2020	0	1	N		0	0	0	0	1	S	2	0.0000
2003	0	1	X	N	0	0	0	0	1	S	4259	2534402590.6010
2004	0	0	X		0	0	0	0	1	O	31552	3023407370.9470
2009	0	1	X	Y	0	1	1	0	1	O	3	906181.0625
