Data Download from NCSES Interactive Data Tool,,,,
,,,,
Filters,Selected values,,,
2014,Engineering,Total for selected values,Total for selected values,"951,157"
2014,Engineering,Bioengineering and biomedical engineering,Total for selected values,"951,157"
2014,Engineering,Bioengineering and biomedical engineering,Federal,"606,943"
2014,Engineering,Bioengineering and biomedical engineering,Nonfederal,"344,214"
2014,Life sciences,Total for selected values,Total for selected values,"37,958,077"
2014,Life sciences,Agricultural sciences,Total for selected values,"3,390,017"
2014,Life sciences,Agricultural sciences,Federal,"1,083,562"
2014,Life sciences,Agricultural sciences,Nonfederal,"2,306,455"
2014,Life sciences,Biological and biomedical sciences,Total for selected values,"11,706,321"
2014,Life sciences,Biological and biomedical sciences,Federal,"7,238,745"
2014,Life sciences,Biological and biomedical sciences,Nonfederal,"4,467,576"
2014,Life sciences,Health sciences,Total for selected values,"20,711,020"
2014,Life sciences,Health sciences,Federal,"11,743,066"
2014,Life sciences,Health sciences,Nonfederal,"8,967,954"
2014,Life sciences,Other life sciences,Total for selected values,"2,150,719"
2014,Life sciences,Other life sciences,Federal,"1,204,247"
2014,Life sciences,Other life sciences,Nonfederal,"946,472"
2013,Total for selected values,Total for selected values,Total for selected values,"38,449,643"
2013,Engineering,Total for selected values,Total for selected values,"884,421"
2013,Engineering,Bioengineering and biomedical engineering,Total for selected values,"884,421"
2013,Engineering,Bioengineering and biomedical engineering,Federal,"556,651"
2013,Engineering,Bioengineering and biomedical engineering,Nonfederal,"327,770"
2013,Life sciences,Total for selected values,Total for selected values,"37,565,222"
2013,Life sciences,Agricultural sciences,Total for selected values,"3,352,448"
2013,Life sciences,Agricultural sciences,Federal,"1,111,006"
2013,Life sciences,Agricultural sciences,Nonfederal,"2,241,442"
2013,Life sciences,Biological and biomedical sciences,Total for selected values,"11,681,264"
2013,Life sciences,Biological and biomedical sciences,Federal,"7,604,786"
2013,Life sciences,Biological and biomedical sciences,Nonfederal,"4,076,478"
2013,Life sciences,Health sciences,Total for selected values,"20,454,258"
2013,Life sciences,Health sciences,Federal,"12,287,408"
2013,Life sciences,Health sciences,Nonfederal,"8,166,850"
2013,Life sciences,Other life sciences,Total for selected values,"2,077,252"
2013,Life sciences,Other life sciences,Federal,"1,224,078"
2013,Life sciences,Other life sciences,Nonfederal,"853,174"
2012,Total for selected values,Total for selected values,Total for selected values,"38,072,088"
2012,Engineering,Total for selected values,Total for selected values,"871,917"
2012,Engineering,Bioengineering and biomedical engineering,Total for selected values,"871,917"
2012,Engineering,Bioengineering and biomedical engineering,Federal,"552,555"
2012,Engineering,Bioengineering and biomedical engineering,Nonfederal,"319,362"
2012,Life sciences,Total for selected values,Total for selected values,"37,200,171"
2012,Life sciences,Agricultural sciences,Total for selected values,"3,300,098"
2012,Life sciences,Agricultural sciences,Federal,"1,137,729"
2012,Life sciences,Agricultural sciences,Nonfederal,"2,162,369"
2012,Life sciences,Biological and biomedical sciences,Total for selected values,"11,611,632"
2012,Life sciences,Biological and biomedical sciences,Federal,"7,741,440"
2012,Life sciences,Biological and biomedical sciences,Nonfederal,"3,870,192"
2012,Life sciences,Health sciences,Total for selected values,"20,330,413"
2012,Life sciences,Health sciences,Federal,"12,681,515"
2012,Life sciences,Health sciences,Nonfederal,"7,648,898"
2012,Life sciences,Other life sciences,Total for selected values,"1,958,028"
2012,Life sciences,Other life sciences,Federal,"1,192,918"
2012,Life sciences,Other life sciences,Nonfederal,"765,110"
2011,Total for selected values,Total for selected values,Total for selected values,"38,154,911"
2011,Engineering,Total for selected values,Total for selected values,"817,389"
2011,Engineering,Bioengineering and biomedical engineering,Total for selected values,"817,389"
2011,Engineering,Bioengineering and biomedical engineering,Federal,"515,611"
2011,Engineering,Bioengineering and biomedical engineering,Nonfederal,"301,778"
2011,Life sciences,Total for selected values,Total for selected values,"37,337,522"
2011,Life sciences,Agricultural sciences,Total for selected values,"3,116,840"
2011,Life sciences,Agricultural sciences,Federal,"1,042,740"
2011,Life sciences,Agricultural sciences,Nonfederal,"2,074,100"
2011,Life sciences,Biological and biomedical sciences,Total for selected values,"11,855,468"
2011,Life sciences,Biological and biomedical sciences,Federal,"8,213,534"
2011,Life sciences,Biological and biomedical sciences,Nonfederal,"3,641,934"
2011,Life sciences,Health sciences,Total for selected values,"20,398,377"
2011,Life sciences,Health sciences,Federal,"13,184,595"
2011,Life sciences,Health sciences,Nonfederal,"7,213,782"
2011,Life sciences,Other life sciences,Total for selected values,"1,966,837"
2011,Life sciences,Other life sciences,Federal,"1,222,539"
2011,Life sciences,Other life sciences,Nonfederal,"744,298"
2010,Total for selected values,Total for selected values,Total for selected values,"35,729,526"
2010,Engineering,Total for selected values,Total for selected values,"745,277"
2010,Engineering,Bioengineering and biomedical engineering,Total for selected values,"745,277"
2010,Engineering,Bioengineering and biomedical engineering,Federal,"470,432"
2010,Engineering,Bioengineering and biomedical engineering,Nonfederal,"274,845"
2010,Life sciences,Total for selected values,Total for selected values,"34,984,249"
2010,Life sciences,Agricultural sciences,Total for selected values,"3,011,150"
2010,Life sciences,Agricultural sciences,Federal,"957,710"
2010,Life sciences,Agricultural sciences,Nonfederal,"2,053,440"
2010,Life sciences,Biological and biomedical sciences,Total for selected values,"10,946,456"
2010,Life sciences,Biological and biomedical sciences,Federal,"7,579,196"
2010,Life sciences,Biological and biomedical sciences,Nonfederal,"3,367,260"
2010,Life sciences,Health sciences,Total for selected values,"19,268,085"
2010,Life sciences,Health sciences,Federal,"12,068,659"
2010,Life sciences,Health sciences,Nonfederal,"7,199,426"
2010,Life sciences,Other life sciences,Total for selected values,"1,758,558"
2010,Life sciences,Other life sciences,Federal,"1,096,560"
2010,Life sciences,Other life sciences,Nonfederal,"661,998"
,,,,
,,,,
NOTES:,,,,
,,,,
"SOURCE: National Center for Science and Engineering Statistics, Higher Education Research and Development Survey.",,,,
Downloaded 2021/06/07 at 22:40:47 PM EST,,,,
