Data Download from NCSES Interactive Data Tool,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filters,Selected values,,,,,,,,,,,,,,,,,,,,,,,,,,
Performer of Research by Field,"Universities and colleges, excluding FFRDCs, Other than universities and colleges",,,,,,,,,,,,,,,,,,,,,,,,,,
Basic Research and Applied Research,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,
Detailed Fields,"Agricultural sciences, Biological sciences (excluding environmental), Environmental biology, Medical sciences, Other life sciences, Biological aspects",,,,,,,,,,,,,,,,,,,,,,,,,,
Fiscal Year,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deflator: Current Dollars,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit of Measure: Thousands of Dollars,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,<Fiscal Year>,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999
Science,Life sciences,Environmental biology,Environmental Protection Agency,Environmental Protection Agency,Basic research,Other than universities and colleges,-,-,-,-,-,-,-,"18,077","18,302","18,091","17,392","16,319","20,941","16,961","29,126","17,769","15,615","13,866","15,666","17,643","19,255"
Science,Life sciences,Environmental biology,Environmental Protection Agency,Environmental Protection Agency,Applied research,Total for selected values,"44,965","45,866","46,372","47,770","48,926","50,373","49,562","44,841","44,810","44,198","44,231","41,296","43,491","39,112","63,179","40,919","49,201","46,303","45,851","85,251","120,796"
Science,Life sciences,Environmental biology,Environmental Protection Agency,Environmental Protection Agency,Applied research,Other than universities and colleges,"44,965","45,866","46,372","47,770","48,926","50,373","49,562","44,841","44,810","44,198","44,231","41,296","43,491","39,112","63,179","40,919","49,201","46,303","45,851","85,251","120,796"
Science,Life sciences,Environmental biology,National Aeronautics and Space Administration,Total for selected values,Total for selected values,Total for selected values,-,-,"12,906","12,616","12,453","12,002","12,222","11,501","3,545","3,385","3,826","3,153","4,784","7,363","8,375","10,163","10,311","11,668","11,001","9,742","10,716"
Science,Life sciences,Environmental biology,National Aeronautics and Space Administration,National Aeronautics and Space Administration,Total for selected values,Total for selected values,-,-,"12,906","12,616","12,453","12,002","12,222","11,501","3,545","3,385","3,826","3,153","4,784","7,363","8,375","10,163","10,311","11,668","11,001","9,742","10,716"
Science,Life sciences,Environmental biology,National Aeronautics and Space Administration,National Aeronautics and Space Administration,Basic research,Total for selected values,-,-,"7,554","7,235","7,078","6,666","6,228","5,747","1,889","1,785","2,253","1,928","2,895","3,975","4,939","4,727","4,207","4,749","4,328","5,653","5,004"
Science,Life sciences,Environmental biology,National Aeronautics and Space Administration,National Aeronautics and Space Administration,Basic research,"Universities and colleges, excluding FFRDCs",-,-,"1,342","1,339","1,232","1,391","1,237","1,275",693,657,722,792,397,767,913,905,"1,297",762,"1,041","1,060","1,085"
Science,Life sciences,Environmental biology,National Aeronautics and Space Administration,National Aeronautics and Space Administration,Basic research,Other than universities and colleges,-,-,"6,212","5,896","5,845","5,275","4,990","4,471","1,197","1,127","1,531","1,136","2,498","3,208","4,026","3,822","2,910","3,987","3,287","4,593","3,919"
Science,Life sciences,Environmental biology,National Aeronautics and Space Administration,National Aeronautics and Space Administration,Applied research,Total for selected values,-,-,"5,351","5,381","5,375","5,336","5,994","5,755","1,656","1,600","1,573","1,225","1,889","3,388","3,436","5,436","6,104","6,919","6,673","4,089","5,712"
Science,Life sciences,Environmental biology,National Aeronautics and Space Administration,National Aeronautics and Space Administration,Applied research,"Universities and colleges, excluding FFRDCs",-,-,348,344,344,329,287,271,155,185,211,179,239,317,385,578,213,638,"3,439","3,564",211
Science,Life sciences,Environmental biology,National Aeronautics and Space Administration,National Aeronautics and Space Administration,Applied research,Other than universities and colleges,-,-,"5,004","5,037","5,031","5,007","5,707","5,483","1,501","1,415","1,362","1,046","1,650","3,071","3,051","4,858","5,891","6,281","3,234",525,"5,501"
Science,Life sciences,Environmental biology,National Science Foundation,Total for selected values,Total for selected values,Total for selected values,"163,194","163,129","153,647","156,262","161,450","169,025","170,654","178,428","183,896","194,836","203,966","118,873","118,077","112,571","101,280","104,085","104,509","122,020","113,461","116,537","108,491"
Science,Life sciences,Environmental biology,National Science Foundation,National Science Foundation,Total for selected values,Total for selected values,"163,194","163,129","153,647","156,262","161,450","169,025","170,654","178,428","183,896","194,836","203,966","118,873","118,077","112,571","101,280","104,085","104,509","122,020","113,461","116,537","108,491"
Science,Life sciences,Environmental biology,National Science Foundation,National Science Foundation,Basic research,Total for selected values,"163,147","163,129","153,629","156,249","161,449","169,023","170,267","177,612","183,895","194,595","203,740","118,100","117,237","110,959","98,989","98,381","97,179","114,694","103,198","105,444","96,893"
Science,Life sciences,Environmental biology,National Science Foundation,National Science Foundation,Basic research,"Universities and colleges, excluding FFRDCs","150,520","151,247","133,434","145,770","149,357","152,422","156,622","156,703","150,984","144,012","180,207","103,545","99,448","98,310","86,247","90,256","85,831","95,906","88,438","95,319","86,691"
Science,Life sciences,Environmental biology,National Science Foundation,National Science Foundation,Basic research,Other than universities and colleges,"12,627","11,883","20,195","10,479","12,091","16,602","13,645","20,909","32,911","50,583","23,533","14,555","17,789","12,649","12,742","8,125","11,348","18,788","14,760","10,125","10,202"
Science,Life sciences,Environmental biology,National Science Foundation,National Science Foundation,Applied research,Total for selected values,47,-,18,13,1,2,387,817,1,240,226,773,840,"1,612","2,291","5,704","7,330","7,326","10,263","11,093","11,598"
Science,Life sciences,Environmental biology,National Science Foundation,National Science Foundation,Applied research,"Universities and colleges, excluding FFRDCs",47,-,7,-,1,2,287,761,-,240,226,743,781,"1,493","2,117","5,173","6,784","6,491","9,185","10,136","10,737"
Science,Life sciences,Environmental biology,National Science Foundation,National Science Foundation,Applied research,Other than universities and colleges,-,-,10,13,-,-,100,56,1,-,-,30,59,119,174,531,546,835,"1,078",957,861
Science,Life sciences,Environmental biology,Smithsonian Institution,Total for selected values,Total for selected values,Total for selected values,"95,178","145,395","45,690","46,783","45,219","45,608","45,961","46,350","46,159","34,523","32,528","30,807","30,441","25,673","21,449","22,409","21,970","21,032","18,670","18,412","16,344"
Science,Life sciences,Environmental biology,Smithsonian Institution,Smithsonian Institution,Total for selected values,Total for selected values,"95,178","145,395","45,690","46,783","45,219","45,608","45,961","46,350","46,159","34,523","32,528","30,807","30,441","25,673","21,449","22,409","21,970","21,032","18,670","18,412","16,344"
Science,Life sciences,Environmental biology,Smithsonian Institution,Smithsonian Institution,Basic research,Total for selected values,"95,178","145,395","45,690","46,783","45,219","45,608","45,961","46,350","46,159","34,523","32,528","30,807","30,441","25,673","21,449","22,409","21,970","21,032","18,670","18,412","16,344"
Science,Life sciences,Environmental biology,Smithsonian Institution,Smithsonian Institution,Basic research,Other than universities and colleges,"95,178","145,395","45,690","46,783","45,219","45,608","45,961","46,350","46,159","34,523","32,528","30,807","30,441","25,673","21,449","22,409","21,970","21,032","18,670","18,412","16,344"
Science,Life sciences,Medical sciences,Total for selected values,Total for selected values,Total for selected values,Total for selected values,"13,774,778","13,564,479","12,648,734","11,358,581","11,086,826","11,285,347","10,917,363","11,078,478","10,202,220","11,677,000","11,392,719","10,387,345","10,790,740","10,592,189","10,862,104","10,898,766","6,160,319","6,427,390","6,585,198","4,463,771","6,801,169"
Science,Life sciences,Medical sciences,Department of Agriculture,Total for selected values,Total for selected values,Total for selected values,"24,463","22,696","22,060","23,378","21,207","20,303","18,550","18,977","19,769","20,802","22,292","21,904","22,391","35,409","35,542","32,182","31,142","29,177","31,587","29,132","24,699"
Science,Life sciences,Medical sciences,Department of Agriculture,Agricultural Research Service,Total for selected values,Total for selected values,"18,959","17,612","17,169","16,789","16,600","15,244","13,784","14,809","16,621","17,285","16,742","16,468","16,754","16,650","16,251","16,109","15,753","15,720","14,749","13,122","10,687"
Science,Life sciences,Medical sciences,Department of Agriculture,Agricultural Research Service,Basic research,Total for selected values,"10,533","9,785","9,539","9,327","9,222","8,726","7,890","8,477","9,234","9,603","9,301","8,966","9,122","9,065","8,848","8,770","9,521","9,501","8,914","7,787","7,521"
Science,Life sciences,Medical sciences,Department of Agriculture,Agricultural Research Service,Basic research,"Universities and colleges, excluding FFRDCs","1,038",927,776,676,695,631,475,519,621,759,732,714,754,885,703,742,762,684,585,439,403
Science,Life sciences,Medical sciences,Department of Agriculture,Agricultural Research Service,Basic research,Other than universities and colleges,"9,495","8,858","8,762","8,651","8,527","8,095","7,415","7,958","8,613","8,844","8,569","8,252","8,368","8,180","8,145","8,028","8,759","8,817","8,329","7,348","7,118"
Science,Life sciences,Medical sciences,Department of Agriculture,Agricultural Research Service,Applied research,Total for selected values,"8,426","7,828","7,631","7,462","7,378","6,518","5,894","6,332","7,387","7,682","7,441","7,502","7,632","7,585","7,403","7,339","6,232","6,219","5,835","5,335","3,166"
Science,Life sciences,Medical sciences,Department of Agriculture,Agricultural Research Service,Applied research,"Universities and colleges, excluding FFRDCs",830,741,621,541,556,471,355,388,497,607,586,597,631,740,588,621,499,448,383,301,170
Science,Life sciences,Medical sciences,Department of Agriculture,Agricultural Research Service,Applied research,Other than universities and colleges,"7,596","7,086","7,010","6,921","6,822","6,047","5,539","5,944","6,890","7,075","6,855","6,905","7,001","6,845","6,815","6,718","5,733","5,771","5,452","5,034","2,996"
Science,Life sciences,Medical sciences,Department of Agriculture,Forest Service,Total for selected values,Total for selected values,-,-,-,-,-,-,-,-,-,-,-,-,-,"9,484","9,144","9,143","9,020","7,816","7,321","6,888","6,086"
Science,Life sciences,Medical sciences,Department of Agriculture,Forest Service,Basic research,Total for selected values,-,-,-,-,-,-,-,-,-,-,-,-,-,"6,620","6,383","6,382","6,296","5,456","5,110","4,808","4,248"
Science,Life sciences,Medical sciences,Department of Agriculture,Forest Service,Basic research,Other than universities and colleges,-,-,-,-,-,-,-,-,-,-,-,-,-,"6,620","6,383","6,382","6,296","5,456","5,110","4,808","4,248"
Science,Life sciences,Medical sciences,Department of Agriculture,Forest Service,Applied research,Total for selected values,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,864","2,761","2,761","2,724","2,360","2,211","2,080","1,838"
Science,Life sciences,Medical sciences,Department of Agriculture,Forest Service,Applied research,Other than universities and colleges,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,864","2,761","2,761","2,724","2,360","2,211","2,080","1,838"
Science,Life sciences,Medical sciences,Department of Agriculture,National Institute of Food and Agriculture,Total for selected values,Total for selected values,"5,503","5,083","4,891","6,589","4,607","5,060","4,767","4,168","3,148","3,517","5,550","5,436","5,637","9,275","10,147","6,930","6,369","5,641","9,517","9,122","7,926"
Science,Life sciences,Medical sciences,Department of Agriculture,National Institute of Food and Agriculture,Basic research,Total for selected values,"1,927","1,780","1,712","2,306","1,614","1,779","1,856","1,432","1,257","1,440","2,015","1,967","2,452","3,655","4,359","2,972","2,782","2,419","4,568","5,288","3,770"
Science,Life sciences,Medical sciences,Department of Agriculture,National Institute of Food and Agriculture,Basic research,"Universities and colleges, excluding FFRDCs","1,748","1,639","1,577","1,997","1,472","1,605","1,720","1,340","1,189","1,358","1,675","1,805","2,308","3,420","4,121","2,434","2,642","2,305","4,370","5,054","3,641"
Science,Life sciences,Medical sciences,Department of Agriculture,National Institute of Food and Agriculture,Basic research,Other than universities and colleges,179,141,135,310,143,174,136,92,68,82,340,162,144,235,238,538,140,114,198,234,129
Science,Life sciences,Medical sciences,Department of Agriculture,National Institute of Food and Agriculture,Applied research,Total for selected values,"3,576","3,304","3,179","4,283","2,992","3,281","2,911","2,736","1,891","2,077","3,535","3,469","3,185","5,620","5,788","3,958","3,587","3,222","4,949","3,834","4,156"
Science,Life sciences,Medical sciences,Department of Agriculture,National Institute of Food and Agriculture,Applied research,"Universities and colleges, excluding FFRDCs","3,246","3,044","2,929","3,708","2,733","2,980","2,580","2,489","1,711","1,875","2,852","3,209","2,938","5,130","5,245","3,098","3,230","2,934","4,662","3,564","3,850"
Science,Life sciences,Medical sciences,Department of Agriculture,National Institute of Food and Agriculture,Applied research,Other than universities and colleges,331,260,250,575,259,301,331,247,180,202,683,260,247,490,543,860,357,288,287,270,306
Science,Life sciences,Medical sciences,Department of Commerce,Total for selected values,Total for selected values,Total for selected values,"4,983","4,555","5,602","2,738","3,429","3,456","8,318","2,713","2,951","2,974","6,989","4,183","3,857","1,454","3,968","3,719","4,947","5,491","6,083","6,719","8,201"
Science,Life sciences,Medical sciences,Department of Commerce,National Institute of Standards and Technology,Total for selected values,Total for selected values,-,-,116,98,-,-,-,-,-,-,375,912,807,612,421,325,725,"1,560","1,836",703,"2,698"
Science,Life sciences,Medical sciences,Department of Commerce,National Institute of Standards and Technology,Basic research,Total for selected values,-,-,-,-,-,-,-,-,-,-,375,366,362,374,-,-,-,-,-,-,-
Science,Life sciences,Medical sciences,Department of Commerce,National Institute of Standards and Technology,Basic research,Other than universities and colleges,-,-,-,-,-,-,-,-,-,-,375,366,362,374,-,-,-,-,-,-,-
Science,Life sciences,Medical sciences,Department of Commerce,National Institute of Standards and Technology,Applied research,Total for selected values,-,-,116,98,-,-,-,-,-,-,-,546,445,238,421,325,725,"1,560","1,836",703,"2,698"
Science,Life sciences,Medical sciences,Department of Commerce,National Institute of Standards and Technology,Applied research,Other than universities and colleges,-,-,116,98,-,-,-,-,-,-,-,546,445,238,421,325,725,"1,560","1,836",703,"2,698"
Science,Life sciences,Medical sciences,Department of Commerce,National Oceanic and Atmospheric Administration,Total for selected values,Total for selected values,"4,983","4,555","5,486","2,640","3,429","3,456","8,318","2,713","2,951","2,974","6,614","3,271","3,050",842,"3,547","3,394","4,222","3,931","4,247","6,016","5,503"
Science,Life sciences,Medical sciences,Department of Commerce,National Oceanic and Atmospheric Administration,Applied research,Total for selected values,"4,983","4,555","5,486","2,640","3,429","3,456","8,318","2,713","2,951","2,974","6,614","3,271","3,050",842,"3,547","3,394","4,222","3,931","4,247","6,016","5,503"
Science,Life sciences,Medical sciences,Department of Commerce,National Oceanic and Atmospheric Administration,Applied research,Other than universities and colleges,"4,983","4,555","5,486","2,640","3,429","3,456","8,318","2,713","2,951","2,974","6,614","3,271","3,050",842,"3,547","3,394","4,222","3,931","4,247","6,016","5,503"
Science,Life sciences,Medical sciences,Department of Defense,Total for selected values,Total for selected values,Total for selected values,"459,819","440,819","297,843","383,524","493,194","511,158","385,702","437,554","509,969","474,044","613,771","588,190","530,805","288,668","308,194","349,038","324,518","655,907","590,076","241,215","224,430"
Science,Life sciences,Medical sciences,Department of Defense,Defense Advanced Research Projects Agency,Total for selected values,Total for selected values,"107,171","113,390","168,419","224,399","274,064","257,354","140,974","183,346","123,476",-,-,-,-,-,-,-,-,-,-,-,-
Science,Life sciences,Medical sciences,Department of Defense,Defense Advanced Research Projects Agency,Basic research,Total for selected values,"18,013","18,845","30,921","53,967","55,421","56,644","38,064","47,233","33,075",-,-,-,-,-,-,-,-,-,-,-,-
Science,Life sciences,Medical sciences,Department of Defense,Defense Advanced Research Projects Agency,Basic research,"Universities and colleges, excluding FFRDCs","8,997","9,889","14,282","17,209","21,826","31,896","26,177","30,476","27,004",-,-,-,-,-,-,-,-,-,-,-,-
Science,Life sciences,Medical sciences,Department of Defense,Defense Advanced Research Projects Agency,Basic research,Other than universities and colleges,"9,017","8,956","16,639","36,758","33,595","24,748","11,887","16,758","6,070",-,-,-,-,-,-,-,-,-,-,-,-
Science,Life sciences,Medical sciences,Department of Defense,Defense Advanced Research Projects Agency,Applied research,Total for selected values,"89,157","94,545","137,498","170,432","218,643","200,710","102,910","136,112","90,402",-,-,-,-,-,-,-,-,-,-,-,-
Science,Life sciences,Medical sciences,Department of Defense,Defense Advanced Research Projects Agency,Applied research,"Universities and colleges, excluding FFRDCs","49,810","50,384","70,378","93,259","87,846","98,536","60,069","81,646","78,557",-,-,-,-,-,-,-,-,-,-,-,-
Science,Life sciences,Medical sciences,Department of Defense,Defense Advanced Research Projects Agency,Applied research,Other than universities and colleges,"39,347","44,161","67,120","77,173","130,797","102,174","42,841","54,466","11,845",-,-,-,-,-,-,-,-,-,-,-,-
Science,Life sciences,Medical sciences,Department of Defense,Defense agencies and activities,Total for selected values,Total for selected values,-,-,-,-,-,-,-,-,-,"221,132","369,239","309,963","209,714","149,352","67,237","206,815","171,547","536,957","415,360","99,748","94,933"
Science,Life sciences,Medical sciences,Department of Defense,Defense agencies and activities,Basic research,Total for selected values,-,-,-,-,-,-,-,-,-,"36,501","49,159","66,452","46,987","20,980","10,512","37,188","51,388","419,044","393,475","69,872","32,656"
Science,Life sciences,Medical sciences,Department of Defense,Defense agencies and activities,Basic research,"Universities and colleges, excluding FFRDCs",-,-,-,-,-,-,-,-,-,"5,433","7,323","8,549","12,626","2,069","8,262",878,"12,231","258,945","338,300","59,991","16,824"
Science,Life sciences,Medical sciences,Department of Defense,Defense agencies and activities,Basic research,Other than universities and colleges,-,-,-,-,-,-,-,-,-,"31,068","41,836","57,903","34,361","18,911","2,250","36,310","39,157","160,099","55,175","9,881","15,832"
Science,Life sciences,Medical sciences,Department of Defense,Defense agencies and activities,Applied research,Total for selected values,-,-,-,-,-,-,-,-,-,"184,631","320,081","243,511","162,727","128,372","56,725","169,627","120,159","117,913","21,885","29,876","62,277"
Science,Life sciences,Medical sciences,Department of Defense,Defense agencies and activities,Applied research,"Universities and colleges, excluding FFRDCs",-,-,-,-,-,-,-,-,-,"48,998","66,267","63,057","59,631","56,832","33,745","28,224","18,077","43,485","15,054","9,149","17,333"
Science,Life sciences,Medical sciences,Department of Defense,Defense agencies and activities,Applied research,Other than universities and colleges,-,-,-,-,-,-,-,-,-,"135,633","253,813","180,454","103,096","71,540","22,980","141,403","102,082","74,428","6,831","20,727","44,944"
Science,Life sciences,Medical sciences,Department of Defense,Department of the Air Force,Total for selected values,Total for selected values,89,-,108,695,461,695,742,260,-,-,-,-,-,-,-,794,-,-,-,642,"3,635"
Science,Life sciences,Medical sciences,Department of Defense,Department of the Air Force,Basic research,Total for selected values,64,-,108,111,-,695,229,185,-,-,-,-,-,-,-,-,-,-,-,642,"3,635"
Science,Life sciences,Medical sciences,Department of Defense,Department of the Air Force,Basic research,"Universities and colleges, excluding FFRDCs",46,-,32,111,-,659,177,-,-,-,-,-,-,-,-,-,-,-,-,642,"3,635"
Science,Life sciences,Medical sciences,Department of Defense,Department of the Air Force,Basic research,Other than universities and colleges,18,-,76,-,-,35,52,185,-,-,-,-,-,-,-,-,-,-,-,-,-
Science,Life sciences,Medical sciences,Department of Defense,Department of the Air Force,Applied research,Total for selected values,25,-,-,584,461,-,514,75,-,-,-,-,-,-,-,794,-,-,-,-,-
Science,Life sciences,Medical sciences,Department of Defense,Department of the Air Force,Applied research,"Universities and colleges, excluding FFRDCs",2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Science,Life sciences,Medical sciences,Department of Defense,Department of the Air Force,Applied research,Other than universities and colleges,23,-,-,584,461,-,514,75,-,-,-,-,-,-,-,794,-,-,-,-,-
Science,Life sciences,Medical sciences,Department of Defense,Department of the Army,Total for selected values,Total for selected values,"314,707","272,807","107,823","103,560","102,945","121,807","130,815","146,550","245,340","232,540","223,218","257,013","300,697","120,052","221,050","122,873","134,747","101,051","158,290","125,649","112,280"
Science,Life sciences,Medical sciences,Department of Defense,Department of the Army,Basic research,Total for selected values,"88,397","84,335","29,482","26,573","31,768","35,388","29,695","30,194","35,423","36,145","35,330","34,708","29,372","23,635","41,958","33,130","16,394","13,994","19,667","19,830","17,132"
Science,Life sciences,Medical sciences,Department of Defense,Department of the Army,Basic research,"Universities and colleges, excluding FFRDCs","15,252","14,621","20,227","2,642","6,034","3,821","4,104","4,104","7,010","5,371","5,621","11,119","4,890","3,232","4,727","2,272","1,864","2,659","3,737","3,768","3,255"
Science,Life sciences,Medical sciences,Department of Defense,Department of the Army,Basic research,Other than universities and colleges,"73,146","69,714","9,256","23,931","25,734","31,567","25,591","26,090","28,413","30,774","29,709","23,589","24,482","20,403","37,231","30,858","14,530","11,335","15,930","16,062","13,877"
Science,Life sciences,Medical sciences,Department of Defense,Department of the Army,Applied research,Total for selected values,"226,309","188,472","78,341","76,986","71,178","86,419","101,120","116,357","209,917","196,395","187,888","222,305","271,325","96,417","179,092","89,743","118,353","87,057","138,623","105,819","95,148"
Science,Life sciences,Medical sciences,Department of Defense,Department of the Army,Applied research,"Universities and colleges, excluding FFRDCs",-,-,-,"8,522","11,112","19,420","29,442","29,442","80,595","56,793","42,795","61,753","68,327","11,091","38,168","20,052","25,624","21,654","34,460","26,117","23,784"
Science,Life sciences,Medical sciences,Department of Defense,Department of the Army,Applied research,Other than universities and colleges,"226,309","188,472","78,341","68,464","60,065","66,999","71,677","86,914","129,322","139,602","145,092","160,552","202,998","85,326","140,924","69,691","92,729","65,403","104,163","79,702","71,364"
Science,Life sciences,Medical sciences,Department of Defense,Department of the Navy,Total for selected values,Total for selected values,"22,500","39,918","4,162","18,540","14,817","28,086","24,259","19,051","20,345","20,372","21,314","21,214","20,394","19,264","19,907","18,556","18,224","17,899","16,426","15,176","13,582"
Science,Life sciences,Medical sciences,Department of Defense,Department of the Navy,Basic research,Total for selected values,"14,037","18,072","2,993","2,904","3,146","6,933","6,305","3,630","6,212","9,258","11,919","11,517","11,018","10,105","10,820","10,493","9,199","8,863","8,960","8,060","7,682"
Science,Life sciences,Medical sciences,Department of Defense,Department of the Navy,Basic research,"Universities and colleges, excluding FFRDCs","12,613","15,236","1,975","2,011","1,610","6,933","2,521","2,867","3,675","4,892","5,937","5,677","5,391","4,940","4,962","5,015","4,188","3,720","3,871","3,482","3,780"
Science,Life sciences,Medical sciences,Department of Defense,Department of the Navy,Basic research,Other than universities and colleges,"1,424","2,836","1,018",893,"1,536",-,"3,784",763,"2,537","4,366","5,983","5,840","5,627","5,165","5,858","5,478","5,011","5,143","5,089","4,578","3,902"
Science,Life sciences,Medical sciences,Department of Defense,Department of the Navy,Applied research,Total for selected values,"8,463","21,847","1,169","15,636","11,670","21,153","17,955","15,421","14,132","11,114","9,395","9,697","9,376","9,159","9,087","8,063","9,025","9,036","7,466","7,116","5,900"
Science,Life sciences,Medical sciences,Department of Defense,Department of the Navy,Applied research,"Universities and colleges, excluding FFRDCs","1,223","7,601",249,"3,139","3,641","9,889","7,999","2,164","1,557","1,558","1,016","1,005","1,058","1,124",992,"1,067",946,861,746,711,797
Science,Life sciences,Medical sciences,Department of Defense,Department of the Navy,Applied research,Other than universities and colleges,"7,240","14,246",920,"12,497","8,030","11,263","9,955","13,257","12,576","9,556","8,378","8,692","8,318","8,035","8,095","6,996","8,079","8,175","6,720","6,405","5,103"
Science,Life sciences,Medical sciences,Department of Defense,Other defense agencies,Total for selected values,Total for selected values,"15,353","14,704","17,330","36,331","100,907","103,217","88,912","88,347","120,808",-,-,-,-,-,-,-,-,-,-,-,-
Science,Life sciences,Medical sciences,Department of Defense,Other defense agencies,Basic research,Total for selected values,-,-,-,-,"15,568","15,727","14,156","18,601","17,078",-,-,-,-,-,-,-,-,-,-,-,-
Science,Life sciences,Medical sciences,Department of Defense,Other defense agencies,Basic research,"Universities and colleges, excluding FFRDCs",-,-,-,-,"5,753","5,812","5,232","6,974","5,892",-,-,-,-,-,-,-,-,-,-,-,-
Science,Life sciences,Medical sciences,Department of Defense,Other defense agencies,Basic research,Other than universities and colleges,-,-,-,-,"9,815","9,915","8,924","11,627","11,186",-,-,-,-,-,-,-,-,-,-,-,-
Science,Life sciences,Medical sciences,Department of Defense,Other defense agencies,Applied research,Total for selected values,"15,353","14,704","17,330","36,331","85,339","87,489","74,756","69,747","103,730",-,-,-,-,-,-,-,-,-,-,-,-
Science,Life sciences,Medical sciences,Department of Defense,Other defense agencies,Applied research,"Universities and colleges, excluding FFRDCs",521,-,"2,595","5,108","8,024","8,317","6,476","10,095",736,-,-,-,-,-,-,-,-,-,-,-,-
Science,Life sciences,Medical sciences,Department of Defense,Other defense agencies,Applied research,Other than universities and colleges,"14,832","14,704","14,735","31,223","77,315","79,172","68,280","59,652","102,994",-,-,-,-,-,-,-,-,-,-,-,-
Science,Life sciences,Medical sciences,Department of Education,Total for selected values,Total for selected values,Total for selected values,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"15,293","15,614","14,365"
Science,Life sciences,Medical sciences,Department of Education,Department of Education (Agency details not specified),Total for selected values,Total for selected values,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"15,293","15,614","14,365"
Science,Life sciences,Medical sciences,Department of Education,Department of Education (Agency details not specified),Applied research,Total for selected values,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"15,293","15,614","14,365"
Science,Life sciences,Medical sciences,Department of Education,Department of Education (Agency details not specified),Applied research,Other than universities and colleges,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"15,293","15,614","14,365"
Science,Life sciences,Medical sciences,Department of Energy,Total for selected values,Total for selected values,Total for selected values,-,-,-,-,-,-,-,-,-,-,"29,325",-,"19,717","138,710","115,756","173,149","86,036","114,916","84,500","73,293","53,006"
Science,Life sciences,Medical sciences,Department of Energy,National Nuclear Security Administration,Total for selected values,Total for selected values,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,440,-,-,-,-
Science,Life sciences,Medical sciences,Department of Energy,National Nuclear Security Administration,Basic research,Total for selected values,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,52,-,-,-,-
Science,Life sciences,Medical sciences,Department of Energy,National Nuclear Security Administration,Basic research,Other than universities and colleges,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,52,-,-,-,-
Science,Life sciences,Medical sciences,Department of Energy,National Nuclear Security Administration,Applied research,Total for selected values,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,388,-,-,-,-
Science,Life sciences,Medical sciences,Department of Energy,National Nuclear Security Administration,Applied research,Other than universities and colleges,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,388,-,-,-,-
Science,Life sciences,Medical sciences,Department of Energy,Office of Science,Total for selected values,Total for selected values,-,-,-,-,-,-,-,-,-,-,"29,325",-,"19,717","138,710","115,756","173,149","85,596","114,916",-,-,-
Science,Life sciences,Medical sciences,Department of Energy,Office of Science,Basic research,Total for selected values,-,-,-,-,-,-,-,-,-,-,"29,325",-,"19,717","138,710","115,756","173,149","85,596","114,916",-,-,-
Science,Life sciences,Medical sciences,Department of Energy,Office of Science,Basic research,"Universities and colleges, excluding FFRDCs",-,-,-,-,-,-,-,-,-,-,"9,179",-,341,"76,773","53,781","80,318","56,062","74,180",-,-,-
Science,Life sciences,Medical sciences,Department of Energy,Office of Science,Basic research,Other than universities and colleges,-,-,-,-,-,-,-,-,-,-,"20,146",-,"19,376","61,937","61,975","92,831","29,534","40,736",-,-,-
Science,Life sciences,Medical sciences,Department of Energy,Department of Energy (Agency details not specified),Total for selected values,Total for selected values,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"84,500","73,293","53,006"
Science,Life sciences,Medical sciences,Department of Energy,Department of Energy (Agency details not specified),Applied research,Total for selected values,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"84,500","73,293","53,006"
Science,Life sciences,Medical sciences,Department of Energy,Department of Energy (Agency details not specified),Applied research,"Universities and colleges, excluding FFRDCs",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"52,591","37,274","22,991"
Science,Life sciences,Medical sciences,Department of Energy,Department of Energy (Agency details not specified),Applied research,Other than universities and colleges,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"31,909","36,019","30,015"
