Defense Agency Prodserv

"Fiscal Year","Date Signed","Contracting Department ID","Contracting Department Name","Contracting Agency ID","Contracting Agency Name","Base and All Options Value (Total Contract Value)","Base and Exercised Options Value","Dollars Obligated","Number of Actions","Number of Records"
"2021","10/1/2020","9700","DEPT OF DEFENSE","97F2","DEPT OF DEFENSE EDUCATION ACTIVITY (DODEA)","($1,850.00)","($1,850.00)","($1,850.00)","1","1"
"2021","10/1/2020","9700","DEPT OF DEFENSE","97F5","WASHINGTON HEADQUARTERS SERVICES (WHS)","$3,327,689.61","$437,621.61","($65,994.39)","8","8"
"2021","10/1/2020","9700","DEPT OF DEFENSE","97JC","MISSILE DEFENSE AGENCY (MDA)","$114,622.81","$114,622.81","$173,922.81","37","37"
"2021","10/1/2020","9700","DEPT OF DEFENSE","97ZS","U.S. SPECIAL OPERATIONS COMMAND (USSOCOM)","$960,693.30","$960,693.30","$1,401,669.14","28","28"
"2021","10/2/2020","9700","DEPT OF DEFENSE","1700","DEPT OF THE NAVY","$33,579,632,905.04","$79,708,154.17","$23,241,610.99","341","341"
"2021","10/2/2020","9700","DEPT OF DEFENSE","2100","DEPT OF THE ARMY","$22,565,924.53","$12,290,907.54","$36,506,984.16","211","211"
"2021","10/2/2020","9700","DEPT OF DEFENSE","5700","DEPT OF THE AIR FORCE","$372,187,343.50","$346,806,450.56","$564,158,822.20","553","536"
"2021","10/2/2020","9700","DEPT OF DEFENSE","9761","DEFENSE THREAT REDUCTION AGENCY (DTRA)","($2,354.81)","($2,354.81)","($2,354.81)","1","1"
"2021","10/2/2020","9700","DEPT OF DEFENSE","9763","DEFENSE CONTRACT MANAGEMENT AGENCY (DCMA)","$2,440,220.70","$2,440,220.70","$2,193,485.54","111","111"
"2021","10/2/2020","9700","DEPT OF DEFENSE","9771","DEFENSE MICROELECTRONICS ACTIVITY (DMEA)","($3,253.57)","($3,253.57)","($3,253.57)","1","1"
"2021","10/2/2020","9700","DEPT OF DEFENSE","9776","USTRANSCOM","$140,922,963.21","$48,079,231.87","$117,289,958.56","68","68"
"2021","10/2/2020","9700","DEPT OF DEFENSE","97AE","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)","$284,516.58","$284,516.58","$159,544.58","4","4"
"2021","10/2/2020","9700","DEPT OF DEFENSE","97AK","DEFENSE INFORMATION SYSTEMS AGENCY (DISA)","($42,778.52)","$439,705.48","$38,851,685.48","24","24"
"2021","10/2/2020","9700","DEPT OF DEFENSE","97AS","DEFENSE LOGISTICS AGENCY","$878,212,491.87","$65,451,984.87","$67,586,129.83","6,833","6,833"
"2021","10/2/2020","9700","DEPT OF DEFENSE","97AV","DEFENSE COUNTERINTELLIGENCE AND SECURITY AGENCY","$0.00","$0.00","$220,276.80","2","2"
"2021","10/2/2020","9700","DEPT OF DEFENSE","97AZ","DEFENSE COMMISSARY AGENCY  (DECA)","$159.20","$159.20","$159.20","3","3"
"2021","10/2/2020","9700","DEPT OF DEFENSE","97BZ","DEFENSE FINANCE AND ACCOUNTING SERVICE (DFAS)","$0.00","$0.00","$0.00","4","4"
"2021","10/2/2020","9700","DEPT OF DEFENSE","97DH","DEFENSE HEALTH AGENCY (DHA)","$25,282,755.25","$23,001,599.37","$15,883,155.00","7","7"
"2021","10/2/2020","9700","DEPT OF DEFENSE","97EX","INSPECTOR GENERAL, OFFICE OF","$10,800.00","$10,800.00","$10,800.00","1","1"
"2021","10/2/2020","9700","DEPT OF DEFENSE","97F2","DEPT OF DEFENSE EDUCATION ACTIVITY (DODEA)","$0.00","$0.00","$0.00","4","4"
"2021","10/2/2020","9700","DEPT OF DEFENSE","97F5","WASHINGTON HEADQUARTERS SERVICES (WHS)","$0.00","$0.00","$0.00","5","5"
"2021","10/2/2020","9700","DEPT OF DEFENSE","97JC","MISSILE DEFENSE AGENCY (MDA)","$37,256,774.59","$37,256,774.59","$38,755,242.09","8","8"
"2021","10/2/2020","9700","DEPT OF DEFENSE","97SD","SPACE DEVELOPMENT AGENCY","$342,774,588.00","$342,774,588.00","$9,811,502.00","2","2"
"2021","10/2/2020","9700","DEPT OF DEFENSE","97ZS","U.S. SPECIAL OPERATIONS COMMAND (USSOCOM)","$1,839,730.50","$1,307,898.40","$947,318.00","15","15"
"2021","10/3/2020","9700","DEPT OF DEFENSE","1700","DEPT OF THE NAVY","$106,065.29","$106,065.29","$182,918.81","9","9"
"2021","10/3/2020","9700","DEPT OF DEFENSE","2100","DEPT OF THE ARMY","$470,824.00","$704,824.00","$44,824.00","14","14"
"2021","10/3/2020","9700","DEPT OF DEFENSE","5700","DEPT OF THE AIR FORCE","$574,610.00","$311,412.00","$328,785.51","8","8"
"2021","10/3/2020","9700","DEPT OF DEFENSE","9776","USTRANSCOM","$13,419,759.04","$13,419,759.04","$13,419,759.04","1","1"
"2021","10/3/2020","9700","DEPT OF DEFENSE","97AK","DEFENSE INFORMATION SYSTEMS AGENCY (DISA)","$4,183,803.42","$4,183,803.42","$4,183,803.42","1","1"
"2021","10/3/2020","9700","DEPT OF DEFENSE","97AS","DEFENSE LOGISTICS AGENCY","$17,402,647.37","$15,312,882.26","$15,312,882.26","877","877"
"2021","10/3/2020","9700","DEPT OF DEFENSE","97ZS","U.S. SPECIAL OPERATIONS COMMAND (USSOCOM)","$0.00","$0.00","$0.00","1","1"
"2021","10/4/2020","9700","DEPT OF DEFENSE","1700","DEPT OF THE NAVY","($36,476.85)","($15,490.85)","($82,046.45)","13","13"
"2021","10/4/2020","9700","DEPT OF DEFENSE","2100","DEPT OF THE ARMY","$25,973.27","$75,932.73","$75,932.73","10","10"
"2021","10/4/2020","9700","DEPT OF DEFENSE","5700","DEPT OF THE AIR FORCE","$46,496.65","$46,496.62","$46,496.62","8","8"
"2021","10/4/2020","9700","DEPT OF DEFENSE","9763","DEFENSE CONTRACT MANAGEMENT AGENCY (DCMA)","$0.00","$0.00","$0.00","2","2"
"2021","10/4/2020","9700","DEPT OF DEFENSE","9776","USTRANSCOM","($1,980.43)","$314,880.89","$27,420,052.19","4","4"
"2021","10/4/2020","9700","DEPT OF DEFENSE","97AS","DEFENSE LOGISTICS AGENCY","$17,422,548.78","$17,472,824.30","$17,472,824.30","1,934","1,934"
"2021","10/4/2020","9700","DEPT OF DEFENSE","97ZS","U.S. SPECIAL OPERATIONS COMMAND (USSOCOM)","$0.00","$0.00","$0.00","1","1"
"2021","10/5/2020","9700","DEPT OF DEFENSE","1700","DEPT OF THE NAVY","$324,106,429.99","$341,335,662.41","$321,734,496.15","338","338"
"2021","10/5/2020","9700","DEPT OF DEFENSE","2100","DEPT OF THE ARMY","$2,436,957,737.97","$37,625,203.86","$46,173,200.49","403","354"
"2021","10/5/2020","9700","DEPT OF DEFENSE","5700","DEPT OF THE AIR FORCE","$239,396,908.95","$241,376,747.71","$285,464,370.49","201","201"
"2021","10/5/2020","9700","DEPT OF DEFENSE","9761","DEFENSE THREAT REDUCTION AGENCY (DTRA)","$26,767,966.00","$26,767,966.00","$6,493,776.52","3","3"
"2021","10/5/2020","9700","DEPT OF DEFENSE","9763","DEFENSE CONTRACT MANAGEMENT AGENCY (DCMA)","($1,431,110.83)","($1,431,110.83)","($2,271,371.83)","36","36"
"2021","10/5/2020","9700","DEPT OF DEFENSE","9776","USTRANSCOM","$3,228,910.07","$3,186,961.07","$12,900,663.61","37","37"
"2021","10/5/2020","9700","DEPT OF DEFENSE","97AE","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)","$2,476,160.00","$2,476,160.00","$1,631,639.00","3","3"
"2021","10/5/2020","9700","DEPT OF DEFENSE","97AK","DEFENSE INFORMATION SYSTEMS AGENCY (DISA)","$4,027.15","$4,027.15","($22,871.07)","992","992"
"2021","10/5/2020","9700","DEPT OF DEFENSE","97AS","DEFENSE LOGISTICS AGENCY","$50,921,359.78","$52,513,273.92","$53,633,984.73","10,629","10,629"
"2021","10/5/2020","9700","DEPT OF DEFENSE","97AZ","DEFENSE COMMISSARY AGENCY  (DECA)","$94.20","$94.20","($234,105.41)","6","6"
"2021","10/5/2020","9700","DEPT OF DEFENSE","97BZ","DEFENSE FINANCE AND ACCOUNTING SERVICE (DFAS)","$0.00","$0.00","$0.00","2","2"
"2021","10/5/2020","9700","DEPT OF DEFENSE","97DH","DEFENSE HEALTH AGENCY (DHA)","$0.00","$0.00","$0.00","2","2"
"2021","10/5/2020","9700","DEPT OF DEFENSE","97F2","DEPT OF DEFENSE EDUCATION ACTIVITY (DODEA)","$0.00","$0.00","$0.00","1","1"
"2021","10/5/2020","9700","DEPT OF DEFENSE","97F5","WASHINGTON HEADQUARTERS SERVICES (WHS)","$0.00","$0.00","$0.00","1","1"
"2021","10/5/2020","9700","DEPT OF DEFENSE","97JC","MISSILE DEFENSE AGENCY (MDA)","$547,490.44","$547,490.44","$1,686.44","8","8"
"2021","10/5/2020","9700","DEPT OF DEFENSE","97ZS","U.S. SPECIAL OPERATIONS COMMAND (USSOCOM)","($206,468.26)","($206,468.26)","$389,468.18","30","30"
"2021","10/6/2020","9700","DEPT OF DEFENSE","1700","DEPT OF THE NAVY","$592,969,505.87","$518,306,667.95","$540,796,437.15","418","418"
"2021","10/6/2020","9700","DEPT OF DEFENSE","2100","DEPT OF THE ARMY","$1,074,423,511.17","$88,599,897.55","$95,041,935.52","498","477"
"2021","10/6/2020","9700","DEPT OF DEFENSE","5700","DEPT OF THE AIR FORCE","$593,324,961.75","$560,516,903.64","$301,026,683.86","234","234"
"2021","10/6/2020","9700","DEPT OF DEFENSE","9761","DEFENSE THREAT REDUCTION AGENCY (DTRA)","$0.00","$0.00","$0.00","2","2"
"2021","10/6/2020","9700","DEPT OF DEFENSE","9763","DEFENSE CONTRACT MANAGEMENT AGENCY (DCMA)","$20,063.20","$20,063.20","($880,164.56)","62","62"
"2021","10/6/2020","9700","DEPT OF DEFENSE","9771","DEFENSE MICROELECTRONICS ACTIVITY (DMEA)","$0.00","$2,427,095.00","$2,427,095.00","3","3"
"2021","10/6/2020","9700","DEPT OF DEFENSE","9776","USTRANSCOM","$18,884,148.90","$18,487,068.34","$25,195,291.19","50","50"
"2021","10/6/2020","9700","DEPT OF DEFENSE","97AE","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)","$98,828.00","$98,828.00","$98,828.00","3","3"
"2021","10/6/2020","9700","DEPT OF DEFENSE","97AK","DEFENSE INFORMATION SYSTEMS AGENCY (DISA)","($4,225,917.36)","($1,015,029.63)","($1,015,029.63)","763","763"
"2021","10/6/2020","9700","DEPT OF DEFENSE","97AS","DEFENSE LOGISTICS AGENCY","$145,949,230.33","$139,220,226.02","$138,778,381.70","11,513","11,513"
"2021","10/6/2020","9700","DEPT OF DEFENSE","97AV","DEFENSE COUNTERINTELLIGENCE AND SECURITY AGENCY","$0.00","$0.00","$0.00","1","1"
"2021","10/6/2020","9700","DEPT OF DEFENSE","97AZ","DEFENSE COMMISSARY AGENCY  (DECA)","$23,814.53","($5,099.39)","($41,036.91)","12","12"
"2021","10/6/2020","9700","DEPT OF DEFENSE","97BZ","DEFENSE FINANCE AND ACCOUNTING SERVICE (DFAS)","($9,384.37)","($9,384.37)","($9,384.37)","1","1"
"2021","10/6/2020","9700","DEPT OF DEFENSE","97DH","DEFENSE HEALTH AGENCY (DHA)","$2,003,179.42","$613,756.78","($3,759.58)","6","6"
"2021","10/6/2020","9700","DEPT OF DEFENSE","97F2","DEPT OF DEFENSE EDUCATION ACTIVITY (DODEA)","$77,542.00","$77,542.00","$0.00","3","3"
"2021","10/6/2020","9700","DEPT OF DEFENSE","97F5","WASHINGTON HEADQUARTERS SERVICES (WHS)","$0.00","$0.00","$53,467.90","6","6"
"2021","10/6/2020","9700","DEPT OF DEFENSE","97JC","MISSILE DEFENSE AGENCY (MDA)","$37,975.81","$37,975.81","$1,394.81","6","6"
"2021","10/6/2020","9700","DEPT OF DEFENSE","97SD","SPACE DEVELOPMENT AGENCY","$0.00","$0.00","$0.00","1","1"
"2021","10/6/2020","9700","DEPT OF DEFENSE","97ZS","U.S. SPECIAL OPERATIONS COMMAND (USSOCOM)","($1,336,959.34)","($1,336,959.34)","$18,400.22","32","32"
"2021","10/7/2020","9700","DEPT OF DEFENSE","1700","DEPT OF THE NAVY","$103,624,018.08","$94,169,708.45","$86,092,819.17","531","531"
"2021","10/7/2020","9700","DEPT OF DEFENSE","2100","DEPT OF THE ARMY","$98,587,642.62","$14,094,198.73","$14,132,971.20","551","551"
"2021","10/7/2020","9700","DEPT OF DEFENSE","5700","DEPT OF THE AIR FORCE","$225,947,053.05","$51,779,860.54","$83,519,650.18","254","254"
"2021","10/7/2020","9700","DEPT OF DEFENSE","9763","DEFENSE CONTRACT MANAGEMENT AGENCY (DCMA)","$43,688.07","$43,688.07","($122,143.77)","120","120"
"2021","10/7/2020","9700","DEPT OF DEFENSE","9776","USTRANSCOM","$4,021,429.42","$4,021,429.42","$4,021,429.42","18","18"
"2021","10/7/2020","9700","DEPT OF DEFENSE","97AE","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)","$0.00","$0.00","$0.00","1","1"
"2021","10/7/2020","9700","DEPT OF DEFENSE","97AK","DEFENSE INFORMATION SYSTEMS AGENCY (DISA)","($5,831,631.23)","$737,295.85","$796,212.39","93","93"
"2021","10/7/2020","9700","DEPT OF DEFENSE","97AS","DEFENSE LOGISTICS AGENCY","$1,340,400,007.78","$107,977,860.05","$114,562,460.04","14,059","14,049"
"2021","10/7/2020","9700","DEPT OF DEFENSE","97AZ","DEFENSE COMMISSARY AGENCY  (DECA)","$18,026.33","$18,026.33","$30,117.76","5","5"
"2021","10/7/2020","9700","DEPT OF DEFENSE","97BZ","DEFENSE FINANCE AND ACCOUNTING SERVICE (DFAS)","$0.00","$13,052.00","$13,052.00","1","1"
"2021","10/7/2020","9700","DEPT OF DEFENSE","97DH","DEFENSE HEALTH AGENCY (DHA)","$529,362.20","$0.00","$0.00","7","7"
"2021","10/7/2020","9700","DEPT OF DEFENSE","97F2","DEPT OF DEFENSE EDUCATION ACTIVITY (DODEA)","$5,970.10","$17,029.25","$0.00","4","4"
"2021","10/7/2020","9700","DEPT OF DEFENSE","97F5","WASHINGTON HEADQUARTERS SERVICES (WHS)","($1,028,196.24)","($216,648.00)","($216,648.00)","6","6"
"2021","10/7/2020","9700","DEPT OF DEFENSE","97JC","MISSILE DEFENSE AGENCY (MDA)","$2,071,844.56","$2,071,844.56","($1,854.34)","12","12"
"2021","10/7/2020","9700","DEPT OF DEFENSE","97SD","SPACE DEVELOPMENT AGENCY","$0.00","$0.00","$3,012,892.00","2","2"
"2021","10/7/2020","9700","DEPT OF DEFENSE","97ZS","U.S. SPECIAL OPERATIONS COMMAND (USSOCOM)","($478,467.86)","($478,467.86)","$6,320,305.32","36","36"
"2021","10/8/2020","9700","DEPT OF DEFENSE","1700","DEPT OF THE NAVY","$197,204,392.93","$100,025,537.32","$376,035,933.41","571","571"
"2021","10/8/2020","9700","DEPT OF DEFENSE","2100","DEPT OF THE ARMY","$267,527,743.83","$58,081,272.40","$58,013,726.60","509","509"
"2021","10/8/2020","9700","DEPT OF DEFENSE","5700","DEPT OF THE AIR FORCE","($392,000,039.80)","($428,234,298.75)","$165,648,200.58","317","317"
"2021","10/8/2020","9700","DEPT OF DEFENSE","9761","DEFENSE THREAT REDUCTION AGENCY (DTRA)","$0.00","$452,380.00","$298,000.00","1","1"
"2021","10/8/2020","9700","DEPT OF DEFENSE","9763","DEFENSE CONTRACT MANAGEMENT AGENCY (DCMA)","($1,114,052.78)","($1,114,052.78)","($1,324,831.41)","116","116"
"2021","10/8/2020","9700","DEPT OF DEFENSE","9771","DEFENSE MICROELECTRONICS ACTIVITY (DMEA)","($11,035,781.97)","($11,035,781.97)","$165,024.00","7","7"
"2021","10/8/2020","9700","DEPT OF DEFENSE","9776","USTRANSCOM","$4,720,705.01","$4,720,705.01","$15,301,952.53","20","20"
"2021","10/8/2020","9700","DEPT OF DEFENSE","97AE","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)","$0.00","$0.00","$0.00","5","5"
"2021","10/8/2020","9700","DEPT OF DEFENSE","97AK","DEFENSE INFORMATION SYSTEMS AGENCY (DISA)","($1,274,605.50)","$1,941,344.19","$296,566.29","139","139"
"2021","10/8/2020","9700","DEPT OF DEFENSE","97AS","DEFENSE LOGISTICS AGENCY","$1,099,376,250.96","$231,755,702.27","$82,667,686.70","11,846","11,838"
"2021","10/8/2020","9700","DEPT OF DEFENSE","97AV","DEFENSE COUNTERINTELLIGENCE AND SECURITY AGENCY","$47,303.76","$47,303.76","$833,548.16","5","5"
"2021","10/8/2020","9700","DEPT OF DEFENSE","97AZ","DEFENSE COMMISSARY AGENCY  (DECA)","($109,010.99)","($109,010.99)","($18,987.58)","6","6"
"2021","10/8/2020","9700","DEPT OF DEFENSE","97BZ","DEFENSE FINANCE AND ACCOUNTING SERVICE (DFAS)","$24,500.00","$24,500.00","$24,500.00","1","1"
"2021","10/8/2020","9700","DEPT OF DEFENSE","97DH","DEFENSE HEALTH AGENCY (DHA)","$3,336,269.17","$1,820,257.99","$7,275,992.99","16","16"
"2021","10/8/2020","9700","DEPT OF DEFENSE","97F1","DEFENSE MEDIA ACTIVITY (DMA)","$0.00","$0.00","$0.00","1","1"
"2021","10/8/2020","9700","DEPT OF DEFENSE","97F2","DEPT OF DEFENSE EDUCATION ACTIVITY (DODEA)","($6,092.00)","($6,092.00)","($6,092.00)","2","2"
"2021","10/8/2020","9700","DEPT OF DEFENSE","97F5","WASHINGTON HEADQUARTERS SERVICES (WHS)","($36,000.00)","$4,620,492.12","$4,465,646.86","5","5"
"2021","10/8/2020","9700","DEPT OF DEFENSE","97HW","UNIFORMED SERVICES UNIVERSITY OF THE HEALTH SCIENCES  (USUHS)","$0.00","$0.00","$0.00","1","1"
"2021","10/8/2020","9700","DEPT OF DEFENSE","97JC","MISSILE DEFENSE AGENCY (MDA)","$401,508.94","$1,508.94","$178,119.94","17","17"
"2021","10/8/2020","9700","DEPT OF DEFENSE","97ZS","U.S. SPECIAL OPERATIONS COMMAND (USSOCOM)","$1,243,156.61","$925,746.32","$1,256,021.02","33","33"
"2021","10/9/2020","9700","DEPT OF DEFENSE","1700","DEPT OF THE NAVY","$1,127,979,727.97","$395,947,725.03","$171,367,324.90","326","326"
"2021","10/9/2020","9700","DEPT OF DEFENSE","2100","DEPT OF THE ARMY","$371,325,684.16","$28,023,951.46","$111,793,408.56","329","329"
"2021","10/9/2020","9700","DEPT OF DEFENSE","5700","DEPT OF THE AIR FORCE","$29,687,484.74","$31,382,752.50","$23,189,031.71","126","126"
"2021","10/9/2020","9700","DEPT OF DEFENSE","9763","DEFENSE CONTRACT MANAGEMENT AGENCY (DCMA)","$1,758,687.26","$1,758,687.26","$641,975.66","31","31"
"2021","10/9/2020","9700","DEPT OF DEFENSE","9771","DEFENSE MICROELECTRONICS ACTIVITY (DMEA)","$988,903.00","$988,903.00","$597,239.00","1","1"
"2021","10/9/2020","9700","DEPT OF DEFENSE","9776","USTRANSCOM","$1,792,219.21","$1,792,219.21","$1,792,219.21","10","10"
"2021","10/9/2020","9700","DEPT OF DEFENSE","97AE","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)","$6,274,608.00","$6,274,608.00","$708,530.00","4","4"
"2021","10/9/2020","9700","DEPT OF DEFENSE","97AK","DEFENSE INFORMATION SYSTEMS AGENCY (DISA)","$335,460.72","$350,195.25","$356,587.30","62","62"
"2021","10/9/2020","9700","DEPT OF DEFENSE","97AS","DEFENSE LOGISTICS AGENCY","$201,847,677.16","$116,925,388.16","$116,925,388.16","7,509","7,509"
"2021","10/9/2020","9700","DEPT OF DEFENSE","97AZ","DEFENSE COMMISSARY AGENCY  (DECA)","($7,255.79)","($7,255.79)","($26,072.60)","9","9"
"2021","10/9/2020","9700","DEPT OF DEFENSE","97BZ","DEFENSE FINANCE AND ACCOUNTING SERVICE (DFAS)","$0.00","$41,230.09","$41,230.09","1","1"
"2021","10/9/2020","9700","DEPT OF DEFENSE","97DH","DEFENSE HEALTH AGENCY (DHA)","$0.00","$0.00","$1,639,339.14","6","6"
"2021","10/9/2020","9700","DEPT OF DEFENSE","97F2","DEPT OF DEFENSE EDUCATION ACTIVITY (DODEA)","($11,097.60)","($11,097.60)","($11,097.60)","1","1"
"2021","10/9/2020","9700","DEPT OF DEFENSE","97F5","WASHINGTON HEADQUARTERS SERVICES (WHS)","$1,664,824.00","$583,268.00","$189,110.00","7","7"
"2021","10/9/2020","9700","DEPT OF DEFENSE","97HW","UNIFORMED SERVICES UNIVERSITY OF THE HEALTH SCIENCES  (USUHS)","$0.00","$0.00","$0.00","1","1"
"2021","10/9/2020","9700","DEPT OF DEFENSE","97JC","MISSILE DEFENSE AGENCY (MDA)","$20.00","$20.00","$20.00","4","4"
"2021","10/9/2020","9700","DEPT OF DEFENSE","97ZS","U.S. SPECIAL OPERATIONS COMMAND (USSOCOM)","$11,555,800.79","$1,664,991.18","$1,683,051.18","14","14"
"2021","10/10/2020","9700","DEPT OF DEFENSE","1700","DEPT OF THE NAVY","$133,641.27","$133,641.27","$1,101,684.96","26","26"
"2021","10/10/2020","9700","DEPT OF DEFENSE","2100","DEPT OF THE ARMY","($1,954,011.70)","($6,391.00)","($6,391.00)","17","17"
"2021","10/10/2020","9700","DEPT OF DEFENSE","5700","DEPT OF THE AIR FORCE","$710.20","$57,972.28","$57,972.28","6","6"
"2021","10/10/2020","9700","DEPT OF DEFENSE","97AK","DEFENSE INFORMATION SYSTEMS AGENCY (DISA)","$164,241.00","$164,241.00","$164,241.00","12","12"
"2021","10/10/2020","9700","DEPT OF DEFENSE","97AS","DEFENSE LOGISTICS AGENCY","$15,310,471.27","$15,310,471.27","$15,310,471.27","521","521"
"2021","10/11/2020","9700","DEPT OF DEFENSE","1700","DEPT OF THE NAVY","$25,562,043.78","$6,323,492.68","$6,853,424.14","8","8"
"2021","10/11/2020","9700","DEPT OF DEFENSE","2100","DEPT OF THE ARMY","$385,399.44","$385,399.44","$385,399.44","5","5"
"2021","10/11/2020","9700","DEPT OF DEFENSE","5700","DEPT OF THE AIR FORCE","$63,243.64","$211,406.99","$211,406.99","5","5"
"2021","10/11/2020","9700","DEPT OF DEFENSE","9771","DEFENSE MICROELECTRONICS ACTIVITY (DMEA)","$0.00","$0.00","$0.00","1","1"
"2021","10/11/2020","9700","DEPT OF DEFENSE","97AK","DEFENSE INFORMATION SYSTEMS AGENCY (DISA)","$108,380.00","$108,380.00","$108,380.00","8","8"
"2021","10/11/2020","9700","DEPT OF DEFENSE","97AS","DEFENSE LOGISTICS AGENCY","$3,235,305.73","$3,235,305.73","$3,235,305.73","508","508"
"2021","10/12/2020","9700","DEPT OF DEFENSE","1700","DEPT OF THE NAVY","$8,307,125.52","$8,205,955.52","$16,977,673.99","30","30"
"2021","10/12/2020","9700","DEPT OF DEFENSE","2100","DEPT OF THE ARMY","$575,079.53","$575,079.53","$3,897,351.17","46","46"
"2021","10/12/2020","9700","DEPT OF DEFENSE","5700","DEPT OF THE AIR FORCE","$354,696.81","$603,566.82","$536,607.82","15","15"
"2021","10/12/2020","9700","DEPT OF DEFENSE","9763","DEFENSE CONTRACT MANAGEMENT AGENCY (DCMA)","$80,000.00","$80,000.00","$80,000.00","4","4"
"2021","10/12/2020","9700","DEPT OF DEFENSE","9776","USTRANSCOM","$285,000.00","$285,000.00","$285,000.00","2","2"
"2021","10/12/2020","9700","DEPT OF DEFENSE","97AK","DEFENSE INFORMATION SYSTEMS AGENCY (DISA)","$8,344.00","$8,344.00","$8,344.00","1","1"
"2021","10/12/2020","9700","DEPT OF DEFENSE","97AS","DEFENSE LOGISTICS AGENCY","$21,578,554.44","$21,589,444.44","$21,589,444.44","3,935","3,935"
"2021","10/12/2020","9700","DEPT OF DEFENSE","97DH","DEFENSE HEALTH AGENCY (DHA)","$24,873.05","$1,444,873.05","$1,444,873.05","5","5"
"2021","10/13/2020","9700","DEPT OF DEFENSE","1700","DEPT OF THE NAVY","($1,140,211.90)","$51,357,871.10","$45,046,937.82","445","445"
"2021","10/13/2020","9700","DEPT OF DEFENSE","2100","DEPT OF THE ARMY","$106,092,694.88","$100,271,694.28","$105,144,516.88","480","480"
"2021","10/13/2020","9700","DEPT OF DEFENSE","5700","DEPT OF THE AIR FORCE","$37,862,954.31","$22,490,646.63","$34,706,477.73","223","223"
"2021","10/13/2020","9700","DEPT OF DEFENSE","9761","DEFENSE THREAT REDUCTION AGENCY (DTRA)","$24,749.75","$24,749.75","$24,749.75","3","3"
"2021","10/13/2020","9700","DEPT OF DEFENSE","9763","DEFENSE CONTRACT MANAGEMENT AGENCY (DCMA)","($7,610,002.50)","($7,610,002.50)","($161,194.40)","127","127"
"2021","10/13/2020","9700","DEPT OF DEFENSE","9776","USTRANSCOM","$1,491,479.69","$1,491,479.69","$1,491,479.69","15","15"
"2021","10/13/2020","9700","DEPT OF DEFENSE","97AE","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)","$0.00","$0.00","$0.00","1","1"
"2021","10/13/2020","9700","DEPT OF DEFENSE","97AK","DEFENSE INFORMATION SYSTEMS AGENCY (DISA)","($13,526,223.64)","($1,474,525.45)","($504,359.35)","91","91"
