contract_award_unique_key	n
CONT_AWD_HT940212C0001_9700_-NONE-_-NONE-	 774 
CONT_AWD_N0002412C4403_9700_-NONE-_-NONE-	 772 
CONT_IDV_GS00Q17NSD3003_4732	 766 
CONT_AWD_N0002419C4452_9700_-NONE-_-NONE-	 764 
CONT_AWD_W58RGZ17C0010_9700_-NONE-_-NONE-	 737 
CONT_AWD_FA300221C0003_9700_-NONE-_-NONE-	 730 
CONT_AWD_FA821413C0001_9700_-NONE-_-NONE-	 723 
CONT_AWD_FA861108C2897_9700_-NONE-_-NONE-	 722 
CONT_IDV_GS35F059DA_4732	 706 
CONT_AWD_HT940210C0002_9700_-NONE-_-NONE-	 700 
CONT_AWD_N0002415C2114_9700_-NONE-_-NONE-	 686 
CONT_IDV_GS35F446AA_4732	 684 
CONT_AWD_FA880615C0001_9700_-NONE-_-NONE-	 683 
CONT_IDV_GS35F4342D_4730	 682 
CONT_IDV_GS35F110DA_4732	 681 
CONT_AWD_NNG17AZ09C_8000_-NONE-_-NONE-	 663 
CONT_IDV_GS00T07NSD0037_4735	 662 
CONT_AWD_FA300215C0003_9700_-NONE-_-NONE-	 660 
CONT_IDV_GS00T07NSD0040_4735	 659 
CONT_IDV_GS00Q17NSD3007_4732	 659 
CONT_AWD_W9126G13C0004_9700_-NONE-_-NONE-	 656 
CONT_AWD_HQ027610C0001_9700_-NONE-_-NONE-	 654 
CONT_IDV_GS35F5946H_4730	 652 
CONT_IDV_36F79718D0318_3600	 651 
CONT_AWD_N0002409C2116_9700_-NONE-_-NONE-	 646 
CONT_IDV_47QSHA18D000G_4732	 640 
CONT_AWD_N0002411C2305_9700_-NONE-_-NONE-	 638 
CONT_IDV_GS35F0750P_4730	 636 
CONT_AWD_F1962802C0010_9700_-NONE-_-NONE-	 635 
CONT_AWD_N0002403C2101_9700_-NONE-_-NONE-	 631 
CONT_IDV_HTC71116DW014_9700	 627 
CONT_AWD_HT940216C0002_9700_-NONE-_-NONE-	 616 
CONT_IDV_GS35F4153D_4730	 610 
CONT_IDV_GS35F4748G_4730	 609 
CONT_AWD_N0002410C4405_9700_-NONE-_-NONE-	 609 
CONT_AWD_DEAC0576RL01830_8900_-NONE-_-NONE-	 609 
CONT_IDV_GS00Q17NSD3004_4732	 607 
CONT_IDV_47QSWA18D008F_4732	 600 
CONT_AWD_HT940216C0001_9700_-NONE-_-NONE-	 596 
CONT_AWD_N0002411C2300_9700_-NONE-_-NONE-	 592 
CONT_AWD_N0002413C2305_9700_-NONE-_-NONE-	 590 
CONT_AWD_F4261098C0001_9700_-NONE-_-NONE-	 589 
CONT_AWD_DEAC0500OR22725_8900_-NONE-_-NONE-	 582 
CONT_IDV_GS35F0349S_4730	 581 
CONT_IDV_GS35F4984H_4730	 559 
CONT_AWD_FA862512C6598_9700_-NONE-_-NONE-	 559 
CONT_AWD_M6785416C0006_9700_-NONE-_-NONE-	 559 
CONT_AWD_N0002411C2306_9700_-NONE-_-NONE-	 557 
CONT_AWD_N0002416C2427_9700_-NONE-_-NONE-	 557 
CONT_AWD_DEAC5207NA27344_8900_-NONE-_-NONE-	 551 
CONT_AWD_HQ014712C0004_9700_-NONE-_-NONE-	 549 
CONT_AWD_N0002412C4301_9700_-NONE-_-NONE-	 549 
CONT_AWD_FA880708C0010_9700_-NONE-_-NONE-	 545 
CONT_AWD_N0002411C4407_9700_-NONE-_-NONE-	 545 
CONT_IDV_GS07F5829R_4730	 544 
