"DISAprodserv","Commercial","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Other IT and Telecomm","Non-Developmental",,,0.000841584306272061,0.00101027272727273,0.000275954295927486,4.66211010314403e-05,,0.00206977401299952,,,0.000191580441267654,,,2.34802841530055e-05,0,,3.30806787424526e-06,3.66493214978063e-08,0.00179047525
"Other IT and Telecomm","Not IT",,,,,6.76531972424359e-05,0.000283409820802784,0.00242054287787654,0.00834631319005778,0.0338210536535386,0.00643028700117,-3.07768521070157e-05,-0.000844007249971812,,,,,,,
"Other IT and Telecomm","Unlabeled",0.0443858706115515,0.0315610510218268,0.0123429687075753,0.0272560315279315,0.995725734459466,0.148260219059277,0.140771660169487,0.313163199515768,0.850174864907387,0.104541815284427,0.00266838869939143,0.00150709353703913,0.000175497168141593,-3.9569705136612e-05,-4.31252484028154e-05,0.0332158685742395,0.000311563577347491,0.112031381973166,0.1480092206823
"Other ICT Services","Commercial",0.129837042751982,0.110265146670374,0.0698983464566929,0.0758766640316205,0.00934684539282523,0.022491723195228,0.0227789408318519,0.0273709130383967,0.0167617833193699,0.0271748058962209,0.0330483170067746,0.0247920033374676,0.0303711329965708,0.0165198862197814,0.013768165984732,0.0160401364837269,0.0116830148540496,0.00527854036792164,0.0042320202879
"Other ICT Services","Non-Commercial",0.114568520668177,0.121434573891283,0.0740967037740972,0.000408895915678524,0.000268327588408017,0.000305864297253635,1.56060150980153e-05,,,0.000326147618579619,8.10243426340567e-06,0.000157135731198557,9.52042588495575e-05,0.000327648480218579,0.000738130194802382,0.00664325987449479,0.000707026853112638,0.000121912894704622,0.0008092565522
"Other ICT Services","Non-Developmental",,,,,,,,,,,2.67735558617522e-05,,7.63274336283186e-05,,,,,,
"Other ICT Services","Not IT",0.004661974801812,0.00745178784929793,0.00114264051045343,0.000518163372859025,0.00300085299923401,0.00431211662545048,0.00457072211128698,0.0148560717125662,0.00493748745112782,0.016486874009477,0.0188796103672063,0.0473369285827038,0.0403361183960177,0.355704732640109,0.1355192349098,0.158434158131142,0.135398515432022,0.106193117610244,0.071405268999
"Other ICT Services","Unlabeled",0.0134242058323896,0.00406579869317392,0.00229756855824056,0.0199852173913043,0.0464939633127793,0.0211999539361253,0.0216836915888226,0.0138679428950409,0.0249429285383697,0.000163473788580789,0,0,0,0,0,0.00043348971633695,,-5.13792490562188e-06,0.0001137507193
"PAMS","Commercial",0.0250149164779162,0.0652308049492562,0.0683426962564485,0.0293175068140975,0.0170185535554704,0.0178800419653287,0.0131364496598076,0.0349266580416466,0.0655889616404105,0.0183421484376974,0.00360178785233666,0.00346348823993686,0.0167026261172566,0.0171760827774863,0.00861258519772604,0.0114698512252712,0.00820636906214866,0.00838512197816549,0.00588253475
"PAMS","Non-Commercial",0.05164206398641,0.0361424176282497,0.0345533817540049,0.000954957839262187,,0.00192415660146639,0.000647284277608669,0.0149238571094126,0.0151001576759757,0,1.23112640946148e-05,,,,,,,,
"PAMS","Not IT",0.00105614099660249,0.00762605032670652,0.000717893021992941,0,0.129188725720031,0.305345413860196,0.43976448033654,0.40588605016117,0.255922218340136,0.488223050407043,0.537255709147089,0.474401275433984,0.534248457139823,0.557856009178688,0.638938094780942,0.612090827044352,0.63886188589111,0.596280875706459,0.7062932926788
"PAMS","Unlabeled",0.115998510758777,0.158903583822883,0.506686585769889,0.12270294692859,0.0879231368801226,0.047237595358643,0.0547425589084378,0.0789650319665383,0.249648848297291,0.0269171250948871,0.00867129697255713,0.009315724839328,0.0076182233960177,0.00732317755344262,0.00220007668381159,0.000483333980961498,0.00192849223464501,0.0247936979925518,0.0770478754025
"Other Services and R&D","Commercial",0.00997741223103058,0.00159079382733213,0.000668748303013847,0.000465040843214756,0.000147768415677263,0.000433254629054306,0.00108586688116401,0.00322432475288878,0.000992317836615348,0.00306870682110682,0.000173722442301068,0.00018128695456083,3.4808860619469e-05,-0.000124916777704918,,,,,
"Other Services and R&D","Non-Commercial",0.00613344988674972,0.0722085833449187,0.0682781197393429,,,,,5.65719788155994e-06,0.000271154075665354,,,,,,,,,,
"Other Services and R&D","Not IT",,,9.01167526472984e-06,0,0.00805308139091025,0.100322675303467,0.0918486137178863,0.0820937009685845,0.0816366593703306,0.0833637885610156,0.0708835895106212,0.0923434536926373,0.0688754992477876,0.0878385129367213,0.0827977282564158,0.0497101139636248,0.0720849076655215,0.0631615842424242,0.0942462229227
"Other Services and R&D","Unlabeled",0.0661589170441676,0.0294729042124287,0.0208497257670377,0.0143777009222661,0.0122628004915103,0.00109334965825774,0.000453208328260075,0.00493437427660087,0.00154568568218164,0.00101350500549901,0.000806653924675623,0.000781567042507611,0.000651618716150442,0.00069238932295082,0.000310081346724418,0.000814965960646671,0.00170576002311056,0.0204916970644832,0.0109191855934
"Software as a product","Commercial",0.0780870724801812,0.0776100931461143,0.0891006046361662,0.0520755612648221,0.13304233807762,0.126709049436063,0.202499895973457,0.289177643094969,0.236673067521423,0.333054205070785,0.333983124499713,0.439109137785545,0.593908806105974,0.666823799026776,0.644751169393611,0.816419927602744,0.497986239182594,0.435557850651464,0.1893893711352
"Software as a product","Non-Commercial",0.00887842157417894,0.00531970526901154,0.00820767988053217,0.000334728590250329,0.00754518319928508,0.000114200472225674,0.00285130314075247,0.000598223262879153,0.00145779987552214,0.0432829728969229,0.00935749432851074,0.00479786288194836,0.00253066692477876,0.0181466535303825,0.0143721459931781,0.0152026694408636,0.013085725262336,0.0164840221364147,0.0383859659247
"Software as a product","Non-Developmental",0.00133791053227633,,,,1.90897484999362e-05,,,,,,0.00179584420461591,0.00199101749915436,0.00072051017699115,0,-1.55223282079047e-05,0.000238296557434588,,,
"Software as a product","Not IT",,,,,,0.000592854479930409,0.00203094287751126,0.00180109713288397,0.000522543384174723,0.000505179902304902,0.00103537480985188,0.000679220588566919,-7.46529646017699e-05,,,,-4.51568811159692e-06,,
"Software as a product","Unlabeled",0,-0.000376258862783262,0.000568053217485745,0.00370974703557312,0.0391134508838248,0.0638556017133093,0.0316922525443809,0.0546396315136013,0.0478835173012293,0.00241744091552592,-0.00105868520714204,-6.76513699402413e-10,-2.11615044247788e-08,0,0.00129916702761234,0,3.32332900270664e-05,0.00121112539944904,0.0038335473311
"Other Products","Commercial",0.511474556908267,0.405456920617267,0.553447865870214,0.230836387351779,0.131829345251245,0.234350073800795,0.257667136604529,0.19913153809533,0.299780588662609,0.193380626039897,0.188409390017338,0.329327552393731,0.33243058734458,0.294781214790492,0.349256878920087,0.220396428703574,0.350474294770352,0.378964436579839,0.3591636767047
"Other Products","Non-Commercial",0.0256590302944507,0.0495591477825664,0.182814869671463,0.0226813386034256,0.0146785909865952,0.00815961959786256,0.018864844490442,0.000895953212806933,0.0411646532114811,0.00585924212987013,0.0256178941768286,0.00893239585049047,0.00656624101769912,0.00557302881125683,0.0113056535308067,0.0253146686332695,0.0159566306988341,0.146468966402204,0.1317759205
"Other Products","Non-Developmental",0.00166154869762174,0.000237587932712359,2.28740157480315e-05,,,,,,4.843286597446e-05,,,,,,,,,,
"Other Products","Not IT",,,,0.000124932806324111,0.0896737646067918,0.0729093554819187,0.0758416829172044,0.078646050349663,0.129487958714166,0.0654870348542178,0.067905048871627,0.0528772234566467,0.166861388152876,0.128299081150382,0.066831398224797,0.090571161791321,0.131801440529253,0.23589891954321,0.2157991697322
"Other Products","Unlabeled",0.0188548258776897,0.0341333810649242,0.0662626350800977,0.323370878787879,0.109223159824716,0.0214944430841307,0.0133604215754292,0.00807603054814636,0.00289184014536341,0.00158743215607816,0.00150170977138592,-0.00258113807644605,0.000898652931415929,0.00504021724590164,9.09092582566324e-06,0.00987526319931929,0.00199089320737039,6.68697071727375e-05,0.0002104734782
