"PlatformPortfolio","AnyCommercialText","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Missile Defense","Not Classified
as Commercial",3702429700,4001785129.4,5596638052.825,5730648145.3438,6699369971.9938,7145253194.0175,8040522842.9102,9436886444.3425,10226483643.1313,12041167857.7851,12274003772.4608,11979882393.6761,12603849768.9987,12061144960.3568,9258966081.7648,10649573978.2637,10946927732.6218,8794784743.596,14704443759.0089,15004800125.1389,20295073305.9222,13393870255.7397,14955253391.7492,13812733999.5322,13931421704.82,6460330648.26
"Missile Defense","Non-Development
or Commercial Similar",,,298439,580920,5188844,,53752,0,,51472841.6133,2307536.8828,-2911.5,,,,24065.5,21247.73,,,,-1007.98,,,,,
"Missile Defense","Any Commercial
Classification",10563449,8150759,45937849,94521912.75,146324437.5859,96733485,97356355.6702,161829025.2534,130960680.9561,155379006.1561,134567037.2475,102813634.7642,72716878.6795,38596777.8019,34528051.743,26279984.5406,28485342.8229,38464493.9726,51294485.1075,77105683.0001,83040619.9232,82415334.2943,80636235.8109,76027799.4785,95557669.21,45956545.22
"Ordnance and Missiles","Not Classified
as Commercial",7908643161.5768,8458637232.4396,11357862862.1034,12223671898.7376,12860717285.111,13687680307.6528,13404230052.3448,16043283481.234,16841049818.9789,15577576613.5097,14299503162.0969,13773757553.4679,14048133752.0324,11618230389.7134,11614979957.9933,11855136139.1203,15192760448.8291,17649189447.3818,20168247133.3323,22580156117.854,22541856789.0211,20305048067.1686,18840003730.1453,31895361991.8784,34663363380.12,15327991128.11
"Ordnance and Missiles","Non-Development
or Commercial Similar",,,2533851,289474819,34190068,12060410,23813.8398,,19000,-1372030.7692,3873711.5516,194405.1305,483217.3814,991670.1,703675.78,11254.6099,-3217.68,2672,1336,-1185.5,-500,-57693.4209,46226,7644.56,,
"Ordnance and Missiles","Any Commercial
Classification",97458377,80710672,138693703.4,369269462.8001,402912739.8217,490045883.9318,353816132.3513,738951488.473,944865635.9434,721993343.4199,637146897.3018,679795791.4947,495792214.2457,359018373.5756,329595034.5333,371783070.3261,506330782.9511,351650213.2795,395675720.9921,542928361.6204,548930675.6423,453855328.6866,485555421.6414,935169237.0809,1058994704.41,437623978.53
"Other Products","Not Classified
as Commercial",8442560132.0998,7450011953.5394,7310966576.1141,7493293940.0358,13342741048.5196,37120982619.0912,36831240727.9204,24853260545.4716,20881000370.9209,23261860039.2116,17542825624.7662,18178022224.4594,15560093680.1216,11753417139.2591,11197522276.8851,11834738181.5199,14066931993.7738,13691157527.4857,13332735283.6337,15231291161.9402,16308780662.3034,16004679133.8111,14751085019.3563,17091601023.4069,18040681341.59,10795498167.25
"Other Products","Non-Development
or Commercial Similar",,,571165,3501074.35,3989758,239073,202858,65283.6992,80536.95,1297637.4762,453104.022,29035.7399,-9382.8,-6679.28,,47692.85,,0,,,0,,,,0,
"Other Products","Any Commercial
Classification",8769600020.3393,9966716735.3009,12607462171.507,16151110565.8817,14852763717.232,10277914347.4597,16740562557.5026,31074816749.4049,41171018195.9488,39195325575.3595,56400317442.0501,38001646485.0223,44480572226.385,36382583465.8016,33182023695.6012,30300772450.3912,27153173692.74,29594333299.9664,33088131380.8207,30193795470.7803,46592963641.0991,67195508988.1863,73033503792.3638,48266504214.7152,45935735505.1418,28126878572.6
"Other Products",,0,0,1983.15,111226.1013,,,,,,,-5424.5,4472.4004,14.04,,-26414.55,3849,,925068.7491,551773.875,1951401.2051,306151.2248,-2417.5903,-35313.0807,-11280.9287,-61506.72,
"Other R&D and Knowledge Based","Not Classified
as Commercial",22218319713.5767,23489162234.7587,29629596380.8999,34358930843.4183,39261395810.5385,48759350865.4206,54555912533.3518,56770395412.3272,64104157693.3348,68751520069.2094,70700953880.0959,67904220488.0435,65658349919.2273,59106081862.4143,57878916929.7558,58409757197.4319,59198704950.468,61784233402.5979,66459082594.53,71344030353.0107,79226144499.4038,85027475495.5769,88956479268.2848,106015125714.86,114740258679.429,62662420367.82
"Other R&D and Knowledge Based","Non-Development
or Commercial Similar",0,30000,22629190.75,79075762.0298,52045787,18341612.3164,8369384.0075,16224192.5614,88037856.8061,258927780.8346,358937728.3042,445195102.9252,1069875991.6985,999854332.4347,976490778.5635,763067139.5348,563653750.0167,213380835.5374,124651482.2137,38245418.5154,98634407.4993,200294085.3008,123812050.5683,89201502.5907,47017278.16,17216305.34
"Other R&D and Knowledge Based","Any Commercial
Classification",1409168046.2674,2371200690.4393,4446352236.3802,5353871392.3499,4743782356.8202,4480061269.6407,5654387254.4758,6718905744.2989,8677855261.1465,11800365145.8751,13986263057.999,14606232394.1516,14400936769.3343,14783492963.4218,16520284214.9493,17228214461.9646,19000321030.2494,20386027478.4407,22257198969.0796,24066283320.6445,28872199786.5288,32536726157.4777,34587668434.0193,38139247135.2106,38996035220.88,17173773158.02
"Other R&D and Knowledge Based",,1271238.81,8486346.1117,12156843.2581,14460190.3047,4597447.5938,2099082.0304,2023598.32,2701524.625,588252.3701,608876.48,-8017.34000000001,1080993.8941,28308.3394,-294948.65,-105786.29,1443910.57,3582256.01,4778289.5,27977531.0018,76039672.0487,55970629.9871,21851423.1407,10636890.7522,10292839.5206,3465514.46,-65920.7
"Other Services","Not Classified
as Commercial",6840652316.8938,7406495118.3256,10577773010.5333,15543693565.8594,19745180190.586,23033687765.9187,25949644644.3439,26223539448.9153,29343538264.9221,32235818270.2177,33424776679.9727,35042381825.0427,30436937171.4207,29362773615.7522,25169135860.6759,22929187085.1811,23587857494.665,29136522029.6046,26793144590.4141,27326940291.7069,26638559013.944,27985474408.0399,29165705334.3265,29177600244.0621,29990198561.5,17434729878.78
"Other Services","Non-Development
or Commercial Similar",494450,,55361,2697909,222836010.22,391420016,1780629.5,190067.93,17925531.9956,38193909.8733,276621567.5376,669756140.66,662075137.0168,399232928.9057,234516954.858,107603038.6182,97892124.2797,74032465.545,123475569.0101,81096197.9902,27024485.0323,81492503.7212,56464709.5544,-6377060.8252,5516098.84,2017750.44
"Other Services","Any Commercial
Classification",1785980115.5742,2150101888.2966,2165234954.8216,3374259739.3777,3514843245.8846,2328103592.4303,3316636251.0022,3667029064.9308,4089161040.0028,5797950196.3277,7292529106.2046,10490446918.5633,11465302967.1482,9725206711.4632,9809836806.8063,9997049304.2334,11349276064.9193,12137611285.0125,15351046955.8321,17080343747.5739,26974741270.9842,34665364126.6832,41487345527.2418,42990813918.4861,48326094554.8512,38885230566.2
"Other Services",,130256.24,1006140.4691,460113.3496,1070724.3324,11880.5303,432034,,,,,0,,-4397.95,,,,,16746.42,288727.9022,1623159.2735,70066403.3003,-2684532.9614,-232136.95,-1171521.0867,-12224074.68,-612625.28
"Ships & Submarines","Not Classified
as Commercial",10514254420.4638,12606256474,12916608482.8517,13043894075.6176,15328191132.6648,14544753044.9807,17054435000.892,17069003482.6183,19639634609.2502,22060219338.9305,17917238103.0664,29969185701.9325,24470836918.1017,24201772317.0025,24137427505.4155,20541140615.9365,23757722936.9285,26204730871.194,28485886526.78,30257273496.4924,36740303744.9249,28671169024.9475,29957491431.9061,33648597107.5444,32770961799.7409,29808565009.12
"Ships & Submarines","Non-Development
or Commercial Similar",,,2592665,42259031,6163325,1987471.75,112486,17773,194613.0195,4325850.8688,-2265905.341,2492307.1817,1315822.5894,2119861.6219,1570028.88,389565.09,8386.21,-10623.7602,-4148.2,-20479.27,20493.5,863114.21,1684103.01,-6930,0,
"Ships & Submarines","Any Commercial
Classification",187367910,294673500.39,420739882,617186311.8008,488991427.2908,400271922.1737,496568189.4637,839525906.0171,776680183.4125,660665207.737,857025628.0059,818327966.848,873398670.5159,798073514.9784,1411897938.6404,1971747990.9339,1985849669.7417,2478680269.8103,4326875296.0805,4834715120.1243,4948232100.524,5375915445.8557,6219837754.5765,8494755991.7042,8419717370.69,4086318667.57
"Ships & Submarines",,,,,,,,,,,,,,,,,,,,,249740.0469,,,,,,
"Space Systems","Not Classified
as Commercial",5054851193.7579,6654621421.71,6454804805.98,6746392372.4674,9878353915.8127,11770831738.0159,13632101675.5873,13392157743.3882,15911108184.0706,17728491661.1288,16812100918.9209,18359218234.0385,18572953338.4325,16119712671.8514,16829456659.0976,15124070174.112,16191011041.8522,15861379503.2561,16126175158.73,16565628463.2747,16202709656.3902,13162778550.0275,14313710465.7728,16072004722.3097,15799004234.15,9891629564.18
"Space Systems","Non-Development
or Commercial Similar",0,,,6352871,98687340,2513681,,,0,-13343620,8012032.689,703791.8164,1345179.6406,1511818.08,1287562.99,1140981.7,1167267.0079,273687.5,5e+05,-222944.35,-0.07,,15206.79,,,
"Space Systems","Any Commercial
Classification",197254643.0938,707156915,636588528.39,844536363.81,2599102768.24,682797900.24,486408622.81,524060875.4258,763789869.7017,672105403.1058,601823757.9162,591143362.8856,434726413.6243,374453924.3705,455993646.9359,520913762.3323,634791900.5119,850641956.7895,1244669554.4669,1814375588.4856,2999373910.7278,2252905903.549,2940768780.0057,2619494727.1569,3075603583.59,1860342453.93
"Unlabeled","Not Classified
as Commercial",133712633.5898,329316924.5053,516529561.3943,634414917.2935,332706284.9243,375243251.5437,421840003.7314,233000458.1175,116927535.2282,58446849.2021,12882298.8454,827771.9785,-2790398.7455,-7212968.8795,-99747.46,-735416.8656,-185056.0367,220449.0981,-258287.3,37619.09,-5031.09,308697.26,608777.04,607223.06,1316990.74,2356927.56
"Unlabeled","Non-Development
or Commercial Similar",,12500,,,18210.06,,,,1690602.14,1784764.98,1112210.8297,66826.3699,11926.96,-569.78,,,,-32.46,-3041.28,,,,,,,
"Unlabeled","Any Commercial
Classification",11218365.1754,4082056.9707,4048093.264,12872744.2657,8638278.9616,56897050.6594,104626602.7326,76216219.9316,86924817.9695,43655942.23,18701628.5271,1612648.2277,-379984.5576,-122662.5411,-80573.63,-65637.85,4980918.59,-20080.3298,-3391.65,-508,8065,-2529.71,5623605.3157,13985520.4654,13256692.53,22535542.67
"Unlabeled",,6078407.18,74214353.3,145243205.8792,27056731.5734,4853406.12,4739774.12,289584.3594,2702970.99,2541056.07,4092323.45,815848.52,-122081.63,-413135.74,-3428.57,3946.94,30000,-23746.84,32000,20204.71,0,10000,10000,0,-1117,10000,0
