"Shiny.VendorSize","PricingUCA.sum","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Medium","Fixed-Price",33366867220.5267,34874894070.2198,42593772125.4086,46346097776.9856,48954967528.8623,59205349162.4485,62435806228.3657,64614404145.9856,71251459340.615,75941779263.998,81496609687.9884,80864287524.9716,73521291142.2537,64309733726.2873,61546234614.6805,58016119199.9953,58176063334.0995,65696527086.0981,72476279941.1949,77423846812.4395,91799202444.7163,92317916447.9723,106459341565.57,113355244105.325,113490303004.796,45102550040.81
"Medium","Incentive",1154061874.3117,2834775968.23,1700711035.8605,1616845796.5841,1677831628.3869,3785120638.8816,4078190247.9634,3278263120.3708,4272997208.0679,3241163144.2518,6940529081.6234,8040612039.8448,8242527704.2057,6476346606.3985,5076010389.7568,4371564781.8805,5473904333.5438,6511880952.7583,5802732967.3561,7821134934.7074,13171259734.6229,7164532677.2155,3990679012.554,3410242969.6643,3399329153.89,-270640741.73
"Small","Cost or Effort-Based",7123610707.9592,7879298660.9529,8998536735.5235,9366081587.4884,11418246451.8437,13037128410.7563,14467592488.5034,14680464678.786,15196113795.8477,16347395526.1968,18782583140.17,19022690346.5633,18271800591.126,17716069097.0293,18757218132.1158,19746230997.4268,21999601611.3761,22676582697.9833,24874708518.3651,28168376955.515,30853242927.9815,29195354531.2072,31528888374.1729,33876248987.9245,35001211137.7,12441892799.04
"Small","Crosscutting",2342415619.5005,2036510215.9128,2594647968.5692,3271960104.6859,4575721057.4674,4774269513.5277,4611882673.967,6120548030.2977,8397913905.3948,8741341314.4042,3958127686.6476,1955134686.5156,1231519987.2167,1116071345.4773,1070333889.8089,794157977.3021,1209281465.6274,1200805262.3695,1057791855.9297,976717459.3114,1453232374.1032,1183604743.3196,1119337661.7105,1289151888.3132,1321051276.2101,682511129.68
"Small","Fixed-Price",25206653574.2368,27702152271.0069,35944433186.5425,40819787344.0864,40672850591.6502,53160593922.0405,55262553873.1539,59703880318.5576,65356045842.9383,69771523313.2288,76795985709.3833,73863495001.202,73350428169.7617,65525356912.0888,72905069632.8072,71182088514.7426,76379079535.8363,81698380353.5755,93474961719.0802,96432190059.9811,103924085731.538,104816058244.448,117089628695.478,132608575110.443,135527628863.746,47035725779.83
"Small","Incentive",245623937.96,281044329.7634,487284074.1052,825964548.4995,642061557.7234,667025814.221,851998390.2482,592819491.3544,526044860.2763,908059967.468,1059431075.4013,805888160.1806,875533159.0695,1112135914.4698,1346810074.2069,1298576140.0985,1210686826.6334,1149147060.9728,1355554804.4367,1016126304.4679,1952859671.3501,1747663423.2215,594463785.438,803339554.9686,624721682.34,197949055.63
"To Be Labeled","Cost or Effort-Based",559518635,723918126.37,579549177.9469,560647979.6653,672608500.1728,490401464.747,609226489.7092,703136911.7155,865139471.3328,1139870545.1891,1560459310.6938,1724237558.0752,1498019935.0224,1416527926.423,1590552922.2255,1897517523.1749,1763023685.3834,2343980619.9575,2381875234.229,3352930263.168,3286607544.7645,3400812481.8717,6488009226.2916,4924222076.2475,6183314327.83,5528204457.95
"To Be Labeled","Crosscutting",280234976.29,69892627.4704,123508560.5825,78574295.6495,174089407.9099,407840326.5008,208564880.5591,250469810.9583,473922178.7958,420725604.2197,733102823.827,1475418546.3068,58045976.4411,120815162.0298,160432656.0547,89783029.7775,143681905.3424,103922203.7604,182600159.9686,341716447.9643,278765223.8559,334302391.8067,567204462.3291,382554664.573,2021412117.27,644565276.43
"To Be Labeled","Fixed-Price",1905336751.8726,2103730005.236,2262910104.5553,6682321174.6927,3710827851.5907,5208219809.6246,5587808436.1855,5964400577.744,8872290703.2094,6982480555.1413,6940213852.9812,7183884836.7409,7754017772.0018,6711566782.8434,6262147628.8587,6692157548.1344,6618665664.8896,7364835876.1187,7843917118.705,8897983874.9129,9955586999.0351,9806971872.4658,10570491022.6941,14373692384.1312,16291068130.02,9278590093.06
"To Be Labeled","Incentive",86365350,52792803,45836828,52730256.38,50904827.48,283554003.4818,684784809.4876,860301089.3803,584513896.6377,650418220.7901,618203873.5306,472159632.2619,407728666.7869,295974055.57,250131609.56,237095844.1287,298898421.3556,360624894.131,411411318.2683,421043302.59,610692232.495,610419898.21,584152176.21,809806058.158,1932428488.45,937833331.56
"Unlabeled","Cost or Effort-Based",831566666.501,1179791909.5,1681315390.43,255205359.2954,942826409.2837,707596085.2401,761391840.663,1249519446.6766,1075734257.0354,1098411572.5108,1109772029.3039,472471668.5195,1952300032.6587,1887574286.2261,1283663876.2859,1020557493.3984,653914403.3961,617881778.4927,588743150.2389,335747963.5802,320652450.8497,379628297.5762,244809317.0559,940840739.6806,1115729129.35,519812824.34
"Unlabeled","Crosscutting",12208585.4344,174130366.6614,391151687.61,163174801.3195,193622475.409,213108460.1222,173165487.5938,178390753.4723,512605768.2146,595643347.6489,330385665.6331,348832085.7653,217797018.5726,192625403.3187,191917452.5398,108088482.3895,310406176.8975,20218659.98,28851089.2754,19989002.055,36479659.3089,50009174.7451,34581613.9198,42532480.4354,105483281.49,13660109.24
"Unlabeled","Fixed-Price",92702115.1602,157715188.8991,347263832.7604,583944898.2308,1284293574.8758,8111594373.6256,8554851628.7386,8252880453.7618,10835916258.7326,7395650126.1749,6057516408.0381,5353640411.2704,4332619630.9843,2878773232.0928,2243166816.1946,2231505846.92,1961216223.1994,1949022069.6414,1779040920.8347,2172063721.4166,1227019819.9672,1249519827.9014,749688073.1533,1073281108.4161,764219023.3,181294689.8
"Unlabeled","Incentive",1155000,3905273,1285030,5679007,356075,6368213.5598,-4729669,707991.45,1113849.32,1469963.6638,322362.1024,501489.5808,885981.0276,3342795.64,579993.64,769603.89,22386537.51,142274353.9855,212951903.49,319097853.13,152969387.87,62102876.78,-13440984.48,-15832528.92,40303.27,775
