"Shiny.VendorSize","Vehicle.sum","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Medium","Definitive",26515359435.9119,31552044514.38,31087221787.88,31533272862.43,32513691397.74,36806896280.15,35667394568.31,39055490444.2,41259814323.95,48190714023.05,47594053118.4036,47857332168.7279,42808777760.2857,37881381913.9494,37051007919.446,36250575264.5003,36014282170.8562,40229936243.4658,41205910633.41,46283445066.38,50815806427.72,48635059455.51,54861751006.62,52001490476.2,49484194893.11,24561256858.61
"Medium","Multi-Awd.",3427480998.4179,3713944599.6889,4968902047.4893,6511082917.0702,8603449594.4239,8831093481.6328,12210296922.1992,12973268577.142,15524616002.7582,16946707022.5127,17673409093.6708,18484116508.0539,18750100535.2269,16141123389.3929,16177604352.3462,13963720506.9903,15242455082.6968,16105294185.344,22299876832.0641,23897947878.9345,26430555620.5747,21953287744.94,25025641343.7316,28660118536.7086,34271159260.5417,18601232012.29
"Medium","Other IDV",4847177168.9514,6007942124.7501,7397291577.0545,9897656294.1694,10768094060.2932,11390042447.9539,11460379639.1814,12245692920.5992,12513654022.3979,12938944696.3005,13965988834.2533,14043410036.6654,13675044907.4022,11737107510.8715,11744096879.6695,12091344491.7003,11038220405.5489,12249009379.8129,13499770251.9985,14292956203.9925,16631424446.1881,18113497417.9438,16710659957.8891,18876651715.4321,19925015051.2721,11675272454.18
"Medium","Pur. Order",4110578600.4107,3268307783.16,3954683483.96,5494130546.28,3277740094.94,4612271605.75,3912643975.53,4638250214.76,5188468013.07,5178693065.2,5978956726.3376,6677047850.6293,5155749276.0457,5100432161.7199,5295971295.7184,5140623901.767,5681550490.9469,5478250157.5507,5536085031.81,6126835424.09,6562887500.29,6891956489.7,5630695608.46,5684009301.25,5859327310.15,3173208839.99
"Medium","Single-Awd.",12146896822.3753,13245013326.4499,15132823012.9276,17967522574.115,22258747560.4469,30131896174.4639,33217713650.689,34734046229.6947,38179467962.3782,41669263333.7169,40000361853.6575,37340730804.6115,34917375600.3275,29154228752.4443,25977189455.8661,24516702641.1037,27481813924.3206,32814310333.6966,33820593065.7635,35735361286.0406,49110007408.1548,47834784040.2779,49251358589.8401,61818896286.2944,61242570964.1064,37808120579.19
"Medium","Unlbd. IDV",2738422710.1528,2334400405.2415,2915618547.5902,1661611158.6561,1361652167.378,846322916.4508,652649986.7473,317434295.2056,194149435.2623,117894010.9825,107355006.2065,79762330.3513,53690037.9109,-193682.89,-988492.15,17670892.4117,26133.7202,316567.9995,1907610.8279,220081.4313,-188329.9025,-6319905.7031,-167954.5625,-15544564.8196,14848.97,-14670669.9
"Medium",,50000,164473.5625,1234928.5601,0,1693017.2657,30101,1542.89,0,0,0,0,0,,269000,,0,-5000,0,0,0,0,30674.99,0,-10000,98514,546831780.91
"Small","Definitive",14944990437.7366,15404582330.88,19091945583.75,18689192246.8,19960887640.02,22018453098.58,23984208792.7,25387018699.23,27398253164.2,30467763339.58,32240833525.6606,28512230425.2288,28618615215.1489,25548301815.8264,26504536058.3637,25506692657.5835,27548439553.9998,28188043806.4362,31360942525.86,32803124199.88,38448580254.47,37425507403.59,40606617645.94,43854489497.82,42969364656.18,20829300521.65
"Small","Multi-Awd.",2548065110.9185,2964351665.9144,3717965345.2145,4557450083.4842,4998669830.1467,8096241122.0751,8095775750.7256,8673893085.1688,10710478348.3618,12774732728.153,14472738313.1758,14750194933.8972,14440514148.8964,14112808462.4483,17764862978.9788,17594903603.9081,20592716555.8724,22329644819.1006,25616033575.5023,28239947129.7996,28916629795.6299,30986324276.1028,36356414598.7809,44332866437.4045,45178017529.2827,21273485874.96
"Small","Other IDV",4320290456.7428,5116291888.1448,7358797646.7785,9787596035.7171,10491981903.5903,10939421755.2587,12219969286.2308,13033257353.6301,13644106535.8018,13871168115.9797,17046165458.2654,16213529883.4228,15572145190.6833,15729836574.4743,18117004942.6866,18541177899.5562,20181776445.9185,20823432284.8971,22505361828.8168,23665431229.2447,27726434748.0653,28998285876.4043,31241065875.0497,35160355535.1193,36712529815.2849,19837752928.16
"Small","Pur. Order",2784058185.8354,3072000001.84,4550487450.67,5801262832.34,5318198823.31,8202247442.82,8939763486.38,8775427536.16,9827633155.7,9025706809.94,9117244408.0483,8704174786.2414,7639209475.9764,7437116238.7398,7831063686.72,8105199941.8336,8392010176.6752,8992147970.826,10425349637.54,10006305191.53,10080894688.26,9605006705.11,10326316671.0699,11461061956.97,11716649658.76,6024442218.04
"Small","Single-Awd.",8586700414.6436,9527483157.745,11360171162.8738,14080199116.2807,15483219638.7419,21685067489.2363,21504583156.1003,24961917544.6742,27829050912.1962,29584299609.1859,27689721489.6086,27461345387.7854,27452096467.9425,22634986583.681,23857201367.6883,23267198399.2028,24083442210.5673,26395128859.7701,30854321089.6733,31877222878.3211,33009103685.5421,29925587649.6539,31800596027.8343,33768548231.5053,35895907279.9984,19912483124.66
"Small","Unlbd. IDV",1734159733.7796,1813687166.3618,1945400494.1723,1362120347.6382,1054169355.1776,697224845.7351,449081074.7358,266198300.1326,66596288.1973,44649518.4592,29188416.8435,5484777.8859,6701408.5264,6134870.8954,4762694.5014,5878763.0958,264496.44,-3482366.1289,1008240.4193,1380150.5,1777533.0053,1969031.335,1307698.125,-6117.1699,-1329793.37,-1203744.34
"Small",,39500,609266.75,134281.2813,5972922.5,1752467.6982,361906.8403,645879,0,0,0,236000,248000,0,448723,0,2364.39,0,0,0,0,0,0,0,0,3473813.86,362011114.11
"To Be Labeled","Definitive",1470306616.8213,1850177171.41,1650498987.9,5682234037.32,2765799825.4,3851530546.05,3818004527.36,5319507601.97,6994579999.65,5068564176.85,4772610821.4923,5860095379.091,4232645240.2375,3395104659.5362,3373182778.9072,4593423257.7763,4090724511.2807,4076475985.4585,3915819452.22,4199950376.23,5625030598.72,5213372293.94,4730653235.8,6786463092.75,9811206448.32,9222472529.82
"To Be Labeled","Multi-Awd.",260359969,264156195,383906494,261695201,363695276.3497,474934049.0122,668042003.7685,411613171.1282,955679088.3777,881825251.3227,1272115088.2592,1114658983.7364,963838103.2454,1036273952.7052,1182878453.3949,1306220489.8958,1399987994.4686,1431578481.6688,1780649352.4448,2269825523.7246,2489001245.7874,2837275306.0323,3401231478.5139,4041941414.8538,4108574933.92,4648886734.73
"To Be Labeled","Other IDV",91105556.6,211308069.4099,277170940.417,361792279.0713,385191821.999,351413007.5978,505421156.9602,396686874.1309,474305489.8419,670891937.2247,805133148.1058,842232876.2217,960266049.6303,812892568.9445,1024927173.6316,942767235.1626,1206290183.6306,1215618017.24,1443899664.1588,1917213832.9427,1471643138.4909,1648456903.871,2362749674.58,2891446619.5356,2899397075.42,1025154425.5
"To Be Labeled","Pur. Order",30645713.7266,40292653.85,39375561.72,80490153.64,84146796.06,132867284.5,117706282.78,119082981.88,125410155.3,162533152.1,473828943.8427,382739528.8969,324066540.4722,233621770.4479,207072852.1318,149758521.2198,157017017.6861,378970272.7776,326878032.41,253066861.81,280536960.96,261838755.89,213660162.76,217331294.11,149004993.34,90380501.46
"To Be Labeled","Single-Awd.",713330706.0147,542884617.4065,627134350.9352,962574695.3562,993945627.9808,1561195020.1794,1970938315.3673,1523553294.6652,2236756004.2396,2399809969.3252,2523258274.2515,2654383092.1263,3236083997.6043,3066064444.1924,2473304633.6334,1923428402.161,1970249969.905,3070720836.8227,3352557329.9373,4373617293.9279,4265440056.1922,4191563384.6209,7501562335.8709,6553092761.8603,9460039612.57,6834028737.44
"To Be Labeled","Unlbd. IDV",247790289,41514855,33718336.1125,25487340,15651239.3639,18075697.0148,10272329.7054,7864466.0238,9135512.5665,9870438.5176,5033585.0811,1590713.3125,912419.0625,926531.04,1898925,956039,0,,,,,,,,,
"To Be Labeled",,17916862,0,,0,,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,185652246.29
"Unlabeled","Definitive",885694323.4144,1317573908.62,2088167443.79,568462989.02,1457250388.97,1826158935.25,3521696073.28,2926411128.05,4888053300.23,3589985907.97,2508591931.0484,2670483197.0478,2823752659.2586,1830283505.273,1057502415.9048,1546826520.0822,1109838174.9341,1123760192.3352,1302266551.6,1400213835.97,598347310.77,832916325.73,561074873.76,1461059852.96,1517714704.6,609821645.47
"Unlabeled","Multi-Awd.",12854013,6330901.3007,231265,2447558,124155194.757,638975563.3983,781403905.028,1254123711.9687,1166984815.646,1480655455.0385,1214981667.7987,129224563.2879,910618948.8029,1032451330.9702,1153651021.959,543276920.7211,718764590.2034,609352884.1387,282003462.6254,366478409.7938,270245464.3032,176568502.8411,12518804.0675,24938231.3376,20542113.02,15924893.02
"Unlabeled","Other IDV",1788151.2908,7074197.6899,165706257.64,8126668.417,20602252.6373,43603244.9964,39223397.5766,67988269.0029,134679907.7804,132703167.6433,376096933.0518,590856723.8943,437542564.6659,495470575.5696,108775285.0715,79736304.1737,50803036.793,66231217.3484,60835381.4158,96757499.7597,96331858.6311,105573831.2916,23602642.7274,21157420.8605,21413280.46,6116965.35
"Unlabeled","Pur. Order",7617652.5804,23346999.61,137456496.06,331901139.5,592608913.98,776307711.12,1492474176.48,1870693226.97,2355804034.71,1771465104.15,1417592401.3131,1249988217.7004,1066720916.6216,775282337.6315,720634001.3116,696022198.8043,534102547.99,542140958.6485,541840676.3,570995014.65,453798546.96,417729666.46,395425039.66,436210097.04,322735070.61,156171801.57
"Unlabeled","Single-Awd.",162687,5296443.8399,14695407.4404,27247131.1274,188717758.4027,5704609979.4789,3644647293.09,3555278857.6734,3879453496.067,2116460731.808,1980631595.1663,1534811751.2349,1264967573.8942,828839928.8333,678765414.4134,495059482.8166,534414991.0825,387911609.6288,422640991.8978,412453780.0083,318398137.3315,208471851.68,23016659.4341,97456197.414,103066568.72,28134774.21
"Unlabeled","Unlbd. IDV",29515539.81,155920287,14759070.87,69714579.7813,37764025.8215,49011698.3041,5234442.5408,7003451.6957,394578.8692,-95356.6114,101936.6992,81201.9707,0,-11961,0,0,,0,,,,-1,0,,,
"Unlabeled",,0,,,104000,0,,,,,,,,,,,,,0,,,,0,0,0,0,1535116.34
