"PlatformPortfolio","Shiny.VendorSize","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Ships &
Submarines","Medium",3791952119.75143,10851333542.1178,2115984595.61276,1859672192.21761,1864815223.42446,1987839109.90548,1468471846.73085,1532558370.21248,1774084707.04544,2513692793.20949,2693689153.13789,4798288948.6366,4358864036.22754,3869096764.29477,3324380772.64457,2858586311.34059,3568188055.25698,3196862843.4529,4543600071.66424,4526125073.54782,3020229735.90976
"Ships &
Submarines","Small",1969379187.90694,1850585585.38285,2057238660.10697,2711040714.6703,2365576052.45985,2300364744.91882,2655882336.76153,2850092975.26169,2716206932.43103,3479969924.21315,4104850139.17484,3952535537.79424,3879138966.89394,3432822942.89095,3588965350.81507,3699001314.79024,4204320055.83748,4612468033.13542,7233613146.13913,7458043814.42648,8174061287.52008
"Land Vehicles","Unlabeled",0,1039206.84209161,1383030.6385164,8341955.59929295,4140428.09832922,90169661.6507387,198494387.032718,119687191.411797,194288595.872329,227300803.169525,369550244.532766,334140963.849242,272421255.465101,155687028.449837,84822102.4280698,77873252.6603534,64724971.8514698,232228697.169583,318575835.045498,408995297.022205,160888516.532051
"Land Vehicles","To Be Labeled",981708438.426074,743290548.922708,1245446240.49156,7217887756.37346,2188381109.4601,3900265930.96338,3140148479.64906,4387098260.77844,6184834570.75354,3530056521.58151,1224653166.23575,1603445663.01182,189855452.741018,95959150.7491886,284407005.917898,1119347590.62949,919338777.429997,1123367347.3685,670060966.668604,1057561210.40715,672701288.139421
"Land Vehicles","Big Five",1409281305.72191,1075488821.65765,2179300630.77548,1792293119.51312,2264938353.41181,4776088221.29837,7951209852.23784,9683775231.87014,11196276572.0238,9458654952.06638,6001251903.66634,5017387915.04717,3406556680.09891,2437961671.51232,1979527020.82192,1177053362.20119,1356605239.37946,2138114415.01352,3465792912.96976,2655778324.52958,2793123099.39047
"Land Vehicles","Large",3417854851.23168,2654329368.39731,3096452230.17398,4151585670.28944,6045553091.04812,7580622551.02391,8071059359.69404,19592037179.721,30479203765.4899,20877543476.0665,21791565866.0719,15010845084.9352,8691139661.82833,5285011085.24659,4362784490.13674,5460646327.80971,5972403661.04154,5162141065.87767,8855931294.6813,8714440343.28073,8201253092.50856
"Land Vehicles","Medium",1244757801.29557,1686210030.86465,1918128347.2297,2204150818.95184,2503633472.9475,7181807801.27966,3635798705.47522,5039911550.15665,5440976964.14326,4827467102.74667,4958821463.53502,3781708464.22545,1746970792.20126,1854642945.28269,1196379749.24058,1805823847.67152,1601681298.47704,1913460448.37895,2055690239.93817,2268156929.8952,1880083651.93364
"Land Vehicles","Small",864263718.013169,825850275.869501,1203620889.66054,1896564931.77228,2829806907.42095,3784648535.68316,3659350285.86231,3484474609.42145,3893341272.35327,3711311486.39446,2650287083.0297,2817289443.00542,2258899675.63351,1686536505.11188,1940648076.96749,2032222386.08422,1933003739.70507,2171866329.48524,2696360839.17854,2652175285.67238,2559976020.94721
"Space Systems","Unlabeled",168117.339137676,117172.181236772,,,102091.813621772,140682778.170328,190916.650702958,484005.808968962,397927.588996998,728039.785978106,1229082.01845048,2777018.54401026,2129632.81098902,2463003.44135321,2987986.23746715,3027852.7829694,1388696.90786362,1240383.60890573,1145063.4595858,-34132.58236923,0
"Space Systems","To Be Labeled",40859582.7445661,40673868.4191434,12848567.2168679,18302842.4781941,102951726.891494,102241764.407081,79785428.5080337,88127285.4358252,86187447.3603466,93482863.56408,92964845.0314477,92880536.8610848,97725218.6305614,84022162.1785771,78095321.6640894,84510457.6011414,88155285.1357213,67438904.7855428,83833807.5158922,86884098.3268492,74294061.3198477
"Space Systems","Big Five",5246283852.3785,8203431906.86898,7080941528.33424,7246874607.37011,10579229834.1049,9532671208.78518,10983131535.003,10451714439.397,13214024629.312,15236722597.1596,13476271680.0709,15651873491.2182,15372822114.554,12813391714.7686,13197513049.2042,10230211237.3892,10507859057.6674,9789111610.95966,8686646263.85921,11268535920.4661,11314713323.4022
"Space Systems","Large",1458133506.19203,1444738208.51729,1873954741.88332,1936614340.82577,3367356623.19348,3181255456.09026,4096057556.37973,3742796638.12325,4013843444.34418,4349572636.44612,4331093226.94455,3795292131.77438,3548250349.66037,3034407271.13269,2828799731.53904,3820719990.80318,4046330007.64438,3933711539.22791,4554296091.11356,3680410570.98752,3662511610.17214
"Space Systems","Medium",1276947801.21846,1407679403.19473,1512179323.09564,2018447209.85597,4593467798.45915,4929672921.23141,4609087018.32991,4659155362.84162,5089712145.46262,4681065118.19698,4760756338.89875,4792689922.02156,4777633001.23998,4157189170.1611,4657618645.1656,4249953741.17398,4847868495.85562,5183932380.34692,5993216290.70245,4806594079.85615,5456354105.09396
"Space Systems","Small",807307721.736982,986891524.382978,979519638.729553,825483368.794914,821452608.720871,822980187.83216,770974710.368086,760260046.232448,723942627.726671,883418359.642947,1051955716.33521,952599639.894701,1114813897.20607,1142603060.74106,1088673042.82717,1188477793.70339,1395812066.06874,1425263871.59895,1425531319.35372,1708083775.72765,1716440360.54054
"Air & Missile
Defense","Unlabeled",,52195.1426086837,,,,26995.9900478118,1634934.33911293,,,109836.913670046,67378.0664338234,,,1114810.74305438,0,0,,,,115982.164779203,89171.4231914797
"Air & Missile
Defense","To Be Labeled",2832343.42173487,1126453.161526,2057118.66346814,10583962.093325,1351285.64783341,7691051.37108147,8594638.68443833,12998804.6043943,2071056.04125928,2640743.72496392,2466914.29027142,7844177.94633899,9041393.51578655,4174846.60851534,58539225.9448508,1027898.34275661,2770537.24039789,3368062.96419917,7125260.55293358,11884008.4006203,8104913.81645041
"Air & Missile
Defense","Big Five",4367397723.62701,4821810279.87957,7279014923.99315,7230264583.42503,7803985267.90458,8477801899.15851,9675818998.01173,10862754981.1609,11567264102.8771,14298304705.7408,14703019880.9831,14193431706.3605,14616239090.4327,13768217452.9309,9678027254.99278,11310076308.8126,11448859446.1198,8456503592.16927,14990023706.4601,15112632673.2154,20951786636.5137
"Air & Missile
Defense","Large",956977100.147144,844930048.98229,878699471.818914,854015428.75058,1464860196.23903,1035397076.66217,884854428.680977,1208717838.72494,886901368.641877,772444703.503592,645773920.312527,516620321.143699,506679685.631166,535062904.608935,575624169.21931,845407311.613877,842123651.037063,851780084.937209,1161082880.45288,885249328.676615,906015351.233271
"Air & Missile
Defense","Medium",373352271.661925,452154964.721655,446061109.748098,542723922.047103,569095539.162729,664903072.845116,560072173.083709,768992501.037298,1049912868.32577,850356921.479451,705325889.382276,586060756.45466,723008459.555721,636987772.003526,773666851.319834,550583999.141976,610540136.727735,591323568.105686,696256997.027558,728637316.424047,730640729.910105
"Air & Missile
Defense","Small",541625845.605208,461785324.221662,512855104.118697,599318473.946787,764071712.576662,691863112.849829,707869719.102833,736366513.002548,859641174.840543,892201626.487671,836699264.212186,819068286.550646,759037074.912604,629845286.730748,662866907.17103,650883478.536824,719575136.775686,879772038.19499,766651508.125052,945163745.159567,988802123.005977
"Ordnance &
Missiles","Unlabeled",,86020.2028558176,1864737.29682762,46146.8677458755,1424503.05429912,9141098.19116743,19310285.6609662,9407328.50232507,16941652.6034657,141979533.205474,89929877.22773,177337247.792645,40814093.4826818,16162682.8369782,-631742.995065956,5506970.4293533,2396370.3839749,3215492.54701188,1242863.96836381,889682.742672841,972104.080277769
"Ordnance &
Missiles","To Be Labeled",107836422.763751,292379283.324191,222135037.137075,443486335.988566,506113519.583871,526722875.508259,590917013.101453,981536093.557087,726402773.614038,807580654.065915,929710355.932313,591885641.865451,898543899.496243,701765685.331095,732223430.69935,748636105.277022,610012136.111024,1006795315.15433,880342667.054001,1089608690.82225,1165418786.7539
"Ordnance &
Missiles","Big Five",7436715757.9356,7517068618.24376,10629481274.0548,13465478308.7167,13234386896.4046,11683298385.1566,11627117446.9562,12828165777.0218,12602465402.0766,11800299271.9917,10814789635.0475,9784816377.25081,10280634452.485,8897564319.02178,8836875908.3471,9099996738.01858,12397707431.8296,13342514685.0273,15166333611.0442,18891010844.9428,18431826269.9713
"Ordnance &
Missiles","Large",3783797453.72269,3425575168.39767,3966350369.09773,2826836085.74736,2924199457.55014,3876716892.65899,3210096940.18809,4014770481.52982,4978643794.22709,3970915761.25497,3798090340.09727,4098894348.97484,3522291793.02381,3108716425.6039,2799109610.13255,2668517317.77098,3003541631.06637,4097824262.50369,4009645632.57591,2479077072.35414,2750837988.62346
"Ordnance &
Missiles","Medium",1291164642.50303,1775542756.08011,2608759291.87985,2370338408.52209,2170355577.06751,2665289121.03958,2193356125.02627,2981935472.87418,3550298628.57413,2969248785.82109,2533370501.54236,2858930072.50083,2508132653.9313,1493797312.85377,1540216534.21665,1660389226.51145,1750741869.63862,2096649199.47623,2776720054.26433,2997266204.69149,2873716056.64614
"Ordnance &
Missiles","Small",840130598.390822,1005728389.14544,1153537534.90258,1319279607.83899,1745045326.09974,2552320631.8938,2374070548.60434,2944419400.47609,2794365099.58811,2686772976.07339,2170747738.54089,1775073226.60145,1811597598.98782,1200993987.76339,1193285040.33806,1115655996.67248,1722967600.84071,1426629284.99217,1722927312.1257,1654190332.7588,1502291507.09914
"Electronics,
Comms & Sensors","Unlabeled",25045368.2755987,26303499.4718015,279278555.053305,462176729.445195,629584903.639935,198821262.100491,248028957.893022,198563695.469793,121767774.792309,445071958.609716,410425251.44824,549089578.615347,346955258.31879,307091479.542194,170893777.446479,262675877.107046,308171047.820206,220423257.071692,155004909.50505,251889646.849215,180087298.217086
"Electronics,
Comms & Sensors","To Be Labeled",469328104.411116,848982964.564246,617764464.101776,835307954.202012,939415224.619,875686176.382387,794137476.322406,504785182.024775,510119397.463645,682827098.242673,1210879909.58261,743127147.102482,1275877084.42549,1074173240.7489,1105059580.42862,1187666709.81583,1426401908.50177,1765188047.3376,2288292395.8913,2290673761.88925,2090335395.99277
"Electronics,
Comms & Sensors","Big Five",13320032074.8153,13970353802.7682,17797420719.2245,20549568417.362,23183070069.3444,23092514129.6534,21722404241.0963,26406464906.5119,25921122642.1562,23909781637.9865,24685972296.1512,22318037404.2778,20858182698.45,17096214319.4271,15856714476.7579,15539635426.4661,16944630802.543,16227849066.3184,15583869889.8923,17307841093.7658,14994266292.6832
"Electronics,
Comms & Sensors","Large",20385095225.5163,22329598344.0458,25326374097.2233,29605305331.8475,35020841349.041,35923737180.979,36576290578.5645,38315188414.3541,41512363354.9429,40639831079.7608,39953695590.7752,37915711904.1061,34242691785.1855,29574189327.208,28958962791.937,28077546310.984,30474826849.0739,32757750201.8979,36386706660.3538,37274153704.339,39338372242.1472
"Electronics,
Comms & Sensors","Medium",11481530658.6111,12188830304.3476,12337213692.3322,14138775501.4798,15424248484.7711,16382168519.5427,16413742578.484,18537705453.3302,19878393587.1519,20973519536.783,20832483420.3579,18450022671.6483,17222611000.8869,14740571568.231,15279310932.4723,15706192084.9609,15868976919.1751,16909628191.7602,19499268165.0474,20147930747.8676,21468338822.7393
"Electronics,
Comms & Sensors","Small",11230046378.1704,12053179498.3711,14558257805.1555,16358883571.1871,17484464847.7846,18008815068.3591,19013752048.4433,21100889369.6089,22080755758.4814,22893734622.4425,25054414852.7153,24656956704.7481,24632762911.9196,23302729118.9898,26849759090.645,26557015383.7825,28693013185.2157,29196996267.3704,30109729692.1127,32313077782.6236,35395808673.0946
"Facilities &
Construction","Unlabeled",11566548.2520981,126445124.783214,334564080.452119,206383606.754199,732302829.339296,2323862374.13031,2406772189.86481,2246028113.02073,3075422598.10257,5107947136.97144,4543446813.30609,2321082145.25263,3270945704.70158,1880500384.47377,1723730649.36114,1344374718.48732,1497988463.33771,1090626926.37858,655240212.934575,1073808796.84013,378934493.925905
"Facilities &
Construction","To Be Labeled",820837044.970395,878112213.705882,854006751.407131,1285419257.56547,1411548592.44421,1429665412.13509,1746999775.51166,1721884116.17146,2817296123.75668,2446897711.57303,4102467909.69217,4656491269.58989,3835832669.23907,2915357380.27773,2241491156.9573,2771319550.05253,2522506089.66615,2853656389.30084,3286503977.37557,3147957935.84182,3879281959.61266
"Facilities &
Construction","Big Five",4161496707.29952,3852580534.60406,4764127515.87417,5537966359.3271,5721325224.25104,5447139536.49169,5367036467.97169,6065800159.47804,5546025008.94193,5981874649.75785,6028219069.11699,6260417873.72119,5928995599.56772,5600442491.45017,7398788063.94129,7740286853.3942,8597960665.69148,5884654811.90315,4179370070.75023,4323831797.98523,4603586247.93651
"Facilities &
Construction","Large",31301920163.5826,34581288499.472,36739458582.0266,50771342764.2438,38599081650.7984,40423545325.7091,44350991488.5214,40441753123.0216,41240838630.6217,54002722541.2589,47184403570.4325,40110715584.4518,39593527237.4114,35673839231.3514,33021394388.5283,31738606974.7445,32717586372.6152,35180769725.2572,41459277257.9695,44715930474.8126,46731216828.8376
"Facilities &
Construction","Medium",33240626656.5056,34468085618.8542,41154251551.4144,43206399671.1527,41797298448.9056,44575522536.9253,48515472663.8581,47637300783.809,52233090033.0927,59315121165.6091,56344463158.7657,48100030785.6074,38250959197.5221,31717649979.5184,34826693562.4287,30829835213.1783,31674848084.132,35371936367.9524,36382827347.5046,39507772891.487,46388923958.8304
"Facilities &
Construction","Small",21170969887.3651,22490641693.4855,29069849565.4636,32400529683.037,29755638474.5929,36107907436.4778,36681334826.2269,38386177311.1841,41734293221.6361,46139636754.74,48788455272.9832,40775085553.5343,37893817136.6511,31898178575.9427,35510142020.5001,32535031380.3417,34563338306.0057,34707589584.0073,39910274853.9392,39369402728.8751,40746576498.9389
"Other
Products","Unlabeled",1479642832.58632,2082279020.30807,2472644504.00671,579422306.718371,1973809655.59724,9377350777.9213,9243952483.97524,8380823308.04835,10902408980.9335,2835853083.11606,1655944535.33425,1319640380.31167,1097802400.60603,989764247.329118,526613847.020437,465347198.707836,431346920.602025,583653592.560811,638410437.295127,698614254.79361,550184671.573229
"Other
Products","To Be Labeled",1092381866.72611,444088967.47853,609324245.858521,840863698.796945,790483536.885123,1388772339.99301,1933981816.99471,1437431455.81679,2116885612.63008,2272285441.47818,1952559166.0198,3024024890.47747,2945965288.73756,2730092713.35928,2129779543.60257,1539961641.87083,1445359989.48214,1529459639.17338,1421507120.46419,1651853939.78041,2381910744.55024
"Other
Products","Big Five",239868531.702819,277513604.641582,316000019.918385,381881931.251092,402297301.168501,537152437.156465,623170511.11819,860478589.491711,827900723.008779,844496636.091708,646318027.013653,724627614.441633,669421065.739829,538980874.952629,544693100.998406,387032623.249541,501934060.033232,516334214.48395,523801572.020373,561389803.777581,413988528.07795
"Other
Products","Large",9911707535.83165,11051205174.0468,12723222149.8835,16308025468.9973,19337154169.2167,26550322362.5307,31738781687.554,35432587131.908,38480543222.6757,45937291395.1859,65564101838.1913,35698918815.1989,41742366133.7224,30530541302.5706,30634639899.9932,30206596064.1673,28813197960.2834,29514319907.8386,30471236986.7552,28130531249.9872,36631424317.1692
"Other
Products","Medium",10820240941.5347,8320688732.34269,9264487245.18914,10483199931.9577,11779937226.3055,18049077583.6477,20335421268.4567,19412989259.8591,18758208812.7701,19678603043.374,17453477469.2586,21352975667.5486,19399295321.9735,16243676813.481,12149301670.0471,10743448947.7984,10483609768.7187,10087164649.5437,10189900463.5622,10561973873.3961,17095976911.8242
"Other
Products","Small",5392783948.0144,6411827968.2531,6802732772.04936,8901260639.79933,9361713022.24605,15292261615.4589,14059798742.5558,13658575504.2506,14980405727.6046,14184558312.2185,13377622593.7225,12845447241.7026,12834895831.4277,10930044085.3272,10119031098.8714,9378893500.27837,9491302402.21074,10608795891.0429,12191090855.1725,11659286240.2903,15728764735.3832
"Other
Services","Unlabeled",2068766.32098889,10083701.9377894,9758706.61932122,12052047.148384,39792185.009261,128813062.23937,236839810.554081,312549292.785713,466602583.925219,498248941.031767,656218302.07651,852401847.673565,1026617776.05726,572403677.638018,506209831.59934,320210653.668759,448341538.81601,293370039.183994,178918774.424628,107701048.224271,61803388.8288221
"Other
Services","To Be Labeled",95400156.1100625,108206299.777132,229232149.408496,102112442.934554,216032823.929925,219740046.509977,175595390.451755,326464231.814962,479549159.522321,504600595.889283,666616873.51572,741864253.832086,1068921088.30194,843497421.918802,1073932821.13397,983463154.6706,909720587.105757,1289192857.26767,1482090339.35513,2136702109.76438,2246817925.42198
"Other
Services","Big Five",853198219.624602,884361189.979788,1081429624.69612,872012408.298956,948663718.450248,1016145089.12585,1863467360.6214,1495931878.51283,2891443777.11912,2956724056.4958,2763359741.52962,3189931692.72814,3240189013.79344,3003363817.48812,2545350572.95348,2622572238.54769,2668603761.58631,2856134589.67806,2892331133.78547,2926029208.87772,2535634798.71063
"Other
Services","Large",5003405208.3641,5700656283.22554,7855470822.32118,14672388938.3255,19766896148.8614,21998440938.6491,23682658243.2533,22237999135.7236,24505590858.7988,27638373114.1414,29335973842.145,31354465539.244,25920517535.2847,24755214382.2991,22297561108.2299,19883508103.3792,20336337099.5602,23172547407.0098,23615598679.9109,23106337388.3996,25561931125.2434
"Other
Services","Medium",5884495814.9606,6418597503.14818,8340019002.43669,11072767421.8798,11939713921.5118,10836677409.7369,12039343725.8131,13222436500.3825,12913068105.6818,15173853828.9787,16490324082.8708,18707298257.0766,17594341290.7855,15167363556.4828,11348113617.9727,10815454169.4302,12197092295.5929,15103302203.5475,14242637993.7111,15323123756.557,22744448185.4191
"Other
Services","Small",2665346976.78077,2565826842.64624,3077178214.09825,3269635641.0314,3434204905.01606,4482935423.17534,4580480273.35039,4723859287.28098,5139811555.06478,5499535023.31237,5887336665.37613,6806307106.77262,6934526360.2388,6488106743.73327,6745305518.29938,6707722993.47481,6929080912.76724,7759179323.20784,8064351155.64476,8565073511.98191,9013273266.50311
"Other Knowledge
Based","Unlabeled",16050401.9108096,63872803.2242106,254901597.084763,164207980.460619,325947902.694853,1154012965.30434,1309400888.6453,2269820513.60158,2292053794.7531,3135929731.58515,2398469860.95158,2533058718.6903,2437018456.00105,2289104788.22014,1425233244.69538,1099361340.26972,466543888.114109,673930837.1497,971569620.108678,590653912.813033,630087241.488853
"Other Knowledge
Based","To Be Labeled",518161347.431591,487384552.24422,595286828.23751,591342508.940113,712785756.717007,760789882.752328,1482615130.06878,1060842200.63183,1501667779.14444,1721214298.49899,2582731463.37166,2231881291.80492,2043178386.89588,1928483547.11693,2135287005.51728,2308690421.67948,2578563543.94493,2342497484.38669,2258890650.29089,2550642130.34179,2784240098.70057
"Other Knowledge
Based","Big Five",3511597825.19443,3384392830.80461,5504668782.97053,6642366633.04803,7254107920.03888,10999193204.5232,12136087905.5503,11424465874.3894,12425740128.7889,11164799030.782,12228638541.5026,9661226486.33482,8014080672.13724,7422794574.12482,7021652619.74375,8497940443.13057,8173664895.05104,6567319382.89789,7278561330.6395,8115304691.27626,7495230115.74595
"Other Knowledge
Based","Large",10749604786.9935,12164306668.3722,13675119077.1263,18808966359.8013,19687977596.4465,22042498311.9703,26115572932.8502,24941822550.6943,30244048210.7818,33966688151.9903,33679530142.796,33600614834.6083,31755331357.0946,28706719571.7781,27516982979.5819,26729072341.4257,26658741850.4979,26863319046.1444,28405698303.3943,28535144348.1993,33970027375.2548
"Other Knowledge
Based","Medium",15573893771.8477,16338099538.1467,21029668541.6947,23431174009.4426,24331267709.1516,26321441903.0125,26252270566.257,28638321520.272,30544504353.5724,34751116292.5519,37035238018.161,35199460039.0611,36101976228.09,31340517922.8873,30517054312.1481,29007641818.8372,29341217225.968,31766391947.9298,33212821328.6432,36454906050.3026,41325535173.4386
"Other Knowledge
Based","Small",9354732766.41353,10022802701.8083,14062110271.8962,13476109277.3837,15884014785.6697,18719974873.0717,20311488680.8976,21579471672.841,24063669710.9221,26211217091.4964,27837915586.5706,27470390821.7663,25976956318.8623,24713482726.1282,26672706573.1651,27954373013.4392,30554276577.2475,32358085622.2283,33998734548.6819,35756881437.8179,39085839718.0432
